dt,low
2010-01-04,16.69
2010-01-05,16.56
2010-01-06,16.68
2010-01-07,16.67
2010-01-08,16.8
2010-01-11,16.79
2010-01-12,16.51
2010-01-13,16.55
2010-01-14,16.61
2010-01-15,16.53
2010-01-19,16.58
2010-01-20,16.5
2010-01-21,16.39
2010-01-22,16.0
2010-01-25,16.01
2010-01-26,15.89
2010-01-27,15.76
2010-01-28,15.6
2010-01-29,15.5301
2010-02-01,15.68
2010-02-02,15.54
2010-02-03,15.44
2010-02-04,15.17
2010-02-05,15.07
2010-02-08,15.15
2010-02-09,15.31
2010-02-10,15.38
2010-02-11,15.37
2010-02-12,15.38
2010-02-16,15.59
2010-02-17,15.7001
2010-02-18,15.55
2010-02-19,15.6
2010-02-22,15.64
2010-02-23,15.49
2010-02-24,15.44
2010-02-25,15.45
2010-02-26,15.53
2010-03-01,15.54
2010-03-02,15.55
2010-03-03,15.33
2010-03-04,15.29
2010-03-05,15.23
2010-03-08,15.46
2010-03-09,15.49
2010-03-10,15.475
2010-03-11,15.5
2010-03-12,15.55
2010-03-15,15.41
2010-03-16,15.5
2010-03-17,15.53
2010-03-18,15.495
2010-03-19,15.59
2010-03-22,15.6
2010-03-23,15.63
2010-03-24,15.51
2010-03-25,15.53
2010-03-26,15.56
2010-03-29,15.6
2010-03-30,15.65
2010-03-31,15.58
2010-04-01,15.5701
2010-04-05,15.54
2010-04-06,15.52
2010-04-07,15.74
2010-04-08,16.14
2010-04-09,16.3
2010-04-12,16.43
2010-04-13,16.38
2010-04-14,16.5
2010-04-15,16.54
2010-04-16,15.84
2010-04-19,15.86
2010-04-20,16.01
2010-04-21,16.1
2010-04-22,15.95
2010-04-23,15.84
2010-04-26,15.99
2010-04-27,15.61
2010-04-28,15.55
2010-04-29,15.39
2010-04-30,15.42
2010-05-03,15.29
2010-05-04,15.14
2010-05-05,14.92
2010-05-06,14.07
2010-05-07,14.35
2010-05-10,14.72
2010-05-11,14.61
2010-05-12,14.53
2010-05-13,14.68
2010-05-14,14.5
2010-05-17,14.56
2010-05-18,14.615
2010-05-19,14.35
2010-05-20,14.27
2010-05-21,14.1
2010-05-24,14.15
2010-05-25,13.99
2010-05-26,13.99
2010-05-27,13.94
2010-05-28,13.97
2010-06-01,13.83
2010-06-02,13.84
2010-06-03,13.895
2010-06-04,13.75
2010-06-07,13.94
2010-06-08,13.94
2010-06-09,14.01
2010-06-10,14.0
2010-06-11,14.02
2010-06-14,14.07
2010-06-15,14.05
2010-06-16,14.1
2010-06-17,14.39
2010-06-18,14.47
2010-06-21,14.52
2010-06-22,14.16
2010-06-23,14.05
2010-06-24,13.83
2010-06-25,13.785
2010-06-28,13.74
2010-06-29,13.5
2010-06-30,13.49
2010-07-01,13.27
2010-07-02,13.27
2010-07-06,13.34
2010-07-07,13.35
2010-07-08,13.52
2010-07-09,13.68
2010-07-12,13.8
2010-07-13,14.05
2010-07-14,13.99
2010-07-15,13.84
2010-07-16,13.47
2010-07-19,13.555
2010-07-20,13.6501
2010-07-21,13.6
2010-07-22,13.71
2010-07-23,13.69
2010-07-26,14.01
2010-07-27,14.02
2010-07-28,13.87
2010-07-29,13.77
2010-07-30,13.77
2010-08-02,13.73
2010-08-03,13.69
2010-08-04,13.63
2010-08-05,13.61
2010-08-06,13.42
2010-08-09,13.51
2010-08-10,13.43
2010-08-11,13.38
2010-08-12,13.2
2010-08-13,13.15
2010-08-16,13.12
2010-08-17,13.35
2010-08-18,13.35
2010-08-19,13.12
2010-08-20,13.07
2010-08-23,13.13
2010-08-24,12.83
2010-08-25,12.675
2010-08-26,12.67
2010-08-27,12.62
2010-08-30,12.62
2010-08-31,12.57
2010-09-01,12.56
2010-09-02,12.62
2010-09-03,12.76
2010-09-07,12.82
2010-09-08,12.94
2010-09-09,13.01
2010-09-10,13.07
2010-09-13,13.16
2010-09-14,13.11
2010-09-15,13.04
2010-09-16,12.93
2010-09-17,12.93
2010-09-20,12.98
2010-09-21,13.0
2010-09-22,12.83
2010-09-23,12.76
2010-09-24,12.85
2010-09-27,12.89
2010-09-28,12.82
2010-09-29,12.96
2010-09-30,13.04
2010-10-01,12.96
2010-10-04,12.99
2010-10-05,13.14
2010-10-06,13.3
2010-10-07,13.3
2010-10-08,13.26
2010-10-11,13.24
2010-10-12,13.16
2010-10-13,13.26
2010-10-14,13.08
2010-10-15,13.11
2010-10-18,13.1
2010-10-19,13.06
2010-10-20,13.13
2010-10-21,13.03
2010-10-22,12.56
2010-10-25,12.61
2010-10-26,12.43
2010-10-27,12.47
2010-10-28,12.23
2010-10-29,12.2
2010-11-01,12.22
2010-11-02,12.34
2010-11-03,12.35
2010-11-04,12.35
2010-11-05,12.5
2010-11-08,12.47
2010-11-09,12.51
2010-11-10,12.55
2010-11-11,12.55
2010-11-12,12.47
2010-11-15,12.62
2010-11-16,12.43
2010-11-17,12.45
2010-11-18,12.51
2010-11-19,12.44
2010-11-22,12.36
2010-11-23,12.29
2010-11-24,12.28
2010-11-26,12.25
2010-11-29,12.25
2010-11-30,12.27
2010-12-01,12.46
2010-12-02,12.57
2010-12-03,12.76
2010-12-06,12.86
2010-12-07,13.0
2010-12-08,13.07
2010-12-09,13.26
2010-12-10,13.31
2010-12-13,13.42
2010-12-14,13.35
2010-12-15,13.34
2010-12-16,13.38
