dt,low
2010-01-04,60.64
2010-01-05,60.9
2010-01-06,61.23
2010-01-07,60.53
2010-01-08,60.27
2010-01-11,60.1
2010-01-12,60.5
2010-01-13,61.41
2010-01-14,61.76
2010-01-15,61.82
2010-01-19,61.97
2010-01-20,61.44
2010-01-21,60.74
2010-01-22,60.31
2010-01-25,60.08
2010-01-26,59.82
2010-01-27,59.6
2010-01-28,59.5
2010-01-29,59.12
2010-02-01,59.52
2010-02-02,60.34
2010-02-03,60.56
2010-02-04,59.62
2010-02-05,58.95
2010-02-08,58.75
2010-02-09,59.29
2010-02-10,59.51
2010-02-11,60.5
2010-02-12,60.49
2010-02-16,60.5
2010-02-17,61.25
2010-02-18,61.97
2010-02-19,61.98
2010-02-22,62.1
2010-02-23,61.7
2010-02-24,61.58
2010-02-25,61.02
2010-02-26,61.91
2010-03-01,62.56
2010-03-02,63.42
2010-03-03,63.8
2010-03-04,63.96
2010-03-05,63.91
2010-03-08,63.8
2010-03-09,63.8
2010-03-10,64.01
2010-03-11,63.9
2010-03-12,64.68
2010-03-15,65.4
2010-03-16,65.8299
2010-03-17,66.02
2010-03-18,66.16
2010-03-19,66.26
2010-03-22,66.15
2010-03-23,66.24
2010-03-24,66.25
2010-03-25,66.35
2010-03-26,66.34
2010-03-29,66.3
2010-03-30,66.36
2010-03-31,66.06
2010-04-01,66.25
2010-04-05,65.83
2010-04-06,65.79
2010-04-07,65.75
2010-04-08,65.6201
2010-04-09,65.86
2010-04-12,66.26
2010-04-13,66.02
2010-04-14,65.83
2010-04-15,65.8
2010-04-16,65.96
2010-04-19,65.7
2010-04-20,65.72
2010-04-21,65.61
2010-04-22,64.5
2010-04-23,64.17
2010-04-26,64.61
2010-04-27,64.07
2010-04-28,63.6
2010-04-29,64.83
2010-04-30,65.18
2010-05-03,64.89
2010-05-04,65.05
2010-05-05,65.02
2010-05-06,61.91
2010-05-07,63.66
2010-05-10,65.66
2010-05-11,66.02
2010-05-12,66.81
2010-05-13,66.46
2010-05-14,65.77
2010-05-17,66.07
2010-05-18,66.4
2010-05-19,65.5
2010-05-20,63.86
2010-05-21,62.14
2010-05-24,62.6
2010-05-25,61.65
2010-05-26,61.04
2010-05-27,61.522
2010-05-28,62.7258
2010-06-01,61.9
2010-06-02,61.83
2010-06-03,63.0
2010-06-04,61.29
2010-06-07,61.29
2010-06-08,61.4
2010-06-09,62.33
2010-06-10,63.03
2010-06-11,62.94
2010-06-14,63.24
2010-06-15,63.835
2010-06-16,63.56
2010-06-17,63.75
2010-06-18,64.03
2010-06-21,63.74
2010-06-22,63.18
2010-06-23,62.31
2010-06-24,62.25
2010-06-25,60.84
2010-06-28,61.0
2010-06-29,60.89
2010-06-30,60.5
2010-07-01,60.32
2010-07-02,61.38
2010-07-06,60.95
2010-07-07,61.27
2010-07-08,62.91
2010-07-09,63.3
2010-07-12,63.05
2010-07-13,63.35
2010-07-14,63.06
2010-07-15,62.99
2010-07-16,62.24
2010-07-19,62.0
2010-07-20,61.71
2010-07-21,63.67
2010-07-22,64.0
2010-07-23,64.05
2010-07-26,64.19
2010-07-27,64.71
2010-07-28,65.0
2010-07-29,64.71
2010-07-30,64.31
2010-08-02,64.88
2010-08-03,65.0
2010-08-04,65.37
2010-08-05,65.06
