dt,low
2010-01-04,25.25
2010-01-05,25.11
2010-01-06,25.34
2010-01-07,25.15
2010-01-08,25.41
2010-01-11,25.37
2010-01-12,24.87
2010-01-13,25.2
2010-01-14,25.38
2010-01-15,25.45
2010-01-19,25.57
2010-01-20,24.98
2010-01-21,24.21
2010-01-22,23.57
2010-01-25,23.14
2010-01-26,23.5
2010-01-27,23.76
2010-01-28,23.78
2010-01-29,23.8
2010-02-01,24.14
2010-02-02,24.33
2010-02-03,23.48
2010-02-04,22.66
2010-02-05,22.5
2010-02-08,22.45
2010-02-09,22.18
2010-02-10,21.96
2010-02-11,21.92
2010-02-12,21.8
2010-02-16,22.8
2010-02-17,23.27
2010-02-18,23.29
2010-02-19,23.58
2010-02-22,23.71
2010-02-23,23.63
2010-02-24,23.61
2010-02-25,23.41
2010-02-26,24.11
2010-03-01,24.3
2010-03-02,24.36
2010-03-03,24.35
2010-03-04,24.3
2010-03-05,24.55
2010-03-08,25.27
2010-03-09,25.55
2010-03-10,25.85
2010-03-11,26.3
2010-03-12,26.87
2010-03-15,26.85
2010-03-16,27.13
2010-03-17,27.86
2010-03-18,28.28
2010-03-19,27.98
2010-03-22,27.52
2010-03-23,27.915
2010-03-24,28.23
2010-03-25,28.86
2010-03-26,28.73
2010-03-29,28.44
2010-03-30,27.655
2010-03-31,27.2
2010-04-01,27.05
2010-04-05,27.31
2010-04-06,27.48
2010-04-07,27.28
2010-04-08,27.28
2010-04-09,27.29
2010-04-12,27.75
2010-04-13,27.63
2010-04-14,27.92
2010-04-15,27.29
2010-04-16,26.83
2010-04-19,26.51
2010-04-20,26.93
2010-04-21,27.37
2010-04-22,27.11
2010-04-23,27.53
2010-04-26,28.05
2010-04-27,27.5
2010-04-28,27.52
2010-04-29,28.08
2010-04-30,27.8
2010-05-03,28.13
2010-05-04,27.63
2010-05-05,27.3
2010-05-06,23.89
2010-05-07,25.33
2010-05-10,26.88
2010-05-11,26.97
2010-05-12,27.67
2010-05-13,28.13
2010-05-14,26.36
2010-05-17,25.79
2010-05-18,26.0
2010-05-19,25.19
2010-05-20,24.82
2010-05-21,24.04
2010-05-24,24.33
2010-05-25,23.135
2010-05-26,24.39
2010-05-27,25.02
2010-05-28,25.83
2010-06-01,25.04
2010-06-02,24.69
2010-06-03,25.26
2010-06-04,24.05
2010-06-07,24.0
2010-06-08,23.49
2010-06-09,25.0
2010-06-10,25.51
2010-06-11,25.98
2010-06-14,26.79
2010-06-15,27.065
2010-06-16,26.96
2010-06-17,26.74
2010-06-18,26.45
2010-06-21,26.43
2010-06-22,25.22
2010-06-23,24.9
2010-06-24,24.69
2010-06-25,24.67
2010-06-28,24.92
2010-06-29,24.0
2010-06-30,23.7
2010-07-01,22.6
2010-07-02,22.65
2010-07-06,22.09
2010-07-07,22.28
2010-07-08,23.8
2010-07-09,24.18
2010-07-12,24.17
2010-07-13,24.92
2010-07-14,24.72
2010-07-15,24.02
2010-07-16,22.81
2010-07-19,22.71
2010-07-20,23.12
2010-07-21,22.05
2010-07-22,22.14
2010-07-23,22.77
2010-07-26,23.34
2010-07-27,24.48
2010-07-28,24.45
2010-07-29,24.0
2010-07-30,23.78
2010-08-02,25.35
2010-08-03,25.68
2010-08-04,25.55
2010-08-05,25.6
2010-08-06,25.0
2010-08-09,25.42
2010-08-10,25.36
2010-08-11,24.28
2010-08-12,23.9
2010-08-13,23.89
2010-08-16,23.91
2010-08-17,24.26
2010-08-18,24.37
2010-08-19,23.71
2010-08-20,23.54
2010-08-23,23.49
2010-08-24,22.97
2010-08-25,23.1
2010-08-26,23.49
2010-08-27,23.09
2010-08-30,23.62
2010-08-31,23.35
2010-09-01,23.9
2010-09-02,24.44
2010-09-03,25.35
2010-09-07,25.06
2010-09-08,25.11
2010-09-09,24.9
2010-09-10,24.96
2010-09-13,25.67
2010-09-14,25.7
2010-09-15,25.71
2010-09-16,26.11
2010-09-17,25.56
2010-09-20,25.68
2010-09-21,25.7
2010-09-22,25.36
2010-09-23,24.86
2010-09-24,25.36
2010-09-27,25.26
2010-09-28,25.15
2010-09-29,25.77
2010-09-30,26.15
2010-10-01,26.14
2010-10-04,26.54
2010-10-05,26.85
2010-10-06,26.42
2010-10-07,26.65
2010-10-08,26.35
2010-10-11,26.45
2010-10-12,26.375
2010-10-13,26.83
2010-10-14,26.68
2010-10-15,26.825
2010-10-18,26.63
2010-10-19,26.26
2010-10-20,26.58
2010-10-21,27.45
2010-10-22,27.65
2010-10-25,27.78
2010-10-26,27.21
2010-10-27,27.23
2010-10-28,27.3
2010-10-29,27.6099
2010-11-01,28.28
2010-11-02,28.43
2010-11-03,28.398000000000003
2010-11-04,28.87
2010-11-05,29.72
2010-11-08,29.93
2010-11-09,29.02
2010-11-10,29.28
2010-11-11,29.67
2010-11-12,29.1
2010-11-15,28.91
2010-11-16,27.6
2010-11-17,27.89
2010-11-18,28.56
2010-11-19,28.53
2010-11-22,28.88
2010-11-23,28.71
2010-11-24,29.15
2010-11-26,29.46
2010-11-29,29.25
2010-11-30,28.93
2010-12-01,29.32
2010-12-02,29.64
2010-12-03,30.19
2010-12-06,30.51
2010-12-07,31.335
2010-12-08,31.07
2010-12-09,31.25
2010-12-10,31.36
2010-12-13,31.74
2010-12-14,30.85
2010-12-15,30.4
2010-12-16,30.38
2010-12-17,30.42
2010-12-20,30.66
2010-12-21,31.05
2010-12-22,31.41
2010-12-23,31.1
2010-12-27,30.86
2010-12-28,30.91
2010-12-29,31.23
2010-12-30,31.39
2010-12-31,31.52
2011-01-03,31.84
2011-01-04,31.75
2011-01-05,32.09
2011-01-06,32.6
2011-01-07,32.22
2011-01-10,32.0
2011-01-11,32.05
2011-01-12,32.32
2011-01-13,32.18
2011-01-14,32.11
2011-01-18,32.41
2011-01-19,32.51
2011-01-20,32.39
2011-01-21,32.92
2011-01-24,33.23
2011-01-25,32.85
2011-01-26,32.72
2011-01-27,33.8
2011-01-28,32.8
2011-01-31,32.94
2011-02-01,33.1
2011-02-02,32.93
2011-02-03,32.73
2011-02-04,32.88
2011-02-07,33.2
2011-02-08,33.54
