dt,low
2010-01-04,48.25
2010-01-05,48.76
2010-01-06,48.29
2010-01-07,48.56
2010-01-08,48.78
2010-01-11,49.25
2010-01-12,48.85
2010-01-13,49.17
2010-01-14,49.48
2010-01-15,49.46
2010-01-19,49.51
2010-01-20,48.7
2010-01-21,47.59
2010-01-22,46.71
2010-01-25,47.02
2010-01-26,46.69
2010-01-27,46.22
2010-01-28,46.02
2010-01-29,45.43
2010-02-01,45.63
2010-02-02,46.07
2010-02-03,46.81
2010-02-04,45.9
2010-02-05,45.01
2010-02-08,45.31
2010-02-09,45.7
2010-02-10,46.39
2010-02-11,46.05
2010-02-12,48.2
2010-02-16,49.06
2010-02-17,49.35
2010-02-18,49.59
2010-02-19,49.8
2010-02-22,49.68
2010-02-23,49.18
2010-02-24,48.97
2010-02-25,49.0
2010-02-26,48.95
2010-03-01,48.79
2010-03-02,49.11
2010-03-03,49.72
2010-03-04,50.06
2010-03-05,50.52
2010-03-08,50.685
2010-03-09,50.2
2010-03-10,49.85
2010-03-11,49.68
2010-03-12,49.95
2010-03-15,49.81
2010-03-16,50.82
2010-03-17,51.27
2010-03-18,51.65
2010-03-19,51.83
2010-03-22,52.23
2010-03-23,51.69
2010-03-24,51.84
2010-03-25,51.66
2010-03-26,51.68
2010-03-29,52.25
2010-03-30,52.16
2010-03-31,51.95
2010-04-01,52.16
2010-04-05,52.36
2010-04-06,52.55
2010-04-07,52.29
2010-04-08,52.21
2010-04-09,52.03
2010-04-12,52.74
2010-04-13,52.08
2010-04-14,50.8
2010-04-15,50.65
2010-04-16,50.56
2010-04-19,50.55
2010-04-20,51.16
2010-04-21,51.8
2010-04-22,50.08
2010-04-23,50.6
2010-04-26,50.06
2010-04-27,48.22
2010-04-28,48.53
2010-04-29,49.33
2010-04-30,49.02
2010-05-03,49.15
2010-05-04,48.86
2010-05-05,48.5
2010-05-06,2.0
2010-05-07,45.92
2010-05-10,47.7
2010-05-11,47.74
2010-05-12,47.52
2010-05-13,47.31
2010-05-14,46.29
2010-05-17,45.89
2010-05-18,45.37
2010-05-19,45.1
2010-05-20,44.49
2010-05-21,43.38
2010-05-24,43.57
2010-05-25,42.97
2010-05-26,43.55
2010-05-27,44.09
2010-05-28,44.02
2010-06-01,43.51
2010-06-02,44.04
2010-06-03,44.69
2010-06-04,43.51
2010-06-07,43.07
2010-06-08,42.94
2010-06-09,43.78
2010-06-10,44.59
2010-06-11,43.09
2010-06-14,44.61
2010-06-15,45.47
2010-06-16,45.13
2010-06-17,45.34
2010-06-18,45.6
2010-06-21,45.93
2010-06-22,44.95
