dt,low
2015-02-03,0.105
2015-02-04,0.1101
2015-02-05,0.0832
2015-02-06,0.098
2015-02-09,0.1251
2015-02-10,0.1461
2015-02-11,0.185
2015-02-12,0.19
2015-02-13,0.165
2015-02-17,0.185
2015-02-18,0.20199999999999999
2015-02-19,0.22
2015-02-20,0.22699999999999998
2015-02-23,0.245
2015-02-24,0.25
2015-02-25,0.2401
2015-02-26,0.252
2015-02-27,0.3
2015-03-02,0.28600000000000003
2015-03-03,0.272
2015-03-04,0.261
2015-03-05,0.261
2015-03-06,0.2
2015-03-09,0.20600000000000002
2015-03-10,0.18
2015-03-11,0.171
2015-03-12,0.17600000000000002
2015-03-13,0.08199999999999999
2015-03-16,0.0989
2015-03-17,0.14300000000000002
2015-03-18,0.14
2015-03-19,0.145
2015-03-20,0.131
2015-03-23,0.11
2015-03-24,0.102
2015-03-25,0.115
2015-03-26,0.12
2015-03-27,0.141
2015-03-30,0.17
2015-03-31,0.152
2015-04-01,0.16
2015-04-02,0.19699999999999998
2015-04-06,0.2521
2015-04-07,0.165
2015-04-08,0.18
2015-04-09,0.215
2015-04-10,0.262
2015-04-13,0.253
2015-04-14,0.21
2015-04-15,0.18
2015-04-16,0.192
2015-04-17,0.17
2015-04-20,0.13
2015-04-21,0.155
2015-04-22,0.159
2015-04-23,0.166
2015-04-24,0.157
2015-04-27,0.1601
2015-04-28,0.165
2015-04-29,0.1631
2015-04-30,0.16
2015-05-01,0.145
2015-05-04,0.141
2015-05-05,0.12300000000000001
2015-05-06,0.125
2015-05-07,0.1231
2015-05-08,0.1335
2015-05-11,0.135
2015-05-12,0.141
2015-05-13,0.151
2015-05-14,0.156
2015-05-15,0.1613
2015-05-18,0.154
2015-05-19,0.1431
2015-05-20,0.135
2015-05-21,0.131
2015-05-22,0.133
2015-05-26,0.132
2015-05-27,0.1525
2015-05-28,0.1591
2015-05-29,0.154
2015-06-01,0.154
2015-06-02,0.154
2015-06-03,0.155
2015-06-04,0.155
2015-06-05,0.155
2015-06-08,0.141
2015-06-09,0.13
2015-06-10,0.11
2015-06-11,0.1125
2015-06-12,0.1
2015-06-15,0.1115
2015-06-16,0.1153
2015-06-17,0.11699999999999999
2015-06-18,0.1155
2015-06-19,0.11699999999999999
2015-06-22,0.113
2015-06-23,0.085
2015-06-24,0.061
2015-06-25,0.0601
2015-06-26,0.0601
2015-06-29,0.055
2015-06-30,0.055
2015-07-01,0.057
2015-07-02,0.059000000000000004
2015-07-06,0.053
2015-07-07,0.068
2015-07-08,0.081
2015-07-09,0.083
2015-07-10,0.08800000000000001
2015-07-13,0.102
2015-07-14,0.0998
2015-07-15,0.1011
2015-07-16,0.0995
2015-07-17,0.09
2015-07-20,0.08
2015-07-21,0.0715
2015-07-22,0.09
2015-07-23,0.075
2015-07-24,0.09
2015-07-27,0.09
2015-07-28,0.0901
2015-07-29,0.095
2015-07-30,0.0916
2015-07-31,0.0915
2015-08-03,0.0901
2015-08-04,0.081
2015-08-05,0.08
2015-08-06,0.081
2015-08-07,0.081
2015-08-10,0.081
2015-08-11,0.0834
2015-08-12,0.075
2015-08-13,0.08
2015-08-14,0.0851
2015-08-17,0.0852
2015-08-18,0.0911
2015-08-19,0.0922
2015-08-20,0.081
2015-08-21,0.0804
2015-08-24,0.0815
2015-08-25,0.0825
2015-08-26,0.083
2015-08-27,0.085
2015-08-28,0.09
2015-08-31,0.09
2015-09-01,0.0851
2015-09-02,0.084
2015-09-03,0.084
2015-09-04,0.08199999999999999
2015-09-08,0.085
2015-09-09,0.0825
2015-09-10,0.06
2015-09-11,0.055
2015-09-14,0.06
2015-09-15,0.051
2015-09-16,0.043
2015-09-17,0.052000000000000005
2015-09-18,0.057
2015-09-21,0.055
2015-09-22,0.0771
2015-09-23,0.084
2015-09-24,0.0769
2015-09-25,0.06
2015-09-28,0.065
2015-09-29,0.065
2015-09-30,0.052000000000000005
2015-10-01,0.0543
2015-10-02,0.0425
2015-10-05,0.046
2015-10-06,0.0428
2015-10-07,0.0245
2015-10-08,0.0165
