dt,low
2010-01-04,61.17
2010-01-05,59.55
2010-01-06,58.92
2010-01-07,59.42
2010-01-08,59.78
2010-01-11,58.54
2010-01-12,59.25
2010-01-13,59.61
2010-01-14,60.13
2010-01-15,59.17
2010-01-19,58.3
2010-01-20,58.44
2010-01-21,58.37
2010-01-22,57.86
2010-01-25,58.26
2010-01-26,62.56
2010-01-27,62.28
2010-01-28,63.13
2010-01-29,63.08
2010-02-01,63.5
2010-02-02,63.8
2010-02-03,63.95
2010-02-04,63.49
2010-02-05,62.86
2010-02-08,63.11
2010-02-09,63.4675
2010-02-10,62.6
2010-02-11,62.9
2010-02-12,62.65
2010-02-16,64.18
2010-02-17,64.83
2010-02-18,64.31
2010-02-19,64.8
2010-02-22,64.67
2010-02-23,64.06
2010-02-24,63.86
2010-02-25,63.3375
2010-02-26,63.33
2010-03-01,63.04
2010-03-02,63.65
2010-03-03,63.85
2010-03-04,64.13
2010-03-05,64.77
2010-03-08,64.975
2010-03-09,64.91
2010-03-10,64.4
2010-03-11,63.89
2010-03-12,65.04
2010-03-15,65.09
2010-03-16,64.52
2010-03-17,64.94
2010-03-18,65.29
2010-03-19,65.025
2010-03-22,64.84
2010-03-23,65.43
2010-03-24,65.56
2010-03-25,65.87
2010-03-26,66.5
2010-03-29,66.84
2010-03-30,66.94
2010-03-31,66.63
2010-04-01,67.81
2010-04-05,68.08
2010-04-06,68.4
2010-04-07,69.24
2010-04-08,68.92
2010-04-09,70.2001
2010-04-12,71.02
2010-04-13,71.79
2010-04-14,71.77
2010-04-15,72.38
2010-04-16,72.63
2010-04-19,72.14
2010-04-20,73.23
2010-04-21,73.73
2010-04-22,73.11
2010-04-23,77.84
2010-04-26,79.1
2010-04-27,78.41
2010-04-28,78.89
2010-04-29,78.86
2010-04-30,78.02
2010-05-03,77.78
2010-05-04,77.84
2010-05-05,76.66
2010-05-06,73.67
2010-05-07,75.48
2010-05-10,77.34
2010-05-11,78.41
2010-05-12,79.78
2010-05-13,77.97
2010-05-14,77.07
2010-05-17,77.4
2010-05-18,77.77
2010-05-19,76.39
2010-05-20,75.04
2010-05-21,74.0
2010-05-24,74.03
2010-05-25,73.79
2010-05-26,74.78
2010-05-27,75.45
2010-05-28,75.99
2010-06-01,76.01
2010-06-02,76.12
2010-06-03,76.32
2010-06-04,74.67
2010-06-07,73.66
2010-06-08,72.78
2010-06-09,73.82
2010-06-10,74.7
2010-06-11,75.4
2010-06-14,76.581
2010-06-15,76.87
2010-06-16,76.85
2010-06-17,76.01
2010-06-18,75.98
2010-06-21,76.19
2010-06-22,74.64
2010-06-23,73.0
2010-06-24,71.62
2010-06-25,71.06
2010-06-28,71.06
2010-06-29,69.36
2010-06-30,69.06
2010-07-01,67.92
2010-07-02,68.98
2010-07-06,69.08
2010-07-07,69.57
2010-07-08,71.85
2010-07-09,71.86
2010-07-12,71.74
2010-07-13,72.57
2010-07-14,70.5
2010-07-15,70.16
2010-07-16,69.37
2010-07-19,69.17
2010-07-20,67.58
2010-07-21,69.16
2010-07-22,66.319
2010-07-23,67.08
2010-07-26,68.8
2010-07-27,69.34
2010-07-28,69.24
