dt,low
2014-07-31,22.6
2014-08-01,22.67
2014-08-04,22.9
2014-08-05,22.67
2014-08-06,22.67
2014-08-07,22.8
2014-08-08,22.8
2014-08-11,22.8
2014-08-12,22.83
2014-08-13,22.88
2014-08-14,22.95
2014-08-15,23.0
2014-08-18,23.02
2014-08-19,23.2
2014-08-20,24.26
2014-08-21,24.92
2014-08-22,25.1
2014-08-25,24.88
2014-08-26,24.94
2014-08-27,24.95
2014-08-28,25.31
2014-08-29,25.45
2014-09-02,25.52
2014-09-03,25.63
2014-09-04,25.51
2014-09-05,25.62
2014-09-08,24.62
2014-09-09,24.7
2014-09-10,24.69
2014-09-11,24.63
2014-09-12,24.44
2014-09-15,23.92
2014-09-16,23.88
2014-09-17,24.36
2014-09-18,24.56
2014-09-19,24.71
2014-09-22,24.75
2014-09-23,24.18
2014-09-24,24.675
2014-09-25,24.61
2014-09-26,24.34
2014-09-29,24.34
2014-09-30,24.21
2014-10-01,24.18
2014-10-02,23.76
2014-10-03,24.41
2014-10-06,24.75
2014-10-07,24.55
2014-10-08,24.7
2014-10-09,24.43
2014-10-10,24.14
2014-10-13,24.2
2014-10-14,24.5801
2014-10-15,24.03
2014-10-16,24.13
2014-10-17,24.65
2014-10-20,24.4
2014-10-21,24.71
2014-10-22,25.15
2014-10-23,25.44
2014-10-24,25.75
2014-10-27,26.02
2014-10-28,26.6025
2014-10-29,26.67
2014-10-30,26.51
2014-10-31,26.85
2014-11-03,26.85
2014-11-04,26.25
2014-11-05,26.701
2014-11-06,27.27
2014-11-07,27.25
2014-11-10,28.0
2014-11-11,28.7
2014-11-12,28.6408
2014-11-13,28.82
2014-11-14,28.85
2014-11-17,28.83
2014-11-18,28.785
2014-11-19,28.65
2014-11-20,28.91
2014-11-21,29.01
2014-11-24,28.85
2014-11-25,28.03
2014-11-26,28.74
2014-11-28,28.75
2014-12-01,28.73
2014-12-02,28.8872
2014-12-03,28.9
2014-12-04,28.91
2014-12-05,28.93
2014-12-08,29.02
2014-12-09,29.1975
2014-12-10,29.5
2014-12-11,29.432
2014-12-12,28.93
2014-12-15,28.16
2014-12-16,28.15
2014-12-17,28.32
2014-12-18,28.94
2014-12-19,29.79
2014-12-22,29.505
2014-12-23,29.72
2014-12-24,29.97
2014-12-26,30.066
2014-12-29,30.27
2014-12-30,29.89
2014-12-31,29.68
2015-01-02,29.35
2015-01-05,28.68
2015-01-06,28.45
2015-01-07,28.91
2015-01-08,29.49
2015-01-09,29.49
2015-01-12,29.53
2015-01-13,29.46
2015-01-14,29.07
