dt,low
2010-01-04,5.68
2010-01-05,5.7
2010-01-06,5.71
2010-01-07,5.8999
2010-01-08,6.04
2010-01-11,6.09
2010-01-12,5.97
2010-01-13,5.85
2010-01-14,5.97
2010-01-15,5.9
2010-01-19,5.92
2010-01-20,5.88
2010-01-21,6.0
2010-01-22,5.95
2010-01-25,5.89
2010-01-26,6.19
2010-01-27,6.31
2010-01-28,6.29
2010-01-29,6.41
2010-02-01,6.36
2010-02-02,6.41
2010-02-03,6.52
2010-02-04,6.29
2010-02-05,6.18
2010-02-08,6.16
2010-02-09,6.35
2010-02-10,6.38
2010-02-11,6.49
2010-02-12,6.57
2010-02-16,6.69
2010-02-17,6.72
2010-02-18,6.78
2010-02-19,6.82
2010-02-22,6.87
2010-02-23,6.79
2010-02-24,6.78
2010-02-25,6.74
2010-02-26,6.79
2010-03-01,6.9019
2010-03-02,7.02
2010-03-03,7.03
2010-03-04,6.96
2010-03-05,6.97
2010-03-08,7.11
2010-03-09,7.07
2010-03-10,7.23
2010-03-11,7.36
2010-03-12,7.565
2010-03-15,7.5
2010-03-16,7.44
2010-03-17,7.62
2010-03-18,7.6
2010-03-19,7.5
2010-03-22,7.44
2010-03-23,7.51
2010-03-24,7.49
2010-03-25,7.56
2010-03-26,7.57
2010-03-29,7.57
2010-03-30,7.51
2010-03-31,7.5
2010-04-01,7.61
2010-04-05,7.66
2010-04-06,7.78
2010-04-07,7.86
2010-04-08,7.83
2010-04-09,7.86
2010-04-12,7.93
2010-04-13,7.95
2010-04-14,8.35
2010-04-15,8.41
2010-04-16,8.21
2010-04-19,8.17
2010-04-20,8.27
2010-04-21,8.3
2010-04-22,8.08
2010-04-23,8.25
2010-04-26,8.16
2010-04-27,8.59
2010-04-28,8.81
2010-04-29,9.01
2010-04-30,9.02
2010-05-03,9.1
2010-05-04,8.85
2010-05-05,8.65
2010-05-06,8.02
2010-05-07,8.02
2010-05-10,8.5
2010-05-11,8.51
2010-05-12,8.86
2010-05-13,8.76
2010-05-14,8.44
2010-05-17,8.5
2010-05-18,8.48
2010-05-19,8.3602
2010-05-20,8.2
2010-05-21,8.08
2010-05-24,8.78
2010-05-25,8.5
2010-05-26,8.79
2010-05-27,8.95
2010-05-28,8.91
2010-06-01,8.14
2010-06-02,7.87
2010-06-03,7.7
2010-06-04,6.84
2010-06-07,6.76
2010-06-08,6.15
2010-06-09,6.55
2010-06-10,6.54
2010-06-11,6.7
2010-06-14,6.9
2010-06-15,6.93
