dt,low
2010-01-04,69.86
2010-01-05,70.28
2010-01-06,70.03
2010-01-07,69.57
2010-01-08,70.25
2010-01-11,70.73
2010-01-12,71.06
2010-01-13,71.79
2010-01-14,72.12
2010-01-15,71.68
2010-01-19,71.64
2010-01-20,70.63
2010-01-21,69.75
2010-01-22,69.0
2010-01-25,68.56
2010-01-26,67.58
2010-01-27,66.5
2010-01-28,66.55
2010-01-29,66.64
2010-02-01,67.2
2010-02-02,67.69
2010-02-03,67.7
2010-02-04,66.34
2010-02-05,65.05
2010-02-08,65.31
2010-02-09,65.71
2010-02-10,66.11
2010-02-11,65.86
2010-02-12,65.01
2010-02-16,65.56
2010-02-17,65.82
2010-02-18,67.42
2010-02-19,68.11
2010-02-22,68.13
2010-02-23,67.72
2010-02-24,67.79
2010-02-25,67.05
2010-02-26,68.14
2010-03-01,68.84
2010-03-02,69.64
2010-03-03,69.43
2010-03-04,69.64
2010-03-05,70.57
2010-03-08,70.77
2010-03-09,71.16
2010-03-10,71.38
2010-03-11,71.26
2010-03-12,71.14
2010-03-15,71.32
2010-03-16,71.59
2010-03-17,72.06
2010-03-18,72.06
2010-03-19,72.72
2010-03-22,72.57
2010-03-23,72.58
2010-03-24,72.76
2010-03-25,73.18
2010-03-26,73.46
2010-03-29,73.63
2010-03-30,73.95
2010-03-31,73.42
2010-04-01,73.54
2010-04-05,74.22
2010-04-06,74.42
2010-04-07,73.53
2010-04-08,73.28
2010-04-09,73.41
2010-04-12,73.59
2010-04-13,72.93
2010-04-14,73.13
2010-04-15,73.76
2010-04-16,73.21
2010-04-19,73.0
2010-04-20,73.27
2010-04-21,73.63
2010-04-22,75.94
2010-04-23,75.78
2010-04-26,76.26
2010-04-27,74.07
2010-04-28,73.56
2010-04-29,75.16
2010-04-30,74.9
2010-05-03,75.14
2010-05-04,73.45
2010-05-05,72.83
2010-05-06,65.17
2010-05-07,68.86
2010-05-10,72.0
2010-05-11,72.33
2010-05-12,72.58
2010-05-13,72.73
2010-05-14,70.69
2010-05-17,69.92
2010-05-18,70.48
2010-05-19,68.66
2010-05-20,66.36
2010-05-21,64.58
2010-05-24,65.81
2010-05-25,63.79
2010-05-26,66.0
2010-05-27,66.99
2010-05-28,67.04
2010-06-01,65.93
2010-06-02,65.965
2010-06-03,67.28
2010-06-04,64.88
2010-06-07,63.15
2010-06-08,62.88
2010-06-09,63.27
2010-06-10,63.86
2010-06-11,64.55
2010-06-14,66.44
2010-06-15,66.96
2010-06-16,68.05
2010-06-17,67.71
2010-06-18,68.5119
2010-06-21,69.04
2010-06-22,67.85
2010-06-23,67.46
2010-06-24,67.16
2010-06-25,66.81
2010-06-28,66.82
2010-06-29,64.32
2010-06-30,64.43
2010-07-01,63.62
2010-07-02,63.84
2010-07-06,63.91
2010-07-07,64.56
2010-07-08,66.29
2010-07-09,66.88
2010-07-12,66.27
2010-07-13,67.18
2010-07-14,67.38
2010-07-15,67.17
2010-07-16,65.88
2010-07-19,66.12
2010-07-20,65.75
2010-07-21,66.53
2010-07-22,68.01
2010-07-23,69.16
2010-07-26,70.35
2010-07-27,70.745
2010-07-28,70.78
2010-07-29,70.49
2010-07-30,69.79
2010-08-02,71.77
2010-08-03,71.98
2010-08-04,72.06
2010-08-05,72.11
2010-08-06,71.68
2010-08-09,72.89
2010-08-10,71.9302
2010-08-11,70.77
2010-08-12,70.29
2010-08-13,70.13
2010-08-16,69.5
2010-08-17,69.91
2010-08-18,69.29
2010-08-19,68.02
2010-08-20,67.41
2010-08-23,67.21
2010-08-24,65.39
2010-08-25,64.57
2010-08-26,64.95
2010-08-27,64.99
2010-08-30,65.39
2010-08-31,64.67
2010-09-01,65.68
2010-09-02,66.91
2010-09-03,67.48
2010-09-07,67.67
2010-09-08,68.03
2010-09-09,68.25
2010-09-10,68.4801
2010-09-13,68.28
2010-09-14,68.36
2010-09-15,68.05
2010-09-16,68.0
2010-09-17,68.56
2010-09-20,69.25
2010-09-21,70.28
2010-09-22,70.43
2010-09-23,69.62
2010-09-24,70.44
2010-09-27,70.8499
2010-09-28,70.04
2010-09-29,71.17
2010-09-30,71.0
2010-10-01,70.98
2010-10-04,70.23
2010-10-05,71.24
2010-10-06,72.38
2010-10-07,72.16
2010-10-08,72.3
2010-10-11,72.61
2010-10-12,71.8
2010-10-13,73.3
2010-10-14,73.4
2010-10-15,73.4
2010-10-18,73.98
2010-10-19,72.85
2010-10-20,71.92
2010-10-21,74.25
2010-10-22,74.49
2010-10-25,74.8
2010-10-26,74.03
2010-10-27,73.3
2010-10-28,73.98
2010-10-29,74.1
2010-11-01,74.11
2010-11-02,75.08
2010-11-03,74.31
2010-11-04,75.4601
2010-11-05,76.14
2010-11-08,76.33
2010-11-09,76.34
2010-11-10,75.8
2010-11-11,75.04
2010-11-12,74.42
2010-11-15,74.87
2010-11-16,73.77
2010-11-17,73.43
2010-11-18,74.16
2010-11-19,74.645
2010-11-22,74.26
2010-11-23,73.7
2010-11-24,74.56
2010-11-26,75.18
2010-11-29,73.88
2010-11-30,74.041
2010-12-01,76.54
2010-12-02,78.1
2010-12-03,78.29
2010-12-06,78.23
2010-12-07,78.37
2010-12-08,77.35
2010-12-09,77.42
2010-12-10,78.07
2010-12-13,78.11
2010-12-14,77.82
2010-12-15,78.58
2010-12-16,78.59
2010-12-17,78.38
2010-12-20,78.79
2010-12-21,78.56
2010-12-22,79.07
2010-12-23,79.2
2010-12-27,78.98
2010-12-28,79.04
2010-12-29,79.09
2010-12-30,78.61
2010-12-31,78.25
2011-01-03,78.96
2011-01-04,78.4
2011-01-05,78.59
2011-01-06,79.04
2011-01-07,78.63
2011-01-10,77.81
2011-01-11,78.47
2011-01-12,79.24
2011-01-13,79.15
2011-01-14,78.69
2011-01-18,79.19
2011-01-19,79.17
2011-01-20,78.98
2011-01-21,79.76
2011-01-24,80.26
2011-01-25,80.88
2011-01-26,80.76
2011-01-27,81.8
2011-01-28,80.71
2011-01-31,80.66
2011-02-01,81.43
2011-02-02,81.68
2011-02-03,81.58
2011-02-04,82.01
2011-02-07,82.73
2011-02-08,83.1
2011-02-09,83.22
2011-02-10,84.34
2011-02-11,84.46
2011-02-14,84.9
2011-02-15,84.4852
2011-02-16,84.41
2011-02-17,84.25
2011-02-18,84.58
2011-02-22,83.18
2011-02-23,82.25
2011-02-24,81.81
2011-02-25,82.9
2011-02-28,83.31
2011-03-01,81.92
2011-03-02,81.42
2011-03-03,82.35
2011-03-04,82.2
2011-03-07,81.9
2011-03-08,82.15
2011-03-09,82.03
2011-03-10,80.57
2011-03-11,80.26
2011-03-14,80.31
2011-03-15,77.05
2011-03-16,78.19
2011-03-17,79.0
2011-03-18,79.82
2011-03-21,80.92
2011-03-22,80.57
2011-03-23,80.81
2011-03-24,81.77
2011-03-25,82.79
2011-03-28,83.35
2011-03-29,83.26
2011-03-30,83.9699
2011-03-31,83.96
2011-04-01,84.9
2011-04-04,84.92
2011-04-05,84.58
2011-04-06,85.19
2011-04-07,84.66
2011-04-08,84.18
2011-04-11,84.79
2011-04-12,83.5
2011-04-13,83.35
2011-04-14,82.7
2011-04-15,83.16
2011-04-18,81.19
2011-04-19,81.72
2011-04-20,84.0
2011-04-21,85.66
2011-04-25,86.29
2011-04-26,86.63
2011-04-27,87.34
2011-04-28,87.65
2011-04-29,88.99
2011-05-02,89.49
2011-05-03,89.48
2011-05-04,88.69200000000001
2011-05-05,87.9
2011-05-06,88.95
2011-05-09,88.88
2011-05-10,89.68
2011-05-11,89.31
2011-05-12,88.75
2011-05-13,88.35
2011-05-16,88.09
2011-05-17,87.1
2011-05-18,86.65
2011-05-19,87.56
2011-05-20,87.0
2011-05-23,85.78
2011-05-24,85.55
2011-05-25,85.21
2011-05-26,85.42
2011-05-27,86.07
2011-05-31,86.58
2011-06-01,84.25
2011-06-02,83.7
2011-06-03,82.43
2011-06-06,82.76
2011-06-07,83.24
2011-06-08,82.69
2011-06-09,82.97
2011-06-10,82.6
2011-06-13,82.52
2011-06-14,83.34
2011-06-15,82.83
2011-06-16,83.09
2011-06-17,84.49
2011-06-20,84.19
2011-06-21,85.14
2011-06-22,85.17
2011-06-23,83.69
2011-06-24,83.835
2011-06-27,83.74
2011-06-28,85.47
2011-06-29,85.99
2011-06-30,86.63
2011-07-01,88.36
2011-07-05,89.22
2011-07-06,89.35
2011-07-07,90.76
2011-07-08,89.95
2011-07-11,88.82
2011-07-12,88.33
2011-07-13,87.99
2011-07-14,87.61
2011-07-15,87.62
2011-07-18,86.81
2011-07-19,87.94
2011-07-20,85.67
2011-07-21,87.81
2011-07-22,87.67
2011-07-25,86.3
2011-07-26,85.6
2011-07-27,83.51
2011-07-28,82.82
2011-07-29,81.5
2011-08-01,81.24
2011-08-02,78.93
2011-08-03,77.65
2011-08-04,74.23
2011-08-05,72.66
2011-08-08,69.71
2011-08-09,67.12
2011-08-10,67.21
2011-08-11,67.21
2011-08-12,69.82
2011-08-15,72.2
2011-08-16,71.99
2011-08-17,71.49
2011-08-18,67.44
2011-08-19,67.16
2011-08-22,67.17
2011-08-23,67.82
2011-08-24,69.5
2011-08-25,70.41
2011-08-26,68.87
2011-08-29,72.64
2011-08-30,73.32
2011-08-31,73.81
2011-09-01,72.97
2011-09-02,70.66
2011-09-06,68.49
2011-09-07,71.48
2011-09-08,72.29
2011-09-09,70.12
2011-09-12,69.24
2011-09-13,70.69
2011-09-14,71.29
2011-09-15,74.31
2011-09-16,74.71600000000001
2011-09-19,73.86
2011-09-20,74.96
2011-09-21,74.83
2011-09-22,67.32
2011-09-23,68.345
2011-09-26,69.13
2011-09-27,72.36
2011-09-28,71.65
2011-09-29,70.92
2011-09-30,70.04
2011-10-03,69.058
2011-10-04,66.87
2011-10-05,68.8
2011-10-06,69.17
2011-10-07,70.89
2011-10-10,72.45
2011-10-11,72.95
2011-10-12,73.83
2011-10-13,72.39
2011-10-14,73.99
2011-10-17,71.95
2011-10-18,71.7
2011-10-19,72.5
2011-10-20,72.57
2011-10-21,74.53
2011-10-24,75.79
2011-10-25,74.96
2011-10-26,75.03
2011-10-27,77.81
2011-10-28,78.96
2011-10-31,77.98
2011-11-01,74.3626
2011-11-02,76.165
2011-11-03,77.15
2011-11-04,76.5244
2011-11-07,76.87
2011-11-08,77.91
2011-11-09,75.96
2011-11-10,76.86
2011-11-11,78.66
2011-11-14,78.68
2011-11-15,78.14
2011-11-16,77.34
2011-11-17,74.93
2011-11-18,75.27
2011-11-21,72.84
2011-11-22,72.53
2011-11-23,70.97
2011-11-25,70.06
2011-11-28,72.49
2011-11-29,72.95
2011-11-30,75.28
2011-12-01,76.2
2011-12-02,76.45
2011-12-05,76.04
2011-12-06,76.13
2011-12-07,74.69
2011-12-08,74.09
2011-12-09,74.59
2011-12-12,74.15
2011-12-13,73.75
2011-12-14,72.75
2011-12-15,72.915
2011-12-16,71.86
2011-12-19,71.6
2011-12-20,72.88
2011-12-21,72.86
2011-12-22,72.94
2011-12-23,73.25
2011-12-27,73.78
2011-12-28,72.95
2011-12-29,72.28
2011-12-30,73.08
2012-01-03,74.42
2012-01-04,74.09
2012-01-05,73.665
2012-01-06,73.62
2012-01-09,73.76
2012-01-10,74.84
2012-01-11,75.5
2012-01-12,76.51
2012-01-13,75.81
2012-01-17,76.99
2012-01-18,76.57
2012-01-19,77.065
2012-01-20,75.6944
2012-01-23,76.47
2012-01-24,76.5005
2012-01-25,75.63
2012-01-26,77.02
2012-01-27,76.91
2012-01-30,76.42
2012-01-31,77.64
2012-02-01,78.97
2012-02-02,79.8025
2012-02-03,80.8
2012-02-06,80.12
2012-02-07,79.67
2012-02-08,79.77
2012-02-09,82.5
2012-02-10,82.65
2012-02-13,84.08
2012-02-14,83.97
2012-02-15,82.48
2012-02-16,82.48
2012-02-17,83.4706
2012-02-21,83.26
2012-02-22,83.44
2012-02-23,83.01
2012-02-24,83.57
2012-02-27,82.83
2012-02-28,83.11
2012-02-29,83.53
2012-03-01,83.67
2012-03-02,83.9
2012-03-05,82.86
2012-03-06,81.01
2012-03-07,81.71
2012-03-08,83.01
2012-03-09,83.23
2012-03-12,83.69
2012-03-13,84.055
2012-03-14,85.85
2012-03-15,85.9
2012-03-16,85.23
2012-03-19,84.56
2012-03-20,83.075
2012-03-21,82.41
2012-03-22,81.54
2012-03-23,81.52
2012-03-26,82.51
2012-03-27,82.85
2012-03-28,81.12
2012-03-29,81.0
2012-03-30,82.28
2012-04-02,81.91
2012-04-03,81.77
2012-04-04,81.41
2012-04-05,81.3825
2012-04-09,79.96
2012-04-10,78.35
2012-04-11,79.13
2012-04-12,79.59
2012-04-13,79.74
2012-04-16,79.61
2012-04-17,80.11
2012-04-18,80.85
2012-04-19,80.0
2012-04-20,80.61
2012-04-23,79.39
2012-04-24,79.26
2012-04-25,79.34
2012-04-26,79.53
2012-04-27,81.46
2012-04-30,81.325
2012-05-01,80.67
2012-05-02,80.84
2012-05-03,80.54
2012-05-04,79.29
2012-05-07,78.82
2012-05-08,77.69
2012-05-09,76.76
2012-05-10,77.08
2012-05-11,76.72
2012-05-14,75.65
2012-05-15,75.61
2012-05-16,74.61
2012-05-17,73.28
2012-05-18,72.14
2012-05-21,72.37
2012-05-22,73.59
2012-05-23,72.44
2012-05-24,72.6
2012-05-25,72.78
2012-05-29,73.45
2012-05-30,73.63
2012-05-31,73.7548
2012-06-01,71.78
2012-06-04,70.8
2012-06-05,70.71
2012-06-06,71.49
2012-06-07,74.69
2012-06-08,74.9
2012-06-11,74.51
2012-06-12,73.63
2012-06-13,72.96
2012-06-14,73.53
2012-06-15,73.62
2012-06-18,74.01
2012-06-19,75.59
2012-06-20,75.45
2012-06-21,74.74
2012-06-22,74.81
2012-06-25,73.5601
2012-06-26,72.82
2012-06-27,73.76
2012-06-28,71.86
2012-06-29,73.91
2012-07-02,74.52
2012-07-03,74.78
2012-07-05,75.15
2012-07-06,73.37
2012-07-09,73.76
2012-07-10,73.61
2012-07-11,72.26
2012-07-12,70.95
2012-07-13,71.94
2012-07-16,72.31
2012-07-17,72.34
2012-07-18,73.13
2012-07-19,74.52
2012-07-20,74.11
2012-07-23,72.05
2012-07-24,71.4
2012-07-25,71.9
2012-07-26,72.34
2012-07-27,72.64
2012-07-30,74.27
2012-07-31,74.29
2012-08-01,74.41
2012-08-02,73.1
2012-08-03,74.92
2012-08-06,76.62
2012-08-07,77.1
2012-08-08,77.24
2012-08-09,76.33
2012-08-10,76.49
2012-08-13,76.84
2012-08-14,77.4201
2012-08-15,77.06
2012-08-16,77.42
2012-08-17,79.0
2012-08-20,79.79
2012-08-21,79.2
2012-08-22,79.01
2012-08-23,78.78
2012-08-24,79.0
2012-08-27,79.82
2012-08-28,79.96
2012-08-29,80.05
2012-08-30,78.37
2012-08-31,79.16
2012-09-04,77.915
2012-09-05,77.49
2012-09-06,78.65
2012-09-07,79.05
2012-09-10,78.6
2012-09-11,78.53
2012-09-12,78.5
