dt,low
2016-09-19,24.96
2016-09-20,24.26
2016-09-21,23.53
2016-09-22,22.32
2016-09-23,22.55
2016-09-26,21.91
2016-09-27,22.25
2016-09-28,22.25
2016-09-29,22.42
2016-09-30,22.66
2016-10-03,21.86
2016-10-04,24.35
2016-10-05,23.47
2016-10-06,23.32
2016-10-07,22.92
2016-10-10,23.15
2016-10-11,22.72
2016-10-12,22.2
2016-10-13,22.28
2016-10-14,22.4
2016-10-17,22.25
2016-10-18,22.8844
2016-10-19,23.3
2016-10-20,23.45
2016-10-21,23.18
2016-10-24,22.9701
2016-10-25,22.75
2016-10-26,22.25
2016-10-27,22.75
2016-10-28,22.5
2016-10-31,22.52
2016-11-01,22.175
2016-11-02,22.483
2016-11-03,22.41
2016-11-04,22.24
2016-11-07,22.7
2016-11-08,22.71
2016-11-09,22.72
2016-11-10,22.81
2016-11-11,23.06
2016-11-14,23.54
2016-11-15,23.5001
2016-11-16,23.62
2016-11-17,23.8
2016-11-18,23.38
2016-11-21,23.44
2016-11-22,24.5801
2016-11-23,24.88
2016-11-25,25.1
2016-11-28,24.6074
2016-11-29,24.37
2016-11-30,24.41
2016-12-01,24.52
2016-12-02,24.4
2016-12-05,24.27
2016-12-06,24.75
2016-12-07,25.35
2016-12-08,26.75
2016-12-09,26.75
2016-12-12,26.88
2016-12-13,27.3516
2016-12-14,27.44
2016-12-15,27.78
2016-12-16,27.67
2016-12-19,27.76
2016-12-20,28.39
2016-12-21,28.11
2016-12-22,27.82
2016-12-23,27.81
2016-12-27,27.98
2016-12-28,27.85
2016-12-29,27.56
2016-12-30,27.71
2017-01-03,27.24
2017-01-04,27.5101
2017-01-05,27.76
2017-01-06,27.8001
2017-01-09,27.75
2017-01-10,27.92
2017-01-11,28.38
2017-01-12,27.18
2017-01-13,27.1
2017-01-17,26.82
2017-01-18,27.2
2017-01-19,26.715
2017-01-20,26.74
2017-01-23,27.47
2017-01-24,27.27
2017-01-25,27.81
2017-01-26,27.74
2017-01-27,27.83
2017-01-30,27.63
