dt,low
2010-01-04,61.43
2010-01-05,60.7201
2010-01-06,60.45
2010-01-07,60.64
2010-01-08,60.42
2010-01-11,61.28
2010-01-12,61.93
2010-01-13,62.27
2010-01-14,61.94
2010-01-15,60.681999999999995
2010-01-19,60.89
2010-01-20,60.02
2010-01-21,59.08
2010-01-22,59.08
2010-01-25,58.88
2010-01-26,57.44
2010-01-27,57.39
2010-01-28,57.35
2010-01-29,56.97
2010-02-01,56.4
2010-02-02,56.9
2010-02-03,57.55
2010-02-04,56.03
2010-02-05,55.97
2010-02-08,57.33
2010-02-09,57.9
2010-02-10,57.16
2010-02-11,57.09
2010-02-12,57.54
2010-02-16,57.85
2010-02-17,58.58
2010-02-18,58.77
2010-02-19,58.36
2010-02-22,58.21
2010-02-23,58.6
2010-02-24,58.89
2010-02-25,58.05
2010-02-26,59.15
2010-03-01,59.92
2010-03-02,61.55
2010-03-03,61.84
2010-03-04,61.35
2010-03-05,61.7
2010-03-08,63.48
2010-03-09,63.15
2010-03-10,63.73
2010-03-11,64.83
2010-03-12,64.39
2010-03-15,64.3
2010-03-16,64.38
2010-03-17,65.0
2010-03-18,65.54
2010-03-19,64.93
2010-03-22,64.75
2010-03-23,65.4
2010-03-24,65.89
2010-03-25,66.88
2010-03-26,66.53
2010-03-29,66.88
2010-03-30,67.32
2010-03-31,67.04
2010-04-01,67.21
2010-04-05,67.81
2010-04-06,67.52
2010-04-07,67.08
2010-04-08,66.2958
2010-04-09,67.39
2010-04-12,68.63
2010-04-13,68.355
2010-04-14,68.96
2010-04-15,69.58
2010-04-16,69.94
2010-04-19,70.14
2010-04-20,70.89
2010-04-21,69.7205
2010-04-22,68.61
2010-04-23,68.44
2010-04-26,69.77
2010-04-27,70.0
2010-04-28,70.74
2010-04-29,72.94
2010-04-30,71.96
2010-05-03,71.85
2010-05-04,70.6
2010-05-05,70.09
2010-05-06,64.03
2010-05-07,64.87
2010-05-10,67.94
2010-05-11,68.88
2010-05-12,69.91
2010-05-13,70.23
2010-05-14,67.47
2010-05-17,67.23
2010-05-18,67.54
2010-05-19,65.67
2010-05-20,63.82
2010-05-21,62.02
2010-05-24,65.25
2010-05-25,63.86
2010-05-26,66.19
2010-05-27,67.51
2010-05-28,68.33
2010-06-01,67.37
2010-06-02,67.28
2010-06-03,69.17
2010-06-04,66.24
2010-06-07,65.94
2010-06-08,65.18
2010-06-09,66.3301
2010-06-10,67.25
2010-06-11,67.99
2010-06-14,68.69
2010-06-15,69.11
2010-06-16,69.8
2010-06-17,70.55
2010-06-18,71.17
2010-06-21,70.99
2010-06-22,71.0
2010-06-23,69.5
2010-06-24,68.27
2010-06-25,68.31
2010-06-28,68.27
2010-06-29,65.37
2010-06-30,64.6
2010-07-01,62.4
2010-07-02,62.69
2010-07-06,63.35
2010-07-07,61.99
2010-07-08,63.02
2010-07-09,63.65
2010-07-12,63.4475
2010-07-13,64.12
2010-07-14,64.15
2010-07-15,64.01
2010-07-16,62.87
2010-07-19,62.96
2010-07-20,62.29
2010-07-21,62.61
2010-07-22,63.46
2010-07-23,63.94
2010-07-26,64.6
2010-07-27,62.64
2010-07-28,64.0
2010-07-29,63.39
2010-07-30,63.32
2010-08-02,64.8
2010-08-03,65.12
2010-08-04,66.0
2010-08-05,66.13
2010-08-06,65.14
2010-08-09,66.2901
2010-08-10,65.34
2010-08-11,64.43
2010-08-12,62.83
2010-08-13,62.35
2010-08-16,61.46
2010-08-17,62.56
2010-08-18,63.44
2010-08-19,62.43
2010-08-20,61.44
2010-08-23,62.32
2010-08-24,60.65
2010-08-25,60.01
2010-08-26,61.07
2010-08-27,60.49
2010-08-30,60.89
2010-08-31,60.01
2010-09-01,61.14
2010-09-02,62.88
2010-09-03,64.13
2010-09-07,64.06
2010-09-08,64.13
2010-09-09,64.9
2010-09-10,65.13
2010-09-13,66.17
2010-09-14,67.04
2010-09-15,67.55
2010-09-16,67.71
2010-09-17,68.47
