dt,low
2010-01-04,33.87
2010-01-05,33.78
2010-01-06,33.78
2010-01-07,33.82
2010-01-08,33.665
2010-01-11,34.28
2010-01-12,34.3
2010-01-13,34.66
2010-01-14,34.32
2010-01-15,33.15
2010-01-19,33.18
2010-01-20,33.02
2010-01-21,33.03
2010-01-22,32.83
2010-01-25,32.6
2010-01-26,32.26
2010-01-27,32.14
2010-01-28,31.83
2010-01-29,31.95
2010-02-01,31.83
2010-02-02,32.14
2010-02-03,32.21
2010-02-04,31.73
2010-02-05,31.37
2010-02-08,31.4
2010-02-09,31.56
2010-02-10,31.56
2010-02-11,31.3
2010-02-12,31.29
2010-02-16,32.4
2010-02-17,32.84
2010-02-18,32.67
2010-02-19,32.63
2010-02-22,33.2101
2010-02-23,32.54
2010-02-24,32.5107
2010-02-25,32.42
2010-02-26,32.79
2010-03-01,33.01
2010-03-02,33.4
2010-03-03,33.34
2010-03-04,33.31
2010-03-05,33.54
2010-03-08,33.555
2010-03-09,33.34
2010-03-10,33.27
2010-03-11,33.11
2010-03-12,33.15
2010-03-15,33.22
2010-03-16,33.68
2010-03-17,33.88
2010-03-18,33.95
2010-03-19,33.98
2010-03-22,34.0
2010-03-23,34.25
2010-03-24,33.99
2010-03-25,34.27
2010-03-26,34.22
2010-03-29,34.34
2010-03-30,34.32
2010-03-31,34.09
2010-04-01,34.4
2010-04-05,34.5
2010-04-06,34.59
2010-04-07,34.63
2010-04-08,34.42
2010-04-09,34.31
2010-04-12,34.71
2010-04-13,34.51
2010-04-14,34.75
2010-04-15,34.91
2010-04-16,34.95
2010-04-19,34.75
2010-04-20,35.0
2010-04-21,35.0
2010-04-22,34.8
2010-04-23,35.16
2010-04-26,35.58
2010-04-27,34.75
2010-04-28,34.82
2010-04-29,34.75
2010-04-30,34.68
2010-05-03,34.82
2010-05-04,33.99
2010-05-05,33.8
2010-05-06,31.55
2010-05-07,32.21
2010-05-10,33.6
2010-05-11,33.64
2010-05-12,33.91
2010-05-13,34.0
2010-05-14,33.26
2010-05-17,33.27
2010-05-18,33.72
2010-05-19,33.1
2010-05-20,32.18
2010-05-21,31.48
2010-05-24,31.97
2010-05-25,31.11
2010-05-26,32.15
2010-05-27,32.26
2010-05-28,32.3
2010-06-01,31.92
2010-06-02,31.97
2010-06-03,32.47
2010-06-04,31.45
2010-06-07,31.3181
2010-06-08,31.24
2010-06-09,31.86
2010-06-10,32.23
2010-06-11,32.35
2010-06-14,32.76
2010-06-15,32.97
2010-06-16,33.41
2010-06-17,33.44
2010-06-18,33.42
2010-06-21,33.37
2010-06-22,32.9975
2010-06-23,32.51
2010-06-24,32.08
2010-06-25,31.91
2010-06-28,32.02
2010-06-29,31.27
2010-06-30,31.22
2010-07-01,31.22
2010-07-02,31.63
2010-07-06,31.5
2010-07-07,31.55
2010-07-08,32.53
2010-07-09,32.41
2010-07-12,32.6
2010-07-13,32.86
2010-07-14,32.68
2010-07-15,32.71
2010-07-16,32.33
2010-07-19,32.26
2010-07-20,31.98
2010-07-21,32.485
2010-07-22,32.74
2010-07-23,33.18
2010-07-26,33.6
2010-07-27,33.96
2010-07-28,33.87
2010-07-29,33.66
2010-07-30,33.26
2010-08-02,34.08
2010-08-03,34.22
2010-08-04,34.325
2010-08-05,34.13
2010-08-06,34.08
2010-08-09,34.53
2010-08-10,34.06
2010-08-11,33.26
2010-08-12,32.83
2010-08-13,33.0
2010-08-16,32.58
2010-08-17,33.41
2010-08-18,33.71
2010-08-19,33.34
2010-08-20,33.17
2010-08-23,33.36
2010-08-24,32.89
2010-08-25,32.56
2010-08-26,33.01
2010-08-27,33.02
2010-08-30,33.3677
2010-08-31,32.86
2010-09-01,33.33
2010-09-02,33.61
2010-09-03,33.75
2010-09-07,33.75
2010-09-08,33.81
2010-09-09,33.75
2010-09-10,33.8
2010-09-13,34.05
2010-09-14,33.97
2010-09-15,34.04
2010-09-16,34.36
2010-09-17,34.64
2010-09-20,34.91
2010-09-21,35.25
2010-09-22,35.45
2010-09-23,35.01
2010-09-24,35.45
2010-09-27,35.44
2010-09-28,35.077
2010-09-29,35.3957
2010-09-30,35.59
2010-10-01,35.79
2010-10-04,35.46
2010-10-05,35.81
2010-10-06,36.3
2010-10-07,36.06
2010-10-08,36.0
2010-10-11,36.17
2010-10-12,36.0175
2010-10-13,36.57
2010-10-14,36.75
2010-10-15,36.49
2010-10-18,36.3119
2010-10-19,35.97
2010-10-20,36.13
2010-10-21,36.5009
2010-10-22,36.63
2010-10-25,36.82
2010-10-26,36.49
2010-10-27,35.77
2010-10-28,35.81
2010-10-29,35.33
2010-11-01,35.38
2010-11-02,35.63
2010-11-03,35.64
2010-11-04,35.74
2010-11-05,35.18
2010-11-08,35.13
2010-11-09,35.07
2010-11-10,35.06
2010-11-11,34.67
2010-11-12,34.84
2010-11-15,34.96
2010-11-16,34.68
2010-11-17,34.7
2010-11-18,35.02
2010-11-19,35.05
2010-11-22,34.9
2010-11-23,34.81
2010-11-24,35.03
2010-11-26,34.81
2010-11-29,34.13
2010-11-30,34.08
2010-12-01,34.43
2010-12-02,34.5
2010-12-03,34.46
2010-12-06,34.5
2010-12-07,34.52
2010-12-08,34.68
2010-12-09,34.91
2010-12-10,35.35
2010-12-13,35.98
2010-12-14,36.08
2010-12-15,36.08
2010-12-16,36.0
2010-12-17,36.08
2010-12-20,36.11
2010-12-21,36.31
2010-12-22,36.32
2010-12-23,36.3
2010-12-27,36.27
2010-12-28,36.48
2010-12-29,36.7
2010-12-30,36.64
2010-12-31,36.63
2011-01-03,36.6897
2011-01-04,36.39
2011-01-05,36.4
2011-01-06,36.25
2011-01-07,36.0
2011-01-10,35.95
2011-01-11,35.93
2011-01-12,36.05
2011-01-13,36.25
2011-01-14,36.55
2011-01-18,36.81
2011-01-19,37.01
2011-01-20,37.0
2011-01-21,37.11
2011-01-24,37.33
2011-01-25,37.51
2011-01-26,37.89
2011-01-27,38.0685
2011-01-28,37.78
2011-01-31,37.76
2011-02-01,37.91
2011-02-02,37.7
2011-02-03,37.49
2011-02-04,37.57
2011-02-07,37.75
2011-02-08,37.92
2011-02-09,37.99
2011-02-10,37.99
2011-02-11,37.78
2011-02-14,37.92
2011-02-15,37.77
2011-02-16,37.94
2011-02-17,37.68
2011-02-18,37.89
2011-02-22,37.53
2011-02-23,37.24
2011-02-24,36.57
2011-02-25,36.66
2011-02-28,36.89
2011-03-01,36.7
2011-03-02,36.61
2011-03-03,36.95
2011-03-04,36.96
2011-03-07,37.14
2011-03-08,37.16
2011-03-09,37.02
2011-03-10,36.79
2011-03-11,36.72
2011-03-14,36.67
