dt,open
2010-01-04,31.39
2010-01-05,31.21
2010-01-06,30.85
2010-01-07,30.78
2010-01-08,30.64
2010-01-11,30.88
2010-01-12,30.56
2010-01-13,30.47
2010-01-14,30.59
2010-01-15,31.22
2010-01-19,30.36
2010-01-20,30.53
2010-01-21,30.75
2010-01-22,30.35
2010-01-25,29.42
2010-01-26,29.37
2010-01-27,29.2
2010-01-28,29.13
2010-01-29,28.93
2010-02-01,28.16
2010-02-02,29.22
2010-02-03,29.39
2010-02-04,29.3
2010-02-05,28.91
2010-02-08,29.21
2010-02-09,29.53
2010-02-10,29.46
2010-02-11,29.25
2010-02-12,30.65
2010-02-16,30.24
2010-02-17,30.36
2010-02-18,30.57
2010-02-19,30.84
2010-02-22,31.1
2010-02-23,31.09
2010-02-24,30.97
2010-02-25,30.84
2010-02-26,31.17
2010-03-01,31.43
2010-03-02,32.0
2010-03-03,32.39
2010-03-04,32.47
2010-03-05,32.83
2010-03-08,33.12
2010-03-09,32.93
2010-03-10,33.2
2010-03-11,33.38
2010-03-12,33.62
2010-03-15,33.32
2010-03-16,33.39
2010-03-17,33.44
2010-03-18,33.3
2010-03-19,33.53
2010-03-22,33.26
2010-03-23,33.78
2010-03-24,33.98
2010-03-25,34.1
2010-03-26,34.65
2010-03-29,34.31
2010-03-30,34.46
2010-03-31,34.55
2010-04-01,34.54
2010-04-05,34.59
2010-04-06,34.64
2010-04-07,34.47
2010-04-08,34.16
2010-04-09,34.04
2010-04-12,34.21
2010-04-13,34.15
2010-04-14,33.94
2010-04-15,34.45
2010-04-16,35.54
2010-04-19,35.34
2010-04-20,35.38
2010-04-21,36.18
2010-04-22,35.8
2010-04-23,36.39
2010-04-26,36.67
2010-04-27,36.6
2010-04-28,36.42
2010-04-29,36.93
2010-04-30,37.25
2010-05-03,36.5
2010-05-04,36.39
2010-05-05,34.92
2010-05-06,34.52
2010-05-07,33.09
2010-05-10,33.18
2010-05-11,33.68
2010-05-12,34.16
2010-05-13,34.79
2010-05-14,34.39
2010-05-17,33.99
2010-05-18,34.0
2010-05-19,32.01
2010-05-20,31.98
2010-05-21,30.32
2010-05-24,31.24
2010-05-25,30.5
2010-05-26,31.51
2010-05-27,32.21
2010-05-28,32.76
2010-06-01,32.16
2010-06-02,31.7
2010-06-03,32.34
2010-06-04,31.66
2010-06-07,30.53
2010-06-08,30.18
2010-06-09,29.98
2010-06-10,30.02
2010-06-11,30.05
2010-06-14,31.14
2010-06-15,31.8
2010-06-16,31.99
2010-06-17,32.8
2010-06-18,32.55
2010-06-21,33.06
2010-06-22,32.41
2010-06-23,32.08
2010-06-24,31.73
2010-06-25,30.92
2010-06-28,30.63
2010-06-29,30.03
2010-06-30,29.16
2010-07-01,28.5
2010-07-02,28.36
2010-07-06,28.35
2010-07-07,27.79
2010-07-08,28.77
2010-07-09,28.88
2010-07-12,28.51
2010-07-13,28.47
2010-07-14,28.62
2010-07-15,28.62
2010-07-16,28.2
2010-07-19,27.29
2010-07-20,27.03
2010-07-21,27.68
2010-07-22,27.95
2010-07-23,28.56
2010-07-26,29.22
2010-07-27,29.73
2010-07-28,28.79
2010-07-29,28.97
2010-07-30,27.78
2010-08-02,28.35
2010-08-03,28.61
2010-08-04,27.86
2010-08-05,28.03
2010-08-06,28.18
2010-08-09,28.92
2010-08-10,29.44
2010-08-11,28.86
2010-08-12,27.65
2010-08-13,27.39
2010-08-16,27.11
2010-08-17,28.75
2010-08-18,29.33
2010-08-19,29.25
2010-08-20,28.26
2010-08-23,28.74
2010-08-24,27.52
2010-08-25,27.14
2010-08-26,27.88
2010-08-27,27.69
2010-08-30,27.77
2010-08-31,27.57
2010-09-01,27.45
2010-09-02,28.47
2010-09-03,29.49
2010-09-07,29.69
2010-09-08,29.08
2010-09-09,29.25
2010-09-10,28.95
2010-09-13,29.23
2010-09-14,29.02
2010-09-15,29.15
2010-09-16,29.34
2010-09-17,30.32
2010-09-20,30.78
2010-09-21,30.97
2010-09-22,30.98
2010-09-23,30.49
2010-09-24,30.97
2010-09-27,32.07
2010-09-28,31.96
2010-09-29,32.1
2010-09-30,32.77
2010-10-01,33.69
2010-10-04,33.56
2010-10-05,32.95
2010-10-06,33.02
2010-10-07,32.93
2010-10-08,33.21
2010-10-11,33.77
2010-10-12,33.61
2010-10-13,33.95
2010-10-14,34.28
2010-10-15,34.6
2010-10-18,34.38
2010-10-19,34.13
2010-10-20,34.14
2010-10-21,34.79
2010-10-22,34.74
2010-10-25,35.03
2010-10-26,34.63
2010-10-27,34.48
2010-10-28,35.13
2010-10-29,34.82
2010-11-01,34.94
2010-11-02,34.98
2010-11-03,35.18
2010-11-04,35.5
2010-11-05,35.97
2010-11-08,36.15
2010-11-09,36.18
2010-11-10,35.46
2010-11-11,34.8
2010-11-12,35.9
2010-11-15,36.54
2010-11-16,35.81
2010-11-17,35.0
2010-11-18,35.64
2010-11-19,36.17
2010-11-22,36.15
2010-11-23,35.86
2010-11-24,35.62
2010-11-26,35.96
2010-11-29,35.95
2010-11-30,35.23
2010-12-01,35.65
2010-12-02,35.98
2010-12-03,36.5
2010-12-06,37.3
2010-12-07,37.59
2010-12-08,37.59
2010-12-09,37.85
2010-12-10,38.0
2010-12-13,38.54
2010-12-14,38.8
2010-12-15,39.01
2010-12-16,38.61
2010-12-17,39.76
2010-12-20,40.1
2010-12-21,40.65
2010-12-22,40.65
2010-12-23,40.91
2010-12-27,40.87
2010-12-28,41.93
2010-12-29,41.54
2010-12-30,41.64
2010-12-31,41.43
2011-01-03,41.56
2011-01-04,41.99
2011-01-05,41.26
2011-01-06,41.37
2011-01-07,41.52
2011-01-10,41.41
2011-01-11,42.52
2011-01-12,43.2
2011-01-13,42.88
2011-01-14,42.79
2011-01-18,43.37
2011-01-19,44.22
2011-01-20,41.95
2011-01-21,42.5
2011-01-24,42.18
2011-01-25,42.77
2011-01-26,42.82
2011-01-27,42.77
2011-01-28,42.5
2011-01-31,41.27
2011-02-01,42.07
2011-02-02,41.75
2011-02-03,40.93
2011-02-04,41.11
2011-02-07,43.45
2011-02-08,44.65
2011-02-09,44.01
2011-02-10,43.22
2011-02-11,43.77
2011-02-14,45.01
2011-02-15,44.79
2011-02-16,42.9
2011-02-17,43.38
2011-02-18,43.79
2011-02-22,43.27
2011-02-23,42.56
2011-02-24,40.34
2011-02-25,41.18
2011-02-28,42.43
2011-03-01,41.98
2011-03-02,40.57
2011-03-03,42.12
2011-03-04,43.36
2011-03-07,46.26
2011-03-08,46.01
2011-03-09,45.65
2011-03-10,45.36
2011-03-11,45.07
2011-03-14,45.09
2011-03-15,43.35
2011-03-16,43.59
2011-03-17,43.13
2011-03-18,43.13
2011-03-21,43.52
2011-03-22,43.91
2011-03-23,42.95
2011-03-24,44.0
2011-03-25,44.01
2011-03-28,44.24
2011-03-29,43.94
2011-03-30,44.79
2011-03-31,44.92
2011-04-01,44.88
2011-04-04,45.07
