dt,open
2013-12-09,23.9
2013-12-10,24.53
2013-12-11,25.44
2013-12-12,26.2
2013-12-13,25.61
2013-12-16,26.63
2013-12-17,26.47
2013-12-18,25.99
2013-12-19,26.09
2013-12-20,26.16
2013-12-23,26.29
2013-12-24,26.0
2013-12-26,26.12
2013-12-27,25.95
2013-12-30,24.87
2013-12-31,24.74
2014-01-02,25.07
2014-01-03,25.78
2014-01-06,26.62
2014-01-07,27.2
2014-01-08,26.41
2014-01-09,28.24
2014-01-10,29.05
2014-01-13,29.18
2014-01-14,28.75
2014-01-15,28.9
2014-01-16,28.94
2014-01-17,29.3
2014-01-21,30.66
2014-01-22,30.71
2014-01-23,30.69
2014-01-24,31.02
2014-01-27,30.4
2014-01-28,30.32
2014-01-29,32.24
2014-01-30,33.36
2014-01-31,33.44
2014-02-03,33.95
2014-02-04,34.04
2014-02-05,33.82
2014-02-06,33.71
2014-02-07,34.81
2014-02-10,36.1
2014-02-11,35.58
2014-02-12,34.89
2014-02-13,34.08
2014-02-14,34.85
2014-02-18,34.73
2014-02-19,34.25
2014-02-20,34.43
2014-02-21,35.78
2014-02-24,36.2
2014-02-25,36.63
2014-02-26,37.12
2014-02-27,36.88
2014-02-28,36.11
2014-03-03,36.17
2014-03-04,36.57
2014-03-05,37.66
2014-03-06,38.43
2014-03-07,39.17
2014-03-10,38.73
2014-03-11,38.65
2014-03-12,37.97
2014-03-13,37.9
2014-03-14,36.0
2014-03-17,36.62
2014-03-18,37.75
2014-03-19,37.27
2014-03-20,36.61
2014-03-21,36.76
2014-03-24,36.25
2014-03-25,36.88
2014-03-26,38.15
2014-03-27,36.78
2014-03-28,35.77
2014-03-31,35.82
2014-04-01,36.95
2014-04-02,38.24
2014-04-03,37.72
2014-04-04,37.41
2014-04-07,36.79
2014-04-08,36.03
2014-04-09,36.08
2014-04-10,36.7
2014-04-11,34.09
2014-04-14,34.08
2014-04-15,33.52
2014-04-16,34.22
2014-04-17,35.5
2014-04-21,35.08
2014-04-22,35.76
2014-04-23,37.14
2014-04-24,37.84
2014-04-25,37.0
2014-04-28,36.41
2014-04-29,35.2
2014-04-30,35.56
2014-05-01,35.84
2014-05-02,36.27
2014-05-05,36.08
2014-05-06,37.21
2014-05-07,36.66
2014-05-08,37.25
2014-05-09,37.96
2014-05-12,38.35
2014-05-13,38.95
2014-05-14,39.08
2014-05-15,38.55
2014-05-16,38.05
2014-05-19,38.49
2014-05-20,38.54
2014-05-21,38.28
2014-05-22,38.3
2014-05-23,38.53
2014-05-27,39.38
2014-05-28,39.4
2014-05-29,39.89
2014-05-30,39.83
2014-06-02,40.0
2014-06-03,41.13
2014-06-04,41.36
2014-06-05,43.0
