dt,open
2010-01-04,16.15
2010-01-05,16.07
2010-01-06,16.36
2010-01-07,16.59
2010-01-08,17.1
2010-01-11,17.06
2010-01-12,16.85
2010-01-13,16.59
2010-01-14,16.91
2010-01-15,16.63
2010-01-19,16.56
2010-01-20,16.8
2010-01-21,16.52
2010-01-22,15.8
2010-01-25,15.59
2010-01-26,15.53
2010-01-27,15.38
2010-01-28,15.68
2010-01-29,15.57
2010-02-01,15.43
2010-02-02,15.71
2010-02-03,15.99
2010-02-04,15.73
2010-02-05,15.43
2010-02-08,15.63
2010-02-09,15.42
2010-02-10,15.49
2010-02-11,15.38
2010-02-12,15.61
2010-02-16,16.08
2010-02-17,16.65
2010-02-18,16.73
2010-02-19,16.8
2010-02-22,16.68
2010-02-23,16.5
2010-02-24,16.61
2010-02-25,16.52
2010-02-26,16.78
2010-03-01,16.76
2010-03-02,16.8
2010-03-03,16.96
2010-03-04,16.92
2010-03-05,17.11
2010-03-08,17.6
2010-03-09,17.75
2010-03-10,17.84
2010-03-11,17.86
2010-03-12,17.92
2010-03-15,17.73
2010-03-16,17.76
2010-03-17,17.94
2010-03-18,18.33
2010-03-19,18.31
2010-03-22,17.76
2010-03-23,18.15
2010-03-24,18.18
2010-03-25,18.56
2010-03-26,18.79
2010-03-29,18.8
2010-03-30,18.39
2010-03-31,18.39
2010-04-01,18.62
2010-04-05,18.71
2010-04-06,19.56
2010-04-07,20.09
2010-04-08,19.4
2010-04-09,19.54
2010-04-12,20.01
2010-04-13,19.72
2010-04-14,20.54
2010-04-15,20.23
2010-04-16,19.66
2010-04-19,19.04
2010-04-20,19.52
2010-04-21,19.88
2010-04-22,20.34
2010-04-23,21.35
2010-04-26,21.47
2010-04-27,22.0
2010-04-28,21.85
2010-04-29,22.0
2010-04-30,22.1
2010-05-03,22.57
2010-05-04,23.33
2010-05-05,23.33
2010-05-06,23.17
2010-05-07,22.03
2010-05-10,22.49
2010-05-11,22.13
2010-05-12,22.53
2010-05-13,22.88
2010-05-14,22.0
2010-05-17,21.47
2010-05-18,21.92
2010-05-19,20.59
2010-05-20,19.79
2010-05-21,18.77
2010-05-24,19.64
2010-05-25,18.41
2010-05-26,19.79
2010-05-27,20.09
2010-05-28,20.84
2010-06-01,20.36
2010-06-02,20.81
2010-06-03,21.16
2010-06-04,20.6
2010-06-07,19.93
2010-06-08,19.68
2010-06-09,20.35
2010-06-10,20.86
2010-06-11,21.45
2010-06-14,22.37
2010-06-15,22.13
2010-06-16,22.17
