dt,open
2010-01-04,67.96
2010-01-05,68.78
2010-01-06,69.21
2010-01-07,70.45
2010-01-08,70.04
2010-01-11,70.24
2010-01-12,69.54
2010-01-13,70.34
2010-01-14,70.19
2010-01-15,69.1
2010-01-19,67.76
2010-01-20,67.61
2010-01-21,67.07
2010-01-22,65.84
2010-01-25,66.65
2010-01-26,65.69
2010-01-27,63.17
2010-01-28,64.11
2010-01-29,62.19
2010-02-01,61.12
2010-02-02,64.93
2010-02-03,65.06
2010-02-04,65.11
2010-02-05,63.26
2010-02-08,63.72
2010-02-09,63.58
2010-02-10,66.19
2010-02-11,67.16
2010-02-12,66.79
2010-02-16,69.55
2010-02-17,69.99
2010-02-18,69.7
2010-02-19,68.16
2010-02-22,69.41
2010-02-23,70.79
2010-02-24,70.41
2010-02-25,69.83
2010-02-26,70.54
2010-03-01,71.15
2010-03-02,72.31
2010-03-03,73.89
2010-03-04,74.51
2010-03-05,77.69
2010-03-08,77.74
2010-03-09,77.15
2010-03-10,76.81
2010-03-11,76.4
2010-03-12,77.32
2010-03-15,77.97
2010-03-16,76.77
2010-03-17,78.09
2010-03-18,79.2
2010-03-19,79.47
2010-03-22,78.01
2010-03-23,79.6
2010-03-24,79.96
2010-03-25,80.98
2010-03-26,80.24
2010-03-29,80.93
2010-03-30,80.91
2010-03-31,79.71
2010-04-01,79.97
2010-04-05,81.77
2010-04-06,81.85
2010-04-07,83.29
2010-04-08,82.0
2010-04-09,81.3
2010-04-12,81.6
2010-04-13,80.41
2010-04-14,81.88
2010-04-15,82.44
2010-04-16,83.81
2010-04-19,82.19
2010-04-20,82.76
2010-04-21,83.46
2010-04-22,82.91
2010-04-23,84.97
2010-04-26,85.29
2010-04-27,81.81
2010-04-28,82.72
2010-04-29,84.14
2010-04-30,86.99
2010-05-03,84.235
2010-05-04,83.98
2010-05-05,82.87
2010-05-06,80.93
2010-05-07,77.67
2010-05-10,77.95
2010-05-11,78.6
2010-05-12,79.57
2010-05-13,80.54
2010-05-14,79.19
2010-05-17,77.43
2010-05-18,77.84
2010-05-19,73.81
2010-05-20,73.35
2010-05-21,69.88
2010-05-24,72.4
2010-05-25,68.86
2010-05-26,69.95
2010-05-27,70.86
2010-05-28,73.35
2010-06-01,70.98
2010-06-02,69.12
2010-06-03,70.76
2010-06-04,69.16
2010-06-07,68.6
2010-06-08,66.07
2010-06-09,66.79
2010-06-10,66.72
2010-06-11,67.35
2010-06-14,69.45
2010-06-15,68.0
2010-06-16,68.23
2010-06-17,70.55
2010-06-18,70.3
2010-06-21,70.65
2010-06-22,70.54
2010-06-23,69.07
2010-06-24,67.86
2010-06-25,65.57
2010-06-28,66.79
2010-06-29,64.32
2010-06-30,61.5
2010-07-01,60.49
2010-07-02,61.36
2010-07-06,61.15
2010-07-07,59.97
2010-07-08,63.04
2010-07-09,64.41
2010-07-12,65.35
2010-07-13,65.9
2010-07-14,66.92
2010-07-15,66.46
2010-07-16,64.25
2010-07-19,63.11
2010-07-20,61.11
2010-07-21,63.25
2010-07-22,62.32
2010-07-23,63.98
2010-07-26,66.2
2010-07-27,69.92
2010-07-28,72.71
2010-07-29,72.85
2010-07-30,70.27
2010-08-02,72.26
2010-08-03,72.43
2010-08-04,72.54
2010-08-05,72.74
2010-08-06,71.88
2010-08-09,72.72
2010-08-10,72.6
2010-08-11,70.24
2010-08-12,67.99
2010-08-13,68.37
2010-08-16,67.79
2010-08-17,68.7
2010-08-18,69.72
2010-08-19,68.68
2010-08-20,67.78
2010-08-23,68.55
2010-08-24,66.49
2010-08-25,64.76
2010-08-26,65.4
2010-08-27,66.39
2010-08-30,66.66
2010-08-31,64.68
2010-09-01,65.235
2010-09-02,67.75
2010-09-03,70.26
2010-09-07,71.3
2010-09-08,71.5
2010-09-09,72.93
2010-09-10,72.49
2010-09-13,73.66
2010-09-14,76.16
2010-09-15,75.49
2010-09-16,76.81
2010-09-17,77.17
2010-09-20,78.15
2010-09-21,79.92
2010-09-22,77.4
2010-09-23,75.64
2010-09-24,76.23
2010-09-27,78.69
2010-09-28,77.93
2010-09-29,78.76
2010-09-30,77.96
2010-10-01,79.16
2010-10-04,79.58
2010-10-05,81.2
2010-10-06,82.44
2010-10-07,82.72
2010-10-08,83.17
2010-10-11,83.59
2010-10-12,83.48
2010-10-13,84.9
2010-10-14,86.22
2010-10-15,86.18
2010-10-18,85.74
2010-10-19,85.21
2010-10-20,83.69
2010-10-21,84.94
2010-10-22,84.08
2010-10-25,86.97
2010-10-26,84.5
2010-10-27,84.65
2010-10-28,87.7
2010-10-29,87.53
2010-11-01,86.22
2010-11-02,87.76
2010-11-03,87.65
2010-11-04,90.44
2010-11-05,91.46
2010-11-08,90.62
2010-11-09,91.14
2010-11-10,89.38
2010-11-11,89.96
2010-11-12,89.27
2010-11-15,87.66
2010-11-16,86.81
2010-11-17,85.3
2010-11-18,86.79
2010-11-19,88.32
2010-11-22,89.32
