dt,open
2010-01-04,136.15
2010-01-05,133.43
2010-01-06,134.6
2010-01-07,132.01
2010-01-08,130.6
2010-01-11,132.66
2010-01-12,129.34
2010-01-13,127.97
2010-01-14,129.21
2010-01-15,129.21
2010-01-19,126.2
2010-01-20,127.26
2010-01-21,127.26
2010-01-22,125.63
2010-01-25,122.1
2010-01-26,120.56
2010-01-27,121.03
2010-01-28,124.43
2010-01-29,129.71
2010-02-01,123.21
2010-02-02,118.79
2010-02-03,117.11
2010-02-04,118.57
2010-02-05,115.93
2010-02-08,119.71
2010-02-09,118.22
2010-02-10,118.0
2010-02-11,117.21
2010-02-12,119.0
2010-02-16,120.05
2010-02-17,117.06
2010-02-18,115.8386
2010-02-19,117.9
2010-02-22,117.37
2010-02-23,117.9
2010-02-24,117.95
2010-02-25,118.17
2010-02-26,117.92
2010-03-01,118.61
2010-03-02,125.0
2010-03-03,125.33
2010-03-04,125.69
2010-03-05,129.07
2010-03-08,128.3
2010-03-09,129.69
2010-03-10,129.11
2010-03-11,130.44
2010-03-12,134.13
2010-03-15,131.7
2010-03-16,131.24
2010-03-17,132.14
2010-03-18,131.09
2010-03-19,133.63
2010-03-22,130.12
2010-03-23,130.89
2010-03-24,128.7
2010-03-25,129.34
2010-03-26,134.895
2010-03-29,135.37
2010-03-30,135.74
2010-03-31,136.0
2010-04-01,135.8
2010-04-05,132.76
2010-04-06,131.22
2010-04-07,135.96
2010-04-08,134.71
2010-04-09,140.72
2010-04-12,139.98
2010-04-13,141.23
2010-04-14,140.34
2010-04-15,144.55
2010-04-16,144.9
2010-04-19,142.15
2010-04-20,143.79
2010-04-21,145.03
2010-04-22,147.2
2010-04-23,145.39
2010-04-26,143.2
2010-04-27,145.55
2010-04-28,142.59
2010-04-29,140.1
2010-04-30,141.51
2010-05-03,137.48
2010-05-04,135.81
2010-05-05,128.11
2010-05-06,130.0
2010-05-07,127.95
2010-05-10,129.83
2010-05-11,129.95
2010-05-12,131.41
2010-05-13,133.87
2010-05-14,130.35
2010-05-17,128.24
2010-05-18,130.14
2010-05-19,125.51
2010-05-20,122.64
2010-05-21,117.79
2010-05-24,122.57
2010-05-25,118.56
2010-05-26,125.05
2010-05-27,124.93
2010-05-28,126.05
2010-06-01,124.84
2010-06-02,124.03
2010-06-03,126.25
2010-06-04,126.33
2010-06-07,125.84
2010-06-08,122.04
2010-06-09,120.31
2010-06-10,119.87
2010-06-11,121.39
2010-06-14,124.24
2010-06-15,123.18
2010-06-16,125.4
2010-06-17,126.74
2010-06-18,126.04
2010-06-21,126.79
2010-06-22,122.64
2010-06-23,122.17
2010-06-24,120.65
2010-06-25,118.14
2010-06-28,118.89
2010-06-29,116.29
2010-06-30,108.58
2010-07-01,108.9
2010-07-02,110.45
2010-07-06,110.65
2010-07-07,109.84
2010-07-08,115.02
2010-07-09,116.55
2010-07-12,117.89
2010-07-13,120.69
2010-07-14,123.0
2010-07-15,120.13
2010-07-16,121.48
2010-07-19,118.4
2010-07-20,120.64
2010-07-21,120.63
2010-07-22,118.71
2010-07-23,105.94
2010-07-26,118.26
2010-07-27,118.43
2010-07-28,117.0
2010-07-29,117.99
2010-07-30,115.53
2010-08-02,119.36
2010-08-03,119.97
2010-08-04,123.06
2010-08-05,126.69
2010-08-06,126.72
2010-08-09,128.2
2010-08-10,127.78
2010-08-11,128.1
2010-08-12,123.81
2010-08-13,126.06
2010-08-16,123.62
2010-08-17,127.34
2010-08-18,129.25
2010-08-19,129.26
2010-08-20,127.2
2010-08-23,128.05
2010-08-24,125.43
2010-08-25,123.85
2010-08-26,127.22
2010-08-27,125.49
2010-08-30,126.03
2010-08-31,122.86
2010-09-01,126.47
2010-09-02,132.17
2010-09-03,136.86
2010-09-07,137.56
2010-09-08,137.93
2010-09-09,140.06
2010-09-10,140.73
2010-09-13,144.15
2010-09-14,144.48
2010-09-15,144.88
2010-09-16,145.2
2010-09-17,148.9
2010-09-20,148.69
2010-09-21,150.76
2010-09-22,149.73
2010-09-23,151.2
2010-09-24,155.48
2010-09-27,160.22
2010-09-28,159.82
2010-09-29,159.03
2010-09-30,160.16
2010-10-01,156.95
2010-10-04,153.95
2010-10-05,157.07
2010-10-06,160.5
