dt,open
2010-01-04,19.46
2010-01-05,19.18
2010-01-06,19.57
2010-01-07,20.25
2010-01-08,20.58
2010-01-11,20.82
2010-01-12,20.26
2010-01-13,20.05
2010-01-14,19.94
2010-01-15,19.42
2010-01-19,19.32
2010-01-20,19.12
2010-01-21,19.17
2010-01-22,18.63
2010-01-25,18.59
2010-01-26,18.53
2010-01-27,18.45
2010-01-28,18.33
2010-01-29,18.12
2010-02-01,18.07
2010-02-02,18.19
2010-02-03,18.53
2010-02-04,18.27
2010-02-05,17.61
2010-02-08,17.62
2010-02-09,17.85
2010-02-10,18.05
2010-02-11,18.05
2010-02-12,17.56
2010-02-16,17.83
2010-02-17,18.23
2010-02-18,18.52
2010-02-19,18.46
2010-02-22,18.45
2010-02-23,18.28
2010-02-24,18.15
2010-02-25,17.81
2010-02-26,17.94
2010-03-01,17.78
2010-03-02,18.25
2010-03-03,18.12
2010-03-04,18.02
2010-03-05,18.54
2010-03-08,18.79
2010-03-09,18.96
2010-03-10,18.93
2010-03-11,18.9
2010-03-12,18.86
2010-03-15,18.5
2010-03-16,18.3
2010-03-17,18.43
2010-03-18,18.49
2010-03-19,18.41
2010-03-22,18.41
2010-03-23,19.0
2010-03-24,19.67
2010-03-25,19.35
2010-03-26,19.0
2010-03-29,19.14
2010-03-30,18.95
2010-03-31,18.91
2010-04-01,18.47
2010-04-05,18.2
2010-04-06,18.64
2010-04-07,18.68
2010-04-08,18.63
2010-04-09,18.52
2010-04-12,18.33
2010-04-13,18.36
2010-04-14,18.54
2010-04-15,19.37
2010-04-16,19.49
2010-04-19,19.04
2010-04-20,19.37
2010-04-21,19.61
2010-04-22,20.73
2010-04-23,20.64
2010-04-26,21.1
2010-04-27,20.99
2010-04-28,20.66
2010-04-29,20.44
2010-04-30,20.57
2010-05-03,20.26
2010-05-04,20.25
2010-05-05,19.96
2010-05-06,19.97
2010-05-07,19.21
2010-05-10,19.91
2010-05-11,19.89
2010-05-12,20.45
2010-05-13,20.84
2010-05-14,19.84
2010-05-17,19.52
2010-05-18,19.62
2010-05-19,19.0
2010-05-20,18.78
2010-05-21,18.11
2010-05-24,19.3
2010-05-25,18.68
2010-05-26,19.36
2010-05-27,19.58
2010-05-28,19.95
2010-06-01,19.72
2010-06-02,19.7
2010-06-03,21.47
2010-06-04,20.7
2010-06-07,20.89
2010-06-08,19.9
2010-06-09,20.53
2010-06-10,20.94
2010-06-11,20.9
2010-06-14,21.48
2010-06-15,21.55
2010-06-16,21.25
2010-06-17,21.56
2010-06-18,21.06
2010-06-21,21.33
2010-06-22,20.67
2010-06-23,20.35
2010-06-24,20.41
2010-06-25,19.93
2010-06-28,20.21
2010-06-29,19.64
2010-06-30,19.42
2010-07-01,19.44
2010-07-02,19.45
2010-07-06,19.34
2010-07-07,18.33
2010-07-08,19.18
2010-07-09,19.24
2010-07-12,19.31
2010-07-13,19.48
2010-07-14,19.62
2010-07-15,19.87
2010-07-16,20.2
2010-07-19,20.1
2010-07-20,19.76
2010-07-21,21.77
2010-07-22,22.19
2010-07-23,22.34
2010-07-26,23.34
2010-07-27,24.65
2010-07-28,24.24
2010-07-29,24.09
2010-07-30,24.02
2010-08-02,24.88
2010-08-03,24.45
2010-08-04,23.72
2010-08-05,24.44
2010-08-06,24.3
2010-08-09,24.6
2010-08-10,24.54
2010-08-11,23.51
2010-08-12,22.52
2010-08-13,23.02
2010-08-16,22.52
2010-08-17,23.02
2010-08-18,23.31
2010-08-19,23.73
2010-08-20,23.18
2010-08-23,23.55
2010-08-24,22.88
2010-08-25,23.26
2010-08-26,23.67
2010-08-27,23.15
2010-08-30,23.09
2010-08-31,22.62
2010-09-01,22.88
2010-09-02,23.39
2010-09-03,24.06
2010-09-07,24.46
2010-09-08,23.92
2010-09-09,24.21
2010-09-10,23.47
2010-09-13,23.65
2010-09-14,23.48
2010-09-15,23.48
2010-09-16,23.44
2010-09-17,23.41
2010-09-20,23.47
2010-09-21,23.72
2010-09-22,23.12
2010-09-23,22.86
2010-09-24,23.47
2010-09-27,23.75
2010-09-28,23.26
2010-09-29,23.17
2010-09-30,23.3
2010-10-01,23.47
2010-10-04,23.6
2010-10-05,23.76
2010-10-06,23.69
2010-10-07,23.25
2010-10-08,23.36
2010-10-11,23.25
2010-10-12,22.7
2010-10-13,22.97
2010-10-14,23.08
2010-10-15,23.53
2010-10-18,23.78
2010-10-19,23.56
2010-10-20,23.54
2010-10-21,23.97
2010-10-22,23.79
2010-10-25,24.02
2010-10-26,23.96
2010-10-27,24.45
2010-10-28,23.76
2010-10-29,22.62
2010-11-01,23.39
2010-11-02,23.74
2010-11-03,23.96
2010-11-04,25.0
2010-11-05,25.75
2010-11-08,26.32
2010-11-09,26.57
2010-11-10,26.26
2010-11-11,26.64
2010-11-12,26.46
2010-11-15,26.58
2010-11-16,26.12
2010-11-17,25.79
2010-11-18,26.25
2010-11-19,25.86
2010-11-22,25.95
2010-11-23,25.79
2010-11-24,26.15
2010-11-26,26.08
2010-11-29,25.85
2010-11-30,25.67
2010-12-01,26.55
2010-12-02,26.68
2010-12-03,26.76
2010-12-06,26.87
2010-12-07,26.93
2010-12-08,26.31
2010-12-09,26.39
2010-12-10,26.39
2010-12-13,26.65
2010-12-14,26.65
2010-12-15,26.92
2010-12-16,27.06
2010-12-17,27.21
2010-12-20,27.4
2010-12-21,27.5
2010-12-22,27.73
2010-12-23,27.99
2010-12-27,28.07
2010-12-28,28.08
2010-12-29,28.02
2010-12-30,28.33
2010-12-31,28.42
2011-01-03,28.46
2011-01-04,28.47
2011-01-05,27.89
2011-01-06,28.15
2011-01-07,27.56
2011-01-10,27.55
2011-01-11,28.53
2011-01-12,28.4
2011-01-13,28.25
2011-01-14,28.17
2011-01-18,28.29
2011-01-19,28.25
2011-01-20,28.41
2011-01-21,29.03
2011-01-24,28.76
2011-01-25,29.07
2011-01-26,29.5
2011-01-27,29.62
2011-01-28,29.76
2011-01-31,28.75
2011-02-01,28.93
2011-02-02,29.08
2011-02-03,30.02
2011-02-04,31.27
2011-02-07,30.75
2011-02-08,31.61
2011-02-09,33.14
2011-02-10,33.43
2011-02-11,33.07
2011-02-14,33.85
2011-02-15,33.5
2011-02-16,33.43
2011-02-17,34.75
2011-02-18,34.14
2011-02-22,34.03
2011-02-23,33.23
2011-02-24,32.1
2011-02-25,32.71
2011-02-28,33.79
2011-03-01,33.78
2011-03-02,32.63
2011-03-03,33.16
2011-03-04,32.97
2011-03-07,32.82
2011-03-08,32.38
2011-03-09,33.09
2011-03-10,33.01
2011-03-11,32.09
2011-03-14,33.19
2011-03-15,32.1
2011-03-16,33.17
2011-03-17,33.5
2011-03-18,33.43
2011-03-21,33.62
2011-03-22,33.24
2011-03-23,32.94
2011-03-24,33.59
2011-03-25,34.21
2011-03-28,34.66
2011-03-29,34.33
2011-03-30,34.94
2011-03-31,35.74
2011-04-01,35.65
2011-04-04,35.65
2011-04-05,34.51
2011-04-06,35.03
2011-04-07,35.14
2011-04-08,35.88
2011-04-11,34.86
2011-04-12,33.71
2011-04-13,33.22
2011-04-14,32.24
