dt,open
2010-01-04,22.89
2010-01-05,22.67
2010-01-06,22.8
2010-01-07,22.8
2010-01-08,22.8
2010-01-11,23.11
2010-01-12,22.94
2010-01-13,22.67
2010-01-14,23.22
2010-01-15,23.6
2010-01-19,23.32
2010-01-20,23.5
2010-01-21,23.5
2010-01-22,23.38
2010-01-25,22.74
2010-01-26,22.53
2010-01-27,22.61
2010-01-28,22.79
2010-01-29,22.52
2010-02-01,22.1
2010-02-02,21.84
2010-02-03,21.97
2010-02-04,21.91
2010-02-05,21.58
2010-02-08,21.73
2010-02-09,21.82
2010-02-10,21.64
2010-02-11,21.69
2010-02-12,21.42
2010-02-16,21.65
2010-02-17,22.24
2010-02-18,22.15
2010-02-19,22.52
2010-02-22,22.55
2010-02-23,22.31
2010-02-24,22.28
2010-02-25,22.12
2010-02-26,22.17
2010-03-01,22.59
2010-03-02,22.81
2010-03-03,22.75
2010-03-04,22.66
2010-03-05,22.46
2010-03-08,22.82
2010-03-09,22.71
2010-03-10,22.68
2010-03-11,22.6
2010-03-12,22.65
2010-03-15,22.93
2010-03-16,23.0
2010-03-17,23.33
2010-03-18,23.54
2010-03-19,23.75
2010-03-22,23.4
2010-03-23,23.59
2010-03-24,23.66
2010-03-25,23.73
2010-03-26,23.58
2010-03-29,23.32
2010-03-30,23.48
2010-03-31,23.39
2010-04-01,23.51
2010-04-05,23.39
2010-04-06,23.11
2010-04-07,23.29
2010-04-08,22.55
2010-04-09,22.83
2010-04-12,23.0
2010-04-13,23.05
2010-04-14,22.93
2010-04-15,23.2
2010-04-16,22.99
2010-04-19,22.83
2010-04-20,22.86
2010-04-21,23.28
2010-04-22,23.37
2010-04-23,23.59
2010-04-26,23.5
2010-04-27,23.61
2010-04-28,23.29
2010-04-29,23.23
2010-04-30,23.29
2010-05-03,22.74
2010-05-04,22.66
2010-05-05,22.11
2010-05-06,21.815
2010-05-07,21.0
2010-05-10,21.03
2010-05-11,20.99
2010-05-12,21.47
2010-05-13,21.67
2010-05-14,20.65
2010-05-17,20.52
2010-05-18,20.9
2010-05-19,20.51
2010-05-20,20.08
2010-05-21,19.4625
2010-05-24,19.76
2010-05-25,19.37
2010-05-26,19.63
2010-05-27,20.09
2010-05-28,20.11
2010-06-01,20.09
2010-06-02,19.34
2010-06-03,19.8
2010-06-04,19.95
2010-06-07,19.48
2010-06-08,19.07
2010-06-09,19.2
2010-06-10,19.24
2010-06-11,19.42
2010-06-14,19.78
2010-06-15,19.67
2010-06-16,20.15
2010-06-17,20.36
2010-06-18,20.21
2010-06-21,20.3
2010-06-22,19.99
2010-06-23,19.68
2010-06-24,19.47
2010-06-25,19.29
2010-06-28,19.5
2010-06-29,19.02
2010-06-30,18.65
2010-07-01,18.4
2010-07-02,18.02
2010-07-06,18.14
2010-07-07,18.12
2010-07-08,18.67
2010-07-09,18.5
2010-07-12,18.74
2010-07-13,19.1
2010-07-14,19.45
2010-07-15,19.35
2010-07-16,19.42
2010-07-19,19.07
2010-07-20,19.07
2010-07-21,19.38
2010-07-22,18.81
2010-07-23,19.32
2010-07-26,19.34
2010-07-27,19.74
2010-07-28,19.81
2010-07-29,19.72
2010-07-30,19.24
2010-08-02,19.73
2010-08-03,19.9
2010-08-04,19.79
2010-08-05,19.76
2010-08-06,19.59
2010-08-09,19.93
2010-08-10,19.66
2010-08-11,19.12
2010-08-12,18.37
2010-08-13,18.21
2010-08-16,18.18
2010-08-17,18.49
2010-08-18,18.6
2010-08-19,18.58
2010-08-20,18.26
2010-08-23,18.42
2010-08-24,18.23
2010-08-25,18.08
2010-08-26,18.19
2010-08-27,18.25
2010-08-30,18.17
2010-08-31,17.9
2010-09-01,18.24
2010-09-02,18.56
2010-09-03,18.85
2010-09-07,19.01
2010-09-08,19.12
2010-09-09,19.5
2010-09-10,19.43
2010-09-13,19.89
2010-09-14,20.04
2010-09-15,19.83
2010-09-16,20.16
2010-09-17,20.34
2010-09-20,20.59
2010-09-21,20.94
2010-09-22,20.76
2010-09-23,20.48
2010-09-24,20.84
2010-09-27,21.21
2010-09-28,21.03
2010-09-29,21.08
2010-09-30,21.46
2010-10-01,21.29
2010-10-04,21.26
2010-10-05,21.57
2010-10-06,21.53
2010-10-07,21.44
2010-10-08,21.65
2010-10-11,21.93
2010-10-12,21.68
2010-10-13,21.8
2010-10-14,21.93
2010-10-15,22.17
2010-10-18,22.11
2010-10-19,21.94
2010-10-20,21.85
2010-10-21,21.88
2010-10-22,22.26
2010-10-25,23.0
2010-10-26,22.7
2010-10-27,22.73
2010-10-28,23.1
2010-10-29,22.8
2010-11-01,23.3
2010-11-02,23.36
2010-11-03,23.35
2010-11-04,23.49
2010-11-05,23.56
2010-11-08,23.39
2010-11-09,23.64
2010-11-10,23.65
2010-11-11,23.35
2010-11-12,23.16
2010-11-15,23.19
2010-11-16,23.23
2010-11-17,22.73
2010-11-18,23.13
2010-11-19,23.37
2010-11-22,22.93
2010-11-23,23.16
2010-11-24,23.39
2010-11-26,23.46
2010-11-29,23.03
2010-11-30,22.94
2010-12-01,23.32
2010-12-02,23.78
2010-12-03,23.97
2010-12-06,24.11
2010-12-07,24.4
2010-12-08,24.01
2010-12-09,24.01
2010-12-10,24.07
2010-12-13,24.2
2010-12-14,24.3
2010-12-15,24.39
2010-12-16,24.4
2010-12-17,24.84
2010-12-20,25.05
2010-12-21,24.93
2010-12-22,24.75
2010-12-23,24.58
