dt,open
2010-01-04,49.49
2010-01-05,49.52
2010-01-06,48.44
2010-01-07,48.9
2010-01-08,49.41
2010-01-11,49.03
2010-01-12,49.44
2010-01-13,49.64
2010-01-14,49.79
2010-01-15,49.93
2010-01-19,50.46
2010-01-20,50.09
2010-01-21,49.63
2010-01-22,48.68
2010-01-25,48.79
2010-01-26,50.26
2010-01-27,49.69
2010-01-28,50.5
2010-01-29,49.91
2010-02-01,50.17
2010-02-02,49.44
2010-02-03,49.5
2010-02-04,49.02
2010-02-05,48.25
2010-02-08,48.44
2010-02-09,48.11
2010-02-10,48.62
2010-02-11,48.48
2010-02-12,48.2
2010-02-16,49.32
2010-02-17,49.99
2010-02-18,50.0
2010-02-19,50.71
2010-02-22,51.54
2010-02-23,50.81
2010-02-24,51.0
2010-02-25,50.53
2010-02-26,50.82
2010-03-01,50.5
2010-03-02,51.25
2010-03-03,51.21
2010-03-04,51.27
2010-03-05,51.55
2010-03-08,51.56
2010-03-09,51.58
2010-03-10,51.63
2010-03-11,50.9
2010-03-12,51.64
2010-03-15,50.51
2010-03-16,50.36
2010-03-17,50.33
2010-03-18,50.66
2010-03-19,51.33
2010-03-22,51.34
2010-03-23,51.69
2010-03-24,51.73
2010-03-25,52.24
2010-03-26,51.98
2010-03-29,52.39
2010-03-30,52.53
2010-03-31,51.85
2010-04-01,52.21
2010-04-05,52.1
2010-04-06,51.67
2010-04-07,51.22
2010-04-08,51.29
2010-04-09,51.69
2010-04-12,51.85
2010-04-13,51.43
2010-04-14,51.95
2010-04-15,52.65
2010-04-16,52.48
2010-04-19,51.53
2010-04-20,52.47
2010-04-21,52.77
2010-04-22,52.02
2010-04-23,52.99
2010-04-26,53.77
2010-04-27,52.81
2010-04-28,51.97
2010-04-29,53.26
2010-04-30,53.29
2010-05-03,53.17
2010-05-04,52.3
2010-05-05,51.27
2010-05-06,51.77
2010-05-07,50.48
2010-05-10,51.61
2010-05-11,51.19
2010-05-12,51.65
2010-05-13,51.98
2010-05-14,51.48
2010-05-17,51.43
2010-05-18,52.42
2010-05-19,51.06
2010-05-20,50.38
2010-05-21,48.6
2010-05-24,50.46
2010-05-25,48.95
2010-05-26,50.08
2010-05-27,49.72
2010-05-28,50.69
2010-06-01,49.94
2010-06-02,49.43
2010-06-03,50.59
2010-06-04,49.83
2010-06-07,49.58
2010-06-08,49.28
2010-06-09,50.44
2010-06-10,50.23
2010-06-11,50.91
2010-06-14,52.23
2010-06-15,51.75
2010-06-16,52.32
2010-06-17,52.59
2010-06-18,53.0
2010-06-21,53.44
2010-06-22,52.78
2010-06-23,51.71
2010-06-24,51.59
2010-06-25,51.81
2010-06-28,52.55
2010-06-29,51.3
2010-06-30,50.42
2010-07-01,50.21
2010-07-02,49.97
2010-07-06,49.78
2010-07-07,49.4
2010-07-08,50.85
2010-07-09,51.36
2010-07-12,51.91
2010-07-13,52.43
2010-07-14,52.22
2010-07-15,52.87
2010-07-16,52.57
2010-07-19,51.69
2010-07-20,51.28
2010-07-21,52.64
