dt,open
2010-09-14,38.0
2010-09-15,34.06
2010-09-16,34.1
2010-09-17,34.75
2010-09-20,34.5
2010-09-21,33.64
2010-09-22,34.0
2010-09-23,33.03
2010-09-24,33.57
2010-09-27,33.49
2010-09-28,33.44
2010-09-29,33.49
2010-09-30,33.01
2010-10-01,33.5
2010-10-04,33.75
2010-10-05,32.97
2010-10-06,32.41
2010-10-07,32.5
2010-10-08,32.5
2010-10-11,32.5
2010-10-12,32.82
2010-10-13,33.0
2010-10-14,32.5
2010-10-15,33.3
2010-10-18,33.17
2010-10-19,32.75
2010-10-20,33.18
2010-10-21,33.0
2010-10-22,33.0
2010-10-25,33.02
2010-10-26,32.92
2010-10-27,32.51
2010-10-28,32.47
2010-10-29,32.61
2010-11-01,33.35
2010-11-02,32.61
2010-11-03,31.76
2010-11-04,34.0
2010-11-05,35.9
2010-11-08,35.76
2010-11-09,35.88
2010-11-10,35.95
2010-11-11,36.35
2010-11-12,35.95
2010-11-15,35.96
2010-11-16,35.87
2010-11-17,36.0
2010-11-18,36.09
2010-11-19,36.0
2010-11-22,35.42
2010-11-23,35.07
2010-11-24,34.53
2010-11-26,34.81
2010-11-29,34.53
2010-11-30,34.0
2010-12-01,33.96
2010-12-02,32.95
2010-12-03,33.92
2010-12-06,34.8
2010-12-07,35.43
2010-12-08,35.7
2010-12-09,35.96
2010-12-10,36.31
2010-12-13,36.56
2010-12-14,36.78
2010-12-15,36.82
2010-12-16,37.94
2010-12-17,37.73
2010-12-20,38.83
2010-12-21,38.04
2010-12-22,38.23
2010-12-23,38.5
2010-12-27,37.86
2010-12-28,38.41
2010-12-29,38.23
2010-12-30,38.21
2010-12-31,38.12
2011-01-03,39.08
2011-01-04,38.49
2011-01-05,38.54
2011-01-06,39.59
2011-01-07,39.26
2011-01-10,38.92
2011-01-11,39.3
2011-01-12,39.1
2011-01-13,40.0
2011-01-14,40.05
2011-01-18,40.91
2011-01-19,41.12
2011-01-20,41.5
2011-01-21,41.21
2011-01-24,41.2
2011-01-25,41.2394
2011-01-26,41.27
2011-01-27,42.31
2011-01-28,42.2299
2011-01-31,42.24
2011-02-01,41.93
2011-02-02,41.83
2011-02-03,41.59
2011-02-04,42.11
2011-02-07,42.0
2011-02-08,42.24
2011-02-09,43.96
2011-02-10,45.41
2011-02-11,46.06
