dt,open
2010-01-04,16.75
2010-01-05,16.9
2010-01-06,16.73
2010-01-07,16.73
2010-01-08,16.93
2010-01-11,16.9
2010-01-12,16.75
2010-01-13,16.62
2010-01-14,16.82
2010-01-15,16.74
2010-01-19,16.75
2010-01-20,16.55
2010-01-21,16.52
2010-01-22,16.01
2010-01-25,15.93
2010-01-26,15.91
2010-01-27,15.65
2010-01-28,15.97
2010-01-29,15.75
2010-02-01,16.08
2010-02-02,15.86
2010-02-03,16.54
2010-02-04,15.8
2010-02-05,15.51
2010-02-08,15.45
2010-02-09,15.38
2010-02-10,15.44
2010-02-11,15.26
2010-02-12,15.15
2010-02-16,15.52
2010-02-17,15.77
2010-02-18,15.7
2010-02-19,15.63
2010-02-22,16.1
2010-02-23,16.1
2010-02-24,16.27
2010-02-25,16.16
2010-02-26,16.21
2010-03-01,16.5
2010-03-02,16.83
2010-03-03,16.89
2010-03-04,17.0
2010-03-05,17.18
2010-03-08,17.36
2010-03-09,17.57
2010-03-10,17.42
2010-03-11,17.44
2010-03-12,17.64
2010-03-15,17.34
2010-03-16,17.72
2010-03-17,17.4
2010-03-18,17.68
2010-03-19,17.85
2010-03-22,17.4
2010-03-23,17.82
2010-03-24,17.95
2010-03-25,18.24
2010-03-26,18.47
2010-03-29,18.31
2010-03-30,18.41
2010-03-31,18.79
2010-04-01,18.83
2010-04-05,18.79
2010-04-06,18.58
2010-04-07,18.68
2010-04-08,18.2
2010-04-09,18.48
2010-04-12,18.51
2010-04-13,18.61
2010-04-14,18.61
2010-04-15,18.76
2010-04-16,18.84
2010-04-19,18.29
2010-04-20,18.62
2010-04-21,18.53
2010-04-22,18.41
2010-04-23,18.71
2010-04-26,18.88
2010-04-27,18.98
2010-04-28,19.03
2010-04-29,18.86
2010-04-30,19.8
2010-05-03,19.77
2010-05-04,20.21
2010-05-05,20.09
2010-05-06,19.46
2010-05-07,18.4
2010-05-10,18.73
2010-05-11,17.9
2010-05-12,18.04
2010-05-13,18.24
2010-05-14,17.78
2010-05-17,17.6275
2010-05-18,18.23
2010-05-19,17.68
2010-05-20,17.27
2010-05-21,16.47
2010-05-24,16.9
2010-05-25,16.41
2010-05-26,17.72
2010-05-27,17.99
2010-05-28,18.04
2010-06-01,17.74
2010-06-02,18.09
2010-06-03,18.34
2010-06-04,18.08
2010-06-07,17.8
2010-06-08,17.37
2010-06-09,17.52
2010-06-10,17.71
2010-06-11,17.92
2010-06-14,18.32
2010-06-15,18.35
2010-06-16,18.62
2010-06-17,18.45
2010-06-18,18.69
2010-06-21,18.66
2010-06-22,18.41
2010-06-23,18.23
2010-06-24,18.02
2010-06-25,17.83
2010-06-28,17.71
2010-06-29,17.91
2010-06-30,17.74
2010-07-01,17.3
2010-07-02,17.67
2010-07-06,17.6
2010-07-07,17.79
2010-07-08,17.96
2010-07-09,17.89
2010-07-12,17.92
2010-07-13,18.69
2010-07-14,19.02
2010-07-15,19.02
2010-07-16,19.31
2010-07-19,18.47
2010-07-20,18.78
2010-07-21,18.84
2010-07-22,18.47
2010-07-23,18.95
2010-07-26,19.32
2010-07-27,19.46
2010-07-28,19.12
2010-07-29,19.62
2010-07-30,18.95
2010-08-02,19.74
2010-08-03,19.41
2010-08-04,19.35
2010-08-05,19.1
2010-08-06,18.74
2010-08-09,18.75
2010-08-10,18.48
2010-08-11,18.37
2010-08-12,17.75
2010-08-13,17.99
2010-08-16,17.75
2010-08-17,17.88
2010-08-18,17.8
2010-08-19,17.93
2010-08-20,17.76
2010-08-23,17.98
2010-08-24,17.29
2010-08-25,16.81
2010-08-26,17.38
2010-08-27,17.18
2010-08-30,17.16
2010-08-31,16.91
2010-09-01,17.56
2010-09-02,18.05
2010-09-03,18.23
2010-09-07,18.16
2010-09-08,17.83
2010-09-09,18.15
2010-09-10,17.96
2010-09-13,18.52
2010-09-14,18.36
2010-09-15,17.68
2010-09-16,18.03
2010-09-17,17.67
2010-09-20,17.83
2010-09-21,18.07
2010-09-22,18.27
2010-09-23,17.77
2010-09-24,18.2
2010-09-27,18.49
2010-09-28,18.4
2010-09-29,18.31
2010-09-30,18.13
2010-10-01,18.28
2010-10-04,17.74
2010-10-05,17.86
2010-10-06,18.01
2010-10-07,17.85
2010-10-08,17.87
2010-10-11,17.92
2010-10-12,17.93
2010-10-13,18.07
2010-10-14,18.12
2010-10-15,18.49
2010-10-18,18.82
2010-10-19,18.83
2010-10-20,19.28
2010-10-21,19.42
2010-10-22,19.49
2010-10-25,19.49
2010-10-26,19.61
2010-10-27,19.52
2010-10-28,20.47
2010-10-29,20.83
2010-11-01,20.57
2010-11-02,20.65
2010-11-03,20.69
2010-11-04,20.88
2010-11-05,21.1
2010-11-08,20.93
2010-11-09,20.92
2010-11-10,20.76
2010-11-11,20.48
2010-11-12,20.46
2010-11-15,20.49
2010-11-16,20.32
2010-11-17,20.24
2010-11-18,20.52
2010-11-19,20.54
2010-11-22,20.35
2010-11-23,20.19
2010-11-24,20.28
2010-11-26,20.2
2010-11-29,19.97
2010-11-30,19.88
2010-12-01,20.25
2010-12-02,20.82
2010-12-03,20.67
2010-12-06,20.62
2010-12-07,20.83
2010-12-08,20.78
2010-12-09,20.88
2010-12-10,20.96
2010-12-13,21.35
2010-12-14,21.59
2010-12-15,22.01
2010-12-16,21.63
2010-12-17,21.61
2010-12-20,21.57
2010-12-21,22.01
2010-12-22,22.28
2010-12-23,22.16
2010-12-27,22.16
2010-12-28,22.15
2010-12-29,22.09
2010-12-30,21.91
2010-12-31,22.04
2011-01-03,22.17
2011-01-04,22.27
2011-01-05,22.29
2011-01-06,22.66
2011-01-07,22.83
2011-01-10,22.56
2011-01-11,22.78
2011-01-12,22.73
2011-01-13,22.49
2011-01-14,22.42
2011-01-18,22.76
2011-01-19,22.97
2011-01-20,23.01
2011-01-21,23.26
2011-01-24,23.5
2011-01-25,23.49
2011-01-26,23.29
2011-01-27,23.3
2011-01-28,23.31
2011-01-31,22.79
2011-02-01,22.9
2011-02-02,23.28
2011-02-03,23.05
2011-02-04,23.16
2011-02-07,23.24
2011-02-08,23.48
2011-02-09,23.7
2011-02-10,23.4
2011-02-11,23.65
2011-02-14,23.92
2011-02-15,23.78
2011-02-16,24.95
2011-02-17,25.06
2011-02-18,25.18
2011-02-22,25.36
2011-02-23,25.14
2011-02-24,24.87
2011-02-25,24.99
2011-02-28,25.34
2011-03-01,25.76
2011-03-02,25.26
2011-03-03,25.22
2011-03-04,25.68
2011-03-07,25.68
2011-03-08,25.42
