dt,open
2016-12-13,15.05
2016-12-14,15.9
2016-12-15,15.25
2016-12-16,14.6
2016-12-19,15.0
2016-12-20,15.01
2016-12-21,14.75
2016-12-22,14.51
2016-12-23,14.4
2016-12-27,14.7323
2016-12-28,14.75
2016-12-29,14.85
2016-12-30,15.0
2017-01-03,14.845
2017-01-04,13.8
2017-01-05,13.65
2017-01-06,14.19
2017-01-09,14.32
2017-01-10,13.87
2017-01-11,13.55
2017-01-12,13.14
2017-01-13,14.21
2017-01-17,13.8
2017-01-18,14.25
2017-01-19,14.4
2017-01-20,14.58
2017-01-23,14.37
2017-01-24,14.6
2017-01-25,14.55
2017-01-26,14.91
2017-01-27,15.1
2017-01-30,14.88
2017-01-31,14.94
2017-02-01,14.98
2017-02-02,14.68
2017-02-03,14.69
2017-02-06,14.84
2017-02-07,14.64
2017-02-08,14.5
2017-02-09,14.3
2017-02-10,14.55
2017-02-13,14.64
2017-02-14,14.66
2017-02-15,15.11
2017-02-16,15.15
2017-02-17,14.98
2017-02-21,15.0
2017-02-22,15.26
2017-02-23,16.49
2017-02-24,17.07
2017-02-27,16.7
2017-02-28,16.6
2017-03-01,16.23
2017-03-02,16.34
2017-03-03,15.99
2017-03-06,15.9
2017-03-07,15.7
2017-03-08,15.51
2017-03-09,15.54
2017-03-10,15.45
2017-03-13,15.62
2017-03-14,15.8
2017-03-15,15.95
2017-03-16,16.05
2017-03-17,15.82
2017-03-20,15.75
2017-03-21,16.06
2017-03-22,15.89
2017-03-23,16.06
2017-03-24,15.91
2017-03-27,15.68
2017-03-28,15.83
2017-03-29,15.93
2017-03-30,16.33
2017-03-31,16.77
2017-04-03,16.78
2017-04-04,16.4
2017-04-05,16.36
2017-04-06,16.22
2017-04-07,16.25
2017-04-10,16.38
2017-04-11,16.3
2017-04-12,16.08
2017-04-13,15.94
2017-04-17,15.88
2017-04-18,16.04
2017-04-19,15.82
2017-04-20,16.0
2017-04-21,15.99
2017-04-24,16.24
2017-04-25,15.96
2017-04-26,16.1
2017-04-27,16.34
2017-04-28,16.46
2017-05-01,16.32
2017-05-02,16.47
2017-05-03,16.31
2017-05-04,16.95
2017-05-05,17.25
2017-05-08,17.64
2017-05-09,17.75
2017-05-10,17.07
2017-05-11,16.94
2017-05-12,16.71
2017-05-15,16.86
