dt,open
2010-01-04,24.11
2010-01-05,24.65
2010-01-06,24.54
2010-01-07,24.31
2010-01-08,24.38
2010-01-11,24.65
2010-01-12,24.44
2010-01-13,24.28
2010-01-14,24.56
2010-01-15,24.99
2010-01-19,24.54
2010-01-20,24.62
2010-01-21,24.47
2010-01-22,23.85
2010-01-25,23.1
2010-01-26,22.8
2010-01-27,22.89
2010-01-28,23.18
2010-01-29,22.96
2010-02-01,22.65
2010-02-02,22.82
2010-02-03,23.17
2010-02-04,23.42
2010-02-05,23.3
2010-02-08,23.78
2010-02-09,23.8
2010-02-10,23.86
2010-02-11,23.68
2010-02-12,23.72
2010-02-16,23.95
2010-02-17,23.98
2010-02-18,24.05
2010-02-19,24.14
2010-02-22,24.37
2010-02-23,24.16
2010-02-24,24.1
2010-02-25,23.95
2010-02-26,24.37
2010-03-01,24.33
2010-03-02,24.67
2010-03-03,24.68
2010-03-04,24.84
2010-03-05,25.0
2010-03-08,25.31
2010-03-09,26.33
2010-03-10,25.85
2010-03-11,25.79
2010-03-12,26.0
2010-03-15,25.75
2010-03-16,26.05
2010-03-17,26.2
2010-03-18,26.24
2010-03-19,26.39
2010-03-22,25.92
2010-03-23,26.19
2010-03-24,26.54
2010-03-25,26.65
2010-03-26,26.44
2010-03-29,26.6
2010-03-30,26.62
2010-03-31,26.52
2010-04-01,26.21
2010-04-05,25.87
2010-04-06,26.15
2010-04-07,26.11
2010-04-08,26.27
2010-04-09,26.28
2010-04-12,26.57
2010-04-13,26.44
2010-04-14,26.63
2010-04-15,27.0
2010-04-16,27.11
2010-04-19,26.95
2010-04-20,27.2
2010-04-21,27.17
2010-04-22,27.07
2010-04-23,27.37
2010-04-26,27.58
2010-04-27,27.41
2010-04-28,27.11
2010-04-29,27.17
2010-04-30,27.65
2010-05-03,27.04
2010-05-04,27.24
2010-05-05,26.3
2010-05-06,26.41
2010-05-07,25.41
2010-05-10,26.12
2010-05-11,26.05
2010-05-12,26.22
2010-05-13,26.1
2010-05-14,25.26
2010-05-17,24.96
2010-05-18,25.02
2010-05-19,24.23
2010-05-20,23.56
2010-05-21,22.65
2010-05-24,23.46
2010-05-25,22.74
2010-05-26,23.56
2010-05-27,23.38
2010-05-28,23.52
2010-06-01,22.95
2010-06-02,23.08
2010-06-03,23.49
2010-06-04,23.33
2010-06-07,23.02
2010-06-08,22.9
2010-06-09,23.02
2010-06-10,23.0
2010-06-11,22.54
2010-06-14,23.1
2010-06-15,22.82
2010-06-16,23.11
2010-06-17,23.49
2010-06-18,23.27
2010-06-21,23.84
2010-06-22,23.3
2010-06-23,23.11
2010-06-24,22.7
2010-06-25,22.59
2010-06-28,22.33
2010-06-29,22.16
2010-06-30,21.56
2010-07-01,21.26
2010-07-02,21.18
2010-07-06,21.43
2010-07-07,21.51
2010-07-08,22.65
2010-07-09,22.59
2010-07-12,22.61
2010-07-13,23.03
2010-07-14,23.43
2010-07-15,23.7
2010-07-16,23.86
2010-07-19,22.86
2010-07-20,22.28
2010-07-21,23.04
2010-07-22,22.79
2010-07-23,23.2
2010-07-26,23.27
2010-07-27,23.69
2010-07-28,23.29
2010-07-29,23.55
2010-07-30,23.02
2010-08-02,23.4328
2010-08-03,23.84
2010-08-04,23.78
2010-08-05,24.06
2010-08-06,23.92
2010-08-09,24.17
2010-08-10,24.47
2010-08-11,23.86
2010-08-12,21.42
2010-08-13,21.51
2010-08-16,21.24
2010-08-17,22.08
2010-08-18,22.04
2010-08-19,22.33
2010-08-20,22.2
2010-08-23,22.47
2010-08-24,21.43
2010-08-25,20.99
2010-08-26,21.18
2010-08-27,20.87
2010-08-30,20.81
2010-08-31,20.13
2010-09-01,20.35
2010-09-02,20.44
2010-09-03,20.97
2010-09-07,20.9
2010-09-08,20.69
2010-09-09,20.96
2010-09-10,20.61
2010-09-13,20.92
2010-09-14,21.35
2010-09-15,21.54
2010-09-16,21.58
2010-09-17,22.05
2010-09-20,21.97
2010-09-21,21.78
2010-09-22,21.67
2010-09-23,21.54
2010-09-24,21.84
2010-09-27,22.03
2010-09-28,21.98
2010-09-29,21.67
2010-09-30,22.02
2010-10-01,22.12
2010-10-04,21.8
2010-10-05,22.0
2010-10-06,22.03
2010-10-07,22.47
2010-10-08,22.37
2010-10-11,22.48
2010-10-12,22.35
2010-10-13,22.91
2010-10-14,23.26
2010-10-15,23.25
2010-10-18,23.37
2010-10-19,23.1
2010-10-20,22.94
2010-10-21,23.49
2010-10-22,23.25
2010-10-25,23.63
2010-10-26,23.49
2010-10-27,23.25
2010-10-28,23.45
2010-10-29,23.13
2010-11-01,22.95
2010-11-02,23.16
2010-11-03,23.29
2010-11-04,23.92
2010-11-05,24.27
2010-11-08,24.33
2010-11-09,24.51
2010-11-10,24.3
2010-11-11,20.47
2010-11-12,20.62
2010-11-15,20.35
2010-11-16,19.89
2010-11-17,19.63
2010-11-18,19.73
2010-11-19,19.83
2010-11-22,19.65
2010-11-23,19.43
2010-11-24,19.34
2010-11-26,19.47
2010-11-29,19.48
2010-11-30,19.24
2010-12-01,19.34
2010-12-02,19.36
2010-12-03,19.16
2010-12-06,19.31
2010-12-07,19.7
2010-12-08,19.36
2010-12-09,19.49
2010-12-10,19.74
2010-12-13,19.85
2010-12-14,19.65
2010-12-15,19.58
2010-12-16,19.42
2010-12-17,19.71
2010-12-20,19.58
2010-12-21,19.64
2010-12-22,19.54
2010-12-23,19.54
2010-12-27,19.85
2010-12-28,20.37
2010-12-29,20.5
2010-12-30,20.32
2010-12-31,20.24
2011-01-03,20.46
2011-01-04,20.5
2011-01-05,20.58
2011-01-06,20.91
2011-01-07,20.86
2011-01-10,20.94
2011-01-11,20.9
2011-01-12,21.0
2011-01-13,21.18
2011-01-14,21.14
2011-01-18,21.22
2011-01-19,21.32
2011-01-20,20.6
2011-01-21,20.96
2011-01-24,20.83
2011-01-25,21.15
2011-01-26,21.49
2011-01-27,21.37
2011-01-28,21.48
2011-01-31,20.91
2011-02-01,21.27
2011-02-02,21.52
2011-02-03,21.7
2011-02-04,21.91
2011-02-07,22.1
2011-02-08,21.95
2011-02-09,21.93
2011-02-10,19.65
2011-02-11,19.1
2011-02-14,18.84
2011-02-15,18.89
2011-02-16,18.76
2011-02-17,18.62
2011-02-18,18.74
2011-02-22,18.73
2011-02-23,18.56
2011-02-24,18.39
2011-02-25,18.51
2011-02-28,18.64
2011-03-01,18.67
2011-03-02,18.5
2011-03-03,18.63
2011-03-04,18.52
2011-03-07,18.34
2011-03-08,18.17
2011-03-09,18.1
2011-03-10,18.03
2011-03-11,17.81
2011-03-14,17.81
2011-03-15,17.31
2011-03-16,17.3
2011-03-17,17.12
2011-03-18,17.36
2011-03-21,17.34
2011-03-22,17.42
2011-03-23,17.43
2011-03-24,17.62
2011-03-25,17.38
2011-03-28,17.35
2011-03-29,17.22
2011-03-30,17.58
2011-03-31,17.33
2011-04-01,17.29
2011-04-04,17.01
2011-04-05,17.15
2011-04-06,17.43
2011-04-07,18.16
2011-04-08,17.97
2011-04-11,17.71
2011-04-12,17.5
2011-04-13,17.49
2011-04-14,17.15
2011-04-15,17.19
2011-04-18,16.87
2011-04-19,16.65
2011-04-20,16.89
2011-04-21,16.95
2011-04-25,16.94
2011-04-26,17.2
2011-04-27,17.62
2011-04-28,17.19
2011-04-29,17.32
2011-05-02,17.51
2011-05-03,17.53
2011-05-04,17.37
2011-05-05,17.49
2011-05-06,17.65
2011-05-09,17.54
2011-05-10,17.65
2011-05-11,17.82
2011-05-12,16.97
2011-05-13,16.87
2011-05-16,16.82
2011-05-17,16.5
2011-05-18,16.64
2011-05-19,16.75
2011-05-20,16.66
2011-05-23,16.42
2011-05-24,16.41
2011-05-25,16.16
2011-05-26,16.17
2011-05-27,16.24
2011-05-31,16.61
2011-06-01,16.76
2011-06-02,16.29
2011-06-03,16.14
2011-06-06,16.03
2011-06-07,16.04
2011-06-08,15.41
2011-06-09,15.33
2011-06-10,15.31
2011-06-13,15.17
2011-06-14,15.11
2011-06-15,14.95
2011-06-16,14.84
2011-06-17,15.18
2011-06-20,14.95
2011-06-21,15.2
2011-06-22,15.48
2011-06-23,15.22
2011-06-24,15.42
2011-06-27,14.95
2011-06-28,15.09
2011-06-29,15.2
