dt,open
2015-11-16,30.5
2015-11-17,32.19
2015-11-18,33.0
2015-11-19,33.19
2015-11-20,32.99
2015-11-23,32.5
2015-11-24,32.78
2015-11-25,32.01
2015-11-27,29.11
2015-11-30,29.39
2015-12-01,31.52
2015-12-02,30.07
2015-12-03,30.8
2015-12-04,28.81
2015-12-07,29.0
2015-12-08,28.16
2015-12-09,27.91
2015-12-10,27.77
2015-12-11,28.17
2015-12-14,28.94
2015-12-15,28.32
2015-12-16,27.76
2015-12-17,27.42
2015-12-18,26.43
2015-12-21,27.84
2015-12-22,27.18
2015-12-23,27.12
2015-12-24,26.79
2015-12-28,27.99
2015-12-29,29.54
2015-12-30,29.54
2015-12-31,29.62
2016-01-04,29.57
2016-01-05,29.0
2016-01-06,28.06
2016-01-07,27.66
2016-01-08,27.71
2016-01-11,27.82
2016-01-12,28.09
2016-01-13,29.08
2016-01-14,28.98
2016-01-15,28.54
2016-01-19,28.56
2016-01-20,28.48
2016-01-21,28.07
2016-01-22,27.1
2016-01-25,27.65
2016-01-26,26.54
2016-01-27,26.81
2016-01-28,26.08
2016-01-29,26.08
2016-02-01,26.74
2016-02-02,26.46
2016-02-03,26.58
2016-02-04,26.19
2016-02-05,25.71
2016-02-08,24.24
2016-02-09,22.2
2016-02-10,22.29
2016-02-11,25.25
2016-02-12,24.95
2016-02-16,25.99
2016-02-17,25.6
2016-02-18,25.65
2016-02-19,25.88
2016-02-22,26.59
2016-02-23,26.56
2016-02-24,26.53
2016-02-25,26.1
2016-02-26,26.59
2016-02-29,26.44
2016-03-01,26.37
2016-03-02,25.71
2016-03-03,25.77
2016-03-04,26.3
2016-03-07,25.76
2016-03-08,25.96
2016-03-09,26.0
2016-03-10,25.21
2016-03-11,24.94
2016-03-14,24.86
2016-03-15,24.97
2016-03-16,24.99
2016-03-17,24.72
2016-03-18,24.94
2016-03-21,24.62
2016-03-22,24.45
2016-03-23,23.66
2016-03-24,24.03
2016-03-28,24.39
2016-03-29,25.92
2016-03-30,26.75
2016-03-31,27.14
2016-04-01,26.56
2016-04-04,27.32
2016-04-05,26.69
2016-04-06,26.45
2016-04-07,26.3
2016-04-08,25.91
2016-04-11,25.83
2016-04-12,26.18
2016-04-13,26.23
2016-04-14,26.47
2016-04-15,26.91
2016-04-18,27.15
2016-04-19,27.18
2016-04-20,27.12
2016-04-21,26.4
2016-04-22,26.53
2016-04-25,26.6
2016-04-26,26.95
2016-04-27,26.53
2016-04-28,26.51
2016-04-29,26.49
2016-05-02,25.94
2016-05-03,25.89
2016-05-04,25.27
2016-05-05,25.49
2016-05-06,25.09
2016-05-09,25.82
2016-05-10,26.32
2016-05-11,25.95
2016-05-12,25.07
2016-05-13,24.24
2016-05-16,24.37
2016-05-17,24.42
2016-05-18,24.18
2016-05-19,24.3
2016-05-20,24.65
2016-05-23,25.06
2016-05-24,24.9
2016-05-25,25.35
2016-05-26,25.9
2016-05-27,24.02
2016-05-31,24.91
2016-06-01,24.77
2016-06-02,25.16
2016-06-03,25.56
2016-06-06,25.26
2016-06-07,24.91
2016-06-08,24.72
2016-06-09,24.5
2016-06-10,23.52
2016-06-13,24.11
2016-06-14,23.76
2016-06-15,23.54
2016-06-16,23.07
2016-06-17,23.05
2016-06-20,22.76
2016-06-21,22.97
2016-06-22,23.7
2016-06-23,24.64
2016-06-24,23.75
2016-06-27,23.19
2016-06-28,22.35
2016-06-29,22.44
2016-06-30,22.7
2016-07-01,23.26
2016-07-05,23.37
2016-07-06,23.1
2016-07-07,23.62
2016-07-08,23.93
2016-07-11,23.97
2016-07-12,24.5
2016-07-13,25.3
2016-07-14,25.2
2016-07-15,24.89
2016-07-18,24.59
2016-07-19,25.0
2016-07-20,25.01
2016-07-21,25.03
2016-07-22,25.21
2016-07-25,25.59
2016-07-26,25.96
2016-07-27,26.64
2016-07-28,26.92
2016-07-29,27.05
2016-08-01,26.93
2016-08-02,26.46
2016-08-03,25.85
2016-08-04,26.06
2016-08-05,25.89
2016-08-08,26.3
2016-08-09,25.89
2016-08-10,25.8
2016-08-11,27.0
2016-08-12,26.26
2016-08-15,26.08
2016-08-16,26.13
2016-08-17,25.23
2016-08-18,25.15
2016-08-19,25.12
2016-08-22,25.53
2016-08-23,25.5
2016-08-24,26.09
2016-08-25,25.59
2016-08-26,25.91
2016-08-29,25.62
2016-08-30,25.52
2016-08-31,25.47
2016-09-01,25.58
2016-09-02,26.19
2016-09-06,26.5
2016-09-07,26.04
