dt,open
2010-01-04,26.12
2010-01-05,26.43
2010-01-06,26.21
2010-01-07,26.25
2010-01-08,26.41
2010-01-11,26.33
2010-01-12,26.04
2010-01-13,26.31
2010-01-14,26.83
2010-01-15,27.33
2010-01-19,26.85
2010-01-20,27.03
2010-01-21,27.22
2010-01-22,26.3
2010-01-25,26.15
2010-01-26,26.5
2010-01-27,25.97
2010-01-28,25.85
2010-01-29,26.11
2010-02-01,25.865
2010-02-02,26.49
2010-02-03,26.92
2010-02-04,26.3
2010-02-05,25.56
2010-02-08,25.33
2010-02-09,25.39
2010-02-10,21.8
2010-02-11,22.36
2010-02-12,22.16
2010-02-16,22.54
2010-02-17,22.3
2010-02-18,22.51
2010-02-19,22.78
2010-02-22,23.2
2010-02-23,22.97
2010-02-24,22.61
2010-02-25,22.29
2010-02-26,23.52
2010-03-01,24.14
2010-03-02,24.71
2010-03-03,24.32
2010-03-04,24.14
2010-03-05,24.18
2010-03-08,24.09
2010-03-09,23.81
2010-03-10,24.08
2010-03-11,23.87
2010-03-12,23.88
2010-03-15,23.93
2010-03-16,24.09
2010-03-17,23.9
2010-03-18,23.75
2010-03-19,23.82
2010-03-22,23.26
2010-03-23,23.53
2010-03-24,23.32
2010-03-25,23.86
2010-03-26,23.68
2010-03-29,23.76
2010-03-30,23.83
2010-03-31,23.82
2010-04-01,24.25
2010-04-05,24.51
2010-04-06,25.11
2010-04-07,25.29
2010-04-08,24.85
2010-04-09,25.23
2010-04-12,25.52
2010-04-13,25.86
2010-04-14,25.33
2010-04-15,26.15
2010-04-16,26.05
2010-04-19,25.55
2010-04-20,25.7
2010-04-21,25.76
2010-04-22,25.74
2010-04-23,26.24
2010-04-26,26.16
2010-04-27,26.83
2010-04-28,26.62
2010-04-29,26.56
2010-04-30,27.48
2010-05-03,27.48
2010-05-04,27.37
2010-05-05,26.99
2010-05-06,26.26
2010-05-07,24.85
2010-05-10,25.88
2010-05-11,23.81
2010-05-12,24.51
2010-05-13,24.97
2010-05-14,24.52
2010-05-17,24.41
2010-05-18,24.99
2010-05-19,24.0
2010-05-20,23.4
2010-05-21,21.67
2010-05-24,22.95
2010-05-25,22.27
2010-05-26,24.12
2010-05-27,24.83
2010-05-28,24.99
2010-06-01,24.64
2010-06-02,24.69
2010-06-03,25.1
2010-06-04,24.95
2010-06-07,24.88
2010-06-08,23.6
2010-06-09,23.35
2010-06-10,22.69
2010-06-11,23.04
2010-06-14,22.61
2010-06-15,24.73
2010-06-16,25.08
2010-06-17,25.33
2010-06-18,25.56
2010-06-21,25.5
2010-06-22,25.06
2010-06-23,24.84
2010-06-24,24.18
2010-06-25,24.2
2010-06-28,24.09
2010-06-29,24.35
2010-06-30,23.73
2010-07-01,23.96
2010-07-02,24.28
2010-07-06,24.36
