dt,open
2010-01-04,30.72
2010-01-05,30.64
2010-01-06,32.5
2010-01-07,32.53
2010-01-08,32.59
2010-01-11,32.85
2010-01-12,32.6
2010-01-13,31.75
2010-01-14,31.77
2010-01-15,32.58
2010-01-19,32.26
2010-01-20,32.17
2010-01-21,32.02
2010-01-22,31.74
2010-01-25,31.23
2010-01-26,31.05
2010-01-27,30.6
2010-01-28,30.15
2010-01-29,30.44
2010-02-01,29.74
2010-02-02,29.73
2010-02-03,29.26
2010-02-04,29.13
2010-02-05,28.56
2010-02-08,28.21
2010-02-09,28.65
2010-02-10,28.23
2010-02-11,28.1
2010-02-12,27.98
2010-02-16,28.59
2010-02-17,30.82
2010-02-18,31.22
2010-02-19,31.54
2010-02-22,32.25
2010-02-23,31.42
2010-02-24,32.25
2010-02-25,31.83
2010-02-26,31.58
2010-03-01,31.09
2010-03-02,31.05
2010-03-03,31.01
2010-03-04,30.58
2010-03-05,31.36
2010-03-08,31.55
2010-03-09,31.85
2010-03-10,32.14
2010-03-11,32.07
2010-03-12,32.32
2010-03-15,32.48
2010-03-16,32.65
2010-03-17,32.4
2010-03-18,32.68
2010-03-19,32.75
2010-03-22,32.46
2010-03-23,33.24
2010-03-24,33.09
2010-03-25,33.59
2010-03-26,33.76
2010-03-29,33.8
2010-03-30,33.47
2010-03-31,33.95
2010-04-01,33.86
2010-04-05,33.8
2010-04-06,33.97
2010-04-07,34.49
2010-04-08,34.09
2010-04-09,34.09
2010-04-12,34.84
2010-04-13,34.71
2010-04-14,34.87
2010-04-15,35.39
2010-04-16,35.01
2010-04-19,35.2
2010-04-20,35.44
2010-04-21,36.06
2010-04-22,36.37
2010-04-23,36.68
2010-04-26,37.36
2010-04-27,36.75
2010-04-28,36.21
2010-04-29,36.59
2010-04-30,37.75
2010-05-03,39.0
2010-05-04,39.08
2010-05-05,38.42
2010-05-06,37.29
2010-05-07,36.49
2010-05-10,36.4
2010-05-11,37.77
2010-05-12,38.18
2010-05-13,38.77
2010-05-14,37.98
2010-05-17,37.7
2010-05-18,37.51
2010-05-19,36.73
2010-05-20,36.39
2010-05-21,35.19
2010-05-24,36.24
2010-05-25,35.37
2010-05-26,36.63
2010-05-27,37.84
2010-05-28,38.49
2010-06-01,37.23
2010-06-02,37.33
2010-06-03,38.91
2010-06-04,38.3
2010-06-07,36.91
2010-06-08,36.06
2010-06-09,35.89
2010-06-10,36.52
2010-06-11,37.53
2010-06-14,38.68
2010-06-15,38.75
2010-06-16,39.48
2010-06-17,39.14
2010-06-18,39.46
2010-06-21,39.7
2010-06-22,39.41
2010-06-23,38.92
2010-06-24,38.39
2010-06-25,37.3
2010-06-28,37.43
2010-06-29,37.01
2010-06-30,35.58
2010-07-01,35.61
2010-07-02,36.16
2010-07-06,35.82
2010-07-07,35.83
2010-07-08,36.51
2010-07-09,36.25
2010-07-12,36.01
2010-07-13,36.23
2010-07-14,36.39
2010-07-15,36.56
2010-07-16,36.14
2010-07-19,34.93
2010-07-20,34.85
2010-07-21,35.91
2010-07-22,35.3
2010-07-23,35.99
2010-07-26,37.1
2010-07-27,38.35
2010-07-28,37.9
2010-07-29,38.2
2010-07-30,37.62
2010-08-02,39.33
2010-08-03,39.27
2010-08-04,38.54
2010-08-05,38.0
2010-08-06,37.74
2010-08-09,38.23
2010-08-10,38.01
2010-08-11,38.0
2010-08-12,37.5
2010-08-13,37.13
2010-08-16,37.0
2010-08-17,37.23
2010-08-18,37.67
2010-08-19,37.78
2010-08-20,37.19
2010-08-23,38.12
2010-08-24,37.53
2010-08-25,36.56
2010-08-26,36.9
2010-08-27,37.51
2010-08-30,37.92
2010-08-31,37.55
2010-09-01,38.24
2010-09-02,39.06
2010-09-03,39.87
2010-09-07,39.43
2010-09-08,39.24
2010-09-09,39.6
2010-09-10,39.14
2010-09-13,39.84
2010-09-14,39.84
2010-09-15,40.69
2010-09-16,41.57
2010-09-17,41.89
2010-09-20,42.24
2010-09-21,43.52
2010-09-22,43.28
2010-09-23,42.25
2010-09-24,43.02
2010-09-27,43.5
2010-09-28,43.65
2010-09-29,43.51
2010-09-30,43.93
2010-10-01,43.8
2010-10-04,43.1
2010-10-05,42.97
2010-10-06,44.11
2010-10-07,43.57
2010-10-08,43.93
2010-10-11,43.4
2010-10-12,43.16
2010-10-13,43.69
2010-10-14,43.4
2010-10-15,43.67
