dt,open
2010-01-04,12.27
2010-01-05,12.18
2010-01-06,12.3
2010-01-07,12.48
2010-01-08,12.71
2010-01-11,13.12
2010-01-12,13.05
2010-01-13,12.89
2010-01-14,13.04
2010-01-15,12.88
2010-01-19,12.67
2010-01-20,12.85
2010-01-21,13.02
2010-01-22,12.55
2010-01-25,12.33
2010-01-26,12.0
2010-01-27,11.95
2010-01-28,11.88
2010-01-29,11.49
2010-02-01,11.41
2010-02-02,11.38
2010-02-03,11.53
2010-02-04,11.35
2010-02-05,10.94
2010-02-08,11.21
2010-02-09,11.06
2010-02-10,10.55
2010-02-11,10.46
2010-02-12,10.36
2010-02-16,10.82
2010-02-17,10.99
2010-02-18,10.96
2010-02-19,11.02
2010-02-22,11.22
2010-02-23,11.16
2010-02-24,11.14
2010-02-25,11.04
2010-02-26,11.17
2010-03-01,11.15
2010-03-02,11.18
2010-03-03,11.03
2010-03-04,11.02
2010-03-05,11.3
2010-03-08,11.44
2010-03-09,11.75
2010-03-10,11.8
2010-03-11,11.87
2010-03-12,12.11
2010-03-15,12.0
2010-03-16,11.91
2010-03-17,12.26
2010-03-18,12.47
2010-03-19,12.48
2010-03-22,12.17
2010-03-23,12.59
2010-03-24,12.38
2010-03-25,12.73
2010-03-26,12.75
2010-03-29,12.75
2010-03-30,12.64
2010-03-31,12.59
2010-04-01,12.49
2010-04-05,12.54
2010-04-06,12.72
2010-04-07,13.11
2010-04-08,12.92
2010-04-09,13.07
2010-04-12,13.35
2010-04-13,13.36
2010-04-14,13.84
2010-04-15,13.49
2010-04-16,13.24
2010-04-19,12.66
2010-04-20,12.88
2010-04-21,13.11
2010-04-22,13.21
2010-04-23,13.55
2010-04-26,13.73
2010-04-27,13.84
2010-04-28,13.42
2010-04-29,13.44
2010-04-30,13.98
2010-05-03,13.62
2010-05-04,13.5
2010-05-05,13.27
2010-05-06,13.26
2010-05-07,12.92
2010-05-10,13.44
2010-05-11,13.31
2010-05-12,13.84
2010-05-13,14.22
2010-05-14,13.75
2010-05-17,13.27
2010-05-18,13.48
2010-05-19,12.42
2010-05-20,12.04
2010-05-21,11.24
2010-05-24,11.72
2010-05-25,10.97
2010-05-26,11.48
2010-05-27,11.73
2010-05-28,12.08
2010-06-01,11.72
2010-06-02,11.67
2010-06-03,11.92
2010-06-04,11.63
2010-06-07,11.4
2010-06-08,11.25
2010-06-09,11.49
2010-06-10,11.82
2010-06-11,11.99
2010-06-14,12.41
2010-06-15,12.31
2010-06-16,12.56
2010-06-17,11.91
2010-06-18,12.22
2010-06-21,12.48
2010-06-22,12.3
2010-06-23,11.86
2010-06-24,11.84
2010-06-25,11.64
2010-06-28,11.97
2010-06-29,11.56
2010-06-30,11.36
2010-07-01,11.41
2010-07-02,11.33
2010-07-06,11.05
2010-07-07,10.43
2010-07-08,10.87
2010-07-09,10.6
2010-07-12,10.63
2010-07-13,10.77
2010-07-14,10.86
2010-07-15,10.84
2010-07-16,10.77
2010-07-19,10.7
2010-07-20,10.71
2010-07-21,11.33
2010-07-22,11.0
2010-07-23,11.35
2010-07-26,11.37
2010-07-27,12.0
2010-07-28,11.96
2010-07-29,12.16
2010-07-30,11.81
2010-08-02,12.23
2010-08-03,12.48
2010-08-04,12.45
2010-08-05,12.24
2010-08-06,12.02
2010-08-09,12.28
2010-08-10,12.17
2010-08-11,11.7
2010-08-12,11.41
2010-08-13,11.0
2010-08-16,11.09
2010-08-17,11.41
2010-08-18,11.51
2010-08-19,11.27
2010-08-20,10.9
2010-08-23,11.17
2010-08-24,10.86
2010-08-25,10.83
2010-08-26,11.22
2010-08-27,11.24
2010-08-30,11.43
2010-08-31,11.2
2010-09-01,11.43
2010-09-02,11.72
2010-09-03,12.03
2010-09-07,11.89
2010-09-08,11.9
2010-09-09,12.01
2010-09-10,11.81
2010-09-13,11.97
2010-09-14,12.18
2010-09-15,12.03
2010-09-16,12.07
2010-09-17,11.98
2010-09-20,12.1
2010-09-21,12.35
2010-09-22,12.12
2010-09-23,11.7
2010-09-24,11.82
2010-09-27,11.83
2010-09-28,11.73
2010-09-29,11.62
2010-09-30,11.69
2010-10-01,11.74
2010-10-04,11.67
2010-10-05,11.8
2010-10-06,11.8
2010-10-07,12.06
2010-10-08,12.04
2010-10-11,12.08
2010-10-12,12.05
2010-10-13,12.11
2010-10-14,12.05
2010-10-15,12.17
2010-10-18,12.0
2010-10-19,11.89
2010-10-20,12.02
2010-10-21,12.31
2010-10-22,12.19
2010-10-25,12.44
2010-10-26,12.29
2010-10-27,12.0
2010-10-28,12.12
2010-10-29,12.29
2010-11-01,12.57
2010-11-02,12.69
2010-11-03,12.58
2010-11-04,12.52
2010-11-05,12.68
2010-11-08,12.84
2010-11-09,12.88
2010-11-10,12.35
2010-11-11,12.11
2010-11-12,11.95
2010-11-15,11.83
2010-11-16,11.5
2010-11-17,11.2
2010-11-18,11.35
2010-11-19,11.21
2010-11-22,11.09
2010-11-23,11.01
2010-11-24,11.11
2010-11-26,11.23
2010-11-29,11.24
2010-11-30,11.25
2010-12-01,11.32
2010-12-02,11.42
2010-12-03,11.47
2010-12-06,11.4
2010-12-07,11.43
2010-12-08,11.17
2010-12-09,11.04
2010-12-10,10.87
2010-12-13,11.11
2010-12-14,11.12
2010-12-15,11.04
2010-12-16,10.94
2010-12-17,11.05
2010-12-20,11.0
2010-12-21,11.73
2010-12-22,11.87
2010-12-23,12.18
2010-12-27,12.13
2010-12-28,12.28
2010-12-29,12.32
2010-12-30,12.3
2010-12-31,12.34
2011-01-03,12.55
2011-01-04,12.8
2011-01-05,12.49
2011-01-06,12.76
2011-01-07,12.75
2011-01-10,12.83
2011-01-11,12.92
2011-01-12,13.09
2011-01-13,13.03
2011-01-14,13.01
2011-01-18,13.25
2011-01-19,13.25
2011-01-20,13.05
2011-01-21,13.24
2011-01-24,13.23
2011-01-25,13.24
2011-01-26,13.29
2011-01-27,13.52
2011-01-28,13.81
2011-01-31,13.75
2011-02-01,13.81
2011-02-02,13.62
2011-02-03,13.54
2011-02-04,13.44
2011-02-07,13.34
2011-02-08,13.48
2011-02-09,13.65
2011-02-10,13.58
2011-02-11,13.61
2011-02-14,13.77
2011-02-15,13.67
2011-02-16,13.75
2011-02-17,13.51
2011-02-18,13.65
2011-02-22,13.48
2011-02-23,13.43
2011-02-24,13.22
2011-02-25,13.31
2011-02-28,13.61
2011-03-01,14.1
2011-03-02,13.54
2011-03-03,13.72
2011-03-04,13.7
2011-03-07,13.57
2011-03-08,13.44
2011-03-09,13.77
2011-03-10,13.53
2011-03-11,13.44
2011-03-14,13.63
2011-03-15,13.43
2011-03-16,13.52
2011-03-17,13.45
2011-03-18,13.45
2011-03-21,13.7
2011-03-22,13.74
2011-03-23,13.82
2011-03-24,13.58
2011-03-25,13.59
2011-03-28,13.65
2011-03-29,13.59
2011-03-30,13.7
2011-03-31,13.96
2011-04-01,14.13
2011-04-04,14.17
2011-04-05,14.01
2011-04-06,13.98
2011-04-07,14.03
2011-04-08,13.76
2011-04-11,13.58
2011-04-12,13.6
2011-04-13,13.74
2011-04-14,13.74
2011-04-15,14.12
2011-04-18,14.27
2011-04-19,14.37
2011-04-20,14.72
2011-04-21,14.9
2011-04-25,14.97
2011-04-26,15.11
2011-04-27,15.24
2011-04-28,15.06
2011-04-29,15.32
2011-05-02,15.38
2011-05-03,15.45
2011-05-04,15.08
2011-05-05,14.82
2011-05-06,14.92
2011-05-09,14.67
2011-05-10,14.87
2011-05-11,15.05
2011-05-12,14.74
2011-05-13,14.64
2011-05-16,14.32
2011-05-17,14.36
2011-05-18,14.25
2011-05-19,14.54
2011-05-20,14.46
2011-05-23,14.02
2011-05-24,14.19
2011-05-25,14.21
2011-05-26,14.36
2011-05-27,14.74
2011-05-31,14.98
2011-06-01,14.97
2011-06-02,14.56
2011-06-03,14.19
2011-06-06,14.35
2011-06-07,14.0
2011-06-08,14.15
2011-06-09,14.16
2011-06-10,13.8
2011-06-13,13.45
2011-06-14,13.5
2011-06-15,13.47
2011-06-16,13.35
2011-06-17,13.55
