dt,open
2017-03-16,68.25
2017-03-17,68.21
2017-03-20,67.12
2017-03-21,66.4
2017-03-22,65.35
2017-03-23,67.0
2017-03-24,68.47
2017-03-27,66.5
2017-03-28,68.95
2017-03-29,68.25
2017-03-30,72.3
2017-03-31,70.67
2017-04-03,69.32
2017-04-04,68.5
2017-04-05,69.97
2017-04-06,72.72
2017-04-07,74.4
2017-04-10,75.9
2017-04-11,74.11
2017-04-12,74.04
2017-04-13,75.69
2017-04-17,76.8
2017-04-18,76.7
2017-04-19,76.16
2017-04-20,75.52
2017-04-21,75.72
2017-04-24,76.67
2017-04-25,75.41
2017-04-26,76.33
2017-04-27,76.33
2017-04-28,75.88
2017-05-01,75.38
2017-05-02,76.75
2017-05-03,76.84
2017-05-04,77.88
2017-05-05,77.79
2017-05-08,78.14
2017-05-09,79.89
2017-05-10,79.15
2017-05-11,79.22
2017-05-12,79.45
2017-05-15,79.64
2017-05-16,80.69
2017-05-17,80.03
2017-05-18,78.7
2017-05-19,78.08
2017-05-22,78.1
2017-05-23,78.45
2017-05-24,78.79
2017-05-25,78.54
2017-05-26,79.51
2017-05-30,78.1
2017-05-31,78.23
2017-06-01,77.3
2017-06-02,77.0
2017-06-05,77.35
2017-06-06,77.52
2017-06-07,76.88
2017-06-08,76.8
2017-06-09,75.81
2017-06-12,74.71
2017-06-13,75.42
2017-06-14,76.0
2017-06-15,74.06
2017-06-16,73.63
2017-06-19,75.0
2017-06-20,76.41
2017-06-21,76.0
2017-06-22,76.54
2017-06-23,76.27
2017-06-26,78.05
2017-06-27,78.54
2017-06-28,77.84
2017-06-29,78.19
2017-06-30,78.22
2017-07-03,76.76
2017-07-05,75.95
2017-07-06,76.14
2017-07-07,76.51
2017-07-10,77.36
2017-07-11,77.92
2017-07-12,78.25
2017-07-13,78.68
2017-07-14,78.82
2017-07-17,78.52
2017-07-18,78.24
2017-07-19,78.0
2017-07-20,78.52
2017-07-21,78.53
2017-07-24,80.0
2017-07-25,80.35
2017-07-26,80.06
2017-07-27,80.22
2017-07-28,78.41
2017-07-31,78.54
2017-08-01,78.75
2017-08-02,78.97
2017-08-03,78.37
2017-08-04,78.49
2017-08-07,78.8
2017-08-08,78.46
2017-08-09,79.68
2017-08-10,82.19
2017-08-11,81.46
2017-08-14,82.81
2017-08-15,84.45
2017-08-16,85.36
2017-08-17,85.5
2017-08-18,83.52
2017-08-21,83.37
2017-08-22,83.5
2017-08-23,84.93
2017-08-24,85.5
2017-08-25,85.38
2017-08-28,84.89
2017-08-29,84.31
2017-08-30,84.59
2017-08-31,84.88
2017-09-01,85.15
2017-09-05,84.61
2017-09-06,84.43
2017-09-07,84.26
2017-09-08,84.29
2017-09-11,84.84
2017-09-12,85.57
2017-09-13,85.8
2017-09-14,84.98
2017-09-15,85.78
2017-09-18,85.08
2017-09-19,84.9
2017-09-20,84.76
2017-09-21,84.52
2017-09-22,84.42
2017-09-25,85.33
2017-09-26,84.46
2017-09-27,84.6
2017-09-28,84.5
2017-09-29,84.52
2017-10-02,85.88
2017-10-03,85.37
2017-10-04,85.11
2017-10-05,85.47
2017-10-06,85.87
2017-10-09,87.8
2017-10-10,88.42
2017-10-11,87.83
2017-10-12,92.06
2017-10-13,91.6
2017-10-16,91.11
2017-10-17,91.39
2017-10-18,92.65
2017-10-19,91.0
2017-10-20,91.52
2017-10-23,92.28
2017-10-24,91.4
2017-10-25,91.15
2017-10-26,91.31
2017-10-27,91.04
2017-10-30,91.67
2017-10-31,91.25
2017-11-01,91.99
2017-11-02,91.07
2017-11-03,90.66
2017-11-06,91.16
2017-11-07,92.96
2017-11-08,97.0
2017-11-09,96.6
2017-11-10,94.59
2017-11-13,95.9
2017-11-14,96.7
2017-11-15,95.36
2017-11-16,96.12
2017-11-17,96.89
2017-11-20,97.0
2017-11-21,98.53
2017-11-22,98.94
2017-11-24,98.19
2017-11-27,98.1
2017-11-28,98.0
2017-11-29,98.05
2017-11-30,95.87
2017-12-01,96.1
2017-12-04,95.83
2017-12-05,92.63
2017-12-06,92.93
2017-12-07,93.3
2017-12-08,95.0
2017-12-11,95.78
2017-12-12,95.75
2017-12-13,94.77
2017-12-14,94.95
2017-12-15,94.93
2017-12-18,95.83
2017-12-19,95.75
2017-12-20,95.6
2017-12-21,95.85
2017-12-22,96.06
2017-12-26,95.68
2017-12-27,96.06
2017-12-28,94.75
2017-12-29,95.09
2018-01-02,94.9
2018-01-03,95.48
2018-01-04,97.41
2018-01-05,99.5
2018-01-08,100.59
2018-01-09,100.7
2018-01-10,100.86
2018-01-11,101.52
2018-01-12,101.38
2018-01-16,101.79
2018-01-17,101.4
2018-01-18,100.38
2018-01-19,101.0
2018-01-22,100.75
2018-01-23,101.76
2018-01-24,102.0
2018-01-25,101.52
2018-01-26,102.21
2018-01-29,102.44
2018-01-30,99.84
2018-01-31,100.51
2018-02-01,98.95
2018-02-02,99.09
2018-02-05,98.42
