dt,open
2010-01-04,45.03
2010-01-05,45.12
2010-01-06,44.53
2010-01-07,44.52
2010-01-08,44.73
2010-01-11,45.49
2010-01-12,46.03
2010-01-13,46.31
2010-01-14,46.84
2010-01-15,46.34
2010-01-19,46.16
2010-01-20,46.53
2010-01-21,47.11
2010-01-22,45.68
2010-01-25,45.17
2010-01-26,44.91
2010-01-27,44.72
2010-01-28,44.84
2010-01-29,44.3
2010-02-01,44.07
2010-02-02,44.4
2010-02-03,44.45
2010-02-04,44.14
2010-02-05,43.18
2010-02-08,43.5
2010-02-09,44.02
2010-02-10,43.99
2010-02-11,42.39
2010-02-12,41.15
2010-02-16,42.11
2010-02-17,42.25
2010-02-18,42.3
2010-02-19,42.5
2010-02-22,42.59
2010-02-23,42.01
2010-02-24,41.87
2010-02-25,41.46
2010-02-26,41.98
2010-03-01,42.44
2010-03-02,42.36
2010-03-03,42.21
2010-03-04,42.67
2010-03-05,42.77
2010-03-08,43.09
2010-03-09,42.63
2010-03-10,42.44
2010-03-11,42.38
2010-03-12,42.78
2010-03-15,43.48
2010-03-16,43.46
2010-03-17,43.84
2010-03-18,43.63
2010-03-19,43.19
2010-03-22,43.07
2010-03-23,43.4
2010-03-24,43.34
2010-03-25,43.6
2010-03-26,43.14
2010-03-29,43.54
2010-03-30,43.71
2010-03-31,43.61
2010-04-01,44.1
2010-04-05,44.43
2010-04-06,44.22
2010-04-07,44.55
2010-04-08,44.54
2010-04-09,44.55
2010-04-12,45.0
2010-04-13,45.01
2010-04-14,45.15
2010-04-15,45.2
2010-04-16,45.25
2010-04-19,45.12
2010-04-20,45.7
2010-04-21,45.88
2010-04-22,46.3
2010-04-23,46.84
2010-04-26,47.69
2010-04-27,47.6
2010-04-28,47.22
2010-04-29,47.81
2010-04-30,49.1
2010-05-03,49.34
2010-05-04,49.0
2010-05-05,48.06
2010-05-06,48.38
2010-05-07,47.55
2010-05-10,49.18
2010-05-11,48.55
2010-05-12,48.91
2010-05-13,48.51
2010-05-14,47.72
2010-05-17,47.62
2010-05-18,48.15
2010-05-19,47.58
2010-05-20,46.58
2010-05-21,45.01
2010-05-24,46.5
2010-05-25,45.11
2010-05-26,46.69
2010-05-27,46.83
2010-05-28,47.35
2010-06-01,46.98
2010-06-02,46.94
2010-06-03,47.68
2010-06-04,46.8
2010-06-07,46.04
2010-06-08,45.58
2010-06-09,46.06
2010-06-10,46.09
2010-06-11,46.0
2010-06-14,46.83
2010-06-15,46.13
2010-06-16,47.0
2010-06-17,47.29
2010-06-18,47.41
2010-06-21,47.4
2010-06-22,46.85
2010-06-23,46.58
2010-06-24,46.38
2010-06-25,45.69
2010-06-28,45.825
2010-06-29,44.9
2010-06-30,44.92
2010-07-01,44.8
2010-07-02,45.09
2010-07-06,45.52
2010-07-07,45.34
2010-07-08,47.4
2010-07-09,47.49
2010-07-12,47.72
2010-07-13,47.85
2010-07-14,48.19
2010-07-15,48.23
2010-07-16,48.15
2010-07-19,47.77
2010-07-20,47.74
2010-07-21,49.25
2010-07-22,48.46
2010-07-23,48.41
2010-07-26,49.39
2010-07-27,46.27
2010-07-28,48.33
2010-07-29,49.23
2010-07-30,48.62
2010-08-02,49.33
2010-08-03,49.01
2010-08-04,48.91
2010-08-05,49.29
2010-08-06,49.07
2010-08-09,49.26
