dt,open
2010-01-04,45.73
2010-01-05,45.49
2010-01-06,44.75
2010-01-07,45.34
2010-01-08,44.99
2010-01-11,45.47
2010-01-12,45.76
2010-01-13,45.73
2010-01-14,46.16
2010-01-15,45.92
2010-01-19,45.78
2010-01-20,46.24
2010-01-21,46.26
2010-01-22,44.82
2010-01-25,43.76
2010-01-26,43.58
2010-01-27,43.67
2010-01-28,44.05
2010-01-29,43.88
2010-02-01,43.84
2010-02-02,43.95
2010-02-03,44.02
2010-02-04,43.63
2010-02-05,43.04
2010-02-08,43.23
2010-02-09,43.04
2010-02-10,43.4
2010-02-11,42.98
2010-02-12,42.43
2010-02-16,42.4
2010-02-17,43.11
2010-02-18,42.78
2010-02-19,42.61
2010-02-22,43.14
2010-02-23,42.91
2010-02-24,42.94
2010-02-25,42.5
2010-02-26,42.95
2010-03-01,42.81
2010-03-02,43.4
2010-03-03,43.82
2010-03-04,43.67
2010-03-05,43.25
2010-03-08,43.65
2010-03-09,43.77
2010-03-10,43.78
2010-03-11,43.75
2010-03-12,43.95
2010-03-15,43.89
2010-03-16,44.28
2010-03-17,44.63
2010-03-18,44.58
2010-03-19,44.29
2010-03-22,44.15
2010-03-23,44.42
2010-03-24,44.15
2010-03-25,44.01
2010-03-26,44.02
2010-03-29,44.34
2010-03-30,44.56
2010-03-31,44.59
2010-04-01,44.74
2010-04-05,45.04
2010-04-06,45.01
2010-04-07,45.32
2010-04-08,44.84
2010-04-09,44.61
2010-04-12,45.01
2010-04-13,45.02
2010-04-14,44.61
2010-04-15,44.84
2010-04-16,44.75
2010-04-19,44.36
2010-04-20,44.83
2010-04-21,44.99
2010-04-22,45.02
2010-04-23,45.11
2010-04-26,45.39
2010-04-27,45.21
2010-04-28,44.86
2010-04-29,45.31
2010-04-30,45.27
2010-05-03,45.45
2010-05-04,45.51
2010-05-05,44.87
2010-05-06,44.99
2010-05-07,44.88
2010-05-10,44.76
2010-05-11,44.54
2010-05-12,44.84
2010-05-13,44.87
2010-05-14,44.5
2010-05-17,44.61
2010-05-18,44.74
2010-05-19,44.07
2010-05-20,43.33
2010-05-21,42.58
2010-05-24,42.94
2010-05-25,42.09
2010-05-26,42.74
2010-05-27,42.52
2010-05-28,42.76
2010-06-01,42.35
2010-06-02,42.0
2010-06-03,42.77
2010-06-04,42.48
2010-06-07,41.83
2010-06-08,42.0
2010-06-09,42.69
2010-06-10,42.58
2010-06-11,42.82
2010-06-14,43.35
2010-06-15,43.63
2010-06-16,43.84
2010-06-17,44.4
2010-06-18,44.82
2010-06-21,45.0
2010-06-22,44.69
2010-06-23,43.98
2010-06-24,43.52
2010-06-25,43.83
2010-06-28,44.07
2010-06-29,43.88
2010-06-30,43.33
2010-07-01,43.1
2010-07-02,43.06
2010-07-06,43.39
2010-07-07,43.64
2010-07-08,44.85
2010-07-09,45.18
2010-07-12,45.19
2010-07-13,45.7
2010-07-14,45.42
2010-07-15,45.46
2010-07-16,45.56
2010-07-19,45.24
2010-07-20,45.27
2010-07-21,45.77
