dt,open
2010-01-04,42.46
2010-01-05,41.92
2010-01-06,44.23
2010-01-07,45.33
2010-01-08,46.91
2010-01-11,46.96
2010-01-12,45.75
2010-01-13,46.2
2010-01-14,46.44
2010-01-15,45.5
2010-01-19,43.53
2010-01-20,44.55
2010-01-21,44.27
2010-01-22,43.6
2010-01-25,42.8
2010-01-26,42.53
2010-01-27,41.91
2010-01-28,42.45
2010-01-29,41.62
2010-02-01,41.59
2010-02-02,41.73
2010-02-03,42.76
2010-02-04,42.78
2010-02-05,42.33
2010-02-08,41.97
2010-02-09,42.9
2010-02-10,42.06
2010-02-11,41.3
2010-02-12,41.75
2010-02-16,42.2
2010-02-17,43.06
2010-02-18,43.21
2010-02-19,43.38
2010-02-22,44.0
2010-02-23,44.08
2010-02-24,44.23
2010-02-25,43.38
2010-02-26,44.37
2010-03-01,44.4
2010-03-02,45.0
2010-03-03,45.04
2010-03-04,45.24
2010-03-05,45.12
2010-03-08,45.58
2010-03-09,45.46
2010-03-10,45.17
2010-03-11,45.27
2010-03-12,45.31
2010-03-15,45.52
2010-03-16,45.81
2010-03-17,46.45
2010-03-18,46.92
2010-03-19,47.7
2010-03-22,47.21
2010-03-23,48.5
2010-03-24,48.87
2010-03-25,48.8
2010-03-26,48.07
2010-03-29,48.5
2010-03-30,48.58
2010-03-31,48.4
2010-04-01,48.37
2010-04-05,48.88
2010-04-06,49.64
2010-04-07,49.91
2010-04-08,51.48
2010-04-09,51.09
2010-04-12,51.21
2010-04-13,54.2
2010-04-14,52.99
2010-04-15,53.31
2010-04-16,54.84
2010-04-19,54.21
2010-04-20,54.92
2010-04-21,54.01
2010-04-22,53.97
2010-04-23,55.69
2010-04-26,56.18
2010-04-27,55.96
2010-04-28,54.71
2010-04-29,55.29
2010-04-30,56.2
2010-05-03,54.42
2010-05-04,55.56
2010-05-05,54.17
2010-05-06,53.1
2010-05-07,51.04
2010-05-10,51.53
2010-05-11,52.865
2010-05-12,54.39
2010-05-13,54.93
2010-05-14,54.66
2010-05-17,53.84
2010-05-18,53.99
2010-05-19,52.28
2010-05-20,51.86
2010-05-21,49.38
2010-05-24,49.64
2010-05-25,49.17
2010-05-26,48.92
2010-05-27,50.42
2010-05-28,51.2
2010-06-01,50.21
2010-06-02,49.33
2010-06-03,52.19
2010-06-04,50.59
2010-06-07,49.99
2010-06-08,48.66
2010-06-09,49.23
2010-06-10,49.98
2010-06-11,50.57
2010-06-14,52.4
2010-06-15,52.56
2010-06-16,53.22
2010-06-17,53.88
2010-06-18,54.29
2010-06-21,55.13
2010-06-22,55.32
2010-06-23,52.78
2010-06-24,53.07
2010-06-25,52.12
2010-06-28,52.33
2010-06-29,51.02
2010-06-30,50.19
2010-07-01,50.35
2010-07-02,49.98
2010-07-06,50.04
2010-07-07,48.75
2010-07-08,50.37
2010-07-09,51.37
2010-07-12,52.12
2010-07-13,51.49
2010-07-14,50.67
2010-07-15,50.87
2010-07-16,49.78
2010-07-19,47.84
2010-07-20,47.25
2010-07-21,48.41
2010-07-22,48.15
2010-07-23,48.75
2010-07-26,49.29
2010-07-27,50.0
2010-07-28,49.19
2010-07-29,49.13
2010-07-30,48.36
2010-08-02,49.88
2010-08-03,49.92
2010-08-04,50.44
2010-08-05,50.91
2010-08-06,50.22
2010-08-09,51.35
2010-08-10,51.0
2010-08-11,49.54
2010-08-12,47.81
2010-08-13,48.22
2010-08-16,48.0
2010-08-17,48.31
2010-08-18,49.22
2010-08-19,49.21
2010-08-20,47.63
2010-08-23,48.38
2010-08-24,47.0
2010-08-25,45.82
2010-08-26,46.3
2010-08-27,45.76
2010-08-30,45.69
2010-08-31,45.0
2010-09-01,46.23
2010-09-02,47.05
2010-09-03,49.72
2010-09-07,48.8619
2010-09-08,49.0
2010-09-09,50.19
2010-09-10,50.49
2010-09-13,51.41
2010-09-14,51.39
2010-09-15,51.25
2010-09-16,51.67
2010-09-17,51.48
2010-09-20,51.75
2010-09-21,52.11
2010-09-22,52.14
2010-09-23,51.8
2010-09-24,52.73
2010-09-27,53.36
2010-09-28,53.48
2010-09-29,53.5
2010-09-30,54.18
2010-10-01,53.6
2010-10-04,53.35
2010-10-05,53.46
2010-10-06,53.93
2010-10-07,54.09
2010-10-08,53.85
2010-10-11,54.51
2010-10-12,53.54
2010-10-13,52.36
2010-10-14,52.82
2010-10-15,53.28
2010-10-18,52.02
2010-10-19,51.46
2010-10-20,51.87
2010-10-21,52.55
2010-10-22,53.63
2010-10-25,53.27
2010-10-26,52.34
2010-10-27,52.02
2010-10-28,51.58
2010-10-29,51.29
2010-11-01,51.68
2010-11-02,52.25
2010-11-03,53.12
2010-11-04,53.9
2010-11-05,53.93
2010-11-08,53.39
2010-11-09,53.17
2010-11-10,52.99
2010-11-11,52.91
2010-11-12,53.07
2010-11-15,52.64
2010-11-16,52.24
2010-11-17,51.12
2010-11-18,52.09
2010-11-19,52.1
2010-11-22,52.05
2010-11-23,52.16
2010-11-24,52.97
2010-11-26,53.46
2010-11-29,53.46
2010-11-30,53.71
2010-12-01,54.33
2010-12-02,54.74
2010-12-03,56.83
2010-12-06,57.89
2010-12-07,58.67
2010-12-08,58.45
2010-12-09,58.53
2010-12-10,58.42
2010-12-13,59.32
2010-12-14,59.0
2010-12-15,59.07
2010-12-16,59.07
2010-12-17,59.53
2010-12-20,59.9
2010-12-21,59.9
2010-12-22,59.9
2010-12-23,59.4
2010-12-27,59.12
2010-12-28,59.69
2010-12-29,59.62
2010-12-30,59.92
2010-12-31,60.01
2011-01-03,60.55
2011-01-04,60.74
2011-01-05,59.6
2011-01-06,60.0
2011-01-07,59.6
2011-01-10,58.9
2011-01-11,59.44
2011-01-12,59.92
2011-01-13,58.78
2011-01-14,58.63
2011-01-18,58.92
2011-01-19,59.63
2011-01-20,59.84
2011-01-21,60.07
2011-01-24,59.47
2011-01-25,59.34
2011-01-26,59.22
2011-01-27,59.32
2011-01-28,60.25
2011-01-31,57.83
2011-02-01,58.4
2011-02-02,59.25
2011-02-03,58.74
2011-02-04,60.48
2011-02-07,61.73
2011-02-08,62.14
2011-02-09,62.47
2011-02-10,62.39
2011-02-11,62.67
2011-02-14,63.4
2011-02-15,62.89
2011-02-16,63.65
2011-02-17,62.98
2011-02-18,62.94
2011-02-22,63.08
2011-02-23,62.23
2011-02-24,60.9
2011-02-25,61.24
2011-02-28,61.71
2011-03-01,62.16
2011-03-02,60.53
2011-03-03,61.35
2011-03-04,62.13
2011-03-07,62.3
2011-03-08,61.33
2011-03-09,62.13
2011-03-10,61.86
2011-03-11,61.49
2011-03-14,61.33
2011-03-15,59.41
2011-03-16,60.1
2011-03-17,60.38
2011-03-18,61.28
2011-03-21,61.8
2011-03-22,61.91
2011-03-23,61.63
2011-03-24,62.52
2011-03-25,63.15
2011-03-28,63.16
2011-03-29,63.07
2011-03-30,64.5
2011-03-31,64.33
2011-04-01,65.06
2011-04-04,65.84
2011-04-05,65.83
2011-04-06,67.57
2011-04-07,68.45
2011-04-08,68.21
2011-04-11,67.53
2011-04-12,66.38
2011-04-13,65.0
2011-04-14,64.3
2011-04-15,65.42
2011-04-18,63.75
2011-04-19,64.16
2011-04-20,64.35
2011-04-21,65.17
2011-04-25,65.89
2011-04-26,65.76
2011-04-27,65.98
2011-04-28,67.54
2011-04-29,67.23
2011-05-02,67.14
2011-05-03,66.78
2011-05-04,66.09
2011-05-05,65.91
2011-05-06,66.67
2011-05-09,66.27
2011-05-10,67.14
2011-05-11,67.39
2011-05-12,66.29
2011-05-13,67.1
2011-05-16,66.21
2011-05-17,65.85
2011-05-18,65.66
2011-05-19,66.59
2011-05-20,66.27
2011-05-23,32.4
2011-05-24,32.55
2011-05-25,32.3
2011-05-26,32.72
2011-05-27,32.93
2011-05-31,33.27
2011-06-01,33.11
2011-06-02,31.63
2011-06-03,31.37
2011-06-06,31.21
2011-06-07,31.53
2011-06-08,31.29
2011-06-09,31.34
2011-06-10,31.29
2011-06-13,31.09
2011-06-14,31.58
2011-06-15,31.9
2011-06-16,31.85
2011-06-17,33.12
2011-06-20,32.66
2011-06-21,33.24
2011-06-22,33.8
2011-06-23,33.04
2011-06-24,34.43
2011-06-27,33.32
2011-06-28,34.4
2011-06-29,35.97
2011-06-30,35.91
2011-07-01,36.04
2011-07-05,36.7
2011-07-06,36.6
2011-07-07,36.32
2011-07-08,36.15
2011-07-11,36.2
2011-07-12,35.73
2011-07-13,34.9
2011-07-14,34.72
2011-07-15,34.36
2011-07-18,34.13
2011-07-19,33.96
2011-07-20,34.4
2011-07-21,34.73
2011-07-22,34.43
2011-07-25,34.04
2011-07-26,34.29
2011-07-27,33.68
2011-07-28,33.24
2011-07-29,33.5
2011-08-01,34.08
2011-08-02,32.65
2011-08-03,31.52
2011-08-04,32.09
2011-08-05,31.76
2011-08-08,30.86
2011-08-09,30.18
2011-08-10,30.6
2011-08-11,30.13
2011-08-12,31.97
2011-08-15,32.51
2011-08-16,32.6
2011-08-17,32.65
2011-08-18,31.09
2011-08-19,29.56
2011-08-22,30.48
2011-08-23,30.21
2011-08-24,31.07
2011-08-25,31.9133
2011-08-26,30.89
2011-08-29,32.76
2011-08-30,32.82
2011-08-31,33.65
2011-09-01,33.5
2011-09-02,32.18
2011-09-06,31.1
2011-09-07,32.67
2011-09-08,32.95
2011-09-09,32.35
2011-09-12,31.76
2011-09-13,32.92
2011-09-14,34.47
2011-09-15,35.7
2011-09-16,36.02
2011-09-19,35.91
2011-09-20,36.56
2011-09-21,36.67
2011-09-22,34.66
2011-09-23,34.26
2011-09-26,34.82
2011-09-27,35.7
2011-09-28,35.39
2011-09-29,34.96
2011-09-30,33.83
2011-10-03,32.9
2011-10-04,31.88
2011-10-05,33.45
2011-10-06,33.64
2011-10-07,34.04
2011-10-10,34.28
2011-10-11,34.77
2011-10-12,34.98
2011-10-13,34.38
2011-10-14,33.96
2011-10-17,33.3
2011-10-18,33.5
2011-10-19,34.14
2011-10-20,34.24
2011-10-21,34.91
2011-10-24,35.46
2011-10-25,36.07
2011-10-26,36.28
2011-10-27,37.08
2011-10-28,39.14
2011-10-31,38.04
2011-11-01,37.17
2011-11-02,37.61
2011-11-03,38.59
2011-11-04,39.82
2011-11-07,40.13
2011-11-08,40.17
2011-11-09,39.47
2011-11-10,39.91
2011-11-11,40.7
2011-11-14,40.97
2011-11-15,41.09
2011-11-16,40.97
2011-11-17,40.6
2011-11-18,39.95
2011-11-21,39.72
2011-11-22,39.53
2011-11-23,39.05
2011-11-25,38.35
2011-11-28,39.53
2011-11-29,39.92
2011-11-30,41.28
2011-12-01,41.81
2011-12-02,42.12
2011-12-05,42.35
2011-12-06,42.75
2011-12-07,41.84
2011-12-08,40.92
2011-12-09,41.47
2011-12-12,41.57
2011-12-13,41.32
2011-12-14,40.29
2011-12-15,40.68
2011-12-16,41.18
2011-12-19,42.11
2011-12-20,42.19
2011-12-21,43.25
2011-12-22,43.11
2011-12-23,42.91
2011-12-27,43.56
2011-12-28,43.98
2011-12-29,43.86
2011-12-30,44.23
2012-01-03,44.71
2012-01-04,43.71
2012-01-05,44.3
2012-01-06,45.19
2012-01-09,45.25
2012-01-10,45.51
2012-01-11,45.0
2012-01-12,45.4
2012-01-13,45.68
2012-01-17,47.25
2012-01-18,45.4
2012-01-19,45.8
2012-01-20,45.61
2012-01-23,45.87
2012-01-24,46.08
2012-01-25,46.74
2012-01-26,47.12
2012-01-27,46.66
2012-01-30,46.18
2012-01-31,46.89
2012-02-01,47.2
2012-02-02,47.16
2012-02-03,47.66
2012-02-06,48.18
2012-02-07,47.93
2012-02-08,48.13
2012-02-09,48.9
2012-02-10,47.92
2012-02-13,48.95
2012-02-14,50.53
2012-02-15,51.57
2012-02-16,50.63
2012-02-17,50.81
2012-02-21,50.85
2012-02-22,50.7
2012-02-23,51.09
2012-02-24,52.1
2012-02-27,51.93
2012-02-28,52.62
2012-02-29,52.41
2012-03-01,52.77
2012-03-02,52.91
2012-03-05,53.13
2012-03-06,52.98
