dt,open
2010-01-04,84.21
2010-01-05,83.44
2010-01-06,84.33
2010-01-07,83.85
2010-01-08,84.08
2010-01-11,85.59
2010-01-12,86.44
2010-01-13,86.95
2010-01-14,85.58
2010-01-15,86.34
2010-01-19,84.97
2010-01-20,84.75
2010-01-21,84.35
2010-01-22,81.32
2010-01-25,81.22
2010-01-26,80.46
2010-01-27,80.75
2010-01-28,80.98
2010-01-29,79.68
2010-02-01,78.81
2010-02-02,81.07
2010-02-03,81.66
2010-02-04,81.36
2010-02-05,78.73
2010-02-08,76.82
2010-02-09,77.27
2010-02-10,79.16
2010-02-11,78.38
2010-02-12,78.4
2010-02-16,78.92
2010-02-17,79.9
2010-02-18,79.63
2010-02-19,80.1
2010-02-22,82.25
2010-02-23,82.06
2010-02-24,81.73
2010-02-25,81.54
2010-02-26,83.13
2010-03-01,84.92
2010-03-02,86.44
2010-03-03,85.82
2010-03-04,87.23
2010-03-05,87.37
2010-03-08,87.26
2010-03-09,86.48
2010-03-10,87.01
2010-03-11,86.61
2010-03-12,86.53
2010-03-15,86.2
2010-03-16,88.04
2010-03-17,89.05
2010-03-18,87.84
2010-03-19,92.02
2010-03-22,90.5
2010-03-23,89.66
2010-03-24,91.42
2010-03-25,91.18
2010-03-26,91.19
2010-03-29,91.8
2010-03-30,92.52
2010-03-31,92.17
2010-04-01,94.01
2010-04-05,92.12
2010-04-06,92.09
2010-04-07,92.03
2010-04-08,90.45
2010-04-09,90.48
2010-04-12,91.07
2010-04-13,90.69
2010-04-14,91.12
2010-04-15,95.3
2010-04-16,95.24
2010-04-19,93.32
2010-04-20,93.34
2010-04-21,91.98
2010-04-22,91.01
2010-04-23,91.93
2010-04-26,93.03
2010-04-27,91.73
2010-04-28,90.37
2010-04-29,91.47
2010-04-30,92.42
2010-05-03,90.68
2010-05-04,91.03
2010-05-05,88.45
2010-05-06,87.95
2010-05-07,86.16
2010-05-10,86.95
2010-05-11,86.94
2010-05-12,88.62
2010-05-13,89.35
2010-05-14,87.3
2010-05-17,86.13
2010-05-18,85.96
2010-05-19,83.27
2010-05-20,82.55
2010-05-21,80.14
2010-05-24,82.66
2010-05-25,79.11
2010-05-26,81.44
2010-05-27,82.67
2010-05-28,84.04
2010-06-01,82.49
2010-06-02,81.93
2010-06-03,83.99
2010-06-04,82.21
2010-06-07,79.93
2010-06-08,77.07
2010-06-09,79.38
2010-06-10,79.14
2010-06-11,79.53
2010-06-14,81.18
2010-06-15,82.1
2010-06-16,81.4
2010-06-17,78.5
2010-06-18,78.47
2010-06-21,79.69
2010-06-22,78.52
2010-06-23,76.43
2010-06-24,76.22
2010-06-25,76.12
2010-06-28,75.8
2010-06-29,73.87
2010-06-30,71.47
2010-07-01,70.71
2010-07-02,72.39
2010-07-06,72.3
2010-07-07,71.0
2010-07-08,73.49
2010-07-09,73.87
2010-07-12,75.21
2010-07-13,75.55
2010-07-14,77.01
2010-07-15,78.75
2010-07-16,76.8
2010-07-19,74.91
2010-07-20,74.1
2010-07-21,76.53
2010-07-22,75.71
2010-07-23,77.97
2010-07-26,82.26
2010-07-27,84.0
2010-07-28,81.75
2010-07-29,83.47
2010-07-30,80.81
2010-08-02,83.91
2010-08-03,84.46
2010-08-04,84.02
2010-08-05,85.18
2010-08-06,85.22
2010-08-09,85.56
2010-08-10,86.44
2010-08-11,85.42
2010-08-12,81.75
2010-08-13,81.78
2010-08-16,80.18
2010-08-17,81.95
2010-08-18,83.54
2010-08-19,83.5
2010-08-20,81.06
2010-08-23,82.25
2010-08-24,80.28
2010-08-25,78.11
2010-08-26,78.47
2010-08-27,79.51
2010-08-30,79.67
2010-08-31,78.51
2010-09-01,79.39
2010-09-02,81.51
2010-09-03,82.79
2010-09-07,82.21
2010-09-08,82.03
2010-09-09,85.12
2010-09-10,84.7
2010-09-13,85.65
2010-09-14,84.84
2010-09-15,84.86
2010-09-16,83.41
2010-09-17,82.85
2010-09-20,82.57
2010-09-21,83.22
2010-09-22,83.61
2010-09-23,83.56
2010-09-24,83.88
2010-09-27,84.61
2010-09-28,84.06
2010-09-29,84.51
2010-09-30,87.0
2010-10-01,86.41
2010-10-04,85.53
2010-10-05,86.23
2010-10-06,87.59
2010-10-07,87.65
2010-10-08,86.93
2010-10-11,88.96
2010-10-12,87.96
2010-10-13,88.56
2010-10-14,89.73
2010-10-15,90.05
2010-10-18,89.45
2010-10-19,88.19
2010-10-20,87.57
2010-10-21,88.92
2010-10-22,88.66
2010-10-25,89.39
2010-10-26,88.97
2010-10-27,88.63
2010-10-28,88.7
2010-10-29,88.72
2010-11-01,87.25
2010-11-02,87.1
2010-11-03,87.0
2010-11-04,88.38
2010-11-05,88.73
2010-11-08,89.18
2010-11-09,90.42
2010-11-10,88.33
2010-11-11,87.42
2010-11-12,87.39
2010-11-15,87.68
2010-11-16,85.88
2010-11-17,86.12
2010-11-18,86.76
2010-11-19,87.35
2010-11-22,86.5
2010-11-23,86.32
2010-11-24,86.8
2010-11-26,87.57
2010-11-29,89.01
2010-11-30,91.21
2010-12-01,93.24
2010-12-02,94.38
2010-12-03,94.51
2010-12-06,94.53
2010-12-07,93.85
2010-12-08,92.43
2010-12-09,93.67
2010-12-10,94.1
2010-12-13,94.9
2010-12-14,94.42
2010-12-15,93.33
2010-12-16,91.86
2010-12-17,94.23
2010-12-20,93.81
2010-12-21,93.8
2010-12-22,93.83
2010-12-23,93.03
2010-12-27,92.67
2010-12-28,93.24
2010-12-29,93.07
2010-12-30,92.82
2010-12-31,92.53
2011-01-03,93.54
2011-01-04,93.38
2011-01-05,92.45
2011-01-06,93.7
2011-01-07,93.0
2011-01-10,93.01
2011-01-11,94.79
2011-01-12,93.92
2011-01-13,94.91
2011-01-14,95.65
2011-01-18,96.31
2011-01-19,95.63
2011-01-20,93.54
2011-01-21,94.42
2011-01-24,92.98
2011-01-25,94.03
2011-01-26,94.13
2011-01-27,94.41
2011-01-28,94.52
2011-01-31,91.0
2011-02-01,92.75
2011-02-02,92.07
2011-02-03,92.01
2011-02-04,91.65
2011-02-07,91.84
2011-02-08,91.38
2011-02-09,91.71
2011-02-10,91.31
2011-02-11,93.87
2011-02-14,95.03
2011-02-15,95.01
2011-02-16,96.37
2011-02-17,96.39
2011-02-18,97.86
2011-02-22,96.0
2011-02-23,93.04
2011-02-24,89.35
2011-02-25,90.57
2011-02-28,91.01
2011-03-01,90.57
2011-03-02,88.01
2011-03-03,88.33
2011-03-04,89.87
2011-03-07,88.65
2011-03-08,88.27
2011-03-09,89.53
2011-03-10,89.72
2011-03-11,90.08
2011-03-14,89.72
2011-03-15,86.02
2011-03-16,87.36
2011-03-17,89.72
2011-03-18,89.96
2011-03-21,90.37
2011-03-22,89.67
2011-03-23,87.83
2011-03-24,89.28
2011-03-25,90.87
2011-03-28,91.09
2011-03-29,92.93
2011-03-30,93.31
2011-03-31,93.21
2011-04-01,95.02
2011-04-04,95.01
2011-04-05,94.67
2011-04-06,95.14
2011-04-07,94.26
2011-04-08,93.85
2011-04-11,91.3
2011-04-12,92.17
2011-04-13,94.59
2011-04-14,92.94
2011-04-15,93.01
2011-04-18,91.34
2011-04-19,92.51
2011-04-20,93.0
2011-04-21,93.72
2011-04-25,93.75
2011-04-26,94.26
2011-04-27,94.65
2011-04-28,94.53
2011-04-29,95.55
2011-05-02,96.25
2011-05-03,94.0
2011-05-04,93.7
2011-05-05,92.16
2011-05-06,96.14
2011-05-09,95.6
2011-05-10,95.36
2011-05-11,95.43
2011-05-12,95.11
2011-05-13,95.17
2011-05-16,93.38
2011-05-17,92.85
2011-05-18,92.8718
2011-05-19,94.01
2011-05-20,94.46
2011-05-23,92.56
2011-05-24,92.21
2011-05-25,90.96
