dt,open
2010-01-04,27.71
2010-01-05,27.97
2010-01-06,27.94
2010-01-07,27.72
2010-01-08,27.67
2010-01-11,27.76
2010-01-12,27.69
2010-01-13,27.8
2010-01-14,27.71
2010-01-15,27.43
2010-01-19,27.4
2010-01-20,27.44
2010-01-21,27.56
2010-01-22,26.91
2010-01-25,25.97
2010-01-26,25.89
2010-01-27,25.59
2010-01-28,26.6
2010-01-29,25.62
2010-02-01,25.44
2010-02-02,26.05
2010-02-03,25.28
2010-02-04,24.51
2010-02-05,24.35
2010-02-08,24.71
2010-02-09,24.14
2010-02-10,24.07
2010-02-11,24.58
2010-02-12,24.44
2010-02-16,24.66
2010-02-17,25.67
2010-02-18,25.36
2010-02-19,25.45
2010-02-22,25.96
2010-02-23,25.74
2010-02-24,25.34
2010-02-25,25.15
2010-02-26,25.33
2010-03-01,25.02
2010-03-02,25.24
2010-03-03,25.4
2010-03-04,25.41
2010-03-05,25.87
2010-03-08,26.02
2010-03-09,25.7
2010-03-10,25.97
2010-03-11,25.88
2010-03-12,26.35
2010-03-15,26.15
2010-03-16,26.06
2010-03-17,25.97
2010-03-18,26.4
2010-03-19,26.46
2010-03-22,25.69
2010-03-23,26.06
2010-03-24,26.1
2010-03-25,26.33
2010-03-26,26.31
2010-03-29,26.38
2010-03-30,26.21
2010-03-31,26.23
2010-04-01,26.58
2010-04-05,26.54
2010-04-06,26.52
2010-04-07,26.78
2010-04-08,26.45
2010-04-09,26.47
2010-04-12,26.49
2010-04-13,26.31
2010-04-14,27.1
2010-04-15,26.97
2010-04-16,27.16
2010-04-19,26.57
2010-04-20,26.93
2010-04-21,26.71
2010-04-22,26.32
2010-04-23,26.25
2010-04-26,25.79
2010-04-27,25.02
2010-04-28,24.4
2010-04-29,24.51
2010-04-30,24.63
2010-05-03,24.4
2010-05-04,24.2
2010-05-05,23.51
2010-05-06,23.67
2010-05-07,23.48
2010-05-10,24.44
2010-05-11,23.6
2010-05-12,23.56
2010-05-13,23.72
2010-05-14,23.32
2010-05-17,23.19
2010-05-18,23.52
2010-05-19,22.68
2010-05-20,22.77
2010-05-21,22.0
2010-05-24,22.76
2010-05-25,21.82
2010-05-26,22.68
2010-05-27,22.72
2010-05-28,22.67
2010-06-01,21.99
2010-06-02,21.74
2010-06-03,21.7
2010-06-04,21.7
2010-06-07,21.99
2010-06-08,21.15
2010-06-09,21.41
2010-06-10,21.18
2010-06-11,21.66
2010-06-14,22.68
2010-06-15,22.36
2010-06-16,22.7
2010-06-17,22.64
2010-06-18,22.44
2010-06-21,22.36
2010-06-22,22.01
2010-06-23,21.75
2010-06-24,21.68
2010-06-25,21.21
2010-06-28,21.33
2010-06-29,21.39
2010-06-30,20.96
2010-07-01,20.67
2010-07-02,20.83
2010-07-06,20.74
2010-07-07,20.45
