dt,open
2010-01-04,13.98
2010-01-05,13.83
2010-01-06,13.91
2010-01-07,14.35
2010-01-08,13.96
2010-01-11,14.23
2010-01-12,14.18
2010-01-13,13.62
2010-01-14,13.31
2010-01-15,13.41
2010-01-19,13.23
2010-01-20,13.25
2010-01-21,13.13
2010-01-22,12.98
2010-01-25,12.57
2010-01-26,12.64
2010-01-27,12.75
2010-01-28,12.62
2010-01-29,12.6
2010-02-01,12.69
2010-02-02,12.55
2010-02-03,13.39
2010-02-04,13.59
2010-02-05,13.16
2010-02-08,12.95
2010-02-09,12.93
2010-02-10,12.81
2010-02-11,12.71
2010-02-12,12.84
2010-02-16,13.26
2010-02-17,13.41
2010-02-18,13.49
2010-02-19,13.42
2010-02-22,13.64
2010-02-23,13.52
2010-02-24,13.21
2010-02-25,13.14
2010-02-26,13.42
2010-03-01,13.41
2010-03-02,13.81
2010-03-03,13.96
2010-03-04,13.67
2010-03-05,13.83
2010-03-08,14.33
2010-03-09,14.21
2010-03-10,14.215
2010-03-11,14.35
2010-03-12,14.38
2010-03-15,14.12
2010-03-16,14.06
2010-03-17,14.14
2010-03-18,14.23
2010-03-19,14.17
2010-03-22,13.94
2010-03-23,13.97
2010-03-24,14.01
2010-03-25,14.48
2010-03-26,14.36
2010-03-29,14.39
2010-03-30,14.62
2010-03-31,14.47
2010-04-01,14.54
2010-04-05,14.72
2010-04-06,14.85
2010-04-07,14.64
2010-04-08,14.45
2010-04-09,14.76
2010-04-12,15.27
2010-04-13,15.06
2010-04-14,15.42
2010-04-15,15.83
2010-04-16,15.93
2010-04-19,15.8
2010-04-20,15.78
2010-04-21,15.97
2010-04-22,15.92
2010-04-23,15.99
2010-04-26,16.08
2010-04-27,16.01
2010-04-28,16.0
2010-04-29,15.66
2010-04-30,15.7
2010-05-03,15.61
2010-05-04,15.8
2010-05-05,14.46
2010-05-06,14.52
2010-05-07,14.1
2010-05-10,14.25
2010-05-11,14.55
2010-05-12,14.54
2010-05-13,14.69
2010-05-14,14.37
2010-05-17,14.06
2010-05-18,14.09
2010-05-19,13.66
2010-05-20,12.96
2010-05-21,12.45
2010-05-24,12.63
2010-05-25,12.47
2010-05-26,12.66
2010-05-27,13.19
2010-05-28,13.46
2010-06-01,13.07
2010-06-02,12.82
2010-06-03,13.31
2010-06-04,12.88
2010-06-07,12.61
2010-06-08,12.48
2010-06-09,12.63
2010-06-10,13.14
2010-06-11,12.92
2010-06-14,13.43
2010-06-15,12.88
2010-06-16,14.08
2010-06-17,14.12
2010-06-18,14.2
2010-06-21,14.08
2010-06-22,13.89
2010-06-23,13.49
2010-06-24,13.32
2010-06-25,12.71
2010-06-28,12.67
2010-06-29,12.57
2010-06-30,12.19
2010-07-01,11.96
2010-07-02,11.96
2010-07-06,11.97
2010-07-07,11.89
2010-07-08,12.46
2010-07-09,12.62
2010-07-12,12.8
2010-07-13,13.07
2010-07-14,13.23
2010-07-15,13.22
2010-07-16,13.18
2010-07-19,12.48
2010-07-20,12.6
2010-07-21,13.16
2010-07-22,12.8
2010-07-23,12.89
2010-07-26,13.24
2010-07-27,13.51
2010-07-28,13.08
2010-07-29,13.2
2010-07-30,12.74
2010-08-02,13.36
2010-08-03,13.53
2010-08-04,13.67
2010-08-05,14.58
2010-08-06,14.07
2010-08-09,14.19
2010-08-10,14.04
2010-08-11,13.59
2010-08-12,13.15
2010-08-13,13.16
2010-08-16,12.82
2010-08-17,13.08
2010-08-18,13.06
2010-08-19,13.03
2010-08-20,12.77
2010-08-23,12.83
2010-08-24,12.39
2010-08-25,12.04
2010-08-26,12.15
2010-08-27,12.4
2010-08-30,12.18
2010-08-31,12.23
2010-09-01,12.75
2010-09-02,13.03
2010-09-03,13.34
2010-09-07,13.39
2010-09-08,13.12
2010-09-09,13.41
2010-09-10,13.53
2010-09-13,13.72
2010-09-14,13.72
2010-09-15,13.76
2010-09-16,13.71
2010-09-17,13.66
2010-09-20,13.64
2010-09-21,14.03
2010-09-22,13.93
2010-09-23,13.37
2010-09-24,13.67
2010-09-27,13.98
2010-09-28,13.66
2010-09-29,13.66
2010-09-30,13.38
2010-10-01,13.22
2010-10-04,13.16
2010-10-05,13.28
2010-10-06,13.58
2010-10-07,13.48
2010-10-08,13.68
2010-10-11,13.94
2010-10-12,13.74
2010-10-13,14.0
2010-10-14,14.13
2010-10-15,14.25
2010-10-18,14.14
2010-10-19,13.87
2010-10-20,14.07
2010-10-21,14.56
2010-10-22,14.54
2010-10-25,14.49
2010-10-26,14.14
2010-10-27,14.05
2010-10-28,14.5
2010-10-29,14.46
2010-11-01,14.54
2010-11-02,14.68
2010-11-03,14.67
2010-11-04,15.21
2010-11-05,14.73
2010-11-08,14.48
2010-11-09,14.36
2010-11-10,14.18
2010-11-11,14.37
2010-11-12,14.4
2010-11-15,14.49
2010-11-16,14.26
2010-11-17,14.22
2010-11-18,14.5
2010-11-19,14.33
2010-11-22,14.05
2010-11-23,14.0
2010-11-24,13.91
2010-11-26,13.88
2010-11-29,13.71
2010-11-30,13.68
2010-12-01,13.86
2010-12-02,14.03
2010-12-03,14.33
2010-12-06,14.32
2010-12-07,14.47
2010-12-08,14.33
2010-12-09,14.37
2010-12-10,14.42
2010-12-13,14.66
2010-12-14,14.31
2010-12-15,14.4
2010-12-16,14.4
2010-12-17,14.4
2010-12-20,14.51
2010-12-21,14.48
2010-12-22,14.55
2010-12-23,14.95
2010-12-27,14.71
2010-12-28,14.59
2010-12-29,14.61
2010-12-30,14.6
2010-12-31,14.58
2011-01-03,14.75
2011-01-04,14.68
2011-01-05,14.8
2011-01-06,14.92
2011-01-07,14.88
2011-01-10,14.53
2011-01-11,14.49
2011-01-12,14.43
2011-01-13,14.44
2011-01-14,14.11
2011-01-18,14.34
2011-01-19,14.29
2011-01-20,14.21
2011-01-21,14.75
2011-01-24,15.22
2011-01-25,15.6
2011-01-26,15.74
2011-01-27,15.5
2011-01-28,15.64
2011-01-31,15.07
2011-02-01,15.15
2011-02-02,15.51
2011-02-03,16.25
2011-02-04,16.83
2011-02-07,16.75
2011-02-08,16.56
2011-02-09,16.86
2011-02-10,16.59
2011-02-11,16.59
2011-02-14,17.17
2011-02-15,16.82
2011-02-16,17.25
2011-02-17,17.23
2011-02-18,17.4
2011-02-22,17.19
2011-02-23,16.75
2011-02-24,16.53
2011-02-25,16.95
2011-02-28,17.36
2011-03-01,17.44
2011-03-02,17.03
2011-03-03,17.45
2011-03-04,17.64
2011-03-07,17.62
2011-03-08,17.28
2011-03-09,17.21
2011-03-10,16.66
2011-03-11,16.68
2011-03-14,16.84
2011-03-15,16.16
2011-03-16,16.17
2011-03-17,16.5
2011-03-18,16.49
2011-03-21,16.6
2011-03-22,16.93
2011-03-23,16.56
2011-03-24,16.83
2011-03-25,17.09
2011-03-28,17.11
2011-03-29,17.08
2011-03-30,17.35
2011-03-31,17.48
2011-04-01,17.75
2011-04-04,17.85
2011-04-05,17.99
2011-04-06,17.93
2011-04-07,17.45
2011-04-08,17.2
2011-04-11,17.2
2011-04-12,17.14
2011-04-13,17.22
2011-04-14,17.04
2011-04-15,16.94
2011-04-18,17.06
2011-04-19,17.04
2011-04-20,17.11
2011-04-21,17.38
2011-04-25,17.55
2011-04-26,17.35
2011-04-27,17.74
2011-04-28,17.73
2011-04-29,18.03
2011-05-02,17.81
2011-05-03,17.86
2011-05-04,17.5
2011-05-05,16.76
2011-05-06,17.72
2011-05-09,17.54
2011-05-10,17.51
2011-05-11,17.71
2011-05-12,17.35
2011-05-13,17.57
2011-05-16,17.27
2011-05-17,17.14
2011-05-18,17.13
2011-05-19,17.61
2011-05-20,17.63
2011-05-23,17.22
2011-05-24,17.1
2011-05-25,16.95
2011-05-26,17.14
2011-05-27,17.66
2011-05-31,18.0
2011-06-01,18.28
2011-06-02,17.63
2011-06-03,17.34
2011-06-06,17.12
2011-06-07,17.05
2011-06-08,16.64
2011-06-09,16.73
2011-06-10,16.7
2011-06-13,16.41
2011-06-14,16.42
2011-06-15,16.24
2011-06-16,16.21
2011-06-17,16.29
2011-06-20,16.02
2011-06-21,16.24
2011-06-22,16.55
2011-06-23,16.38
2011-06-24,16.63
2011-06-27,16.66
2011-06-28,16.94
2011-06-29,17.18
2011-06-30,17.52
2011-07-01,17.74
2011-07-05,17.9
2011-07-06,17.7
2011-07-07,17.54
2011-07-08,17.06
2011-07-11,16.25
2011-07-12,15.97
2011-07-13,15.35
2011-07-14,15.98
2011-07-15,15.33
2011-07-18,15.1
2011-07-19,15.27
2011-07-20,16.0
2011-07-21,16.22
2011-07-22,16.1
2011-07-25,16.12
2011-07-26,16.24
2011-07-27,16.02
2011-07-28,16.04
2011-07-29,15.93
2011-08-01,15.95
2011-08-02,15.97
2011-08-03,15.31
2011-08-04,15.14
2011-08-05,14.64
2011-08-08,14.17
2011-08-09,13.83
2011-08-10,13.88
2011-08-11,15.0
2011-08-12,15.96
2011-08-15,16.29
2011-08-16,16.74
2011-08-17,17.14
2011-08-18,16.1901
2011-08-19,15.93
2011-08-22,15.84
2011-08-23,15.64
2011-08-24,16.28
2011-08-25,16.86
2011-08-26,16.53
2011-08-29,17.1
2011-08-30,17.01
2011-08-31,17.14
2011-09-01,17.3
2011-09-02,16.49
2011-09-06,15.8
2011-09-07,16.59
2011-09-08,16.48
2011-09-09,16.18
2011-09-12,15.73
2011-09-13,16.15
2011-09-14,16.0
2011-09-15,16.33
2011-09-16,16.49
2011-09-19,16.57
2011-09-20,16.94
2011-09-21,16.74
2011-09-22,15.74
2011-09-23,15.52
2011-09-26,16.16
2011-09-27,16.65
2011-09-28,16.54
2011-09-29,16.19
2011-09-30,15.69
2011-10-03,15.35
2011-10-04,14.73
2011-10-05,15.57
2011-10-06,15.96
2011-10-07,16.03
2011-10-10,16.51
2011-10-11,16.86
2011-10-12,17.0
2011-10-13,16.92
2011-10-14,17.26
2011-10-17,17.11
2011-10-18,16.95
2011-10-19,17.03
2011-10-20,16.74
2011-10-21,17.03
2011-10-24,17.28
2011-10-25,17.26
2011-10-26,17.03
2011-10-27,17.27
2011-10-28,17.82
2011-10-31,17.63
2011-11-01,17.01
2011-11-02,16.9
2011-11-03,17.37
2011-11-04,16.78
2011-11-07,16.83
2011-11-08,17.08
2011-11-09,16.79
2011-11-10,16.7
2011-11-11,17.06
2011-11-14,17.03
2011-11-15,17.03
2011-11-16,17.09
2011-11-17,16.76
2011-11-18,16.67
2011-11-21,16.165
2011-11-22,16.24
2011-11-23,16.2
2011-11-25,15.96
2011-11-28,16.37
2011-11-29,16.5
2011-11-30,17.07
2011-12-01,17.54
2011-12-02,17.75
2011-12-05,17.99
2011-12-06,17.77
2011-12-07,17.72
2011-12-08,17.64
2011-12-09,17.28
2011-12-12,17.5
2011-12-13,17.53
2011-12-14,17.13
2011-12-15,17.38
2011-12-16,17.18
2011-12-19,17.09
2011-12-20,17.02
2011-12-21,17.23
2011-12-22,17.39
2011-12-23,17.46
2011-12-27,17.57
2011-12-28,17.75
2011-12-29,17.7
2011-12-30,17.88
2012-01-03,18.23
2012-01-04,18.3
2012-01-05,18.21
2012-01-06,18.5
2012-01-09,18.35
2012-01-10,18.57
2012-01-11,18.65
2012-01-12,18.87
2012-01-13,18.85
2012-01-17,19.01
2012-01-18,19.05
2012-01-19,19.3
2012-01-20,19.65
2012-01-23,19.08
2012-01-24,19.09
2012-01-25,18.94
2012-01-26,18.93
2012-01-27,18.81
2012-01-30,18.71
2012-01-31,19.13
2012-02-01,18.91
2012-02-02,19.2
2012-02-03,19.21
2012-02-06,19.22
2012-02-07,19.55
2012-02-08,19.34
2012-02-09,19.45
2012-02-10,19.13
2012-02-13,19.31
2012-02-14,19.31
2012-02-15,19.22
2012-02-16,18.92
2012-02-17,19.02
2012-02-21,19.64
2012-02-22,19.49
2012-02-23,19.32
2012-02-24,19.65
2012-02-27,19.62
2012-02-28,19.49
2012-02-29,19.88
2012-03-01,19.94
2012-03-02,19.72
2012-03-05,19.72
2012-03-06,19.31
2012-03-07,19.14
2012-03-08,19.54
2012-03-09,19.62
2012-03-12,19.73
2012-03-13,19.58
2012-03-14,19.93
2012-03-15,20.26
2012-03-16,20.05
2012-03-19,19.93
2012-03-20,19.92
2012-03-21,19.87
2012-03-22,19.78
2012-03-23,19.75
2012-03-26,19.99
2012-03-27,20.29
2012-03-28,20.08
2012-03-29,19.54
2012-03-30,19.6
2012-04-02,19.64
2012-04-03,19.76
2012-04-04,19.81
2012-04-05,19.31
2012-04-09,19.11
2012-04-10,18.96
2012-04-11,18.9
2012-04-12,18.98
2012-04-13,19.25
2012-04-16,19.21
2012-04-17,19.3
2012-04-18,19.28
2012-04-19,19.18
2012-04-20,18.98
2012-04-23,18.88
2012-04-24,19.08
2012-04-25,19.32
2012-04-26,19.28
2012-04-27,19.72
2012-04-30,19.49
2012-05-01,19.55
2012-05-02,19.71
2012-05-03,19.76
2012-05-04,19.53
2012-05-07,19.12
2012-05-08,19.15
2012-05-09,19.1
2012-05-10,20.0
2012-05-11,20.24
2012-05-14,20.04
2012-05-15,20.09
2012-05-16,19.97
2012-05-17,19.69
2012-05-18,19.54
2012-05-21,19.24
2012-05-22,19.54
2012-05-23,19.21
2012-05-24,19.22
2012-05-25,19.45
2012-05-29,19.6
2012-05-30,19.53
2012-05-31,19.36
2012-06-01,18.94
2012-06-04,18.42
2012-06-05,18.53
2012-06-06,18.7
2012-06-07,19.63
2012-06-08,19.29
2012-06-11,19.72
2012-06-12,19.27
2012-06-13,19.66
2012-06-14,19.54
2012-06-15,19.93
2012-06-18,20.06
2012-06-19,20.19
2012-06-20,20.27
2012-06-21,20.49
2012-06-22,20.2
2012-06-25,20.14
2012-06-26,21.32
2012-06-27,21.65
2012-06-28,22.07
2012-06-29,22.28
2012-07-02,22.3
2012-07-03,22.8
2012-07-05,22.43
2012-07-06,22.32
2012-07-09,22.08
2012-07-10,22.06
2012-07-11,21.85
2012-07-12,21.55
2012-07-13,21.6
2012-07-16,21.85
2012-07-17,22.04
2012-07-18,22.2
2012-07-19,22.58
2012-07-20,22.37
2012-07-23,21.57
2012-07-24,21.86
2012-07-25,21.85
2012-07-26,22.51
2012-07-27,22.86
2012-07-30,23.36
2012-07-31,23.18
2012-08-01,23.19
2012-08-02,22.8
2012-08-03,23.32
2012-08-06,23.6
2012-08-07,23.65
2012-08-08,23.76
2012-08-09,23.25
2012-08-10,23.6
2012-08-13,23.35
2012-08-14,23.36
2012-08-15,23.35
2012-08-16,23.42
2012-08-17,23.58
2012-08-20,23.23
2012-08-21,23.14
2012-08-22,23.27
2012-08-23,23.4
2012-08-24,23.07
2012-08-27,23.36
2012-08-28,23.29
2012-08-29,23.38
2012-08-30,23.25
2012-08-31,23.22
2012-09-04,23.43
2012-09-05,23.5
2012-09-06,23.99
2012-09-07,24.65
2012-09-10,24.46
2012-09-11,24.12
2012-09-12,24.51
