dt,open
2010-01-04,11.62
2010-01-05,11.99
2010-01-06,12.73
2010-01-07,12.99
2010-01-08,13.21
2010-01-11,13.12
2010-01-12,13.26
2010-01-13,12.95
2010-01-14,13.18
2010-01-15,13.53
2010-01-19,12.91
2010-01-20,13.3
2010-01-21,13.31
2010-01-22,12.72
2010-01-25,12.66
2010-01-26,12.83
2010-01-27,13.02
2010-01-28,13.56
2010-01-29,14.1
2010-02-01,14.09
2010-02-02,14.4
2010-02-03,15.2
2010-02-04,14.58
2010-02-05,13.51
2010-02-08,13.89
2010-02-09,13.74
2010-02-10,14.11
2010-02-11,14.16
2010-02-12,14.16
2010-02-16,14.69
2010-02-17,14.95
2010-02-18,14.73
2010-02-19,15.18
2010-02-22,15.4
2010-02-23,15.66
2010-02-24,15.44
2010-02-25,15.46
2010-02-26,15.94
2010-03-01,16.06
2010-03-02,15.95
2010-03-03,16.14
2010-03-04,15.84
2010-03-05,16.09
2010-03-08,16.31
2010-03-09,16.19
2010-03-10,16.36
2010-03-11,16.44
2010-03-12,16.74
2010-03-15,16.25
2010-03-16,16.08
2010-03-17,16.48
2010-03-18,16.46
2010-03-19,16.38
2010-03-22,15.6
2010-03-23,16.35
2010-03-24,16.42
2010-03-25,17.52
2010-03-26,17.12
2010-03-29,17.71
2010-03-30,17.64
2010-03-31,17.35
2010-04-01,18.55
2010-04-05,18.35
2010-04-06,18.67
2010-04-07,18.53
2010-04-08,18.06
2010-04-09,18.42
2010-04-12,18.39
2010-04-13,18.17
2010-04-14,18.36
2010-04-15,18.83
2010-04-16,18.62
2010-04-19,17.94
2010-04-20,18.3
2010-04-21,18.59
2010-04-22,18.34
2010-04-23,18.68
2010-04-26,19.07
2010-04-27,18.67
2010-04-28,17.72
2010-04-29,17.65
2010-04-30,17.86
2010-05-03,16.52
2010-05-04,16.53
2010-05-05,15.36
2010-05-06,15.53
2010-05-07,15.03
2010-05-10,15.87
2010-05-11,15.89
2010-05-12,16.59
2010-05-13,16.57
2010-05-14,16.01
2010-05-17,15.69
2010-05-18,15.59
2010-05-19,14.64
2010-05-20,14.36
2010-05-21,13.55
2010-05-24,14.48
2010-05-25,13.69
2010-05-26,15.03
2010-05-27,15.37
2010-05-28,15.93
2010-06-01,15.29
2010-06-02,15.09
2010-06-03,15.75
2010-06-04,14.99
2010-06-07,14.77
2010-06-08,14.12
2010-06-09,14.54
2010-06-10,14.59
2010-06-11,14.84
2010-06-14,15.53
2010-06-15,15.55
2010-06-16,15.63
2010-06-17,15.35
2010-06-18,14.98
2010-06-21,15.5
2010-06-22,15.175
2010-06-23,14.69
2010-06-24,14.26
2010-06-25,14.17
2010-06-28,14.13
2010-06-29,13.82
2010-06-30,13.33
2010-07-01,13.04
2010-07-02,13.01
2010-07-06,13.0
2010-07-07,13.07
2010-07-08,14.18
2010-07-09,14.01
2010-07-12,14.49
2010-07-13,14.78
2010-07-14,14.5
2010-07-15,14.55
2010-07-16,14.07
2010-07-19,13.53
2010-07-20,13.62
2010-07-21,14.53
2010-07-22,14.2
2010-07-23,14.95
2010-07-26,15.25
2010-07-27,15.79
2010-07-28,15.51
2010-07-29,15.66
2010-07-30,14.59
2010-08-02,13.76
2010-08-03,13.55
2010-08-04,13.31
2010-08-05,12.78
2010-08-06,13.08
2010-08-09,13.18
2010-08-10,12.97
2010-08-11,12.75
2010-08-12,12.05
2010-08-13,11.87
2010-08-16,12.07
2010-08-17,12.19
2010-08-18,11.98
2010-08-19,11.92
2010-08-20,11.42
2010-08-23,11.45
2010-08-24,10.78
2010-08-25,10.44
2010-08-26,10.73
2010-08-27,10.91
2010-08-30,11.18
2010-08-31,10.58
2010-09-01,11.07
2010-09-02,11.21
2010-09-03,11.6
2010-09-07,11.67
2010-09-08,11.56
2010-09-09,12.07
2010-09-10,12.04
2010-09-13,12.45
2010-09-14,12.48
2010-09-15,12.24
2010-09-16,12.25
2010-09-17,12.59
2010-09-20,12.49
2010-09-21,12.91
2010-09-22,12.64
2010-09-23,12.2
2010-09-24,12.27
2010-09-27,12.46
2010-09-28,12.47
2010-09-29,12.33
2010-09-30,12.42
2010-10-01,12.44
2010-10-04,12.21
2010-10-05,12.2
2010-10-06,12.38
2010-10-07,12.52
2010-10-08,12.33
2010-10-11,12.87
2010-10-12,12.72
2010-10-13,13.06
2010-10-14,12.89
2010-10-15,13.22
2010-10-18,13.1
2010-10-19,13.05
2010-10-20,13.38
2010-10-21,13.53
2010-10-22,13.42
2010-10-25,13.5
2010-10-26,13.4
2010-10-27,13.28
2010-10-28,13.36
2010-10-29,10.96
2010-11-01,11.37
2010-11-02,11.68
2010-11-03,11.71
2010-11-04,11.84
2010-11-05,12.23
2010-11-08,12.36
2010-11-09,12.01
2010-11-10,11.83
2010-11-11,11.92
2010-11-12,11.72
2010-11-15,11.63
2010-11-16,11.42
2010-11-17,11.52
2010-11-18,11.63
2010-11-19,11.51
2010-11-22,11.47
2010-11-23,11.17
2010-11-24,11.36
2010-11-26,11.54
2010-11-29,11.4
2010-11-30,11.44
2010-12-01,11.87
2010-12-02,12.09
2010-12-03,12.39
2010-12-06,12.52
2010-12-07,12.64
2010-12-08,12.73
2010-12-09,13.19
2010-12-10,13.07
2010-12-13,13.22
2010-12-14,13.15
2010-12-15,12.99
2010-12-16,12.79
2010-12-17,12.78
2010-12-20,12.81
2010-12-21,12.99
2010-12-22,13.06
2010-12-23,13.41
2010-12-27,13.19
2010-12-28,13.3
2010-12-29,13.25
2010-12-30,13.1
2010-12-31,13.05
2011-01-03,13.31
2011-01-04,13.57
2011-01-05,13.37
2011-01-06,13.56
2011-01-07,14.4
2011-01-10,13.97
2011-01-11,13.96
2011-01-12,14.17
2011-01-13,14.27
2011-01-14,14.17
2011-01-18,14.3
2011-01-19,13.93
2011-01-20,13.41
2011-01-21,13.39
2011-01-24,13.58
2011-01-25,13.6
2011-01-26,13.83
2011-01-27,13.83
2011-01-28,14.17
2011-01-31,13.89
2011-02-01,13.68
2011-02-02,12.84
2011-02-03,12.65
2011-02-04,12.78
2011-02-07,12.94
2011-02-08,12.73
2011-02-09,12.9
2011-02-10,12.76
2011-02-11,13.15
2011-02-14,13.62
2011-02-15,13.38
2011-02-16,13.73
2011-02-17,13.66
2011-02-18,13.76
2011-02-22,13.74
2011-02-23,13.31
2011-02-24,13.07
2011-02-25,13.16
2011-02-28,13.37
2011-03-01,13.29
2011-03-02,12.74
2011-03-03,12.98
2011-03-04,12.92
2011-03-07,12.965
2011-03-08,12.79
2011-03-09,12.99
2011-03-10,12.79
2011-03-11,12.5
2011-03-14,12.93
2011-03-15,12.11
2011-03-16,12.59
2011-03-17,12.72
2011-03-18,12.7
2011-03-21,13.01
2011-03-22,13.0
2011-03-23,12.84
2011-03-24,13.08
2011-03-25,12.99
2011-03-28,13.09
2011-03-29,12.97
2011-03-30,13.32
2011-03-31,13.47
2011-04-01,13.6
2011-04-04,13.52
2011-04-05,13.34
2011-04-06,13.25
2011-04-07,13.26
2011-04-08,13.4
2011-04-11,12.95
2011-04-12,12.66
2011-04-13,12.72
2011-04-14,12.52
2011-04-15,12.45
2011-04-18,12.02
2011-04-19,12.01
2011-04-20,12.0
2011-04-21,12.1
2011-04-25,11.96
2011-04-26,12.08
2011-04-27,12.3
2011-04-28,12.18
2011-04-29,12.26
2011-05-02,12.31
2011-05-03,12.44
2011-05-04,12.16
2011-05-05,11.91
2011-05-06,11.8
2011-05-09,11.45
2011-05-10,11.48
2011-05-11,11.25
2011-05-12,11.4
2011-05-13,11.53
2011-05-16,11.24
2011-05-17,11.16
2011-05-18,11.19
2011-05-19,11.31
2011-05-20,11.29
2011-05-23,10.94
2011-05-24,10.97
2011-05-25,10.93
2011-05-26,10.89
2011-05-27,11.1
2011-05-31,11.23
2011-06-01,11.04
2011-06-02,10.65
2011-06-03,10.85
2011-06-06,10.67
2011-06-07,10.5
2011-06-08,10.55
2011-06-09,10.43
2011-06-10,10.42
2011-06-13,10.28
2011-06-14,10.39
2011-06-15,10.22
2011-06-16,9.89
2011-06-17,10.07
2011-06-20,10.15
2011-06-21,10.3
2011-06-22,10.37
2011-06-23,10.17
2011-06-24,10.1
2011-06-27,9.95
2011-06-28,10.03
2011-06-29,10.07
2011-06-30,10.26
2011-07-01,10.3
2011-07-05,10.42
2011-07-06,10.25
2011-07-07,10.59
2011-07-08,10.48
2011-07-11,10.27
2011-07-12,9.76
2011-07-13,9.77
2011-07-14,9.81
2011-07-15,9.81
2011-07-18,9.71
2011-07-19,9.23
2011-07-20,9.56
2011-07-21,8.29
2011-07-22,8.26
2011-07-25,8.77
2011-07-26,8.48
2011-07-27,8.37
2011-07-28,8.0
2011-07-29,7.85
2011-08-01,8.44
2011-08-02,7.94
2011-08-03,7.68
2011-08-04,7.66
2011-08-05,7.18
2011-08-08,6.36
