dt,open
2012-06-12,31.0
2012-06-13,28.02
2012-06-14,26.0
2012-06-15,26.51
2012-06-18,25.56
2012-06-19,25.05
2012-06-20,26.0
2012-06-21,27.5
2012-06-22,28.0
2012-06-25,28.63
2012-06-26,27.95
2012-06-27,28.0
2012-06-28,27.15
2012-06-29,28.49
2012-07-02,28.94
2012-07-03,30.3
2012-07-05,29.9
2012-07-06,28.99
2012-07-09,29.19
2012-07-10,28.31
2012-07-11,28.28
2012-07-12,27.94
2012-07-13,27.57
2012-07-16,27.28
2012-07-17,27.58
2012-07-18,26.6
2012-07-19,26.65
2012-07-20,26.13
2012-07-23,25.55
2012-07-24,26.15
2012-07-25,25.85
2012-07-26,25.5
2012-07-27,25.25
2012-07-30,25.54
2012-07-31,25.37
2012-08-01,25.83
2012-08-02,25.13
2012-08-03,25.38
2012-08-06,25.42
2012-08-07,25.27
2012-08-08,25.32
2012-08-09,25.34
2012-08-10,25.78
2012-08-13,25.15
2012-08-14,25.04
2012-08-15,25.35
2012-08-16,25.57
2012-08-17,25.45
2012-08-20,25.42
2012-08-21,25.85
2012-08-22,25.96
2012-08-23,25.42
2012-08-24,25.9
2012-08-27,26.1
2012-08-28,25.04
2012-08-29,26.05
2012-08-30,25.91
2012-08-31,25.95
2012-09-04,26.02
2012-09-05,26.33
2012-09-06,26.49
2012-09-07,26.6
2012-09-10,26.4
2012-09-11,26.35
2012-09-12,25.73
2012-09-13,25.54
2012-09-14,26.42
2012-09-17,26.76
2012-09-18,26.93
2012-09-19,27.04
2012-09-20,26.93
2012-09-21,27.3
2012-09-24,26.76
2012-09-25,27.0
2012-09-26,26.59
2012-09-27,26.5
2012-09-28,26.64
2012-10-01,26.7
2012-10-02,26.56
2012-10-03,26.89
2012-10-04,26.35
2012-10-05,26.51
2012-10-08,26.25
2012-10-09,26.59
2012-10-10,26.27
2012-10-11,26.25
2012-10-12,26.61
2012-10-15,26.43
2012-10-16,26.5
2012-10-17,26.87
2012-10-18,27.19
2012-10-19,27.25
2012-10-22,26.48
2012-10-23,26.08
2012-10-24,26.23
2012-10-25,26.12
2012-10-26,25.86
2012-10-31,25.55
2012-11-01,26.8
2012-11-02,27.62
2012-11-05,27.2
2012-11-06,27.48
2012-11-07,27.41
2012-11-08,26.81
2012-11-09,26.14
2012-11-12,26.18
2012-11-13,26.15
2012-11-14,26.45
2012-11-15,26.09
2012-11-16,26.44
2012-11-19,26.91
2012-11-20,26.87
2012-11-21,26.69
2012-11-23,26.75
2012-11-26,27.01
2012-11-27,27.25
2012-11-28,27.33
2012-11-29,27.67
2012-11-30,27.88
2012-12-03,27.84
2012-12-04,27.98
2012-12-05,27.89
2012-12-06,27.83
2012-12-07,28.25
2012-12-10,28.05
2012-12-11,27.98
2012-12-12,28.33
2012-12-13,28.14
2012-12-14,27.91
2012-12-17,28.34
2012-12-18,28.47
2012-12-19,28.26
2012-12-20,28.3
2012-12-21,28.24
2012-12-24,28.03
2012-12-26,28.14
2012-12-27,27.93
2012-12-28,27.64
2012-12-31,27.41
2013-01-02,28.7
2013-01-03,29.29
2013-01-04,28.7
2013-01-07,29.17
2013-01-08,29.26
2013-01-09,29.2
2013-01-10,29.6
2013-01-11,29.3
2013-01-14,29.5
2013-01-15,29.68
2013-01-16,29.92
2013-01-17,30.18
2013-01-18,30.15
2013-01-22,30.18
2013-01-23,30.29
2013-01-24,30.7
2013-01-25,30.85
2013-01-28,30.78
2013-01-29,30.51
2013-01-30,30.45
2013-01-31,32.0
2013-02-01,31.24
2013-02-04,31.55
2013-02-05,31.74
2013-02-06,31.76
2013-02-07,32.12
2013-02-08,32.22
2013-02-11,32.28
2013-02-12,32.3
2013-02-13,32.25
2013-02-14,32.32
2013-02-15,32.37
2013-02-19,32.22
2013-02-20,32.32
2013-02-21,32.48
2013-02-22,32.78
2013-02-25,33.26
2013-02-26,32.43
2013-02-27,32.28
2013-02-28,32.65
2013-03-01,32.32
2013-03-04,32.65
2013-03-05,32.9
2013-03-06,33.14
2013-03-07,33.08
2013-03-08,33.51
2013-03-11,33.52
2013-03-12,33.14
2013-03-13,33.37
2013-03-14,33.87
2013-03-15,33.84
2013-03-18,33.52
2013-03-19,33.8
2013-03-20,34.03
2013-03-21,34.07
2013-03-22,33.96
2013-03-25,34.26
2013-03-26,34.38
2013-03-27,34.4
2013-03-28,34.73
2013-04-01,34.97
2013-04-02,34.72
2013-04-03,33.85
2013-04-04,33.7
2013-04-05,32.89
2013-04-08,33.22
2013-04-09,33.96
2013-04-10,34.45
2013-04-11,34.95
2013-04-12,35.19
2013-04-15,35.37
2013-04-16,35.06
2013-04-17,34.9
2013-04-18,34.71
2013-04-19,35.09
2013-04-22,34.77
2013-04-23,35.06
2013-04-24,35.61
2013-04-25,35.2
2013-04-26,35.66
2013-04-29,35.8
2013-04-30,35.71
2013-05-01,36.04
2013-05-02,35.17
2013-05-03,34.95
2013-05-06,34.85
2013-05-07,34.71
2013-05-08,35.08
2013-05-09,35.14
2013-05-10,35.1
2013-05-13,35.24
2013-05-14,35.75
2013-05-15,36.17
2013-05-16,36.68
2013-05-17,36.99
2013-05-20,36.53
2013-05-21,36.08
2013-05-22,35.99
2013-05-23,35.39
2013-05-24,35.4
2013-05-28,35.61
2013-05-29,35.6
2013-05-30,35.1
2013-05-31,34.89
2013-06-03,34.61
2013-06-04,34.8
2013-06-05,34.74
2013-06-06,34.04
2013-06-07,33.94
2013-06-10,34.88
2013-06-11,33.64
2013-06-12,33.85
2013-06-13,33.39
2013-06-14,33.03
2013-06-17,33.36
2013-06-18,33.07
2013-06-19,33.6
2013-06-20,33.28
2013-06-21,32.41
2013-06-24,32.26
2013-06-25,32.41
2013-06-26,32.98
2013-06-27,33.0
2013-06-28,32.86
2013-07-01,33.2
2013-07-02,33.17
2013-07-03,32.79
2013-07-05,32.86
2013-07-08,33.07
2013-07-09,33.05
2013-07-10,33.59
2013-07-11,33.91
2013-07-12,34.27
2013-07-15,34.3
2013-07-16,34.73
2013-07-17,34.65
2013-07-18,34.69
2013-07-19,34.69
2013-07-22,34.75
2013-07-23,34.96
2013-07-24,35.11
2013-07-25,34.75
2013-07-26,34.78
2013-07-29,34.98
2013-07-30,35.2
2013-07-31,34.95
2013-08-01,35.51
2013-08-02,35.66
2013-08-05,34.71
2013-08-06,34.32
2013-08-07,34.29
2013-08-08,33.86
2013-08-09,33.9
2013-08-12,32.49
2013-08-13,33.65
2013-08-14,33.11
2013-08-15,32.47
2013-08-16,32.64
2013-08-19,32.7
2013-08-20,32.57
2013-08-21,32.78
2013-08-22,32.6
2013-08-23,32.51
2013-08-26,32.86
2013-08-27,32.29
2013-08-28,32.36
2013-08-29,32.22
2013-08-30,32.41
2013-09-03,32.42
2013-09-04,31.67
2013-09-05,31.97
2013-09-06,31.54
2013-09-09,31.41
2013-09-10,31.64
2013-09-11,31.58
2013-09-12,31.53
2013-09-13,31.79
2013-09-16,32.07
2013-09-17,31.79
2013-09-18,31.87
2013-09-19,32.25
2013-09-20,32.06
2013-09-23,31.85
2013-09-24,31.61
2013-09-25,31.29
2013-09-26,30.87
2013-09-27,30.85
2013-09-30,30.54
2013-10-01,30.72
2013-10-02,30.76
2013-10-03,30.74
2013-10-04,30.59
2013-10-07,30.75
2013-10-08,30.71
2013-10-09,30.41
2013-10-10,31.02
2013-10-11,31.66
2013-10-14,32.39
2013-10-15,31.85
2013-10-16,31.67
2013-10-17,31.64
2013-10-18,32.49
2013-10-21,31.84
2013-10-22,31.61
2013-10-23,31.91
2013-10-24,32.46
2013-10-25,32.27
2013-10-28,32.37
2013-10-29,32.39
2013-10-30,32.89
2013-10-31,32.25
2013-11-01,32.8
2013-11-04,32.29
2013-11-05,32.11
2013-11-06,32.57
2013-11-07,32.65
2013-11-08,32.05
2013-11-11,32.06
2013-11-12,31.91
2013-11-13,32.04
2013-11-14,32.59
2013-11-15,33.0
2013-11-18,32.77
2013-11-19,32.64
2013-11-20,32.43
2013-11-21,33.34
2013-11-22,33.85
2013-11-25,33.8
2013-11-26,33.53
2013-11-27,33.55
2013-11-29,33.56
2013-12-02,33.47
2013-12-03,32.99
2013-12-04,33.17
2013-12-05,33.02
2013-12-06,32.85
2013-12-09,32.74
2013-12-10,33.13
2013-12-11,32.6
2013-12-12,32.48
2013-12-13,32.49
2013-12-16,32.59
2013-12-17,32.52
2013-12-18,32.1
2013-12-19,32.89
2013-12-20,32.68
2013-12-23,33.07
2013-12-24,33.15
2013-12-26,33.22
2013-12-27,33.47
2013-12-30,33.28
