dt,open
2010-01-04,36.01
2010-01-05,36.24
2010-01-06,37.32
2010-01-07,37.02
2010-01-08,36.55
2010-01-11,36.42
2010-01-12,36.2
2010-01-13,37.37
2010-01-14,36.73
2010-01-15,36.64
2010-01-19,37.26
2010-01-20,37.45
2010-01-21,37.34
2010-01-22,36.53
2010-01-25,36.4
2010-01-26,35.95
2010-01-27,36.43
2010-01-28,37.29
2010-01-29,37.2
2010-02-01,36.59
2010-02-02,37.85
2010-02-03,37.23
2010-02-04,37.01
2010-02-05,36.83
2010-02-08,37.46
2010-02-09,37.24
2010-02-10,37.07
2010-02-11,37.23
2010-02-12,37.25
2010-02-16,37.61
2010-02-17,38.31
2010-02-18,37.92
2010-02-19,38.9
2010-02-22,39.98
2010-02-23,39.39
2010-02-24,39.34
2010-02-25,39.41
2010-02-26,39.71
2010-03-01,39.91
2010-03-02,40.01
2010-03-03,40.27
2010-03-04,40.78
2010-03-05,41.29
2010-03-08,41.3
2010-03-09,41.01
2010-03-10,41.61
2010-03-11,41.35
2010-03-12,41.75
2010-03-15,42.55
2010-03-16,42.93
2010-03-17,43.58
2010-03-18,43.24
2010-03-19,43.05
2010-03-22,42.22
2010-03-23,42.98
2010-03-24,43.03
2010-03-25,42.9
2010-03-26,42.68
2010-03-29,42.61
2010-03-30,42.84
2010-03-31,42.93
2010-04-01,43.0
2010-04-05,43.17
2010-04-06,43.07
2010-04-07,43.34
2010-04-08,43.28
2010-04-09,43.42
2010-04-12,44.04
2010-04-13,44.19
2010-04-14,43.89
2010-04-15,44.01
2010-04-16,44.08
2010-04-19,43.88
2010-04-20,44.47
2010-04-21,44.94
2010-04-22,45.82
2010-04-23,48.22
2010-04-26,47.14
2010-04-27,47.78
2010-04-28,47.13
2010-04-29,47.03
2010-04-30,47.25
2010-05-03,47.29
2010-05-04,47.26
2010-05-05,46.9
2010-05-06,46.97
2010-05-07,46.0
2010-05-10,47.89
2010-05-11,47.49
2010-05-12,47.83
2010-05-13,47.9
2010-05-14,47.6
2010-05-17,47.34
2010-05-18,48.34
2010-05-19,47.75
2010-05-20,47.3
2010-05-21,46.1
2010-05-24,46.29
2010-05-25,45.76
2010-05-26,46.29
2010-05-27,46.4
2010-05-28,47.18
2010-06-01,46.55
2010-06-02,48.13
2010-06-03,48.75
2010-06-04,48.92
2010-06-07,48.28
2010-06-08,48.73
2010-06-09,50.37
2010-06-10,51.62
2010-06-11,51.39
2010-06-14,51.06
2010-06-15,51.03
2010-06-16,49.68
2010-06-17,49.9
2010-06-18,51.1
2010-06-21,50.62
2010-06-22,49.33
2010-06-23,49.1
2010-06-24,49.38
2010-06-25,49.38
2010-06-28,48.62
2010-06-29,48.75
2010-06-30,47.9
2010-07-01,47.68
2010-07-02,47.89
2010-07-06,48.72
2010-07-07,49.43
2010-07-08,50.1
2010-07-09,50.32
2010-07-12,50.62
2010-07-13,50.95
2010-07-14,51.07
2010-07-15,51.28
2010-07-16,51.56
2010-07-19,50.88
2010-07-20,50.08
2010-07-21,50.2
2010-07-22,50.55
2010-07-23,47.81
2010-07-26,47.34
2010-07-27,47.62
2010-07-28,47.07
2010-07-29,46.57
2010-07-30,45.95
2010-08-02,47.35
