dt,open
2010-01-04,113.09
2010-01-05,112.0
2010-01-06,107.2
2010-01-07,104.77
2010-01-08,107.71
2010-01-11,108.81
2010-01-12,107.87
2010-01-13,106.13
2010-01-14,107.55
2010-01-15,109.41
2010-01-19,106.88
2010-01-20,108.34
2010-01-21,107.76
2010-01-22,103.27
2010-01-25,103.65
2010-01-26,100.44
2010-01-27,96.61
2010-01-28,97.7
2010-01-29,96.31
2010-02-01,96.34
2010-02-02,98.19
2010-02-03,99.62
2010-02-04,99.095
2010-02-05,95.65
2010-02-08,99.49
2010-02-09,98.25
2010-02-10,96.57
2010-02-11,96.89
2010-02-12,98.665
2010-02-16,101.29
2010-02-17,104.38
2010-02-18,102.76
2010-02-19,101.69
2010-02-22,103.81
2010-02-23,102.16
2010-02-24,102.61
2010-02-25,102.54
2010-02-26,105.4
2010-03-01,107.23
2010-03-02,108.37
2010-03-03,108.38
2010-03-04,107.29
2010-03-05,109.46
2010-03-08,109.3
2010-03-09,109.9
2010-03-10,109.84
2010-03-11,109.79
2010-03-12,111.99
2010-03-15,108.6
2010-03-16,109.01
2010-03-17,109.25
2010-03-18,109.85
2010-03-19,109.89
2010-03-22,107.43
2010-03-23,110.21
2010-03-24,109.65
2010-03-25,111.07
2010-03-26,110.26
2010-03-29,111.49
2010-03-30,111.36
2010-03-31,110.32
2010-04-01,112.73
2010-04-05,112.63
2010-04-06,108.92
2010-04-07,106.88
2010-04-08,105.76
2010-04-09,107.08
2010-04-12,106.97
2010-04-13,108.75
2010-04-14,109.32
2010-04-15,110.33
2010-04-16,111.17
2010-04-19,107.03
2010-04-20,109.97
2010-04-21,112.7
2010-04-22,111.17
2010-04-23,117.29
2010-04-26,118.5
2010-04-27,120.96
2010-04-28,116.81
2010-04-29,117.99
2010-04-30,118.18
2010-05-03,117.3
2010-05-04,115.7
2010-05-05,112.9
2010-05-06,118.95
2010-05-07,117.3
2010-05-10,119.21
2010-05-11,122.47
2010-05-12,120.97
2010-05-13,122.56
2010-05-14,121.28
2010-05-17,118.74
2010-05-18,120.04
2010-05-19,113.97
2010-05-20,111.7
2010-05-21,107.91
2010-05-24,115.54
2010-05-25,111.62
2010-05-26,114.28
2010-05-27,114.43
2010-05-28,117.1
2010-06-01,115.69
2010-06-02,117.07
2010-06-03,122.22
2010-06-04,118.64
2010-06-07,118.66
2010-06-08,117.64
2010-06-09,116.1
2010-06-10,115.81
2010-06-11,118.23
2010-06-14,125.28
2010-06-15,123.16
2010-06-16,121.93
2010-06-17,123.91
2010-06-18,122.23
2010-06-21,123.2
2010-06-22,121.75
2010-06-23,118.87
2010-06-24,116.4
2010-06-25,115.5
2010-06-28,118.36
2010-06-29,116.6
2010-06-30,113.78
2010-07-01,113.62
2010-07-02,112.71
2010-07-06,107.6
2010-07-07,104.08
2010-07-08,107.15
2010-07-09,107.09
2010-07-12,106.34
2010-07-13,107.71
2010-07-14,107.39
2010-07-15,105.81
2010-07-16,104.3
2010-07-19,101.79
2010-07-20,103.01
2010-07-21,109.08
2010-07-22,106.12
2010-07-23,105.65
2010-07-26,108.67
2010-07-27,108.47
2010-07-28,107.15
2010-07-29,107.02
2010-07-30,105.67
2010-08-02,107.0
2010-08-03,108.25
2010-08-04,108.25
2010-08-05,110.0
2010-08-06,107.52
2010-08-09,107.98
2010-08-10,107.45
2010-08-11,104.91
2010-08-12,100.88
2010-08-13,100.32
2010-08-16,97.3
2010-08-17,99.1
2010-08-18,99.72
2010-08-19,99.22
2010-08-20,96.52
2010-08-23,97.16
2010-08-24,95.52
2010-08-25,93.44
2010-08-26,96.22
2010-08-27,96.37
2010-08-30,97.2
2010-08-31,94.0
2010-09-01,97.5
2010-09-02,98.98
2010-09-03,101.85
2010-09-07,101.72
2010-09-08,103.29
