dt,open
2010-01-04,41.51
2010-01-05,41.86
2010-01-06,41.63
2010-01-07,41.65
2010-01-08,41.33
2010-01-11,41.55
2010-01-12,41.21
2010-01-13,41.43
2010-01-14,41.89
2010-01-15,42.03
2010-01-19,42.06
2010-01-20,42.36
2010-01-21,42.35
2010-01-22,41.48
2010-01-25,41.39
2010-01-26,40.65
2010-01-27,40.2
2010-01-28,40.35
2010-01-29,40.16
2010-02-01,40.03
2010-02-02,40.38
2010-02-03,40.8
2010-02-04,41.07
2010-02-05,40.15
2010-02-08,40.17
2010-02-09,40.32
2010-02-10,41.11
2010-02-11,41.28
2010-02-12,41.2
2010-02-16,41.87
2010-02-17,42.13
2010-02-18,42.08
2010-02-19,42.23
2010-02-22,42.48
2010-02-23,42.19
2010-02-24,41.91
2010-02-25,41.5
2010-02-26,42.12
2010-03-01,42.2
2010-03-02,42.5
2010-03-03,42.89
2010-03-04,43.27
2010-03-05,43.85
2010-03-08,44.45
2010-03-09,44.21
2010-03-10,43.79
2010-03-11,43.79
2010-03-12,44.38
2010-03-15,44.72
2010-03-16,45.0
2010-03-17,45.43
2010-03-18,45.46
2010-03-19,45.44
2010-03-22,44.49
2010-03-23,45.45
2010-03-24,46.04
2010-03-25,45.98
2010-03-26,45.75
2010-03-29,46.81
2010-03-30,48.08
2010-03-31,47.62
2010-04-01,47.99
2010-04-05,48.18
2010-04-06,48.53
2010-04-07,48.89
2010-04-08,48.8
2010-04-09,48.98
2010-04-12,49.94
2010-04-13,49.88
2010-04-14,50.59
2010-04-15,50.74
2010-04-16,51.34
2010-04-19,50.19
2010-04-20,50.8
2010-04-21,50.71
2010-04-22,49.91
2010-04-23,50.95
2010-04-26,51.705
2010-04-27,50.93
2010-04-28,50.51
2010-04-29,50.73
2010-04-30,51.39
2010-05-03,50.15
2010-05-04,50.52
2010-05-05,49.04
2010-05-06,48.24
2010-05-07,46.53
2010-05-10,46.73
2010-05-11,46.46
2010-05-12,46.67
2010-05-13,47.46
2010-05-14,46.7
2010-05-17,46.23
2010-05-18,46.54
2010-05-19,45.19
2010-05-20,43.9
