dt,open
2010-01-04,48.59
2010-01-05,48.44
2010-01-06,48.49
2010-01-07,48.14
2010-01-08,48.52
2010-01-11,49.41
2010-01-12,49.06
2010-01-13,48.7
2010-01-14,48.48
2010-01-15,48.61
2010-01-19,47.93
2010-01-20,48.15
2010-01-21,48.05
2010-01-22,45.73
2010-01-25,45.75
2010-01-26,45.23
2010-01-27,42.85
2010-01-28,44.66
2010-01-29,44.07
2010-02-01,43.92
2010-02-02,43.8
2010-02-03,43.82
2010-02-04,43.4
2010-02-05,42.6
2010-02-08,42.71
2010-02-09,42.71
2010-02-10,43.24
2010-02-11,43.25
2010-02-12,43.38
2010-02-16,43.97
2010-02-17,44.95
2010-02-18,45.46
2010-02-19,46.34
2010-02-22,46.87
2010-02-23,46.27
2010-02-24,45.87
2010-02-25,44.97
2010-02-26,45.24
2010-03-01,45.75
2010-03-02,46.37
2010-03-03,46.1
2010-03-04,46.45
2010-03-05,47.02
2010-03-08,47.4
2010-03-09,46.65
2010-03-10,46.71
2010-03-11,46.62
2010-03-12,46.84
2010-03-15,46.54
2010-03-16,45.55
2010-03-17,46.0
2010-03-18,46.27
2010-03-19,47.59
2010-03-22,46.39
2010-03-23,47.09
2010-03-24,47.25
2010-03-25,47.18
2010-03-26,46.91
2010-03-29,47.34
2010-03-30,47.35
2010-03-31,47.41
2010-04-01,47.53
2010-04-05,47.74
2010-04-06,47.71
2010-04-07,47.59
2010-04-08,47.15
2010-04-09,47.22
2010-04-12,47.74
2010-04-13,47.78
2010-04-14,48.08
2010-04-15,48.91
2010-04-16,49.38
2010-04-19,49.01
2010-04-20,50.22
2010-04-21,50.84
2010-04-22,50.68
2010-04-23,52.05
2010-04-26,52.11
2010-04-27,52.27
2010-04-28,51.21
2010-04-29,51.67
2010-04-30,52.38
2010-05-03,51.43
2010-05-04,51.22
2010-05-05,49.96
2010-05-06,49.53
2010-05-07,48.12
2010-05-10,49.88
2010-05-11,49.66
2010-05-12,50.44
2010-05-13,51.45
2010-05-14,49.87
2010-05-17,49.48
2010-05-18,50.2
2010-05-19,48.5
2010-05-20,46.55
2010-05-21,44.26
2010-05-24,45.27
2010-05-25,44.02
2010-05-26,45.49
2010-05-27,46.16
2010-05-28,46.89
2010-06-01,46.09
2010-06-02,45.31
2010-06-03,46.82
2010-06-04,45.83
2010-06-07,44.33
2010-06-08,43.26
2010-06-09,43.74
2010-06-10,43.71
2010-06-11,44.87
2010-06-14,45.81
2010-06-15,46.18
2010-06-16,46.55
2010-06-17,46.5
2010-06-18,46.09
2010-06-21,45.89
2010-06-22,46.27
2010-06-23,44.58
2010-06-24,43.79
2010-06-25,43.55
2010-06-28,43.97
2010-06-29,42.48
2010-06-30,41.28
2010-07-01,41.21
2010-07-02,41.7
2010-07-06,41.62
2010-07-07,41.21
2010-07-08,42.78
2010-07-09,43.08
2010-07-12,43.28
2010-07-13,44.21
2010-07-14,43.94
2010-07-15,44.04
2010-07-16,43.58
2010-07-19,42.85
2010-07-20,42.21
2010-07-21,43.09
2010-07-22,42.94
2010-07-23,42.3
2010-07-26,43.51
2010-07-27,43.85
2010-07-28,43.56
2010-07-29,43.68
2010-07-30,42.92
2010-08-02,44.27
2010-08-03,44.69
2010-08-04,45.29
2010-08-05,45.33
2010-08-06,45.2
2010-08-09,45.73
2010-08-10,45.21
2010-08-11,44.44
2010-08-12,42.83
2010-08-13,42.96
2010-08-16,42.62
2010-08-17,42.86
2010-08-18,42.89
2010-08-19,42.47
2010-08-20,41.78
2010-08-23,42.37
2010-08-24,41.37
2010-08-25,40.93
2010-08-26,41.4
2010-08-27,41.12
2010-08-30,41.65
2010-08-31,40.94
2010-09-01,41.93
2010-09-02,42.97
2010-09-03,44.76
2010-09-07,44.96
2010-09-08,44.92
2010-09-09,45.63
2010-09-10,45.2
2010-09-13,46.1
2010-09-14,46.58
2010-09-15,46.93
2010-09-16,46.9
2010-09-17,46.9
2010-09-20,46.49
2010-09-21,47.12
2010-09-22,47.09
2010-09-23,46.19
2010-09-24,46.52
2010-09-27,47.24
2010-09-28,46.67
2010-09-29,46.94
2010-09-30,46.98
2010-10-01,47.23
2010-10-04,47.22
2010-10-05,47.39
2010-10-06,48.09
2010-10-07,48.59
2010-10-08,48.24
2010-10-11,48.52
2010-10-12,48.13
2010-10-13,48.34
2010-10-14,48.77
2010-10-15,49.41
2010-10-18,49.04
2010-10-19,46.25
2010-10-20,46.45
2010-10-21,46.82
2010-10-22,47.12
2010-10-25,47.05
2010-10-26,46.61
2010-10-27,45.75
2010-10-28,46.52
2010-10-29,45.74
2010-11-01,46.06
2010-11-02,46.69
2010-11-03,46.67
2010-11-04,46.85
2010-11-05,47.76
2010-11-08,48.08
2010-11-09,48.75
2010-11-10,48.2
2010-11-11,47.71
2010-11-12,47.49
2010-11-15,47.42
2010-11-16,47.68
2010-11-17,46.94
2010-11-18,47.45
2010-11-19,47.24
2010-11-22,46.99
2010-11-23,47.0
2010-11-24,47.0
2010-11-26,47.04
2010-11-29,46.89
2010-11-30,47.23
2010-12-01,48.51
2010-12-02,48.48
2010-12-03,48.38
2010-12-06,50.14
2010-12-07,50.88
2010-12-08,50.51
2010-12-09,50.94
2010-12-10,51.01
2010-12-13,51.22
2010-12-14,51.28
2010-12-15,51.07
2010-12-16,50.94
2010-12-17,51.67
2010-12-20,53.82
2010-12-21,53.06
2010-12-22,53.18
2010-12-23,53.63
2010-12-27,53.4
2010-12-28,53.61
2010-12-29,53.65
2010-12-30,53.26
2010-12-31,53.55
2011-01-03,53.73
2011-01-04,54.41
2011-01-05,53.95
2011-01-06,54.4
2011-01-07,54.41
