dt,open
2010-01-04,41.79
2010-01-05,42.79
2010-01-06,43.47
2010-01-07,43.79
2010-01-08,44.37
2010-01-11,45.1
2010-01-12,43.99
2010-01-13,43.55
2010-01-14,44.2
2010-01-15,44.3
2010-01-19,43.37
2010-01-20,43.01
2010-01-21,43.04
2010-01-22,40.65
2010-01-25,39.77
2010-01-26,39.01
2010-01-27,38.35
2010-01-28,39.61
2010-01-29,39.64
2010-02-01,38.98
2010-02-02,39.8
2010-02-03,40.58
2010-02-04,39.79
2010-02-05,38.58
2010-02-08,38.32
2010-02-09,38.2
2010-02-10,38.63
2010-02-11,38.84
2010-02-12,38.7
2010-02-16,39.39
2010-02-17,40.23
2010-02-18,39.94
2010-02-19,40.1
2010-02-22,40.41
2010-02-23,40.9
2010-02-24,40.05
2010-02-25,40.13
2010-02-26,40.69
2010-03-01,42.0
2010-03-02,41.97
2010-03-03,41.65
2010-03-04,41.91
2010-03-05,42.32
2010-03-08,42.77
2010-03-09,42.39
2010-03-10,42.88
2010-03-11,42.89
2010-03-12,43.34
2010-03-15,42.92
2010-03-16,43.35
2010-03-17,43.31
2010-03-18,43.75
2010-03-19,43.71
2010-03-22,43.07
2010-03-23,43.85
2010-03-24,44.44
2010-03-25,44.98
2010-03-26,45.02
2010-03-29,45.25
2010-03-30,44.9
2010-03-31,44.31
2010-04-01,45.03
2010-04-05,45.28
2010-04-06,45.23
2010-04-07,45.83
2010-04-08,45.16
2010-04-09,45.83
2010-04-12,46.02
2010-04-13,46.04
2010-04-14,47.4
2010-04-15,47.65
2010-04-16,47.64
2010-04-19,45.23
2010-04-20,45.77
2010-04-21,46.05
2010-04-22,44.92
2010-04-23,44.74
2010-04-26,44.78
2010-04-27,43.47
2010-04-28,42.84
2010-04-29,43.89
2010-04-30,44.04
2010-05-03,42.97
2010-05-04,42.97
2010-05-05,42.11
2010-05-06,42.63
2010-05-07,41.03
2010-05-10,42.34
2010-05-11,41.46
2010-05-12,41.74
2010-05-13,41.44
2010-05-14,40.1
2010-05-17,39.93
2010-05-18,40.62
2010-05-19,38.54
2010-05-20,38.55
2010-05-21,37.02
2010-05-24,40.16
2010-05-25,37.67
2010-05-26,39.21
2010-05-27,39.6
2010-05-28,40.29
2010-06-01,39.32
2010-06-02,39.17
2010-06-03,39.86
2010-06-04,38.49
2010-06-07,37.79
2010-06-08,36.86
2010-06-09,38.15
2010-06-10,37.68
2010-06-11,37.79
2010-06-14,37.97
2010-06-15,37.55
2010-06-16,38.02
2010-06-17,38.65
2010-06-18,38.6
2010-06-21,39.53
2010-06-22,38.93
2010-06-23,38.29
2010-06-24,38.55
2010-06-25,38.79
2010-06-28,39.57
2010-06-29,37.9
2010-06-30,37.02
2010-07-01,36.54
2010-07-02,36.31
2010-07-06,36.69
2010-07-07,36.64
2010-07-08,38.82
2010-07-09,37.73
2010-07-12,38.86
2010-07-13,39.84
2010-07-14,40.15
2010-07-15,40.71
2010-07-16,40.28
2010-07-19,39.03
2010-07-20,38.32
2010-07-21,40.25
2010-07-22,38.96
2010-07-23,39.18
2010-07-26,39.8
2010-07-27,40.74
2010-07-28,40.44
2010-07-29,40.71
