dt,open
2010-01-04,38.13
2010-01-05,37.78
2010-01-06,37.32
2010-01-07,37.79
2010-01-08,38.76
2010-01-11,38.14
2010-01-12,37.87
2010-01-13,37.11
2010-01-14,37.44
2010-01-15,36.52
2010-01-19,36.03
2010-01-20,35.69
2010-01-21,35.82
2010-01-22,35.33
2010-01-25,34.44
2010-01-26,34.09
2010-01-27,35.0
2010-01-28,35.01
2010-01-29,34.92
2010-02-01,34.84
2010-02-02,35.22
2010-02-03,36.06
2010-02-04,36.51
2010-02-05,34.3
2010-02-08,34.27
2010-02-09,34.51
2010-02-10,34.03
2010-02-11,33.48
2010-02-12,33.33
2010-02-16,34.84
2010-02-17,35.35
2010-02-18,34.95
2010-02-19,35.25
2010-02-22,36.11
2010-02-23,35.23
2010-02-24,36.23
2010-02-25,35.99
2010-02-26,36.9
2010-03-01,36.86
2010-03-02,37.73
2010-03-03,37.67
2010-03-04,38.24
2010-03-05,38.66
2010-03-08,39.09
2010-03-09,39.08
2010-03-10,39.27
2010-03-11,38.91
2010-03-12,39.25
2010-03-15,39.4
2010-03-16,39.72
2010-03-17,39.78
2010-03-18,39.81
2010-03-19,40.37
2010-03-22,40.07
2010-03-23,41.29
2010-03-24,41.38
2010-03-25,41.2
2010-03-26,41.37
2010-03-29,42.02
2010-03-30,41.64
2010-03-31,41.15
2010-04-01,41.25
2010-04-05,41.54
2010-04-06,42.63
2010-04-07,43.38
2010-04-08,42.09
2010-04-09,41.75
2010-04-12,42.66
2010-04-13,41.9
2010-04-14,42.09
2010-04-15,42.73
2010-04-16,43.21
2010-04-19,42.63
2010-04-20,42.15
2010-04-21,42.73
2010-04-22,43.32
2010-04-23,45.33
2010-04-26,45.95
2010-04-27,44.45
2010-04-28,42.99
2010-04-29,42.8
2010-04-30,43.01
2010-05-03,41.58
2010-05-04,42.96
2010-05-05,41.12
2010-05-06,41.35
2010-05-07,40.19
2010-05-10,41.79
2010-05-11,42.99
2010-05-12,42.18
2010-05-13,42.97
2010-05-14,39.87
2010-05-17,39.69
2010-05-18,39.69
2010-05-19,37.5
2010-05-20,37.41
2010-05-21,36.29
2010-05-24,38.11
2010-05-25,36.41
2010-05-26,38.71
2010-05-27,38.6
2010-05-28,39.87
2010-06-01,39.14
2010-06-02,39.45
2010-06-03,39.26
2010-06-04,37.71
2010-06-07,36.58
2010-06-08,35.92
2010-06-09,36.53
2010-06-10,37.01
2010-06-11,37.19
2010-06-14,38.27
2010-06-15,39.35
2010-06-16,40.03
2010-06-17,39.88
2010-06-18,39.3
2010-06-21,39.21
2010-06-22,37.86
2010-06-23,36.87
2010-06-24,36.57
2010-06-25,35.44
2010-06-28,35.75
2010-06-29,34.24
2010-06-30,32.5
2010-07-01,32.24
2010-07-02,33.18
2010-07-06,32.82
2010-07-07,31.85
2010-07-08,35.6
2010-07-09,33.72
2010-07-12,34.34
2010-07-13,34.61
2010-07-14,34.44
2010-07-15,34.4
2010-07-16,34.04
2010-07-19,32.49
2010-07-20,31.05
2010-07-21,33.2
2010-07-22,32.56
2010-07-23,33.29
2010-07-26,34.08
2010-07-27,35.07
2010-07-28,34.38
2010-07-29,33.88
2010-07-30,32.99
2010-08-02,34.62
2010-08-03,35.41
2010-08-04,34.25
2010-08-05,33.94
2010-08-06,33.6
2010-08-09,34.29
2010-08-10,34.55
2010-08-11,33.66
2010-08-12,32.9
2010-08-13,31.5
2010-08-16,30.83
2010-08-17,30.27
2010-08-18,30.99
2010-08-19,31.21
2010-08-20,30.97
2010-08-23,31.83
2010-08-24,30.78
2010-08-25,30.03
2010-08-26,31.21
2010-08-27,30.3
2010-08-30,30.19
2010-08-31,28.57
2010-09-01,29.48
2010-09-02,31.79
2010-09-03,33.24
2010-09-07,33.15
2010-09-08,32.54
2010-09-09,33.66
2010-09-10,33.04
2010-09-13,33.77
2010-09-14,34.24
2010-09-15,35.03
2010-09-16,35.7
2010-09-17,36.36
2010-09-20,36.22
2010-09-21,36.48
2010-09-22,35.72
2010-09-23,35.21
2010-09-24,35.87
2010-09-27,36.33
2010-09-28,37.24
2010-09-29,38.05
2010-09-30,38.0
2010-10-01,37.61
2010-10-04,37.14
2010-10-05,37.58
2010-10-06,37.52
2010-10-07,37.91
2010-10-08,38.47
2010-10-11,39.04
2010-10-12,38.83
2010-10-13,39.19
2010-10-14,38.39
2010-10-15,38.63
2010-10-18,38.85
2010-10-19,38.24
2010-10-20,37.47
2010-10-21,37.1
2010-10-22,36.2
2010-10-25,37.33
2010-10-26,37.11
2010-10-27,37.73
2010-10-28,38.65
2010-10-29,38.62
2010-11-01,38.9
2010-11-02,38.97
2010-11-03,39.36
2010-11-04,39.8
2010-11-05,41.79
