dt,open
2015-07-06,71.0
2015-07-07,73.73
2015-07-08,74.3
2015-07-09,76.47
2015-07-10,75.05
2015-07-13,79.5
2015-07-14,79.45
2015-07-15,77.65
2015-07-16,76.97
2015-07-17,79.43
2015-07-20,79.95
2015-07-21,79.97
2015-07-22,80.83
2015-07-23,78.34
2015-07-24,76.92
2015-07-27,76.63
2015-07-28,78.44
2015-07-29,78.26
2015-07-30,78.21
2015-07-31,79.94
2015-08-03,80.0
2015-08-04,80.57
2015-08-05,80.01
2015-08-06,81.1
2015-08-07,79.14
2015-08-10,79.5
2015-08-11,77.63
2015-08-12,77.83
2015-08-13,76.93
2015-08-14,76.07
2015-08-17,75.86
2015-08-18,75.72
2015-08-19,75.0
2015-08-20,74.1
2015-08-21,73.31
2015-08-24,68.24
2015-08-25,71.54
2015-08-26,71.72
2015-08-27,73.17
2015-08-28,74.4
2015-08-31,74.21
2015-09-01,71.07
2015-09-02,70.84
2015-09-03,72.56
2015-09-04,71.14
2015-09-08,71.85
2015-09-09,74.45
2015-09-10,72.13
2015-09-11,72.25
2015-09-14,73.5
2015-09-15,74.94
2015-09-16,75.2
2015-09-17,76.58
2015-09-18,75.55
2015-09-21,75.61
2015-09-22,74.15
2015-09-23,74.17
2015-09-24,73.0
2015-09-25,73.8
2015-09-28,72.81
2015-09-29,70.16
2015-09-30,69.67
2015-10-01,71.27
2015-10-02,70.19
2015-10-05,72.0
2015-10-06,72.29
2015-10-07,72.74
2015-10-08,73.16
2015-10-09,74.41
2015-10-12,74.41
2015-10-13,73.61
2015-10-14,73.12
2015-10-15,74.15
2015-10-16,75.68
2015-10-19,76.89
2015-10-20,76.2
2015-10-21,77.0
2015-10-22,77.22
2015-10-23,79.15
2015-10-26,78.18
2015-10-27,76.21
2015-10-28,77.15
2015-10-29,78.84
2015-10-30,78.37
2015-11-02,78.43
2015-11-03,77.83
2015-11-04,76.32
2015-11-05,76.2
2015-11-06,73.75
2015-11-09,72.0
2015-11-10,71.75
2015-11-11,72.7
2015-11-12,71.18
2015-11-13,70.62
2015-11-16,71.02
2015-11-17,72.1
2015-11-18,71.84
2015-11-19,73.25
2015-11-20,74.06
2015-11-23,74.03
2015-11-24,73.73
2015-11-25,74.45
2015-11-27,74.57
2015-11-30,74.52
2015-12-01,74.23
2015-12-02,74.21
2015-12-03,73.3
2015-12-04,71.4
2015-12-07,71.92
2015-12-08,71.0
2015-12-09,71.16
2015-12-10,70.83
2015-12-11,70.09
2015-12-14,70.07
2015-12-15,71.73
2015-12-16,72.61
2015-12-17,72.95
2015-12-18,71.42
2015-12-21,70.52
2015-12-22,71.64
2015-12-23,73.3
2015-12-24,74.81
2015-12-28,73.71
2015-12-29,73.65
2015-12-30,74.65
2015-12-31,73.4
2016-01-04,71.39
2016-01-05,72.74
2016-01-06,72.2
2016-01-07,72.01
2016-01-08,72.19
2016-01-11,71.35
