dt,open
2010-01-04,64.29
2010-01-05,64.31
2010-01-06,64.35
2010-01-07,63.68
2010-01-08,62.87
2010-01-11,62.69
2010-01-12,62.53
2010-01-13,63.27
2010-01-14,63.18
2010-01-15,62.84
2010-01-19,62.38
2010-01-20,62.61
2010-01-21,62.23
2010-01-22,59.89
2010-01-25,60.75
2010-01-26,60.75
2010-01-27,60.12
2010-01-28,59.82
2010-01-29,59.48
2010-02-01,59.93
2010-02-02,59.67
2010-02-03,60.59
2010-02-04,60.01
2010-02-05,59.22
2010-02-08,59.16
2010-02-09,59.46
2010-02-10,59.47
2010-02-11,59.1
2010-02-12,58.95
2010-02-16,59.0
2010-02-17,59.41
2010-02-18,59.3
2010-02-19,60.35
2010-02-22,60.38
2010-02-23,59.8
2010-02-24,60.58
2010-02-25,60.02
2010-02-26,60.64
2010-03-01,61.44
2010-03-02,59.94
2010-03-03,59.95
2010-03-04,60.3
2010-03-05,60.25
2010-03-08,60.21
2010-03-09,60.01
2010-03-10,60.1
2010-03-11,59.62
2010-03-12,59.81
2010-03-15,60.15
2010-03-16,59.78
2010-03-17,60.61
2010-03-18,61.02
2010-03-19,61.65
2010-03-22,61.46
2010-03-23,63.28
2010-03-24,63.49
2010-03-25,63.11
2010-03-26,63.07
2010-03-29,62.88
2010-03-30,63.33
2010-03-31,62.92
2010-04-01,63.18
2010-04-05,62.85
2010-04-06,62.25
2010-04-07,61.85
2010-04-08,61.37
2010-04-09,61.32
2010-04-12,61.94
2010-04-13,61.37
2010-04-14,61.12
2010-04-15,61.1
2010-04-16,61.31
2010-04-19,61.68
2010-04-20,62.42
2010-04-21,62.69
2010-04-22,62.68
2010-04-23,62.28
2010-04-26,61.52
2010-04-27,60.87
2010-04-28,61.03
2010-04-29,61.31
2010-04-30,61.43
2010-05-03,61.34
2010-05-04,60.78
2010-05-05,61.13
2010-05-06,61.36
2010-05-07,60.52
2010-05-10,62.42
2010-05-11,62.63
2010-05-12,63.1
2010-05-13,62.85
2010-05-14,61.96
2010-05-17,61.81
2010-05-18,62.65
2010-05-19,61.8
2010-05-20,61.01
2010-05-21,60.51
2010-05-24,61.39
2010-05-25,60.24
2010-05-26,60.85
2010-05-27,60.88
2010-05-28,61.36
2010-06-01,60.42
2010-06-02,60.64
2010-06-03,61.24
2010-06-04,60.73
2010-06-07,60.19
2010-06-08,60.88
2010-06-09,61.79
2010-06-10,62.33
2010-06-11,61.96
2010-06-14,62.51
2010-06-15,62.74
2010-06-16,62.77
2010-06-17,63.17
2010-06-18,63.3
2010-06-21,63.33
2010-06-22,62.69
2010-06-23,62.31
2010-06-24,62.11
2010-06-25,62.06
2010-06-28,61.82
2010-06-29,61.13
2010-06-30,61.02
2010-07-01,60.58
2010-07-02,60.91
2010-07-06,60.99
2010-07-07,60.32
2010-07-08,61.6
2010-07-09,61.76
2010-07-12,61.68
2010-07-13,62.44
2010-07-14,62.15
2010-07-15,62.41
2010-07-16,62.27
2010-07-19,62.4
2010-07-20,62.22
2010-07-21,63.67
2010-07-22,62.78
2010-07-23,62.75
2010-07-26,63.86
2010-07-27,64.23
2010-07-28,64.95
2010-07-29,64.54
2010-07-30,63.65
2010-08-02,64.55
2010-08-03,64.81
2010-08-04,64.97
2010-08-05,65.12
2010-08-06,65.02
2010-08-09,65.37
2010-08-10,65.59
2010-08-11,65.32
2010-08-12,64.69
2010-08-13,65.07
2010-08-16,64.65
2010-08-17,65.16
2010-08-18,65.03
2010-08-19,65.02
2010-08-20,64.38
2010-08-23,65.04
2010-08-24,64.39
2010-08-25,64.59
2010-08-26,64.52
2010-08-27,64.22
2010-08-30,64.43
2010-08-31,64.09
2010-09-01,64.73
2010-09-02,65.4
2010-09-03,66.11
2010-09-07,65.95
2010-09-08,65.69
2010-09-09,66.34
2010-09-10,66.17
2010-09-13,66.64
2010-09-14,66.38
2010-09-15,66.48
2010-09-16,66.3
2010-09-17,66.66
2010-09-20,66.71
2010-09-21,66.88
2010-09-22,66.54
2010-09-23,66.46
2010-09-24,66.42
2010-09-27,66.01
2010-09-28,65.45
2010-09-29,64.725
2010-09-30,65.3
2010-10-01,65.07
2010-10-04,65.07
2010-10-05,65.59
2010-10-06,65.47
2010-10-07,66.34
2010-10-08,66.22
2010-10-11,66.2301
2010-10-12,66.5
2010-10-13,66.83
2010-10-14,66.64
2010-10-15,66.58
2010-10-18,66.47
2010-10-19,66.48
2010-10-20,66.2
2010-10-21,66.83
2010-10-22,66.56
2010-10-25,66.86
2010-10-26,64.89
2010-10-27,62.8
2010-10-28,62.67
2010-10-29,62.45
2010-11-01,63.34
2010-11-02,62.51
2010-11-03,62.98
2010-11-04,63.21
2010-11-05,63.0
2010-11-08,62.93
2010-11-09,62.71
2010-11-10,62.25
2010-11-11,61.76
2010-11-12,61.68
2010-11-15,62.37
2010-11-16,62.02
2010-11-17,61.48
2010-11-18,62.05
2010-11-19,62.13
2010-11-22,61.92
2010-11-23,62.02
2010-11-24,61.63
