dt,open
2010-01-04,57.16
2010-01-05,56.85
2010-01-06,56.35
2010-01-07,56.33
2010-01-08,55.46
2010-01-11,55.15
2010-01-12,56.15
2010-01-13,56.86
2010-01-14,57.04
2010-01-15,56.95
2010-01-19,56.22
2010-01-20,56.16
2010-01-21,55.55
2010-01-22,54.35
2010-01-25,54.49
2010-01-26,54.07
2010-01-27,54.0
2010-01-28,54.71
2010-01-29,54.44
2010-02-01,54.51
2010-02-02,54.53
2010-02-03,54.92
2010-02-04,54.55
2010-02-05,53.24
2010-02-08,53.27
2010-02-09,53.69
2010-02-10,54.6
2010-02-11,53.6
2010-02-12,53.92
2010-02-16,54.51
2010-02-17,54.81
2010-02-18,55.15
2010-02-19,55.8
2010-02-22,55.8
2010-02-23,55.41
2010-02-24,55.0
2010-02-25,53.14
2010-02-26,53.08
2010-03-01,53.22
2010-03-02,53.38
2010-03-03,53.3
2010-03-04,54.7
2010-03-05,54.69
2010-03-08,54.72
2010-03-09,54.34
2010-03-10,54.26
2010-03-11,53.78
2010-03-12,53.69
2010-03-15,53.73
2010-03-16,53.8
2010-03-17,53.83
2010-03-18,53.9
2010-03-19,54.14
2010-03-22,54.49
2010-03-23,54.71
2010-03-24,55.22
2010-03-25,54.91
2010-03-26,54.79
2010-03-29,54.8
2010-03-30,54.9
2010-03-31,54.79
2010-04-01,55.35
2010-04-05,55.56
2010-04-06,54.84
2010-04-07,54.3
2010-04-08,53.78
2010-04-09,53.91
2010-04-12,54.65
2010-04-13,54.68
2010-04-14,55.03
2010-04-15,54.76
2010-04-16,54.23
2010-04-19,54.98
2010-04-20,55.22
2010-04-21,54.57
2010-04-22,54.15
2010-04-23,54.46
2010-04-26,54.0
2010-04-27,53.66
2010-04-28,53.01
2010-04-29,53.62
2010-04-30,53.62
2010-05-03,53.71
2010-05-04,53.39
2010-05-05,53.43
2010-05-06,53.67
2010-05-07,52.19
2010-05-10,53.89
2010-05-11,53.62
2010-05-12,53.8
2010-05-13,53.95
2010-05-14,53.36
2010-05-17,53.48
2010-05-18,53.7
2010-05-19,53.0
2010-05-20,52.5
2010-05-21,50.84
2010-05-24,51.21
2010-05-25,50.37
2010-05-26,50.83
2010-05-27,50.61
2010-05-28,51.18
2010-06-01,51.12
2010-06-02,51.54
2010-06-03,52.67
2010-06-04,52.14
2010-06-07,51.23
2010-06-08,50.79
2010-06-09,51.56
2010-06-10,51.86
2010-06-11,51.71
2010-06-14,51.94
2010-06-15,51.83
2010-06-16,51.83
2010-06-17,52.5
2010-06-18,52.39
2010-06-21,52.82
2010-06-22,52.46
2010-06-23,52.56
2010-06-24,52.11
2010-06-25,51.79
2010-06-28,50.73
2010-06-29,50.58
2010-06-30,50.38
2010-07-01,50.3
2010-07-02,50.22
2010-07-06,50.59
2010-07-07,50.54
2010-07-08,51.68
2010-07-09,52.36
2010-07-12,52.16
2010-07-13,52.66
2010-07-14,52.56
2010-07-15,52.72
2010-07-16,52.77
2010-07-19,52.54
2010-07-20,51.97
2010-07-21,53.5
2010-07-22,54.01
2010-07-23,54.2
2010-07-26,54.83
2010-07-27,54.91
2010-07-28,55.05
2010-07-29,55.08
2010-07-30,54.71
2010-08-02,55.82
2010-08-03,56.37
2010-08-04,56.52
2010-08-05,56.41
2010-08-06,56.1
2010-08-09,56.37
2010-08-10,56.64
2010-08-11,56.24
2010-08-12,55.53
2010-08-13,55.64
2010-08-16,55.51
2010-08-17,56.02
2010-08-18,56.3
2010-08-19,55.73
2010-08-20,55.16
2010-08-23,55.51
2010-08-24,55.09
2010-08-25,55.42
2010-08-26,55.43
2010-08-27,55.44
2010-08-30,56.2
2010-08-31,55.2
2010-09-01,56.38
2010-09-02,57.2
2010-09-03,57.36
2010-09-07,57.52
2010-09-08,57.74
2010-09-09,58.08
2010-09-10,58.1
2010-09-13,58.48
2010-09-14,57.85
2010-09-15,57.37
2010-09-16,57.4
2010-09-17,57.77
2010-09-20,57.62
2010-09-21,57.91
2010-09-22,58.15
2010-09-23,58.02
