dt,open
2010-01-04,87.9
2010-01-05,88.0
2010-01-06,88.1
2010-01-07,87.88
2010-01-08,87.63
2010-01-11,88.0
2010-01-12,88.27
2010-01-13,88.23
2010-01-14,88.94
2010-01-15,90.13
2010-01-19,89.51
2010-01-20,89.11
2010-01-21,88.1
2010-01-22,86.35
2010-01-25,85.45
2010-01-26,85.21
2010-01-27,84.71
2010-01-28,85.65
2010-01-29,84.84
2010-02-01,83.63
2010-02-02,84.8
2010-02-03,86.55
2010-02-04,86.69
2010-02-05,84.35
2010-02-08,84.24
2010-02-09,85.24
2010-02-10,85.96
2010-02-11,85.52
2010-02-12,86.1
2010-02-16,87.37
2010-02-17,88.09
2010-02-18,88.12
2010-02-19,89.68
2010-02-22,90.37
2010-02-23,91.1
2010-02-24,90.54
2010-02-25,89.97
2010-02-26,90.84
2010-03-01,91.4
2010-03-02,92.26
2010-03-03,92.43
2010-03-04,92.68
2010-03-05,92.51
2010-03-08,93.25
2010-03-09,92.35
2010-03-10,92.21
2010-03-11,92.44
2010-03-12,92.5
2010-03-15,92.05
2010-03-16,92.56
2010-03-17,92.96
2010-03-18,93.88
2010-03-19,94.23
2010-03-22,93.62
2010-03-23,94.09
2010-03-24,94.51
2010-03-25,94.16
2010-03-26,93.23
2010-03-29,93.75
2010-03-30,93.62
2010-03-31,92.81
2010-04-01,91.81
2010-04-05,92.71
2010-04-06,92.58
2010-04-07,92.68
2010-04-08,92.55
2010-04-09,92.72
2010-04-12,93.58
2010-04-13,94.49
2010-04-14,95.38
2010-04-15,95.48
2010-04-16,95.62
2010-04-19,95.6
2010-04-20,95.5
2010-04-21,96.76
2010-04-22,96.47
2010-04-23,96.82
2010-04-26,96.91
2010-04-27,95.62
2010-04-28,94.13
2010-04-29,94.35
2010-04-30,95.53
2010-05-03,93.91
2010-05-04,94.46
2010-05-05,92.51
2010-05-06,92.05
2010-05-07,89.6
2010-05-10,90.3
2010-05-11,88.65
2010-05-12,90.03
2010-05-13,90.36
2010-05-14,89.06
2010-05-17,88.62
2010-05-18,88.62
2010-05-19,86.43
2010-05-20,85.0
2010-05-21,81.11
2010-05-24,83.44
2010-05-25,81.05
2010-05-26,83.21
2010-05-27,83.44
2010-05-28,83.37
2010-06-01,81.95
2010-06-02,81.9
2010-06-03,82.84
2010-06-04,81.82
2010-06-07,81.29
2010-06-08,79.8
2010-06-09,79.75
2010-06-10,78.58
2010-06-11,79.07
2010-06-14,80.01
2010-06-15,80.31
2010-06-16,81.82
2010-06-17,82.18
2010-06-18,81.69
2010-06-21,82.58
2010-06-22,80.43
2010-06-23,79.02
2010-06-24,77.57
2010-06-25,75.54
2010-06-28,74.75
2010-06-29,73.79
2010-06-30,71.6
2010-07-01,70.84
2010-07-02,70.41
2010-07-06,71.06
2010-07-07,70.57
2010-07-08,73.1
2010-07-09,73.86
2010-07-12,72.86
2010-07-13,72.62
2010-07-14,73.66
2010-07-15,74.6
2010-07-16,73.48
2010-07-19,71.77
2010-07-20,71.42
2010-07-21,73.75
2010-07-22,73.32
2010-07-23,74.17
2010-07-26,75.57
2010-07-27,75.85
2010-07-28,73.02
2010-07-29,74.75
2010-07-30,72.94
2010-08-02,73.91
2010-08-03,73.89
2010-08-04,74.49
2010-08-05,74.18
2010-08-06,74.05
2010-08-09,74.88
2010-08-10,74.19
2010-08-11,73.12
2010-08-12,70.64
2010-08-13,69.73
2010-08-16,69.98
2010-08-17,70.6
2010-08-18,71.42
2010-08-19,71.13
2010-08-20,69.69
2010-08-23,69.48
2010-08-24,67.99
2010-08-25,67.33
2010-08-26,68.87
2010-08-27,68.16
2010-08-30,67.69
2010-08-31,66.66
2010-09-01,67.3
2010-09-02,69.52
2010-09-03,70.54
2010-09-07,70.47
2010-09-08,69.19
2010-09-09,69.53
2010-09-10,68.25
2010-09-13,69.26
2010-09-14,69.05
2010-09-15,68.67
2010-09-16,68.52
2010-09-17,69.45
2010-09-20,71.0
2010-09-21,71.5
2010-09-22,71.27
2010-09-23,70.45
2010-09-24,70.38
2010-09-27,71.93
2010-09-28,71.56
2010-09-29,71.75
2010-09-30,72.65
2010-10-01,72.75
2010-10-04,71.34
2010-10-05,70.67
2010-10-06,70.66
2010-10-07,70.76
2010-10-08,70.29
2010-10-11,70.61
2010-10-12,70.27
2010-10-13,70.48
2010-10-14,71.17
2010-10-15,71.28
2010-10-18,71.14
2010-10-19,69.55
2010-10-20,69.02
2010-10-21,69.91
2010-10-22,70.0
2010-10-25,70.14
2010-10-26,70.17
2010-10-27,70.77
2010-10-28,69.29
2010-10-29,70.96
2010-11-01,73.11
2010-11-02,73.34
2010-11-03,73.1
2010-11-04,74.05
2010-11-05,73.5
2010-11-08,73.57
2010-11-09,73.8
2010-11-10,73.16
2010-11-11,71.87
2010-11-12,70.97
2010-11-15,70.18
2010-11-16,70.01
2010-11-17,69.81
2010-11-18,70.87
2010-11-19,71.31
2010-11-22,70.76
2010-11-23,70.17
2010-11-24,71.4
2010-11-26,72.01
2010-11-29,70.98
2010-11-30,70.08
2010-12-01,71.21
2010-12-02,72.06
2010-12-03,73.26
2010-12-06,72.97
2010-12-07,73.03
2010-12-08,72.52
2010-12-09,72.53
2010-12-10,71.63
2010-12-13,71.64
2010-12-14,70.67
2010-12-15,70.62
2010-12-16,69.7
2010-12-17,70.75
2010-12-20,70.45
2010-12-21,70.32
2010-12-22,69.88
2010-12-23,70.77
2010-12-27,71.49
2010-12-28,71.71
2010-12-29,71.98
2010-12-30,70.56
2010-12-31,70.69
2011-01-03,70.49
2011-01-04,71.01
2011-01-05,70.94
2011-01-06,72.45
2011-01-07,74.04
2011-01-10,77.16
2011-01-11,75.73
2011-01-12,75.56
2011-01-13,76.23
2011-01-14,75.5288
2011-01-18,74.98
2011-01-19,77.12
2011-01-20,76.44
2011-01-21,78.42
2011-01-24,77.55
2011-01-25,77.28
2011-01-26,78.91
2011-01-27,78.8
2011-01-28,78.47
2011-01-31,76.76
2011-02-01,78.52
2011-02-02,78.62
2011-02-03,78.36
2011-02-04,78.14
2011-02-07,78.65
2011-02-08,79.22
2011-02-09,80.03
2011-02-10,79.95
2011-02-11,79.69
2011-02-14,80.0
2011-02-15,78.89
2011-02-16,80.17
2011-02-17,79.54
2011-02-18,80.65
2011-02-22,79.83
2011-02-23,79.56
2011-02-24,79.28
2011-02-25,80.32
2011-02-28,80.14
2011-03-01,79.69
2011-03-02,77.92
2011-03-03,79.38
2011-03-04,80.35
2011-03-07,79.29
2011-03-08,78.695
2011-03-09,80.08
2011-03-10,79.7
2011-03-11,78.96
2011-03-14,79.3
2011-03-15,77.73
2011-03-16,77.97
2011-03-17,77.6
2011-03-18,78.19
2011-03-21,79.29
2011-03-22,79.76
2011-03-23,79.37
2011-03-24,79.73
2011-03-25,79.48
2011-03-28,78.78
2011-03-29,78.62
2011-03-30,78.93
2011-03-31,78.47
2011-04-01,79.25
2011-04-04,79.34
2011-04-05,78.06
2011-04-06,79.06
2011-04-07,79.46
2011-04-08,80.23
2011-04-11,79.45
2011-04-12,79.03
2011-04-13,78.76
2011-04-14,76.61
2011-04-15,75.69
2011-04-18,75.24
2011-04-19,75.1
2011-04-20,76.28
2011-04-21,75.8
2011-04-25,77.58
2011-04-26,79.01
2011-04-27,80.01
2011-04-28,80.08
2011-04-29,80.56
2011-05-02,80.63
2011-05-03,80.8
2011-05-04,82.12
2011-05-05,81.11
2011-05-06,83.33
2011-05-09,83.01
2011-05-10,83.45
2011-05-11,83.68
2011-05-12,83.21
2011-05-13,83.58
2011-05-16,83.19
2011-05-17,84.09
2011-05-18,84.14
2011-05-19,84.77
2011-05-20,84.09
2011-05-23,82.7
2011-05-24,82.79
2011-05-25,82.28
2011-05-26,81.61
2011-05-27,81.39
2011-05-31,82.09
2011-06-01,81.6
2011-06-02,80.4
2011-06-03,79.44
2011-06-06,79.13
2011-06-07,79.69
2011-06-08,79.54
2011-06-09,79.62
2011-06-10,79.68
2011-06-13,79.22
2011-06-14,80.65
2011-06-15,80.37
2011-06-16,81.0
2011-06-17,82.41
2011-06-20,81.73
