dt,open
2010-01-04,257.99
2010-01-05,255.16
2010-01-06,256.24
2010-01-07,253.4
2010-01-08,252.33
2010-01-11,254.57
2010-01-12,249.59
2010-01-13,251.81
2010-01-14,256.25
2010-01-15,261.81
2010-01-19,262.5
2010-01-20,263.01
2010-01-21,263.55
2010-01-22,257.39
2010-01-25,253.4
2010-01-26,252.0
2010-01-27,249.68
2010-01-28,256.3
2010-01-29,251.16
2010-02-01,251.13
2010-02-02,256.2
2010-02-03,252.25
2010-02-04,234.0
2010-02-05,225.4
2010-02-08,221.0
2010-02-09,228.6
2010-02-10,221.7
2010-02-11,226.9
2010-02-12,227.75
2010-02-16,226.6
2010-02-17,225.6
2010-02-18,224.3
2010-02-19,221.92
2010-02-22,222.84
2010-02-23,223.22
2010-02-24,222.02
2010-02-25,219.52
2010-02-26,222.98
2010-03-01,225.94
2010-03-02,232.29
2010-03-03,231.83
2010-03-04,231.73
2010-03-05,233.66
2010-03-08,239.09
2010-03-09,245.05
2010-03-10,247.1
2010-03-11,248.05
2010-03-12,251.06
2010-03-15,250.98
2010-03-16,250.25
2010-03-17,249.68
2010-03-18,248.83
2010-03-19,247.545
2010-03-22,242.79
2010-03-23,247.07
2010-03-24,245.2
2010-03-25,246.44
2010-03-26,247.25
2010-03-29,246.93
2010-03-30,249.23
2010-03-31,252.2
2010-04-01,255.55
2010-04-05,254.53
2010-04-06,254.85
2010-04-07,258.9
2010-04-08,254.06
2010-04-09,258.75
2010-04-12,258.31
2010-04-13,258.7
2010-04-14,259.07
2010-04-15,264.6
2010-04-16,261.03
2010-04-19,258.83
2010-04-20,258.95
2010-04-21,263.35
2010-04-22,258.8
2010-04-23,263.61
2010-04-26,268.16
2010-04-27,265.79
2010-04-28,256.54
2010-04-29,253.72
2010-04-30,257.21
2010-05-03,251.19
2010-05-04,253.37
2010-05-05,248.0
2010-05-06,235.41
2010-05-07,228.35
2010-05-10,233.99
2010-05-11,227.41
2010-05-12,225.0
2010-05-13,232.7
2010-05-14,215.3
2010-05-17,215.02
2010-05-18,212.94
2010-05-19,203.05
2010-05-20,196.66
2010-05-21,202.39
2010-05-24,215.39
2010-05-25,204.07
2010-05-26,210.31
2010-05-27,210.25
2010-05-28,207.37
2010-06-01,201.0
2010-06-02,201.33
2010-06-03,202.37
2010-06-04,199.5
2010-06-07,197.29
2010-06-08,200.02
2010-06-09,198.0
2010-06-10,198.2412
2010-06-11,204.0
2010-06-14,206.84
2010-06-15,205.45
2010-06-16,207.15
2010-06-17,212.15
2010-06-18,215.48
2010-06-21,215.73
2010-06-22,223.34
2010-06-23,221.76
2010-06-24,217.75
2010-06-25,214.67
2010-06-28,218.0
2010-06-29,210.0
2010-06-30,203.32
2010-07-01,199.55
2010-07-02,204.86
2010-07-06,203.99
2010-07-07,200.57
2010-07-08,208.18
2010-07-09,210.78
2010-07-12,213.03
2010-07-13,216.4
2010-07-14,215.0
2010-07-15,214.06
2010-07-16,206.44
2010-07-19,197.66
2010-07-20,193.0
2010-07-21,206.98
2010-07-22,204.94
2010-07-23,208.2
2010-07-26,213.65
2010-07-27,214.55
2010-07-28,212.73
2010-07-29,210.12
2010-07-30,205.51
2010-08-02,206.27
2010-08-03,198.57
2010-08-04,202.59
2010-08-05,203.94
2010-08-06,200.0
2010-08-09,209.6
2010-08-10,213.75
2010-08-11,212.52
2010-08-12,208.2
2010-08-13,212.84
2010-08-16,209.19
2010-08-17,211.25
2010-08-18,215.1
2010-08-19,212.74
2010-08-20,208.27
2010-08-23,208.33
2010-08-24,203.66
2010-08-25,201.42
2010-08-26,207.0
2010-08-27,204.21
2010-08-30,207.65
2010-08-31,202.0
2010-09-01,200.99
2010-09-02,202.64
2010-09-03,206.5
2010-09-07,204.65
2010-09-08,199.0
2010-09-09,197.01
2010-09-10,192.73
