dt,open
2010-01-04,27.3
2010-01-05,28.32
2010-01-06,28.3
2010-01-07,28.74
2010-01-08,28.76
2010-01-11,28.8
2010-01-12,28.68
2010-01-13,29.75
2010-01-14,29.44
2010-01-15,28.41
2010-01-19,29.0
2010-01-20,28.54
2010-01-21,28.57
2010-01-22,27.95
2010-01-25,27.6
2010-01-26,27.23
2010-01-27,27.75
2010-01-28,28.27
2010-01-29,27.87
2010-02-01,27.83
2010-02-02,28.15
2010-02-03,28.38
2010-02-04,28.07
2010-02-05,28.32
2010-02-08,28.5
2010-02-09,28.47
2010-02-10,28.97
2010-02-11,29.02
2010-02-12,29.01
2010-02-16,28.69
2010-02-17,28.86
2010-02-18,28.61
2010-02-19,28.76
2010-02-22,28.89
2010-02-23,29.07
2010-02-24,29.2
2010-02-25,28.79
2010-02-26,28.75
2010-03-01,28.43
2010-03-02,28.85
2010-03-03,28.99
2010-03-04,29.0
2010-03-05,29.2
2010-03-08,29.36
2010-03-09,29.39
2010-03-10,29.27
2010-03-11,29.32
2010-03-12,29.38
2010-03-15,29.41
2010-03-16,29.75
2010-03-17,29.74
2010-03-18,29.76
2010-03-19,29.94
2010-03-22,29.56
2010-03-23,29.83
2010-03-24,30.8
2010-03-25,30.79
2010-03-26,30.74
2010-03-29,30.4
2010-03-30,30.63
2010-03-31,30.52
2010-04-01,30.4
2010-04-05,30.48
2010-04-06,30.2
2010-04-07,30.06
2010-04-08,30.0
2010-04-09,30.17
2010-04-12,30.32
2010-04-13,30.26
2010-04-14,30.67
2010-04-15,30.88
2010-04-16,30.87
2010-04-19,30.66
2010-04-20,30.81
2010-04-21,30.52
2010-04-22,30.25
2010-04-23,30.35
2010-04-26,30.21
2010-04-27,29.99
2010-04-28,29.54
2010-04-29,29.99
2010-04-30,29.96
2010-05-03,29.73
2010-05-04,29.72
2010-05-05,29.64
2010-05-06,29.63
2010-05-07,29.9
2010-05-10,30.4
2010-05-11,30.33
2010-05-12,30.59
2010-05-13,30.4
2010-05-14,30.27
2010-05-17,30.39
2010-05-18,30.34
2010-05-19,29.98
2010-05-20,30.04
2010-05-21,28.52
2010-05-24,29.53
2010-05-25,28.52
2010-05-26,28.48
2010-05-27,28.8
2010-05-28,29.08
2010-06-01,28.64
2010-06-02,29.02
2010-06-03,29.53
2010-06-04,29.07
2010-06-07,28.61
2010-06-08,28.4
2010-06-09,28.68
2010-06-10,29.12
2010-06-11,29.16
2010-06-14,29.49
2010-06-15,29.38
2010-06-16,29.61
2010-06-17,29.8
2010-06-18,30.0
2010-06-21,30.17
2010-06-22,29.82
2010-06-23,29.44
2010-06-24,29.4
2010-06-25,29.57
2010-06-28,29.35
2010-06-29,28.75
2010-06-30,28.27
2010-07-01,28.0
2010-07-02,28.15
2010-07-06,27.92
2010-07-07,28.33
2010-07-08,28.92
2010-07-09,29.07
2010-07-12,28.88
2010-07-13,29.17
2010-07-14,29.42
2010-07-15,29.3
2010-07-16,29.19
2010-07-19,28.8
2010-07-20,28.67
2010-07-21,29.25
2010-07-22,28.97
2010-07-23,29.27
2010-07-26,29.6
2010-07-27,29.77
2010-07-28,30.0
2010-07-29,29.68
2010-07-30,28.99
2010-08-02,29.39
2010-08-03,29.33
2010-08-04,29.28
2010-08-05,29.6
2010-08-06,30.08
2010-08-09,30.4
2010-08-10,30.18
2010-08-11,29.99
2010-08-12,29.44
2010-08-13,29.48
2010-08-16,29.32
2010-08-17,29.54
2010-08-18,29.3
2010-08-19,29.25
2010-08-20,29.01
2010-08-23,29.17
2010-08-24,28.88
2010-08-25,29.16
2010-08-26,29.58
2010-08-27,29.54
2010-08-30,29.97
2010-08-31,29.68
2010-09-01,30.14
2010-09-02,30.42
2010-09-03,30.45
2010-09-07,30.48
2010-09-08,30.42
2010-09-09,30.7
2010-09-10,30.74
2010-09-13,30.96
2010-09-14,30.85
2010-09-15,31.1
2010-09-16,31.51
2010-09-17,31.58
2010-09-20,31.36
2010-09-21,31.55
2010-09-22,31.63
2010-09-23,31.1
2010-09-24,31.53
2010-09-27,31.86
2010-09-28,31.64
2010-09-29,31.4
2010-09-30,31.29
2010-10-01,30.99
2010-10-04,31.11
2010-10-05,31.06
2010-10-06,31.32
2010-10-07,31.43
2010-10-08,31.34
2010-10-11,30.88
2010-10-12,31.06
2010-10-13,31.23
2010-10-14,31.58
2010-10-15,31.86
2010-10-18,31.69
2010-10-19,31.51
2010-10-20,31.51
2010-10-21,31.8
2010-10-22,31.85
2010-10-25,31.97
2010-10-26,32.45
2010-10-27,32.19
2010-10-28,32.33
2010-10-29,32.04
2010-11-01,32.34
2010-11-02,32.17
2010-11-03,31.99
2010-11-04,31.91
2010-11-05,31.22
2010-11-08,31.1
2010-11-09,31.29
2010-11-10,30.66
2010-11-11,30.41
2010-11-12,30.26
2010-11-15,30.75
2010-11-16,30.64
2010-11-17,30.39
2010-11-18,30.68
2010-11-19,30.72
2010-11-22,30.41
2010-11-23,30.34
2010-11-24,30.39
2010-11-26,30.39
2010-11-29,30.18
2010-11-30,30.03
2010-12-01,30.46
2010-12-02,30.7
2010-12-03,30.28
2010-12-06,30.24
2010-12-07,30.51
2010-12-08,30.68
2010-12-09,31.1
2010-12-10,31.14
2010-12-13,30.88
2010-12-14,30.97
2010-12-15,31.27
2010-12-16,31.37
2010-12-17,31.67
2010-12-20,31.97
2010-12-21,31.87
2010-12-22,31.78
2010-12-23,31.9
2010-12-27,31.81
2010-12-28,31.71
2010-12-29,31.72
2010-12-30,31.34
2010-12-31,31.5
2011-01-03,31.76
2011-01-04,31.59
2011-01-05,31.46
2011-01-06,31.6
2011-01-07,31.39
2011-01-10,30.91
2011-01-11,31.29
2011-01-12,31.37
2011-01-13,31.53
2011-01-14,31.51
2011-01-18,31.41
2011-01-19,31.09
2011-01-20,31.29
2011-01-21,31.09
2011-01-24,31.39
2011-01-25,31.35
2011-01-26,31.28
2011-01-27,30.98
2011-01-28,30.5
2011-01-31,30.53
2011-02-01,30.67
2011-02-02,30.54
2011-02-03,30.56
2011-02-04,30.89
2011-02-07,31.18
2011-02-08,30.93
2011-02-09,30.97
2011-02-10,31.2
2011-02-11,30.49
2011-02-14,30.67
2011-02-15,30.39
2011-02-16,30.68
2011-02-17,30.69
2011-02-18,30.87
2011-02-22,30.72
2011-02-23,31.48
2011-02-24,31.64
2011-02-25,31.76
2011-02-28,31.82
2011-03-01,31.76
2011-03-02,31.57
2011-03-03,31.66
2011-03-04,31.86
2011-03-07,31.56
2011-03-08,31.43
2011-03-09,31.34
2011-03-10,31.49
2011-03-11,31.53
2011-03-14,31.51
2011-03-15,30.97
2011-03-16,31.02
2011-03-17,31.06
2011-03-18,30.97
2011-03-21,30.78
2011-03-22,30.89
2011-03-23,31.09
2011-03-24,31.24
2011-03-25,31.4
2011-03-28,31.29
2011-03-29,31.22
2011-03-30,31.37
2011-03-31,31.51
2011-04-01,31.44
2011-04-04,31.73
2011-04-05,31.42
2011-04-06,31.59
2011-04-07,31.79
2011-04-08,31.82
2011-04-11,31.78
2011-04-12,31.78
2011-04-13,32.24
2011-04-14,32.2
2011-04-15,32.94
2011-04-18,32.72
2011-04-19,33.2
2011-04-20,33.5
2011-04-21,33.57
2011-04-25,33.45
2011-04-26,33.21
2011-04-27,33.37
2011-04-28,33.52
2011-04-29,33.55
2011-05-02,33.6
2011-05-03,33.91
2011-05-04,33.88
2011-05-05,33.84
2011-05-06,33.94
2011-05-09,33.69
2011-05-10,34.11
2011-05-11,34.27
2011-05-12,34.3
2011-05-13,34.8
2011-05-16,34.84
2011-05-17,34.51
2011-05-18,34.83
2011-05-19,34.98
2011-05-20,35.05
2011-05-23,35.04
2011-05-24,34.86
2011-05-25,34.64
2011-05-26,34.43
2011-05-27,34.65
2011-05-31,34.79
2011-06-01,34.91
2011-06-02,34.66
2011-06-03,34.08
2011-06-06,34.07
2011-06-07,34.12
2011-06-08,33.92
2011-06-09,34.06
2011-06-10,34.04
2011-06-13,33.92
2011-06-14,34.37
2011-06-15,34.14
2011-06-16,33.97
2011-06-17,34.48
2011-06-20,34.39
2011-06-21,34.95
2011-06-22,34.74
2011-06-23,34.45
2011-06-24,34.33
2011-06-27,34.61
2011-06-28,34.5
2011-06-29,34.69
2011-06-30,34.92
2011-07-01,35.04
2011-07-05,35.39
2011-07-06,35.61
2011-07-07,35.98
2011-07-08,35.75
2011-07-11,35.58
2011-07-12,35.44
2011-07-13,35.48
2011-07-14,35.37
2011-07-15,35.39
2011-07-18,35.28
2011-07-19,35.26
2011-07-20,35.39
2011-07-21,35.4
2011-07-22,35.6
2011-07-25,35.24
2011-07-26,35.09
2011-07-27,34.81
2011-07-28,34.58
2011-07-29,34.34
2011-08-01,34.6
2011-08-02,34.16
2011-08-03,34.08
2011-08-04,36.03
2011-08-05,34.58
2011-08-08,34.11
2011-08-09,33.96
2011-08-10,33.98
2011-08-11,32.7
2011-08-12,34.15
2011-08-15,34.59
2011-08-16,34.46
2011-08-17,34.43
2011-08-18,33.94
2011-08-19,33.57
2011-08-22,34.22
2011-08-23,33.66
2011-08-24,34.03
2011-08-25,34.31
2011-08-26,33.59
2011-08-29,34.24
2011-08-30,34.57
2011-08-31,34.83
2011-09-01,34.91
2011-09-02,34.45
2011-09-06,33.68
2011-09-07,34.54
2011-09-08,34.57
2011-09-09,34.76
2011-09-12,34.02
2011-09-13,34.23
2011-09-14,34.34
2011-09-15,34.84
2011-09-16,35.04
2011-09-19,34.75
2011-09-20,34.87
2011-09-21,34.6
2011-09-22,32.71
2011-09-23,33.43
2011-09-26,33.84
2011-09-27,34.9
2011-09-28,34.71
2011-09-29,34.71
2011-09-30,34.3
2011-10-03,33.33
2011-10-04,32.8
2011-10-05,32.85
2011-10-06,32.83
2011-10-07,33.79
2011-10-10,34.14
2011-10-11,34.22
2011-10-12,34.57
2011-10-13,34.44
2011-10-14,35.25
2011-10-17,35.25
2011-10-18,34.81
2011-10-19,35.06
2011-10-20,34.97
2011-10-21,35.35
2011-10-24,35.23
2011-10-25,35.35
2011-10-26,35.36
2011-10-27,35.66
2011-10-28,35.4
2011-10-31,35.1
2011-11-01,34.56
2011-11-02,34.99
2011-11-03,35.91
2011-11-04,35.74
2011-11-07,35.31
2011-11-08,35.52
2011-11-09,34.99
2011-11-10,35.05
2011-11-11,35.48
2011-11-14,35.64
2011-11-15,35.4
2011-11-16,35.1
2011-11-17,35.0
2011-11-18,34.93
2011-11-21,34.39
2011-11-22,34.35
2011-11-23,34.4
2011-11-25,34.19
2011-11-28,34.57
2011-11-29,35.01
2011-11-30,35.96
2011-12-01,36.17
2011-12-02,36.63
2011-12-05,36.86
2011-12-06,36.55
2011-12-07,36.36
2011-12-08,36.24
2011-12-09,36.26
2011-12-12,36.64
2011-12-13,36.57
2011-12-14,36.01
2011-12-15,36.23
2011-12-16,36.65
2011-12-19,36.71
2011-12-20,36.51
2011-12-21,36.93
2011-12-22,37.54
2011-12-23,37.39
2011-12-27,37.7
2011-12-28,37.44
2011-12-29,37.32
2011-12-30,37.4
2012-01-03,37.94
2012-01-04,37.35
2012-01-05,37.43
2012-01-06,37.92
2012-01-09,37.67
2012-01-10,38.1
2012-01-11,37.96
2012-01-12,38.11
2012-01-13,38.18
2012-01-17,38.14
2012-01-18,38.14
2012-01-19,38.79
2012-01-20,38.8
2012-01-23,38.62
2012-01-24,38.37
2012-01-25,38.12
2012-01-26,38.56
2012-01-27,38.62
2012-01-30,38.31
2012-01-31,38.25
2012-02-01,38.52
2012-02-02,38.55
2012-02-03,38.83
2012-02-06,38.87
2012-02-07,38.53
2012-02-08,38.46
2012-02-09,38.56
2012-02-10,38.48
2012-02-13,38.77
2012-02-14,38.44
2012-02-15,38.33
2012-02-16,38.52
2012-02-17,38.19
2012-02-21,38.64
2012-02-22,38.44
2012-02-23,37.89
2012-02-24,37.99
2012-02-27,37.53
2012-02-28,37.92
2012-02-29,38.04
2012-03-01,38.08
2012-03-02,38.01
2012-03-05,38.21
2012-03-06,38.28
2012-03-07,37.87
2012-03-08,38.04
2012-03-09,37.91
2012-03-12,37.87
2012-03-13,38.34
2012-03-14,38.56
2012-03-15,38.13
2012-03-16,38.45
2012-03-19,38.34
2012-03-20,38.19
2012-03-21,38.31
2012-03-22,38.23
2012-03-23,38.26
2012-03-26,38.38
2012-03-27,38.65
2012-03-28,38.08
2012-03-29,37.92
2012-03-30,37.87
2012-04-02,38.05
2012-04-03,38.44
2012-04-04,38.14
2012-04-05,38.1
2012-04-09,37.74
2012-04-10,37.54
2012-04-11,37.23
2012-04-12,36.91
2012-04-13,37.1
2012-04-16,37.44
2012-04-17,37.81
2012-04-18,38.32
2012-04-19,38.34
2012-04-20,38.24
2012-04-23,38.2
2012-04-24,38.15
2012-04-25,38.57
2012-04-26,38.64
2012-04-27,39.16
2012-04-30,39.75
2012-05-01,39.77
2012-05-02,39.73
2012-05-03,39.53
2012-05-04,39.28
2012-05-07,39.25
2012-05-08,39.15
2012-05-09,38.83
2012-05-10,39.03
2012-05-11,38.96
2012-05-14,38.86
2012-05-15,39.09
2012-05-16,38.87
2012-05-17,38.55
2012-05-18,38.42
2012-05-21,38.63
2012-05-22,38.59
2012-05-23,38.67
2012-05-24,38.37
2012-05-25,38.65
2012-05-29,38.73
2012-05-30,38.31
2012-05-31,38.37
2012-06-01,37.99
2012-06-04,37.47
2012-06-05,37.53
2012-06-06,37.69
2012-06-07,38.3
2012-06-08,38.23
2012-06-11,38.42
2012-06-12,38.29
2012-06-13,38.35
2012-06-14,38.57
2012-06-15,39.06
2012-06-18,38.79
2012-06-19,39.03
2012-06-20,38.98
2012-06-21,39.09
2012-06-22,38.87
2012-06-25,38.65
2012-06-26,38.61
2012-06-27,37.71
2012-06-28,37.23
2012-06-29,38.07
2012-07-02,38.37
2012-07-03,38.85
2012-07-05,39.18
2012-07-06,39.05
2012-07-09,38.92
2012-07-10,39.3
2012-07-11,39.4
2012-07-12,39.03
2012-07-13,39.03
2012-07-16,39.92
2012-07-17,39.79
2012-07-18,39.75
2012-07-19,40.15
2012-07-20,40.01
2012-07-23,39.6
2012-07-24,39.27
2012-07-25,39.18
2012-07-26,39.48
2012-07-27,39.84
2012-07-30,39.53
2012-07-31,39.44
2012-08-01,39.8
2012-08-02,39.02
2012-08-03,39.95
2012-08-06,41.04
2012-08-07,40.78
2012-08-08,40.89
2012-08-09,41.1
2012-08-10,40.8
2012-08-13,40.99
2012-08-14,41.03
2012-08-15,40.87
2012-08-16,40.54
2012-08-17,40.71
2012-08-20,40.31
2012-08-21,40.71
2012-08-22,41.18
2012-08-23,40.93
2012-08-24,41.1
2012-08-27,41.84
2012-08-28,41.77
2012-08-29,41.87
2012-08-30,41.44
2012-08-31,41.74
2012-09-04,41.3
2012-09-05,41.7
2012-09-06,41.78
2012-09-07,40.85
2012-09-10,40.37
2012-09-11,40.17
2012-09-12,39.8
2012-09-13,39.57
2012-09-14,39.91
2012-09-17,39.5
2012-09-18,39.5
2012-09-19,40.5
2012-09-20,40.65
2012-09-21,41.76
2012-09-24,41.58
2012-09-25,41.5
2012-09-26,41.56
2012-09-27,41.16
2012-09-28,41.17
2012-10-01,41.08
2012-10-02,28.42
2012-10-03,28.18
2012-10-04,27.89
2012-10-05,28.2499
2012-10-08,27.85
2012-10-09,27.55
2012-10-10,27.35
2012-10-11,27.3
2012-10-12,27.38
2012-10-15,27.48
2012-10-16,27.48
2012-10-17,27.04
2012-10-18,27.5
2012-10-19,27.4
2012-10-22,27.0
2012-10-23,26.77
2012-10-24,26.78
2012-10-25,26.68
2012-10-26,26.43
2012-10-31,26.75
2012-11-01,26.68
2012-11-02,26.8
2012-11-05,26.21
2012-11-06,26.07
2012-11-07,26.25
2012-11-08,25.8
2012-11-09,26.03
2012-11-12,26.09
2012-11-13,25.86
2012-11-14,25.7601
2012-11-15,25.05
2012-11-16,25.11
2012-11-19,25.82
2012-11-20,26.0
2012-11-21,25.71
2012-11-23,25.42
2012-11-26,25.5
2012-11-27,25.55
2012-11-28,25.16
2012-11-29,25.77
2012-11-30,25.71
2012-12-03,26.02
2012-12-04,25.71
2012-12-05,25.71
2012-12-06,25.55
2012-12-07,25.66
2012-12-10,25.62
2012-12-11,26.03
2012-12-12,26.08
2012-12-13,26.02
2012-12-14,26.1
2012-12-17,26.01
2012-12-18,26.03
2012-12-19,25.89
2012-12-20,26.05
2012-12-21,25.64
2012-12-24,25.69
2012-12-26,25.61
2012-12-27,25.22
2012-12-28,25.21
2012-12-31,25.04
2013-01-02,25.81
2013-01-03,26.7
2013-01-04,26.7
2013-01-07,26.62
2013-01-08,26.52
2013-01-09,26.79
2013-01-10,27.13
2013-01-11,27.35
2013-01-14,27.46
2013-01-15,27.49
2013-01-16,27.75
2013-01-17,27.82
2013-01-18,27.97
2013-01-22,27.73
2013-01-23,27.5
2013-01-24,28.0
2013-01-25,27.83
2013-01-28,27.88
2013-01-29,27.54
2013-01-30,27.83
2013-01-31,27.69
2013-02-01,28.0
2013-02-04,28.01
2013-02-05,27.95
2013-02-06,27.85
2013-02-07,27.64
2013-02-08,27.8
2013-02-11,27.74
2013-02-12,27.7
2013-02-13,27.74
2013-02-14,26.69
2013-02-15,26.84
2013-02-19,26.75
2013-02-20,27.07
2013-02-21,26.99
2013-02-22,26.89
2013-02-25,26.79
2013-02-26,26.51
2013-02-27,26.87
2013-02-28,27.65
2013-03-01,26.94
