dt,open
2010-01-04,30.7
2010-01-05,31.01
2010-01-06,31.93
2010-01-07,32.46
2010-01-08,32.6
2010-01-11,32.39
2010-01-12,31.63
2010-01-13,31.09
2010-01-14,31.01
2010-01-15,30.97
2010-01-19,30.48
2010-01-20,30.76
2010-01-21,30.29
2010-01-22,28.65
2010-01-25,28.22
2010-01-26,27.68
2010-01-27,27.34
2010-01-28,28.2
2010-01-29,27.76
2010-02-01,26.95
2010-02-02,27.6
2010-02-03,28.16
2010-02-04,27.61
2010-02-05,26.57
2010-02-08,27.09
2010-02-09,26.92
2010-02-10,27.08
2010-02-11,27.4
2010-02-12,26.65
2010-02-16,27.47
2010-02-17,27.9
2010-02-18,27.23
2010-02-19,27.1
2010-02-22,27.52
2010-02-23,27.64
2010-02-24,27.27
2010-02-25,27.31
2010-02-26,27.73
2010-03-01,28.3
2010-03-02,28.38
2010-03-03,28.63
2010-03-04,28.39
2010-03-05,29.53
2010-03-08,29.52
2010-03-09,29.45
2010-03-10,29.22
2010-03-11,29.93
2010-03-12,30.15
2010-03-15,29.77
2010-03-16,29.74
2010-03-17,30.42
2010-03-18,30.2
2010-03-19,30.14
2010-03-22,29.3
2010-03-23,29.63
2010-03-24,29.42
2010-03-25,29.53
2010-03-26,29.08
2010-03-29,29.27
2010-03-30,29.31
2010-03-31,28.96
2010-04-01,29.46
2010-04-05,29.28
2010-04-06,29.25
2010-04-07,29.31
2010-04-08,29.9
2010-04-09,31.1
2010-04-12,31.14
2010-04-13,30.83
2010-04-14,30.95
2010-04-15,31.11
2010-04-16,30.75
2010-04-19,28.9
2010-04-20,29.83
2010-04-21,31.36
2010-04-22,31.13
2010-04-23,31.97
2010-04-26,31.94
2010-04-27,30.61
2010-04-28,30.27
2010-04-29,30.65
2010-04-30,30.99
2010-05-03,30.25
2010-05-04,30.05
2010-05-05,28.97
2010-05-06,29.0
2010-05-07,27.8
2010-05-10,29.03
2010-05-11,28.39
2010-05-12,27.34
2010-05-13,28.1
2010-05-14,27.2
2010-05-17,27.03
2010-05-18,27.44
2010-05-19,26.59
2010-05-20,26.4
2010-05-21,25.08
2010-05-24,27.29
2010-05-25,24.85
2010-05-26,26.59
2010-05-27,27.07
2010-05-28,27.57
2010-06-01,26.79
2010-06-02,26.38
2010-06-03,27.3
2010-06-04,26.25
2010-06-07,26.16
2010-06-08,25.45
2010-06-09,25.76
2010-06-10,25.48
2010-06-11,25.25
2010-06-14,26.24
2010-06-15,25.53
2010-06-16,25.77
2010-06-17,25.86
2010-06-18,25.42
2010-06-21,26.06
2010-06-22,25.61
2010-06-23,25.14
2010-06-24,24.88
2010-06-25,24.65
2010-06-28,25.01
2010-06-29,24.02
2010-06-30,23.47
2010-07-01,23.21
2010-07-02,23.32
2010-07-06,23.25
2010-07-07,23.09
2010-07-08,24.28
2010-07-09,24.11
2010-07-12,24.62
2010-07-13,24.92
2010-07-14,25.45
2010-07-15,25.56
2010-07-16,25.17
2010-07-19,24.75
2010-07-20,24.13
2010-07-21,27.13
2010-07-22,27.1
2010-07-23,26.7
2010-07-26,26.98
2010-07-27,27.29
2010-07-28,26.94
2010-07-29,27.14
2010-07-30,26.72
2010-08-02,27.43
2010-08-03,27.61
2010-08-04,27.58
2010-08-05,27.58
2010-08-06,27.56
2010-08-09,27.85
2010-08-10,27.15
2010-08-11,26.85
2010-08-12,26.11
2010-08-13,26.05
2010-08-16,25.77
2010-08-17,25.98
2010-08-18,26.14
2010-08-19,26.15
2010-08-20,26.04
2010-08-23,26.11
2010-08-24,25.31
2010-08-25,24.89
2010-08-26,25.18
2010-08-27,24.81
2010-08-30,24.88
2010-08-31,24.39
2010-09-01,25.02
2010-09-02,25.32
2010-09-03,26.04
2010-09-07,26.4
2010-09-08,25.82
2010-09-09,26.54
2010-09-10,27.03
2010-09-13,27.59
2010-09-14,27.71
2010-09-15,27.3
2010-09-16,27.08
2010-09-17,26.96
2010-09-20,26.53
2010-09-21,26.88
2010-09-22,25.78
2010-09-23,24.78
2010-09-24,25.01
2010-09-27,25.1
2010-09-28,24.98
2010-09-29,24.41
2010-09-30,24.67
2010-10-01,24.93
2010-10-04,24.96
2010-10-05,25.03
2010-10-06,25.53
2010-10-07,25.61
2010-10-08,25.08
2010-10-11,25.28
2010-10-12,25.0895
2010-10-13,26.19
2010-10-14,25.83
2010-10-15,25.61
2010-10-18,24.93
2010-10-19,25.31
2010-10-20,25.0
2010-10-21,25.16
2010-10-22,24.61
2010-10-25,24.69
2010-10-26,24.19
2010-10-27,23.98
2010-10-28,24.51
2010-10-29,24.91
2010-11-01,24.95
2010-11-02,24.83
2010-11-03,24.7182
2010-11-04,25.78
2010-11-05,26.4
2010-11-08,26.94
2010-11-09,27.01
2010-11-10,26.11
2010-11-11,26.39
2010-11-12,26.15
2010-11-15,25.74
2010-11-16,25.81
2010-11-17,25.61
2010-11-18,25.45
2010-11-19,25.48
2010-11-22,25.26
2010-11-23,24.76
2010-11-24,24.89
2010-11-26,24.85
2010-11-29,24.57
2010-11-30,24.57
2010-12-01,24.82
2010-12-02,25.08
2010-12-03,25.34
2010-12-06,25.52
2010-12-07,25.91
2010-12-08,25.68
2010-12-09,26.53
2010-12-10,26.7
2010-12-13,27.16
2010-12-14,26.83
2010-12-15,26.5
2010-12-16,26.19
2010-12-17,25.87
2010-12-20,26.27
2010-12-21,26.39
2010-12-22,26.95
2010-12-23,27.36
2010-12-27,27.25
2010-12-28,27.6
2010-12-29,27.46
2010-12-30,27.27
2010-12-31,27.22
2011-01-03,27.69
2011-01-04,28.47
2011-01-05,28.36
2011-01-06,28.85
2011-01-07,28.87
2011-01-10,28.13
2011-01-11,28.31
2011-01-12,28.18
2011-01-13,28.67
2011-01-14,28.21
2011-01-18,28.95
2011-01-19,28.49
2011-01-20,28.33
2011-01-21,29.4
2011-01-24,29.44
2011-01-25,29.46
2011-01-26,29.13
2011-01-27,28.95
2011-01-28,29.7
2011-01-31,29.0
2011-02-01,29.54
2011-02-02,29.8
2011-02-03,29.67
2011-02-04,29.75
2011-02-07,29.99
2011-02-08,30.35
2011-02-09,30.39
2011-02-10,29.92
2011-02-11,29.64
2011-02-14,29.99
2011-02-15,29.83
2011-02-16,30.41
2011-02-17,30.28
2011-02-18,30.7
2011-02-22,30.18
2011-02-23,29.62
2011-02-24,29.54
2011-02-25,29.68
2011-02-28,29.97
2011-03-01,29.69
2011-03-02,28.82
2011-03-03,29.29
2011-03-04,29.0
2011-03-07,28.52
2011-03-08,28.43
2011-03-09,28.73
2011-03-10,28.33
2011-03-11,28.04
2011-03-14,28.04
2011-03-15,27.25
2011-03-16,27.73
2011-03-17,27.48
2011-03-18,27.48
2011-03-21,27.82
2011-03-22,27.81
2011-03-23,27.51
2011-03-24,27.65
2011-03-25,27.67
2011-03-28,27.15
2011-03-29,27.15
2011-03-30,27.37
2011-03-31,27.09
2011-04-01,27.4
2011-04-04,27.59
2011-04-05,27.1
2011-04-06,27.31
2011-04-07,27.8
2011-04-08,27.83
2011-04-11,27.3
2011-04-12,26.57
2011-04-13,27.22
2011-04-14,26.63
2011-04-15,26.91
2011-04-18,26.65
2011-04-19,26.67
2011-04-20,26.43
2011-04-21,26.75
2011-04-25,26.29
2011-04-26,25.84
2011-04-27,25.91
2011-04-28,25.46
2011-04-29,25.88
2011-05-02,26.28
2011-05-03,26.04
2011-05-04,25.78
2011-05-05,25.22
2011-05-06,25.4
2011-05-09,25.15
2011-05-10,25.18
2011-05-11,25.29
2011-05-12,24.59
2011-05-13,24.5
2011-05-16,24.01
2011-05-17,23.89
2011-05-18,24.31
2011-05-19,24.46
2011-05-20,24.25
2011-05-23,23.53
2011-05-24,23.72
2011-05-25,23.36
2011-05-26,23.51
2011-05-27,23.63
2011-05-31,24.27
2011-06-01,24.02
2011-06-02,23.11
2011-06-03,22.68
2011-06-06,23.02
2011-06-07,22.66
2011-06-08,22.22
2011-06-09,21.96
2011-06-10,22.37
2011-06-13,22.76
2011-06-14,23.54
2011-06-15,22.62
2011-06-16,22.13
2011-06-17,22.49
2011-06-20,22.67
2011-06-21,22.47
2011-06-22,22.63
2011-06-23,22.32
2011-06-24,22.34
2011-06-27,22.08
2011-06-28,22.65
2011-06-29,22.47
2011-06-30,23.5
2011-07-01,23.08
2011-07-05,23.66
2011-07-06,23.03
2011-07-07,23.03
2011-07-08,22.54
2011-07-11,22.04
2011-07-12,21.52
2011-07-13,21.39
2011-07-14,21.62
2011-07-15,21.34
2011-07-18,20.9
2011-07-19,20.39
2011-07-20,21.13
2011-07-21,23.02
2011-07-22,23.9
2011-07-25,23.39
2011-07-26,23.32
2011-07-27,23.32
2011-07-28,22.58
2011-07-29,21.94
2011-08-01,22.76
2011-08-02,22.02
2011-08-03,21.34
2011-08-04,20.67
2011-08-05,20.1
2011-08-08,19.23
2011-08-09,17.77
2011-08-10,17.86
2011-08-11,17.09
2011-08-12,18.5
2011-08-15,17.37
2011-08-16,17.76
2011-08-17,17.38
2011-08-18,16.23
2011-08-19,16.12
2011-08-22,16.49
2011-08-23,15.75
2011-08-24,15.73
2011-08-25,17.68
2011-08-26,16.59
2011-08-29,17.01
2011-08-30,17.11
2011-08-31,17.21
2011-09-01,17.56
2011-09-02,16.44
2011-09-06,15.31
2011-09-07,15.72
2011-09-08,16.13
2011-09-09,15.64
2011-09-12,14.93
2011-09-13,15.16
2011-09-14,15.71
2011-09-15,15.86
2011-09-16,16.83
2011-09-19,15.86
2011-09-20,15.29
2011-09-21,15.12
2011-09-22,13.27
2011-09-23,12.95
2011-09-26,13.94
2011-09-27,15.41
2011-09-28,14.98
2011-09-29,14.65
2011-09-30,14.4
2011-10-03,13.54
2011-10-04,11.9
2011-10-05,13.8
2011-10-06,14.46
2011-10-07,15.46
2011-10-10,14.75
2011-10-11,15.1
2011-10-12,15.74
2011-10-13,15.59
2011-10-14,15.38
2011-10-17,15.18
2011-10-18,15.55
2011-10-19,17.09
2011-10-20,16.61
2011-10-21,16.92
2011-10-24,17.3
2011-10-25,16.93
2011-10-26,16.96
2011-10-27,18.05
2011-10-28,18.98
2011-10-31,18.65
2011-11-01,16.14
2011-11-02,16.94
2011-11-03,17.62
2011-11-04,16.58
2011-11-07,16.91
2011-11-08,17.12
2011-11-09,16.5
2011-11-10,16.28
2011-11-11,16.28
2011-11-14,16.24
2011-11-15,15.78
2011-11-16,15.75
2011-11-17,14.89
2011-11-18,14.28
2011-11-21,13.82
2011-11-22,13.55
2011-11-23,13.3
2011-11-25,13.15
2011-11-28,14.22
2011-11-29,13.55
2011-11-30,14.26
2011-12-01,14.56
2011-12-02,15.07
2011-12-05,16.1
2011-12-06,16.41
2011-12-07,16.36
2011-12-08,17.12
2011-12-09,16.35
2011-12-12,15.79
2011-12-13,16.49
2011-12-14,15.01
