dt,open
2010-01-04,105.48
2010-01-05,104.73
2010-01-06,102.65
2010-01-07,102.0
2010-01-08,99.9
2010-01-11,102.1
2010-01-12,102.88
2010-01-13,101.38
2010-01-14,103.2
2010-01-15,104.05
2010-01-19,100.72
2010-01-20,101.2
2010-01-21,101.46
2010-01-22,100.48
2010-01-25,99.06
2010-01-26,98.71
2010-01-27,98.69
2010-01-28,98.0
2010-01-29,97.35
2010-02-01,97.64
2010-02-02,97.97
2010-02-03,97.52
2010-02-04,99.44
2010-02-05,96.01
2010-02-08,96.35
2010-02-09,95.49
2010-02-10,95.25
2010-02-11,93.74
2010-02-12,93.95
2010-02-16,94.8
2010-02-17,95.81
2010-02-18,96.31
2010-02-19,95.63
2010-02-22,98.31
2010-02-23,98.45
2010-02-24,98.21
2010-02-25,98.01
2010-02-26,98.41
2010-03-01,99.86
2010-03-02,102.67
2010-03-03,103.87
2010-03-04,104.18
2010-03-05,104.21
2010-03-08,105.03
2010-03-09,105.29
2010-03-10,104.62
2010-03-11,105.69
2010-03-12,105.5
2010-03-15,106.09
2010-03-16,107.23
2010-03-17,109.24
2010-03-18,109.05
2010-03-19,108.25
2010-03-22,107.07
2010-03-23,108.96
2010-03-24,108.78
2010-03-25,109.15
2010-03-26,109.62
2010-03-29,109.01
2010-03-30,109.44
2010-03-31,110.31
2010-04-01,109.86
2010-04-05,110.33
2010-04-06,110.39
2010-04-07,112.66
2010-04-08,112.22
2010-04-09,112.33
2010-04-12,113.49
2010-04-13,114.16
2010-04-14,115.49
2010-04-15,116.23
2010-04-16,116.6
2010-04-19,116.23
2010-04-20,117.3
2010-04-21,116.72
2010-04-22,115.28
2010-04-23,115.02
2010-04-26,116.38
2010-04-27,116.78
2010-04-28,116.88
2010-04-29,118.89
2010-04-30,127.11
2010-05-03,126.58
2010-05-04,125.25
2010-05-05,122.65
2010-05-06,120.02
2010-05-07,116.17
2010-05-10,116.13
2010-05-11,117.0
2010-05-12,119.97
2010-05-13,121.5
2010-05-14,120.21
2010-05-17,118.36
2010-05-18,119.96
2010-05-19,115.5
2010-05-20,114.71
2010-05-21,109.22
2010-05-24,110.85
2010-05-25,109.07
2010-05-26,110.0
