dt,open
2010-01-04,18.51
2010-01-05,18.51
2010-01-06,18.75
2010-01-07,18.77
2010-01-08,18.36
2010-01-11,18.65
2010-01-12,18.01
2010-01-13,17.8
2010-01-14,17.69
2010-01-15,17.63
2010-01-19,16.98
2010-01-20,17.21
2010-01-21,17.35
2010-01-22,16.85
2010-01-25,16.73
2010-01-26,16.66
2010-01-27,16.2
2010-01-28,16.82
2010-01-29,16.27
2010-02-01,15.32
2010-02-02,16.54
2010-02-03,16.59
2010-02-04,16.73
2010-02-05,15.88
2010-02-08,16.17
2010-02-09,16.43
2010-02-10,16.16
2010-02-11,16.64
2010-02-12,17.01
2010-02-16,17.59
2010-02-17,17.86
2010-02-18,16.86
2010-02-19,16.61
2010-02-22,16.65
2010-02-23,16.61
2010-02-24,16.35
2010-02-25,16.19
2010-02-26,16.32
2010-03-01,16.21
2010-03-02,17.0
2010-03-03,16.94
2010-03-04,16.7
2010-03-05,16.64
2010-03-08,17.18
2010-03-09,17.1
2010-03-10,17.5
2010-03-11,17.45
2010-03-12,17.38
2010-03-15,17.23
2010-03-16,17.15
2010-03-17,17.86
2010-03-18,18.13
2010-03-19,17.66
2010-03-22,17.08
2010-03-23,17.655
2010-03-24,17.74
2010-03-25,17.54
2010-03-26,17.49
2010-03-29,17.45
2010-03-30,17.79
2010-03-31,17.56
2010-04-01,17.54
2010-04-05,17.33
2010-04-06,17.27
2010-04-07,16.95
2010-04-08,17.08
2010-04-09,16.84
2010-04-12,17.01
2010-04-13,17.37
2010-04-14,18.05
2010-04-15,17.9
2010-04-16,17.3
2010-04-19,16.94
2010-04-20,17.1
2010-04-21,17.13
2010-04-22,16.35
2010-04-23,16.63
2010-04-26,16.47
2010-04-27,16.48
2010-04-28,16.12
2010-04-29,16.21
2010-04-30,16.45
2010-05-03,15.7
2010-05-04,15.33
2010-05-05,14.46
2010-05-06,14.4
2010-05-07,14.33
2010-05-10,14.8
2010-05-11,14.42
2010-05-12,14.5
2010-05-13,14.63
2010-05-14,13.67
2010-05-17,12.98
2010-05-18,13.1
2010-05-19,12.5
2010-05-20,12.39
2010-05-21,12.1
2010-05-24,12.65
2010-05-25,11.97
2010-05-26,13.2
2010-05-27,13.07
2010-05-28,13.48
2010-06-01,12.96
2010-06-02,12.6
2010-06-03,12.46
2010-06-04,12.32
2010-06-07,12.15
2010-06-08,11.445
2010-06-09,11.24
2010-06-10,11.13
2010-06-11,11.23
2010-06-14,11.78
2010-06-15,11.49
2010-06-16,11.84
2010-06-17,12.18
2010-06-18,12.22
2010-06-21,12.56
2010-06-22,12.16
2010-06-23,11.67
2010-06-24,11.62
2010-06-25,11.19
2010-06-28,11.16
2010-06-29,10.87
2010-06-30,10.5
2010-07-01,10.25
2010-07-02,10.42
2010-07-06,10.21
2010-07-07,10.18
2010-07-08,10.71
2010-07-09,10.36
2010-07-12,10.37
2010-07-13,10.73
2010-07-14,11.39
2010-07-15,11.04
2010-07-16,10.71
2010-07-19,10.19
2010-07-20,10.18
2010-07-21,10.84
2010-07-22,10.48
2010-07-23,10.53
2010-07-26,10.33
2010-07-27,10.58
2010-07-28,10.29
2010-07-29,9.4
2010-07-30,9.05
2010-08-02,9.35
2010-08-03,9.11
2010-08-04,9.03
2010-08-05,9.34
2010-08-06,9.41
2010-08-09,9.65
2010-08-10,9.5
2010-08-11,9.0
2010-08-12,8.73
2010-08-13,9.25
2010-08-16,9.26
2010-08-17,9.24
2010-08-18,9.24
2010-08-19,9.41
2010-08-20,9.81
2010-08-23,10.0
2010-08-24,9.49
2010-08-25,9.57
2010-08-26,10.05
2010-08-27,9.88
2010-08-30,10.0
2010-08-31,9.5
2010-09-01,9.47
2010-09-02,9.43
2010-09-03,9.79
2010-09-07,9.87
