dt,open
2010-01-04,44.88
2010-01-05,45.5
2010-01-06,45.27
2010-01-07,45.51
2010-01-08,45.11
2010-01-11,45.68
2010-01-12,46.21
2010-01-13,45.99
2010-01-14,45.72
2010-01-15,45.51
2010-01-19,44.77
2010-01-20,45.74
2010-01-21,46.05
2010-01-22,45.54
2010-01-25,45.03
2010-01-26,45.02
2010-01-27,44.69
2010-01-28,44.09
2010-01-29,43.55
2010-02-01,42.42
2010-02-02,43.03
2010-02-03,43.0
2010-02-04,42.65
2010-02-05,41.4
2010-02-08,40.93
2010-02-09,41.34
2010-02-10,41.37
2010-02-11,40.96
2010-02-12,41.12
2010-02-16,42.0
2010-02-17,42.53
2010-02-18,42.57
2010-02-19,42.6
2010-02-22,43.16
2010-02-23,43.77
2010-02-24,43.15
2010-02-25,43.4
2010-02-26,44.24
2010-03-01,44.56
2010-03-02,45.39
2010-03-03,45.73
2010-03-04,46.98
2010-03-05,47.01
2010-03-08,46.41
2010-03-09,46.09
2010-03-10,46.48
2010-03-11,46.68
2010-03-12,47.34
2010-03-15,46.53
2010-03-16,46.65
2010-03-17,46.85
2010-03-18,46.79
2010-03-19,46.84
2010-03-22,45.48
2010-03-23,45.98
2010-03-24,46.23
2010-03-25,46.34
2010-03-26,45.84
2010-03-29,45.48
2010-03-30,46.12
2010-03-31,45.96
2010-04-01,45.86
2010-04-05,46.84
2010-04-06,47.35
2010-04-07,47.88
2010-04-08,47.43
2010-04-09,47.14
2010-04-12,47.5
2010-04-13,47.75
2010-04-14,47.56
2010-04-15,47.71
2010-04-16,47.59
2010-04-19,47.19
2010-04-20,47.67
2010-04-21,48.43
2010-04-22,48.35
2010-04-23,49.19
2010-04-26,50.11
2010-04-27,50.0
2010-04-28,48.56
2010-04-29,49.11
2010-04-30,49.47
2010-05-03,49.32
2010-05-04,50.24
2010-05-05,49.38
2010-05-06,48.31
2010-05-07,46.5
2010-05-10,47.94
2010-05-11,48.02
2010-05-12,48.74
2010-05-13,49.57
2010-05-14,48.47
2010-05-17,47.25
2010-05-18,47.27
2010-05-19,45.64
2010-05-20,44.1
2010-05-21,41.66
2010-05-24,43.12
2010-05-25,41.68
2010-05-26,42.43
2010-05-27,43.78
2010-05-28,44.67
2010-06-01,43.93
2010-06-02,42.97
2010-06-03,44.78
2010-06-04,44.37
2010-06-07,43.51
2010-06-08,42.46
2010-06-09,43.33
2010-06-10,43.99
2010-06-11,44.28
2010-06-14,45.64
2010-06-15,45.8
2010-06-16,46.71
2010-06-17,47.0
2010-06-18,47.23
2010-06-21,47.52
2010-06-22,47.14
2010-06-23,45.53
2010-06-24,44.21
2010-06-25,44.63
2010-06-28,45.17
2010-06-29,45.18
2010-06-30,43.54
2010-07-01,43.12
2010-07-02,42.56
2010-07-06,42.96
2010-07-07,42.74
2010-07-08,44.37
2010-07-09,45.09
2010-07-12,45.09
2010-07-13,45.76
2010-07-14,45.72
2010-07-15,45.57
2010-07-16,45.78
2010-07-19,45.2
2010-07-20,44.72
2010-07-21,46.0
2010-07-22,45.54
2010-07-23,45.65
2010-07-26,46.27
2010-07-27,47.58
2010-07-28,47.25
2010-07-29,47.39
2010-07-30,46.08
2010-08-02,47.1
2010-08-03,47.7
2010-08-04,47.5
2010-08-05,47.02
2010-08-06,46.82
2010-08-09,46.83
2010-08-10,46.48
2010-08-11,45.79
2010-08-12,44.67
2010-08-13,44.78
2010-08-16,44.98
2010-08-17,45.31
2010-08-18,45.78
2010-08-19,45.25
2010-08-20,44.22
2010-08-23,44.19
2010-08-24,43.23
2010-08-25,43.31
2010-08-26,43.67
2010-08-27,43.73
2010-08-30,44.19
2010-08-31,43.05
2010-09-01,43.59
2010-09-02,44.52
2010-09-03,44.39
2010-09-07,44.32
2010-09-08,43.61
2010-09-09,44.38
2010-09-10,44.24
2010-09-13,44.82
2010-09-14,44.45
2010-09-15,44.4
2010-09-16,44.32
2010-09-17,44.45
2010-09-20,44.08
2010-09-21,44.4
2010-09-22,44.04
2010-09-23,43.91
2010-09-24,44.45
2010-09-27,44.94
2010-09-28,44.58
2010-09-29,44.4
2010-09-30,44.94
2010-10-01,45.35
2010-10-04,45.51
2010-10-05,46.04
2010-10-06,47.58
2010-10-07,47.62
2010-10-08,48.0
2010-10-11,48.11
2010-10-12,48.14
2010-10-13,48.43
2010-10-14,48.94
2010-10-15,49.13
2010-10-18,49.32
2010-10-19,49.0
2010-10-20,48.56
2010-10-21,49.46
2010-10-22,49.41
2010-10-25,50.42
2010-10-26,50.0
2010-10-27,49.5
2010-10-28,49.95
2010-10-29,49.65
2010-11-01,50.11
2010-11-02,50.36
2010-11-03,50.59
2010-11-04,50.81
2010-11-05,51.03
2010-11-08,51.0
2010-11-09,51.21
2010-11-10,50.72
2010-11-11,50.77
2010-11-12,50.98
2010-11-15,52.19
2010-11-16,51.58
2010-11-17,50.38
2010-11-18,50.85
2010-11-19,50.64
2010-11-22,50.62
2010-11-23,50.79
2010-11-24,51.26
2010-11-26,51.3
2010-11-29,50.99
2010-11-30,50.7
2010-12-01,51.74
2010-12-02,51.43
2010-12-03,52.41
2010-12-06,52.9
2010-12-07,53.64
2010-12-08,53.37
2010-12-09,54.11
2010-12-10,54.32
2010-12-13,54.53
2010-12-14,54.38
2010-12-15,54.7
2010-12-16,53.79
2010-12-17,53.73
2010-12-20,54.41
2010-12-21,54.98
2010-12-22,55.0
2010-12-23,55.36
2010-12-27,55.32
2010-12-28,55.58
2010-12-29,55.6
2010-12-30,55.5
2010-12-31,55.61
2011-01-03,55.84
2011-01-04,56.2
2011-01-05,55.09
2011-01-06,55.49
2011-01-07,55.72
2011-01-10,54.65
2011-01-11,55.63
2011-01-12,56.82
2011-01-13,57.27
2011-01-14,57.61
2011-01-18,57.62
2011-01-19,57.67
2011-01-20,57.34
2011-01-21,58.31
2011-01-24,58.67
2011-01-25,58.82
2011-01-26,58.735
2011-01-27,58.67
2011-01-28,59.07
2011-01-31,58.86
2011-02-01,59.17
2011-02-02,58.89
2011-02-03,58.9
2011-02-04,59.17
2011-02-07,59.04
2011-02-08,59.41
2011-02-09,59.24
2011-02-10,59.0
2011-02-11,59.58
2011-02-14,60.39
2011-02-15,60.48
2011-02-16,61.4
2011-02-17,61.91
2011-02-18,62.87
2011-02-22,64.65
2011-02-23,63.33
2011-02-24,63.19
2011-02-25,63.4
2011-02-28,64.18
2011-03-01,64.85
2011-03-02,63.6
2011-03-03,63.99
2011-03-04,64.62
2011-03-07,64.62
2011-03-08,64.08
2011-03-09,64.58
2011-03-10,64.72
2011-03-11,64.42
2011-03-14,64.67
2011-03-15,62.99
2011-03-16,62.6
2011-03-17,63.05
2011-03-18,64.54
2011-03-21,64.58
2011-03-22,66.35
2011-03-23,66.0
2011-03-24,66.38
2011-03-25,65.5
2011-03-28,66.18
2011-03-29,65.6
2011-03-30,65.5
2011-03-31,65.81
2011-04-01,67.35
2011-04-04,67.5
2011-04-05,67.34
2011-04-06,67.42
2011-04-07,66.16
2011-04-08,66.12
2011-04-11,65.58
2011-04-12,64.48
2011-04-13,64.54
2011-04-14,64.08
2011-04-15,64.45
2011-04-18,64.33
2011-04-19,64.23
2011-04-20,65.18
2011-04-21,66.85
2011-04-25,66.94
2011-04-26,67.5
2011-04-27,68.34
2011-04-28,68.54
2011-04-29,69.16
2011-05-02,70.11
2011-05-03,69.34
2011-05-04,66.96
2011-05-05,66.98
2011-05-06,68.6
2011-05-09,69.33
2011-05-10,70.64
2011-05-11,70.5
2011-05-12,69.39
2011-05-13,69.67
2011-05-16,69.06
2011-05-17,68.72
2011-05-18,69.4
2011-05-19,70.9
2011-05-20,70.6
2011-05-23,69.58
2011-05-24,70.3
2011-05-25,69.59
2011-05-26,70.15
2011-05-27,70.2
2011-05-31,70.82
2011-06-01,70.83
2011-06-02,70.51
2011-06-03,69.03
2011-06-06,69.44
2011-06-07,68.81
2011-06-08,68.97
2011-06-09,69.22
2011-06-10,69.29
2011-06-13,69.25
2011-06-14,69.49
2011-06-15,69.13
2011-06-16,68.82
2011-06-17,68.95
2011-06-20,69.05
2011-06-21,71.14
2011-06-22,71.74
2011-06-23,71.14
2011-06-24,72.35
2011-06-27,73.49
2011-06-28,73.82
2011-06-29,73.5
2011-06-30,74.18
2011-07-01,74.08
2011-07-05,75.17
2011-07-06,75.01
2011-07-07,76.0
2011-07-08,74.55
2011-07-11,74.45
2011-07-12,73.83
2011-07-13,74.2
2011-07-14,74.11
2011-07-15,74.01
2011-07-18,74.13
2011-07-19,74.17
2011-07-20,74.92
2011-07-21,75.05
2011-07-22,76.2
2011-07-25,75.19
2011-07-26,75.1
2011-07-27,74.31
2011-07-28,73.53
2011-07-29,72.19
2011-08-01,73.6
2011-08-02,72.4
2011-08-03,71.03
2011-08-04,68.13
2011-08-05,64.73
2011-08-08,61.99
2011-08-09,60.01
2011-08-10,62.39
2011-08-11,62.53
2011-08-12,66.84
2011-08-15,66.96
2011-08-16,67.55
2011-08-17,68.7
2011-08-18,66.81
2011-08-19,65.84
2011-08-22,67.23
2011-08-23,65.59
2011-08-24,66.85
2011-08-25,68.57
2011-08-26,66.97
2011-08-29,69.66
2011-08-30,70.5
2011-08-31,71.34
2011-09-01,71.14
2011-09-02,69.57
2011-09-06,66.28
2011-09-07,68.64
2011-09-08,69.15
2011-09-09,67.72
2011-09-12,65.73
2011-09-13,66.2
2011-09-14,67.26
2011-09-15,68.07
2011-09-16,68.85
2011-09-19,66.92
2011-09-20,68.26
2011-09-21,67.94
2011-09-22,64.42
2011-09-23,63.92
2011-09-26,65.0
2011-09-27,67.04
