dt,open
2010-01-04,31.14
2010-01-05,30.85
2010-01-06,30.81
2010-01-07,30.95
2010-01-08,30.87
2010-01-11,31.56
2010-01-12,31.58
2010-01-13,31.38
2010-01-14,31.53
2010-01-15,30.77
2010-01-19,30.7
2010-01-20,30.17
2010-01-21,30.44
2010-01-22,30.24
2010-01-25,29.75
2010-01-26,29.39
2010-01-27,29.25
2010-01-28,29.23
2010-01-29,29.0
2010-02-01,29.26
2010-02-02,29.36
2010-02-03,29.51
2010-02-04,29.32
2010-02-05,28.95
2010-02-08,28.83
2010-02-09,29.23
2010-02-10,29.09
2010-02-11,29.0
2010-02-12,29.25
2010-02-16,29.78
2010-02-17,30.12
2010-02-18,30.17
2010-02-19,30.13
2010-02-22,30.23
2010-02-23,30.03
2010-02-24,30.31
2010-02-25,29.91
2010-02-26,29.92
2010-03-01,30.24
2010-03-02,30.27
2010-03-03,30.44
2010-03-04,30.49
2010-03-05,30.5
2010-03-08,31.22
2010-03-09,31.25
2010-03-10,31.57
2010-03-11,31.64
2010-03-12,31.91
2010-03-15,32.2
2010-03-16,32.5
2010-03-17,32.12
2010-03-18,32.49
2010-03-19,32.68
2010-03-22,32.06
2010-03-23,32.82
2010-03-24,32.67
2010-03-25,31.57
2010-03-26,31.17
2010-03-29,31.14
2010-03-30,31.08
2010-03-31,30.93
2010-04-01,30.87
2010-04-05,30.78
2010-04-06,31.01
2010-04-07,31.0
2010-04-08,30.45
2010-04-09,30.88
2010-04-12,31.2
2010-04-13,31.16
2010-04-14,31.08
2010-04-15,31.39
2010-04-16,31.16
2010-04-19,30.94
2010-04-20,31.25
2010-04-21,31.31
2010-04-22,31.25
2010-04-23,31.47
2010-04-26,31.69
2010-04-27,31.7
2010-04-28,31.36
2010-04-29,30.58
2010-04-30,31.05
2010-05-03,30.6
2010-05-04,30.87
2010-05-05,30.4
2010-05-06,30.16
2010-05-07,29.17
2010-05-10,29.41
2010-05-11,30.16
2010-05-12,30.35
2010-05-13,30.24
2010-05-14,30.01
2010-05-17,29.64
2010-05-18,30.18
2010-05-19,29.75
2010-05-20,28.96
2010-05-21,28.67
2010-05-24,29.12
2010-05-25,28.56
2010-05-26,28.91
2010-05-27,28.55
2010-05-28,28.8
2010-06-01,28.39
2010-06-02,28.26
2010-06-03,29.02
2010-06-04,28.44
2010-06-07,27.98
2010-06-08,27.64
2010-06-09,27.99
2010-06-10,28.32
2010-06-11,28.2
2010-06-14,28.63
2010-06-15,28.34
2010-06-16,28.76
2010-06-17,28.97
2010-06-18,28.67
2010-06-21,28.51
2010-06-22,28.23
2010-06-23,27.75
2010-06-24,26.88
2010-06-25,26.66
2010-06-28,26.51
2010-06-29,26.39
2010-06-30,26.05
2010-07-01,26.04
2010-07-02,26.05
2010-07-06,25.64
2010-07-07,25.15
2010-07-08,26.09
2010-07-09,26.28
2010-07-12,25.97
2010-07-13,25.94
2010-07-14,25.9
2010-07-15,26.21
2010-07-16,26.44
2010-07-19,25.79
2010-07-20,25.62
2010-07-21,26.36
2010-07-22,25.93
2010-07-23,26.12
2010-07-26,26.61
2010-07-27,26.97
2010-07-28,27.0
2010-07-29,26.75
2010-07-30,25.83
2010-08-02,26.31
2010-08-03,26.09
2010-08-04,25.96
2010-08-05,25.92
2010-08-06,25.53
2010-08-09,25.73
2010-08-10,25.6
2010-08-11,25.32
2010-08-12,24.73
2010-08-13,24.79
2010-08-16,24.93
2010-08-17,25.26
2010-08-18,25.34
2010-08-19,25.4
2010-08-20,25.16
2010-08-23,25.53
2010-08-24,25.21
2010-08-25,24.85
2010-08-26,25.52
2010-08-27,25.36
2010-08-30,25.25
2010-08-31,24.91
2010-09-01,25.5
2010-09-02,25.54
2010-09-03,26.27
2010-09-07,26.16
2010-09-08,25.79
2010-09-09,26.07
2010-09-10,25.85
2010-09-13,26.17
2010-09-14,25.99
2010-09-15,25.85
2010-09-16,25.77
2010-09-17,26.0
2010-09-20,26.06
2010-09-21,26.73
2010-09-22,26.4
2010-09-23,26.35
2010-09-24,26.56
2010-09-27,27.1
2010-09-28,27.0
2010-09-29,27.15
2010-09-30,27.5
2010-10-01,27.54
2010-10-04,27.28
2010-10-05,27.58
2010-10-06,27.54
2010-10-07,27.67
2010-10-08,27.6
2010-10-11,27.43
2010-10-12,27.4
2010-10-13,27.46
2010-10-14,27.61
2010-10-15,27.75
2010-10-18,27.88
2010-10-19,27.51
2010-10-20,27.49
2010-10-21,27.9
2010-10-22,28.08
2010-10-25,28.13
2010-10-26,27.87
2010-10-27,27.88
2010-10-28,27.58
2010-10-29,27.69
2010-11-01,27.79
2010-11-02,27.99
2010-11-03,28.05
2010-11-04,28.49
2010-11-05,28.34
2010-11-08,28.08
2010-11-09,27.95
2010-11-10,27.77
2010-11-11,27.56
2010-11-12,27.64
2010-11-15,28.04
2010-11-16,27.79
2010-11-17,27.59
2010-11-18,28.01
2010-11-19,28.16
2010-11-22,28.16
2010-11-23,28.22
2010-11-24,28.44
2010-11-26,28.55
2010-11-29,28.42
2010-11-30,28.48
2010-12-01,28.86
2010-12-02,29.24
2010-12-03,29.65
2010-12-06,29.67
2010-12-07,29.79
2010-12-08,30.26
2010-12-09,29.99
2010-12-10,30.09
2010-12-13,30.53
2010-12-14,30.51
2010-12-15,30.55
2010-12-16,30.25
2010-12-17,30.84
2010-12-20,31.35
2010-12-21,31.28
2010-12-22,30.8
2010-12-23,31.05
2010-12-27,30.8
2010-12-28,30.76
2010-12-29,30.85
2010-12-30,30.81
2010-12-31,30.94
2011-01-03,31.24
2011-01-04,31.37
2011-01-05,30.83
2011-01-06,31.47
2011-01-07,31.95
2011-01-10,31.76
2011-01-11,32.07
2011-01-12,32.12
2011-01-13,32.2
2011-01-14,31.78
2011-01-18,32.4
2011-01-19,32.47
2011-01-20,32.4
2011-01-21,32.51
2011-01-24,32.71
2011-01-25,33.04
2011-01-26,33.02
2011-01-27,32.71
2011-01-28,32.53
2011-01-31,31.87
2011-02-01,32.19
2011-02-02,32.69
2011-02-03,32.74
2011-02-04,33.06
2011-02-07,33.29
2011-02-08,33.27
2011-02-09,33.25
2011-02-10,32.99
2011-02-11,33.18
2011-02-14,33.25
2011-02-15,33.15
2011-02-16,33.23
2011-02-17,32.96
2011-02-18,33.42
2011-02-22,33.38
2011-02-23,32.92
2011-02-24,32.54
2011-02-25,32.67
2011-02-28,33.11
2011-03-01,33.71
2011-03-02,32.8
2011-03-03,33.25
2011-03-04,33.4
2011-03-07,33.47
2011-03-08,33.1
2011-03-09,33.51
2011-03-10,33.4
2011-03-11,33.31
2011-03-14,32.97
2011-03-15,32.15
2011-03-16,31.88
2011-03-17,31.91
2011-03-18,31.79
2011-03-21,32.0
2011-03-22,32.15
2011-03-23,32.02
2011-03-24,31.79
2011-03-25,31.11
2011-03-28,31.08
2011-03-29,30.94
2011-03-30,31.3
2011-03-31,31.34
2011-04-01,31.39
2011-04-04,31.96
2011-04-05,31.99
2011-04-06,32.2
2011-04-07,32.14
2011-04-08,32.28
2011-04-11,32.06
2011-04-12,32.12
2011-04-13,32.41
2011-04-14,32.13
2011-04-15,32.48
2011-04-18,32.03
2011-04-19,32.06
2011-04-20,32.29
2011-04-21,32.66
2011-04-25,32.61
2011-04-26,32.81
2011-04-27,33.21
2011-04-28,33.24
2011-04-29,32.97
2011-05-02,32.91
2011-05-03,32.79
2011-05-04,32.86
2011-05-05,32.6
2011-05-06,32.46
2011-05-09,31.99
2011-05-10,32.43
2011-05-11,32.59
2011-05-12,32.46
2011-05-13,32.83
2011-05-16,32.36
2011-05-17,31.76
2011-05-18,31.83
2011-05-19,32.07
2011-05-20,31.81
