dt,open
2010-01-04,22.88
2010-01-05,22.93
2010-01-06,22.08
2010-01-07,22.24
2010-01-08,22.27
2010-01-11,22.36
2010-01-12,21.86
2010-01-13,22.22
2010-01-14,22.37
2010-01-15,22.32
2010-01-19,22.03
2010-01-20,21.96
2010-01-21,21.95
2010-01-22,21.51
2010-01-25,21.44
2010-01-26,21.27
2010-01-27,21.18
2010-01-28,21.29
2010-01-29,21.26
2010-02-01,20.87
2010-02-02,21.2
2010-02-03,21.36
2010-02-04,21.66
2010-02-05,22.23
2010-02-08,22.36
2010-02-09,22.39
2010-02-10,22.3
2010-02-11,22.36
2010-02-12,22.35
2010-02-16,22.62
2010-02-17,22.82
2010-02-18,22.26
2010-02-19,22.66
2010-02-22,22.93
2010-02-23,22.71
2010-02-24,22.65
2010-02-25,22.75
2010-02-26,22.95
2010-03-01,23.04
2010-03-02,23.28
2010-03-03,22.91
2010-03-04,22.77
2010-03-05,22.94
2010-03-08,22.99
2010-03-09,22.94
2010-03-10,22.86
2010-03-11,23.06
2010-03-12,23.65
2010-03-15,23.95
2010-03-16,23.93
2010-03-17,24.16
2010-03-18,24.39
2010-03-19,24.4
2010-03-22,24.46
2010-03-23,24.65
2010-03-24,24.66
2010-03-25,24.67
2010-03-26,24.47
2010-03-29,24.41
2010-03-30,24.51
2010-03-31,24.61
2010-04-01,24.0
2010-04-05,24.54
2010-04-06,24.69
2010-04-07,24.8
2010-04-08,24.71
2010-04-09,24.68
2010-04-12,24.8
2010-04-13,24.8
2010-04-14,24.79
2010-04-15,25.1
2010-04-16,25.15
2010-04-19,24.71
2010-04-20,25.12
2010-04-21,25.24
2010-04-22,25.12
2010-04-23,25.66
2010-04-26,25.86
2010-04-27,25.83
2010-04-28,25.74
2010-04-29,25.78
2010-04-30,25.91
2010-05-03,25.54
2010-05-04,25.09
2010-05-05,24.59
2010-05-06,24.59
2010-05-07,23.67
2010-05-10,24.5
2010-05-11,24.7
2010-05-12,24.55
2010-05-13,24.57
2010-05-14,23.75
2010-05-17,23.33
2010-05-18,23.68
2010-05-19,23.14
2010-05-20,22.39
2010-05-21,21.62
2010-05-24,22.4
2010-05-25,21.94
2010-05-26,22.28
2010-05-27,22.03
