dt,open
2010-01-04,38.21
2010-01-05,38.16
2010-01-06,38.58
2010-01-07,38.68
2010-01-08,39.1
2010-01-11,39.15
2010-01-12,38.63
2010-01-13,38.28
2010-01-14,38.69
2010-01-15,38.41
2010-01-19,37.86
2010-01-20,38.45
2010-01-21,37.97
2010-01-22,36.74
2010-01-25,36.67
2010-01-26,36.63
2010-01-27,36.66
2010-01-28,37.0
2010-01-29,36.79
2010-02-01,36.16
2010-02-02,37.36
2010-02-03,38.21
2010-02-04,37.74
2010-02-05,36.01
2010-02-08,36.47
2010-02-09,35.56
2010-02-10,35.6
2010-02-11,35.43
2010-02-12,35.25
2010-02-16,36.03
2010-02-17,36.4
2010-02-18,36.52
2010-02-19,36.57
2010-02-22,36.67
2010-02-23,36.3
2010-02-24,35.94
2010-02-25,35.93
2010-02-26,35.95
2010-03-01,35.94
2010-03-02,36.07
2010-03-03,36.15
2010-03-04,36.13
2010-03-05,36.29
2010-03-08,36.76
2010-03-09,36.9
2010-03-10,36.96
2010-03-11,36.63
2010-03-12,36.91
2010-03-15,36.96
2010-03-16,37.02
2010-03-17,37.72
2010-03-18,38.7
2010-03-19,38.57
2010-03-22,38.3
2010-03-23,39.14
2010-03-24,39.02
2010-03-25,39.29
2010-03-26,38.46
2010-03-29,38.39
2010-03-30,38.34
2010-03-31,38.77
2010-04-01,39.26
2010-04-05,39.53
2010-04-06,39.31
2010-04-07,39.77
2010-04-08,39.41
2010-04-09,39.79
2010-04-12,40.09
2010-04-13,39.94
2010-04-14,40.71
2010-04-15,40.42
2010-04-16,39.77
2010-04-19,39.5
2010-04-20,40.5
2010-04-21,41.0
2010-04-22,41.52
2010-04-23,42.7
2010-04-26,43.41
2010-04-27,41.54
2010-04-28,40.01
2010-04-29,40.68
2010-04-30,41.08
2010-05-03,40.16
2010-05-04,40.06
2010-05-05,38.62
2010-05-06,38.56
2010-05-07,37.65
2010-05-10,39.65
2010-05-11,38.86
2010-05-12,38.5
2010-05-13,38.77
2010-05-14,37.84
2010-05-17,36.74
2010-05-18,37.36
2010-05-19,35.7
2010-05-20,34.61
2010-05-21,33.89
2010-05-24,35.25
2010-05-25,33.43
2010-05-26,35.0
2010-05-27,34.69
2010-05-28,35.83
2010-06-01,34.74
2010-06-02,34.97
2010-06-03,35.69
2010-06-04,34.72
2010-06-07,34.14
2010-06-08,34.06
2010-06-09,35.08
2010-06-10,35.33
2010-06-11,35.65
2010-06-14,36.52
2010-06-15,36.78
2010-06-16,36.85
2010-06-17,37.17
2010-06-18,37.61
2010-06-21,37.69
2010-06-22,37.04
2010-06-23,36.54
2010-06-24,36.42
2010-06-25,35.88
2010-06-28,36.67
2010-06-29,35.63
2010-06-30,34.96
2010-07-01,34.36
2010-07-02,34.7
2010-07-06,34.57
2010-07-07,33.61
2010-07-08,35.26
2010-07-09,35.06
2010-07-12,35.54
2010-07-13,36.35
2010-07-14,36.62
2010-07-15,36.72
2010-07-16,36.7
2010-07-19,36.15
2010-07-20,35.97
2010-07-21,36.97
2010-07-22,36.31
2010-07-23,36.88
2010-07-26,37.84
2010-07-27,37.75
2010-07-28,36.69
2010-07-29,37.27
2010-07-30,35.91
2010-08-02,36.32
2010-08-03,36.78
2010-08-04,36.79
2010-08-05,36.67
2010-08-06,36.01
2010-08-09,36.57
2010-08-10,36.27
2010-08-11,35.71
2010-08-12,34.9
2010-08-13,34.86
2010-08-16,34.62
2010-08-17,34.76
2010-08-18,35.18
2010-08-19,35.01
2010-08-20,34.25
2010-08-23,34.28
2010-08-24,33.4
2010-08-25,33.36
2010-08-26,34.18
2010-08-27,33.75
2010-08-30,33.98
2010-08-31,34.06
2010-09-01,34.96
2010-09-02,35.37
2010-09-03,35.85
2010-09-07,35.41
2010-09-08,35.5
2010-09-09,35.82
2010-09-10,35.4
2010-09-13,36.0
2010-09-14,35.99
2010-09-15,35.66
2010-09-16,35.6
2010-09-17,35.88
2010-09-20,35.62
2010-09-21,35.85
2010-09-22,35.15
2010-09-23,34.42
2010-09-24,34.63
2010-09-27,35.12
2010-09-28,35.23
2010-09-29,35.45
2010-09-30,35.38
2010-10-01,35.59
2010-10-04,35.47
2010-10-05,35.73
2010-10-06,36.15
2010-10-07,36.25
2010-10-08,36.14
2010-10-11,36.07
2010-10-12,35.97
2010-10-13,36.55
2010-10-14,37.24
2010-10-15,37.5
2010-10-18,36.94
2010-10-19,36.77
2010-10-20,36.81
2010-10-21,37.48
2010-10-22,37.34
2010-10-25,37.32
2010-10-26,35.95
2010-10-27,36.27
2010-10-28,36.46
2010-10-29,36.4
2010-11-01,37.0
2010-11-02,37.25
2010-11-03,37.13
2010-11-04,37.61
2010-11-05,38.78
2010-11-08,38.8
2010-11-09,39.25
2010-11-10,38.59
2010-11-11,38.26
2010-11-12,37.93
2010-11-15,37.62
2010-11-16,37.11
2010-11-17,36.11
2010-11-18,36.3
2010-11-19,35.64
2010-11-22,35.96
2010-11-23,35.91
2010-11-24,36.07
2010-11-26,36.08
2010-11-29,35.75
2010-11-30,36.02
2010-12-01,36.65
2010-12-02,37.01
2010-12-03,37.23
2010-12-06,37.56
2010-12-07,37.78
2010-12-08,37.46
2010-12-09,36.85
2010-12-10,36.64
2010-12-13,36.93
2010-12-14,36.99
2010-12-15,36.66
2010-12-16,36.1
2010-12-17,35.69
2010-12-20,35.8
2010-12-21,36.49
2010-12-22,36.87
2010-12-23,36.95
2010-12-27,36.86
2010-12-28,37.5
2010-12-29,37.43
2010-12-30,37.32
2010-12-31,37.43
2011-01-03,37.67
2011-01-04,38.38
2011-01-05,37.65
2011-01-06,38.48
2011-01-07,39.3
2011-01-10,39.3
2011-01-11,39.61
2011-01-12,40.0
2011-01-13,39.75
2011-01-14,39.79
2011-01-18,39.95
2011-01-19,40.3
2011-01-20,39.62
2011-01-21,40.09
2011-01-24,40.49
2011-01-25,41.24
2011-01-26,41.92
2011-01-27,42.28
2011-01-28,42.5
2011-01-31,41.87
2011-02-01,39.98
2011-02-02,41.24
2011-02-03,41.16
2011-02-04,41.26
2011-02-07,41.02
2011-02-08,41.59
2011-02-09,41.94
2011-02-10,41.73
2011-02-11,42.03
2011-02-14,42.62
2011-02-15,42.4
2011-02-16,42.29
2011-02-17,42.21
2011-02-18,42.37
2011-02-22,42.16
2011-02-23,41.72
2011-02-24,40.95
2011-02-25,41.06
2011-02-28,41.7
2011-03-01,42.15
2011-03-02,40.86
2011-03-03,41.52
2011-03-04,41.57
2011-03-07,41.11
2011-03-08,40.69
2011-03-09,41.16
2011-03-10,40.79
2011-03-11,40.35
2011-03-14,41.33
2011-03-15,41.25
2011-03-16,42.08
2011-03-17,42.37
2011-03-18,42.5
2011-03-21,43.04
2011-03-22,43.11
2011-03-23,42.25
2011-03-24,42.69
2011-03-25,42.75
2011-03-28,42.63
2011-03-29,42.63
2011-03-30,43.34
2011-03-31,43.03
2011-04-01,43.81
2011-04-04,43.76
2011-04-05,43.96
2011-04-06,44.1
2011-04-07,43.61
2011-04-08,43.35
2011-04-11,42.67
2011-04-12,42.52
2011-04-13,42.61
2011-04-14,41.86
2011-04-15,42.58
2011-04-18,41.93
2011-04-19,42.19
2011-04-20,42.93
2011-04-21,42.67
2011-04-25,43.01
2011-04-26,43.0
2011-04-27,43.94
2011-04-28,43.39
2011-04-29,43.64
2011-05-02,43.31
2011-05-03,42.88
2011-05-04,42.94
2011-05-05,42.39
2011-05-06,42.46
2011-05-09,41.75
2011-05-10,42.3
2011-05-11,42.26
2011-05-12,41.26
2011-05-13,41.41
2011-05-16,40.61
2011-05-17,40.63
2011-05-18,40.45
2011-05-19,40.99
2011-05-20,40.7
2011-05-23,39.84
2011-05-24,39.82
2011-05-25,39.8
2011-05-26,39.74
2011-05-27,40.06
2011-05-31,40.36
2011-06-01,40.43
2011-06-02,39.84
2011-06-03,39.33
2011-06-06,39.51
2011-06-07,39.48
2011-06-08,39.6
2011-06-09,39.64
2011-06-10,39.36
2011-06-13,38.64
2011-06-14,38.59
2011-06-15,38.67
2011-06-16,38.52
2011-06-17,39.05
2011-06-20,39.135
2011-06-21,39.58
2011-06-22,39.58
2011-06-23,39.09
2011-06-24,39.44
2011-06-27,39.11
2011-06-28,39.61
2011-06-29,39.91
2011-06-30,40.27
2011-07-01,40.59
2011-07-05,41.28
2011-07-06,40.95
2011-07-07,41.43
2011-07-08,40.89
2011-07-11,40.71
2011-07-12,40.49
2011-07-13,40.94
2011-07-14,40.55
2011-07-15,40.28
2011-07-18,40.42
2011-07-19,40.33
2011-07-20,40.97
2011-07-21,41.34
2011-07-22,41.19
2011-07-25,40.41
2011-07-26,39.35
2011-07-27,38.83
2011-07-28,38.53
2011-07-29,38.1
2011-08-01,38.74
2011-08-02,37.83
2011-08-03,37.63
2011-08-04,37.1
2011-08-05,36.69
2011-08-08,35.57
2011-08-09,35.12
2011-08-10,35.81
2011-08-11,35.26
2011-08-12,36.73
2011-08-15,35.74
2011-08-16,36.27
2011-08-17,36.38
2011-08-18,35.49
2011-08-19,34.68
2011-08-22,35.26
2011-08-23,34.82
2011-08-24,35.62
2011-08-25,36.3
