dt,open
2010-01-04,33.14
2010-01-05,33.65
2010-01-06,33.63
2010-01-07,33.29
2010-01-08,32.79
2010-01-11,32.85
2010-01-12,32.42
2010-01-13,32.88
2010-01-14,32.9
2010-01-15,32.54
2010-01-19,32.56
2010-01-20,32.71
2010-01-21,32.25
2010-01-22,31.68
2010-01-25,31.28
2010-01-26,31.41
2010-01-27,31.21
2010-01-28,30.91
2010-01-29,30.83
2010-02-01,30.73
2010-02-02,30.65
2010-02-03,30.7
2010-02-04,30.32
2010-02-05,29.61
2010-02-08,29.49
2010-02-09,29.74
2010-02-10,29.85
2010-02-11,29.9
2010-02-12,30.28
2010-02-16,30.42
2010-02-17,30.92
2010-02-18,30.66
2010-02-19,30.7
2010-02-22,31.37
2010-02-23,30.46
2010-02-24,30.27
2010-02-25,29.8
2010-02-26,29.87
2010-03-01,29.83
2010-03-02,30.59
2010-03-03,30.66
2010-03-04,30.54
2010-03-05,31.49
2010-03-08,30.72
2010-03-09,30.69
2010-03-10,30.6
2010-03-11,30.43
2010-03-12,30.78
2010-03-15,30.52
2010-03-16,30.92
2010-03-17,31.18
2010-03-18,30.94
2010-03-19,31.3
2010-03-22,30.8
2010-03-23,30.59
2010-03-24,30.45
2010-03-25,30.09
2010-03-26,29.44
2010-03-29,29.31
2010-03-30,29.6
2010-03-31,29.6
2010-04-01,29.66
2010-04-05,30.25
2010-04-06,30.68
2010-04-07,30.97
2010-04-08,30.62
2010-04-09,30.52
2010-04-12,30.99
2010-04-13,31.06
2010-04-14,30.83
2010-04-15,31.12
2010-04-16,30.65
2010-04-19,30.12
2010-04-20,30.46
2010-04-21,30.75
2010-04-22,30.84
2010-04-23,31.02
2010-04-26,31.47
2010-04-27,31.31
2010-04-28,31.29
2010-04-29,31.6
2010-04-30,31.94
2010-05-03,32.33
2010-05-04,32.51
2010-05-05,31.77
2010-05-06,31.84
2010-05-07,31.01
2010-05-10,31.73
2010-05-11,31.13
2010-05-12,31.46
2010-05-13,32.41
2010-05-14,31.94
2010-05-17,32.08
2010-05-18,32.01
2010-05-19,31.49
2010-05-20,30.84
2010-05-21,30.07
2010-05-24,30.45
2010-05-25,29.53
2010-05-26,30.3
2010-05-27,30.27
2010-05-28,30.61
2010-06-01,30.44
2010-06-02,30.48
2010-06-03,31.15
2010-06-04,31.08
2010-06-07,30.46
2010-06-08,30.84
2010-06-09,31.8
2010-06-10,32.22
2010-06-11,31.92
2010-06-14,32.37
2010-06-15,32.59
2010-06-16,32.88
2010-06-17,33.22
2010-06-18,33.61
2010-06-21,34.1
2010-06-22,33.05
2010-06-23,32.1
2010-06-24,31.67
2010-06-25,31.91
2010-06-28,32.47
2010-06-29,32.09
2010-06-30,31.76
2010-07-01,31.43
2010-07-02,31.15
2010-07-06,31.54
2010-07-07,31.72
2010-07-08,32.84
2010-07-09,33.04
2010-07-12,33.31
2010-07-13,33.71
2010-07-14,33.31
2010-07-15,33.27
2010-07-16,33.61
2010-07-19,33.16
2010-07-20,33.1
2010-07-21,33.58
2010-07-22,33.17
2010-07-23,33.62
2010-07-26,33.8
2010-07-27,34.17
2010-07-28,34.7
2010-07-29,34.56
2010-07-30,33.31
2010-08-02,33.15
2010-08-03,33.29
2010-08-04,33.09
2010-08-05,32.68
2010-08-06,32.28
2010-08-09,32.75
2010-08-10,32.47
2010-08-11,32.14
2010-08-12,31.48
2010-08-13,31.5
2010-08-16,31.57
2010-08-17,31.78
2010-08-18,32.01
2010-08-19,31.8
2010-08-20,31.43
2010-08-23,31.8
2010-08-24,31.91
2010-08-25,31.69
2010-08-26,31.91
2010-08-27,31.54
2010-08-30,32.03
2010-08-31,31.63
2010-09-01,32.25
2010-09-02,32.84
2010-09-03,32.7
2010-09-07,32.39
2010-09-08,32.57
2010-09-09,32.49
2010-09-10,32.3
2010-09-13,32.07
2010-09-14,32.04
2010-09-15,31.9
2010-09-16,31.43
2010-09-17,31.77
2010-09-20,31.95
2010-09-21,32.36
2010-09-22,32.46
2010-09-23,32.16
2010-09-24,32.41
2010-09-27,32.96
2010-09-28,33.14
2010-09-29,32.96
2010-09-30,33.28
2010-10-01,33.37
2010-10-04,33.03
2010-10-05,33.41
2010-10-06,33.51
2010-10-07,33.19
2010-10-08,33.52
2010-10-11,33.58
2010-10-12,33.43
2010-10-13,33.27
2010-10-14,33.35
2010-10-15,33.29
2010-10-18,33.31
2010-10-19,33.35
2010-10-20,33.43
2010-10-21,33.7
2010-10-22,33.8
2010-10-25,33.49
2010-10-26,33.24
2010-10-27,33.12
2010-10-28,32.77
2010-10-29,32.45
2010-11-01,32.47
2010-11-02,32.39
2010-11-03,32.97
2010-11-04,33.21
2010-11-05,33.36
2010-11-08,32.74
2010-11-09,32.57
2010-11-10,32.32
2010-11-11,32.15
2010-11-12,32.06
2010-11-15,31.83
2010-11-16,31.85
2010-11-17,31.39
2010-11-18,31.47
2010-11-19,30.94
2010-11-22,30.78
2010-11-23,30.61
2010-11-24,30.82
2010-11-26,30.61
2010-11-29,30.5
2010-11-30,30.8
2010-12-01,31.25
2010-12-02,31.45
2010-12-03,31.44
2010-12-06,31.5
2010-12-07,31.66
2010-12-08,31.33
2010-12-09,31.2
2010-12-10,31.36
2010-12-13,31.37
2010-12-14,31.18
2010-12-15,31.18
2010-12-16,31.19
2010-12-17,31.81
2010-12-20,31.84
2010-12-21,31.64
2010-12-22,31.33
2010-12-23,31.49
2010-12-27,31.32
2010-12-28,31.54
2010-12-29,31.58
2010-12-30,31.39
2010-12-31,31.42
2011-01-03,32.01
2011-01-04,31.8
2011-01-05,31.45
2011-01-06,31.37
2011-01-07,31.31
2011-01-10,31.5
2011-01-11,31.63
2011-01-12,31.93
2011-01-13,32.08
2011-01-14,31.49
2011-01-18,31.67
2011-01-19,31.31
2011-01-20,31.78
2011-01-21,32.49
2011-01-24,32.38
2011-01-25,32.67
2011-01-26,32.53
2011-01-27,32.6
2011-01-28,32.66
2011-01-31,32.46
2011-02-01,32.61
2011-02-02,32.94
2011-02-03,32.6
2011-02-04,32.67
2011-02-07,32.33
2011-02-08,32.59
2011-02-09,32.64
2011-02-10,33.0
2011-02-11,32.78
2011-02-14,32.83
2011-02-15,32.46
2011-02-16,32.42
2011-02-17,32.08
2011-02-18,32.12
2011-02-22,31.28
2011-02-23,32.28
2011-02-24,32.2883
2011-02-25,32.27
2011-02-28,32.51
2011-03-01,32.59
2011-03-02,31.93
2011-03-03,32.15
2011-03-04,31.99
2011-03-07,31.65
2011-03-08,31.06
2011-03-09,31.68
2011-03-10,32.27
2011-03-11,32.1
2011-03-14,32.13
2011-03-15,30.91
2011-03-16,31.1
2011-03-17,30.7
2011-03-18,30.54
2011-03-21,30.62
2011-03-22,30.82
2011-03-23,30.92
2011-03-24,31.31
2011-03-25,31.25
2011-03-28,31.17
2011-03-29,30.96
2011-03-30,31.39
2011-03-31,31.74
2011-04-01,31.71
2011-04-04,31.45
2011-04-05,30.87
2011-04-06,30.91
2011-04-07,31.49
2011-04-08,31.53
2011-04-11,31.08
2011-04-12,30.48
2011-04-13,30.63
2011-04-14,30.79
2011-04-15,30.96
2011-04-18,31.02
2011-04-19,30.88
2011-04-20,30.77
2011-04-21,30.79
2011-04-25,30.87
2011-04-26,30.91
2011-04-27,31.3
2011-04-28,31.73
2011-04-29,32.12
2011-05-02,32.19
2011-05-03,32.19
2011-05-04,32.15
2011-05-05,32.27
2011-05-06,32.14
2011-05-09,32.38
2011-05-10,32.46
2011-05-11,32.94
2011-05-12,33.26
2011-05-13,33.81
2011-05-16,33.36
2011-05-17,33.49
2011-05-18,33.82
2011-05-19,33.96
2011-05-20,34.07
2011-05-23,33.99
2011-05-24,33.93
2011-05-25,33.24
2011-05-26,33.34
2011-05-27,33.41
2011-05-31,33.49
2011-06-01,33.34
2011-06-02,33.0
2011-06-03,32.53
2011-06-06,32.43
2011-06-07,32.27
2011-06-08,32.07
2011-06-09,31.96
2011-06-10,32.0
2011-06-13,32.3
2011-06-14,31.85
2011-06-15,31.64
2011-06-16,31.2
2011-06-17,31.57
2011-06-20,31.44
2011-06-21,31.83
2011-06-22,31.62
2011-06-23,31.42
2011-06-24,31.65
2011-06-27,31.28
2011-06-28,31.95
2011-06-29,32.16
2011-06-30,32.39
2011-07-01,32.68
2011-07-05,32.93
2011-07-06,32.64
2011-07-07,32.76
2011-07-08,32.61
2011-07-11,32.18
2011-07-12,31.96
2011-07-13,32.33
2011-07-14,32.08
2011-07-15,32.04
2011-07-18,31.73
2011-07-19,31.68
2011-07-20,31.92
2011-07-21,32.18
2011-07-22,32.67
2011-07-25,32.64
2011-07-26,33.16
2011-07-27,33.2
2011-07-28,33.2
2011-07-29,32.86
2011-08-01,33.02
2011-08-02,32.46
2011-08-03,32.32
2011-08-04,31.47
2011-08-05,30.56
2011-08-08,29.83
2011-08-09,29.29
2011-08-10,29.15
2011-08-11,29.08
2011-08-12,31.01
2011-08-15,31.33
2011-08-16,32.09
2011-08-17,32.36
2011-08-18,31.75
2011-08-19,31.6
2011-08-22,32.41
2011-08-23,31.51
2011-08-24,32.22
2011-08-25,33.51
2011-08-26,32.95
2011-08-29,33.36
2011-08-30,33.64
2011-08-31,33.78
2011-09-01,34.12
2011-09-02,32.94
2011-09-06,32.02
2011-09-07,32.51
2011-09-08,33.0
2011-09-09,32.89
2011-09-12,32.05
2011-09-13,32.74
2011-09-14,33.24
2011-09-15,33.93
2011-09-16,34.23
2011-09-19,33.92
2011-09-20,34.52
2011-09-21,34.71
2011-09-22,33.05
2011-09-23,32.99
2011-09-26,33.86
2011-09-27,34.52
2011-09-28,34.14
2011-09-29,34.15
2011-09-30,33.67
2011-10-03,33.35
2011-10-04,32.04
2011-10-05,32.01
2011-10-06,31.9
2011-10-07,32.73
2011-10-10,32.72
2011-10-11,32.77
2011-10-12,33.02
2011-10-13,32.46
2011-10-14,32.92
2011-10-17,32.82
2011-10-18,33.11
2011-10-19,33.07
2011-10-20,33.12
