dt,open
2010-01-04,36.66
2010-01-05,36.77
2010-01-06,36.42
2010-01-07,36.59
2010-01-08,36.54
2010-01-11,37.0
2010-01-12,37.29
2010-01-13,37.63
2010-01-14,37.57
2010-01-15,37.58
2010-01-19,37.08
2010-01-20,37.44
2010-01-21,37.26
2010-01-22,36.88
2010-01-25,36.37
2010-01-26,36.25
2010-01-27,36.93
2010-01-28,36.22
2010-01-29,36.12
2010-02-01,35.97
2010-02-02,36.02
2010-02-03,36.11
2010-02-04,35.99
2010-02-05,35.37
2010-02-08,35.43
2010-02-09,34.99
2010-02-10,35.16
2010-02-11,35.0
2010-02-12,35.29
2010-02-16,35.58
2010-02-17,36.49
2010-02-18,36.58
2010-02-19,36.77
2010-02-22,37.57
2010-02-23,37.23
2010-02-24,37.42
2010-02-25,37.28
2010-02-26,37.55
2010-03-01,36.43
2010-03-02,36.82
2010-03-03,37.54
2010-03-04,37.69
2010-03-05,37.95
2010-03-08,38.02
2010-03-09,37.83
2010-03-10,37.56
2010-03-11,37.17
2010-03-12,37.67
2010-03-15,37.19
2010-03-16,37.38
2010-03-17,37.75
2010-03-18,37.98
2010-03-19,38.04
2010-03-22,37.68
2010-03-23,37.72
2010-03-24,37.78
2010-03-25,37.53
2010-03-26,37.35
2010-03-29,37.72
2010-03-30,38.25
2010-03-31,38.06
2010-04-01,37.89
2010-04-05,38.22
2010-04-06,38.22
2010-04-07,38.95
2010-04-08,38.0
2010-04-09,38.42
2010-04-12,38.17
2010-04-13,37.84
2010-04-14,37.96
2010-04-15,37.92
2010-04-16,37.98
2010-04-19,37.47
2010-04-20,37.69
2010-04-21,38.06
2010-04-22,38.21
2010-04-23,38.35
2010-04-26,38.31
2010-04-27,37.97
2010-04-28,37.36
2010-04-29,37.28
2010-04-30,37.66
2010-05-03,37.43
2010-05-04,37.82
2010-05-05,37.15
2010-05-06,36.25
2010-05-07,35.92
2010-05-10,36.29
2010-05-11,35.31
2010-05-12,35.64
2010-05-13,36.3
2010-05-14,36.34
2010-05-17,36.16
2010-05-18,36.6
2010-05-19,36.09
2010-05-20,35.59
2010-05-21,34.78
2010-05-24,35.01
2010-05-25,34.3
2010-05-26,34.68
2010-05-27,35.05
2010-05-28,35.15
2010-06-01,34.9
2010-06-02,34.97
2010-06-03,35.7
2010-06-04,35.35
2010-06-07,34.86
2010-06-08,34.83
2010-06-09,35.79
2010-06-10,35.4
2010-06-11,35.38
2010-06-14,35.97
2010-06-15,35.97
2010-06-16,36.3
2010-06-17,36.77
2010-06-18,37.28
2010-06-21,37.89
2010-06-22,37.54
2010-06-23,36.71
2010-06-24,36.27
2010-06-25,36.73
2010-06-28,36.59
2010-06-29,36.65
2010-06-30,36.67
2010-07-01,36.43
2010-07-02,36.17
2010-07-06,36.57
2010-07-07,36.9
2010-07-08,37.92
2010-07-09,37.96
2010-07-12,37.99
2010-07-13,38.58
2010-07-14,38.39
2010-07-15,38.6
2010-07-16,38.48
2010-07-19,38.01
2010-07-20,37.81
2010-07-21,38.33
2010-07-22,38.21
2010-07-23,38.55
2010-07-26,39.13
2010-07-27,39.8
2010-07-28,40.06
2010-07-29,39.57
2010-07-30,38.0
2010-08-02,38.52
2010-08-03,38.5
2010-08-04,39.22
2010-08-05,39.33
2010-08-06,39.36
2010-08-09,39.43
2010-08-10,39.28
2010-08-11,39.3
2010-08-12,38.73
2010-08-13,39.29
