dt,open
2010-01-04,24.4
2010-01-05,24.47
2010-01-06,24.09
2010-01-07,23.9
2010-01-08,24.3
2010-01-11,24.89
2010-01-12,24.23
2010-01-13,24.5
2010-01-14,24.53
2010-01-15,24.65
2010-01-19,24.46
2010-01-20,24.52
2010-01-21,24.41
2010-01-22,23.94
2010-01-25,23.81
2010-01-26,23.36
2010-01-27,23.99
2010-01-28,24.22
2010-01-29,23.54
2010-02-01,22.66
2010-02-02,22.56
2010-02-03,22.87
2010-02-04,22.52
2010-02-05,21.91
2010-02-08,22.3
2010-02-09,22.57
2010-02-10,22.66
2010-02-11,22.35
2010-02-12,22.43
2010-02-16,22.92
2010-02-17,23.27
2010-02-18,22.91
2010-02-19,23.0
2010-02-22,23.08
2010-02-23,22.88
2010-02-24,23.36
2010-02-25,23.72
2010-02-26,24.35
2010-03-01,24.85
2010-03-02,24.94
2010-03-03,24.66
2010-03-04,24.55
2010-03-05,24.71
2010-03-08,24.91
2010-03-09,24.55
2010-03-10,24.58
2010-03-11,24.92
2010-03-12,25.035
2010-03-15,24.79
2010-03-16,24.96
2010-03-17,25.16
2010-03-18,25.22
2010-03-19,24.88
2010-03-22,24.57
2010-03-23,25.38
2010-03-24,25.38
2010-03-25,25.64
2010-03-26,25.18
2010-03-29,25.47
2010-03-30,25.46
2010-03-31,25.34
2010-04-01,25.44
2010-04-05,25.7
2010-04-06,25.65
2010-04-07,25.62
2010-04-08,25.5
2010-04-09,25.69
2010-04-12,25.93
2010-04-13,25.56
2010-04-14,25.81
2010-04-15,25.79
2010-04-16,26.17
2010-04-19,25.75
2010-04-20,25.67
2010-04-21,25.75
2010-04-22,25.07
2010-04-23,25.89
2010-04-26,26.04
2010-04-27,26.2
2010-04-28,25.83
2010-04-29,26.07
2010-04-30,26.0
2010-05-03,25.6
2010-05-04,25.04
2010-05-05,24.75
2010-05-06,24.76
2010-05-07,24.31
2010-05-10,24.29
2010-05-11,24.39
2010-05-12,24.31
2010-05-13,24.16
2010-05-14,24.0
2010-05-17,28.73
2010-05-18,28.49
2010-05-19,29.55
2010-05-20,29.29
2010-05-21,28.25
2010-05-24,28.69
2010-05-25,28.33
2010-05-26,28.74
2010-05-27,28.98
2010-05-28,28.7
2010-06-01,28.23
2010-06-02,27.87
2010-06-03,28.5
2010-06-04,27.89
2010-06-07,28.5
2010-06-08,28.02
2010-06-09,29.83
2010-06-10,29.28
2010-06-11,29.59
2010-06-14,30.13
2010-06-15,29.78
2010-06-16,29.76
2010-06-17,29.74
2010-06-18,29.87
2010-06-21,29.74
2010-06-22,29.05
2010-06-23,28.38
2010-06-24,28.54
2010-06-25,28.64
2010-06-28,28.64
2010-06-29,28.37
2010-06-30,27.58
2010-07-01,27.98
2010-07-02,28.05
2010-07-06,28.42
2010-07-07,28.35
2010-07-08,28.82
2010-07-09,29.28
2010-07-12,28.82
2010-07-13,29.25
2010-07-14,29.66
2010-07-15,29.74
2010-07-16,29.69
2010-07-19,29.01
2010-07-20,28.34
2010-07-21,29.23
2010-07-22,29.12
2010-07-23,31.02
2010-07-26,30.87
2010-07-27,31.48
2010-07-28,30.99
2010-07-29,31.15
2010-07-30,30.99
2010-08-02,30.69
2010-08-03,30.32
2010-08-04,30.05
2010-08-05,30.35
2010-08-06,30.65
2010-08-09,30.86
2010-08-10,30.37
2010-08-11,30.24
2010-08-12,30.06
2010-08-13,31.0
2010-08-16,30.74
2010-08-17,32.57
2010-08-18,32.55
2010-08-19,32.52
2010-08-20,32.49
2010-08-23,32.44
2010-08-24,32.38
2010-08-25,32.26
2010-08-26,32.13
2010-08-27,32.2
2010-08-30,32.38
2010-08-31,32.36
2010-09-01,32.1
2010-09-02,32.11
2010-09-03,32.24
2010-09-07,32.21
2010-09-08,32.16
2010-09-09,32.22
2010-09-10,32.21
2010-09-13,32.27
2010-09-14,32.32
2010-09-15,32.4
2010-09-16,32.52
2010-09-17,32.5
2010-09-20,32.52
2010-09-21,32.63
2010-09-22,32.59
2010-09-23,32.69
2010-09-24,32.87
2010-09-27,32.94
2010-09-28,32.87
2010-09-29,32.92
2010-09-30,32.95
2010-10-01,32.98
2010-10-04,32.95
2010-10-05,32.98
2010-10-06,32.98
2010-10-07,33.01
2010-10-08,33.07
2010-10-11,33.08
2010-10-12,33.07
2010-10-13,33.04
2010-10-14,33.1
2010-10-15,33.22
2010-10-18,33.12
2010-10-19,33.16
2010-10-20,33.15
2010-10-21,33.16
2010-10-22,33.17
2010-10-25,33.2
2010-10-26,33.14
2010-10-27,33.15
2010-10-28,33.17
2010-10-29,33.17
2010-11-01,33.16
2010-11-02,33.16
2010-11-03,33.16
2010-11-04,33.14
2010-11-05,33.18
2010-11-08,33.16
2010-11-09,33.17
2010-11-10,33.17
2010-11-11,33.18
2010-11-12,33.21
2010-11-15,33.22
2010-11-16,33.23
