dt,open
2010-01-04,23.94
2010-01-05,24.26
2010-01-06,24.52
2010-01-07,24.9
2010-01-08,24.77
2010-01-11,24.8
2010-01-12,24.23
2010-01-13,24.86
2010-01-14,25.01
2010-01-15,25.03
2010-01-19,24.78
2010-01-20,24.74
2010-01-21,25.28
2010-01-22,26.54
2010-01-25,26.69
2010-01-26,26.16
2010-01-27,26.06
2010-01-28,26.38
2010-01-29,25.79
2010-02-01,25.41
2010-02-02,25.65
2010-02-03,26.45
2010-02-04,26.49
2010-02-05,25.61
2010-02-08,25.19
2010-02-09,25.63
2010-02-10,25.42
2010-02-11,25.63
2010-02-12,25.3
2010-02-16,26.07
2010-02-17,26.33
2010-02-18,26.41
2010-02-19,26.22
2010-02-22,26.81
2010-02-23,26.77
2010-02-24,26.18
2010-02-25,25.44
2010-02-26,25.66
2010-03-01,25.9
2010-03-02,26.39
2010-03-03,27.17
2010-03-04,26.81
2010-03-05,27.18
2010-03-08,27.35
2010-03-09,27.65
2010-03-10,27.56
2010-03-11,27.56
2010-03-12,27.65
2010-03-15,27.35
2010-03-16,27.66
2010-03-17,27.88
2010-03-18,28.03
2010-03-19,28.0
2010-03-22,27.65
2010-03-23,28.2
2010-03-24,27.9
2010-03-25,28.1
2010-03-26,27.92
2010-03-29,27.21
2010-03-30,27.33
2010-03-31,27.38
2010-04-01,26.9
2010-04-05,27.14
2010-04-06,27.48
2010-04-07,28.18
2010-04-08,28.16
2010-04-09,28.67
2010-04-12,28.86
2010-04-13,29.02
2010-04-14,29.56
2010-04-15,30.04
2010-04-16,30.04
2010-04-19,29.21
2010-04-20,29.91
2010-04-21,29.92
2010-04-22,29.63
2010-04-23,30.64
2010-04-26,30.94
2010-04-27,30.45
2010-04-28,30.27
2010-04-29,30.46
2010-04-30,30.65
2010-05-03,30.89
2010-05-04,30.57
2010-05-05,29.45
2010-05-06,29.28
2010-05-07,28.25
2010-05-10,29.46
2010-05-11,29.3
2010-05-12,29.78
2010-05-13,30.08
2010-05-14,29.76
2010-05-17,28.85
2010-05-18,28.7
2010-05-19,27.55
2010-05-20,26.91
2010-05-21,25.93
2010-05-24,27.23
2010-05-25,26.67
2010-05-26,27.4
2010-05-27,28.0
2010-05-28,28.5
2010-06-01,28.04
2010-06-02,27.7
2010-06-03,28.4
2010-06-04,27.97
2010-06-07,27.7
2010-06-08,27.3
2010-06-09,27.67
2010-06-10,27.69
2010-06-11,27.69
2010-06-14,28.67
2010-06-15,28.37
2010-06-16,28.42
2010-06-17,28.65
2010-06-18,28.11
2010-06-21,27.76
2010-06-22,27.27
2010-06-23,27.22
2010-06-24,26.65
2010-06-25,26.8
2010-06-28,26.59
2010-06-29,26.15
