dt,open
2010-01-04,47.61
2010-01-05,47.65
2010-01-06,47.35
2010-01-07,48.22
2010-01-08,48.63
2010-01-11,48.36
2010-01-12,48.47
2010-01-13,48.31
2010-01-14,48.2
2010-01-15,48.5
2010-01-19,47.73
2010-01-20,48.48
2010-01-21,48.2
2010-01-22,47.42
2010-01-25,46.62
2010-01-26,46.34
2010-01-27,50.01
2010-01-28,51.09
2010-01-29,50.2
2010-02-01,48.46
2010-02-02,50.0
2010-02-03,49.59
2010-02-04,48.7
2010-02-05,48.0
2010-02-08,48.2
2010-02-09,48.89
2010-02-10,49.27
2010-02-11,49.44
2010-02-12,49.74
2010-02-16,51.72
2010-02-17,52.96
2010-02-18,53.08
2010-02-19,53.52
2010-02-22,54.38
2010-02-23,53.97
2010-02-24,53.36
2010-02-25,53.1
2010-02-26,53.48
2010-03-01,54.45
2010-03-02,55.5
2010-03-03,55.71
2010-03-04,55.46
2010-03-05,55.31
2010-03-08,56.13
2010-03-09,56.01
2010-03-10,56.03
2010-03-11,56.03
2010-03-12,56.09
2010-03-15,55.47
2010-03-16,55.08
2010-03-17,55.32
2010-03-18,55.4
2010-03-19,55.24
2010-03-22,55.07
2010-03-23,55.92
2010-03-24,56.72
2010-03-25,56.14
2010-03-26,56.19
2010-03-29,55.72
2010-03-30,55.74
2010-03-31,55.83
2010-04-01,56.64
2010-04-05,56.87
2010-04-06,57.11
2010-04-07,57.86
2010-04-08,57.3
2010-04-09,59.0
2010-04-12,59.29
2010-04-13,59.56
2010-04-14,59.29
2010-04-15,59.94
2010-04-16,60.56
2010-04-19,59.79
2010-04-20,59.83
2010-04-21,60.63
2010-04-22,59.87
2010-04-23,62.21
2010-04-26,62.94
2010-04-27,62.42
2010-04-28,63.79
2010-04-29,61.88
2010-04-30,61.81
2010-05-03,61.21
2010-05-04,61.6
2010-05-05,59.45
2010-05-06,58.94
2010-05-07,57.41
2010-05-10,59.25
2010-05-11,59.25
2010-05-12,60.52
2010-05-13,61.84
2010-05-14,60.28
2010-05-17,59.44
2010-05-18,59.78
2010-05-19,57.71
2010-05-20,54.19
2010-05-21,51.15
2010-05-24,52.95
2010-05-25,51.18
2010-05-26,52.26
2010-05-27,53.3
2010-05-28,53.96
2010-06-01,52.92
2010-06-02,52.41
2010-06-03,53.82
2010-06-04,53.2
2010-06-07,51.4
2010-06-08,49.6
2010-06-09,50.6
2010-06-10,51.27
2010-06-11,52.01
2010-06-14,53.22
2010-06-15,52.48
2010-06-16,53.67
2010-06-17,54.22
2010-06-18,53.98
2010-06-21,54.8
2010-06-22,53.95
2010-06-23,52.21
2010-06-24,51.94
2010-06-25,51.12
2010-06-28,51.85
2010-06-29,50.6
2010-06-30,48.87
2010-07-01,48.99
2010-07-02,49.2
2010-07-06,49.71
2010-07-07,49.44
2010-07-08,51.51
2010-07-09,51.79
2010-07-12,51.65
2010-07-13,52.07
2010-07-14,52.33
2010-07-15,52.62
2010-07-16,51.48
2010-07-19,50.73
