dt,open
2010-01-04,53.02
2010-01-05,52.59
2010-01-06,51.66
2010-01-07,51.39
2010-01-08,52.05
2010-01-11,52.66
2010-01-12,52.24
2010-01-13,52.59
2010-01-14,52.14
2010-01-15,52.4
2010-01-19,53.33
2010-01-20,53.28
2010-01-21,53.03
2010-01-22,51.9
2010-01-25,51.57
2010-01-26,51.27
2010-01-27,50.82
2010-01-28,50.68
2010-01-29,50.61
2010-02-01,50.31
2010-02-02,50.71
2010-02-03,53.98
2010-02-04,52.99
2010-02-05,52.99
2010-02-08,52.45
2010-02-09,52.2
2010-02-10,51.99
2010-02-11,51.53
2010-02-12,52.1
2010-02-16,53.06
2010-02-17,54.35
2010-02-18,53.72
2010-02-19,54.72
2010-02-22,55.59
2010-02-23,55.13
2010-02-24,54.53
2010-02-25,54.14
2010-02-26,54.86
2010-03-01,55.59
2010-03-02,55.85
2010-03-03,56.02
2010-03-04,55.98
2010-03-05,56.03
2010-03-08,56.4
2010-03-09,56.5
2010-03-10,56.55
2010-03-11,56.73
2010-03-12,57.92
2010-03-15,58.09
2010-03-16,57.41
2010-03-17,57.95
2010-03-18,58.23
2010-03-19,57.92
2010-03-22,57.1
2010-03-23,57.5
2010-03-24,57.83
2010-03-25,57.59
2010-03-26,56.94
2010-03-29,57.01
2010-03-30,57.04
2010-03-31,57.48
2010-04-01,58.04
2010-04-05,58.87
2010-04-06,58.66
2010-04-07,59.15
2010-04-08,59.47
2010-04-09,60.1
2010-04-12,60.52
2010-04-13,60.69
2010-04-14,61.13
2010-04-15,61.15
2010-04-16,61.24
2010-04-19,60.68
2010-04-20,61.05
2010-04-21,61.21
2010-04-22,61.18
2010-04-23,62.17
2010-04-26,63.16
2010-04-27,61.04
2010-04-28,61.26
2010-04-29,60.88
2010-04-30,62.48
2010-05-03,61.15
2010-05-04,61.48
2010-05-05,60.06
2010-05-06,59.81
2010-05-07,57.72
2010-05-10,59.9
2010-05-11,60.37
2010-05-12,60.79
2010-05-13,61.68
2010-05-14,61.26
2010-05-17,60.45
2010-05-18,61.3
2010-05-19,59.84
2010-05-20,57.59
2010-05-21,56.92
2010-05-24,57.97
