dt,open
2010-01-04,19.21
2010-01-05,19.39
2010-01-06,19.64
2010-01-07,19.1
2010-01-08,19.12
2010-01-11,19.28
2010-01-12,19.0
2010-01-13,19.13
2010-01-14,19.0
2010-01-15,19.02
2010-01-19,19.0
2010-01-20,18.75
2010-01-21,19.05
2010-01-22,19.14
2010-01-25,18.97
2010-01-26,18.88
2010-01-27,18.73
2010-01-28,18.77
2010-01-29,18.67
2010-02-01,18.45
2010-02-02,18.26
2010-02-03,18.3
2010-02-04,18.12
2010-02-05,17.55
2010-02-08,18.06
2010-02-09,17.88
2010-02-10,17.51
2010-02-11,17.85
2010-02-12,17.75
2010-02-16,17.64
2010-02-17,17.87
2010-02-18,17.58
2010-02-19,18.15
2010-02-22,18.7
2010-02-23,18.68
2010-02-24,18.37
2010-02-25,18.22
2010-02-26,18.35
2010-03-01,18.4
2010-03-02,18.26
2010-03-03,18.28
2010-03-04,18.13
2010-03-05,18.48
2010-03-08,18.93
2010-03-09,19.01
2010-03-10,19.02
2010-03-11,19.0
2010-03-12,18.89
2010-03-15,18.33
2010-03-16,18.31
2010-03-17,18.27
2010-03-18,18.39
2010-03-19,18.83
2010-03-22,18.51
2010-03-23,18.58
2010-03-24,18.49
2010-03-25,18.48
2010-03-26,18.77
2010-03-29,18.76
2010-03-30,18.7
2010-03-31,18.69
2010-04-01,18.76
2010-04-05,18.63
2010-04-06,18.9
2010-04-07,19.27
2010-04-08,19.16
2010-04-09,19.13
2010-04-12,19.24
2010-04-13,19.51
2010-04-14,19.7
2010-04-15,19.0
2010-04-16,19.21
2010-04-19,18.77
2010-04-20,19.28
2010-04-21,19.33
2010-04-22,19.35
2010-04-23,19.59
2010-04-26,19.82
2010-04-27,19.4
2010-04-28,19.09
2010-04-29,19.07
2010-04-30,19.3
2010-05-03,19.38
2010-05-04,19.28
2010-05-05,18.82
2010-05-06,18.75
2010-05-07,18.15
2010-05-10,18.0
2010-05-11,17.85
2010-05-12,17.69
2010-05-13,17.66
2010-05-14,17.4
2010-05-17,16.95
2010-05-18,17.49
2010-05-19,16.95
2010-05-20,16.79
2010-05-21,16.04
2010-05-24,16.65
2010-05-25,15.93
2010-05-26,16.38
2010-05-27,16.48
2010-05-28,16.75
2010-06-01,16.22
2010-06-02,16.08
2010-06-03,16.56
2010-06-04,16.39
2010-06-07,16.41
2010-06-08,15.94
2010-06-09,16.06
2010-06-10,15.9
2010-06-11,15.95
2010-06-14,16.42
2010-06-15,15.91
2010-06-16,15.85
2010-06-17,15.84
2010-06-18,15.4
2010-06-21,15.67
2010-06-22,15.28
2010-06-23,14.93
2010-06-24,14.8
2010-06-25,14.79
2010-06-28,14.86
2010-06-29,14.81
2010-06-30,14.12
2010-07-01,14.17
2010-07-02,14.01
2010-07-06,14.06
2010-07-07,14.18
2010-07-08,14.28
2010-07-09,14.11
