dt,open
2010-01-04,50.68
2010-01-05,48.71
2010-01-06,48.19
2010-01-07,47.86
2010-01-08,48.43
2010-01-11,49.89
2010-01-12,48.7
2010-01-13,49.67
2010-01-14,50.52
2010-01-15,50.4
2010-01-19,50.06
2010-01-20,51.08
2010-01-21,51.26
2010-01-22,46.98
2010-01-25,46.56
2010-01-26,45.43
2010-01-27,45.61
2010-01-28,45.97
2010-01-29,45.75
2010-02-01,46.69
2010-02-02,47.78
2010-02-03,47.64
2010-02-04,47.18
2010-02-05,45.17
2010-02-08,45.84
2010-02-09,45.08
2010-02-10,44.16
2010-02-11,44.48
2010-02-12,44.57
2010-02-16,46.69
2010-02-17,48.14
2010-02-18,47.52
2010-02-19,47.64
2010-02-22,48.35
2010-02-23,49.39
2010-02-24,48.93
2010-02-25,49.02
2010-02-26,50.54
2010-03-01,51.5
2010-03-02,51.69
2010-03-03,52.47
2010-03-04,52.35
2010-03-05,53.16
2010-03-08,55.36
2010-03-09,56.99
2010-03-10,57.21
2010-03-11,56.03
2010-03-12,57.6
2010-03-15,56.34
2010-03-16,55.67
2010-03-17,57.47
2010-03-18,57.66
2010-03-19,56.87
2010-03-22,54.83
2010-03-23,55.53
2010-03-24,54.48
2010-03-25,55.24
2010-03-26,56.05
2010-03-29,54.78
2010-03-30,56.22
2010-03-31,56.71
2010-04-01,57.78
2010-04-05,58.05
2010-04-06,60.26
2010-04-07,63.09
2010-04-08,59.47
2010-04-09,60.92
2010-04-12,61.75
2010-04-13,60.47
2010-04-14,62.62
2010-04-15,61.29
2010-04-16,59.66
2010-04-19,58.03
2010-04-20,59.99
2010-04-21,61.21
2010-04-22,61.53
2010-04-23,63.62
2010-04-26,64.3
2010-04-27,61.01
2010-04-28,62.23
2010-04-29,63.21
2010-04-30,64.8
2010-05-03,62.9
2010-05-04,63.21
2010-05-05,64.03
2010-05-06,64.36
2010-05-07,62.67
2010-05-10,62.32
2010-05-11,63.73
2010-05-12,65.63
2010-05-13,67.34
2010-05-14,66.54
2010-05-17,64.46
2010-05-18,64.64
2010-05-19,61.21
2010-05-20,57.91
2010-05-21,55.6
2010-05-24,59.67
2010-05-25,55.34
2010-05-26,57.47
2010-05-27,59.85
2010-05-28,62.25
2010-06-01,61.87
2010-06-02,61.28
2010-06-03,62.72
2010-06-04,60.1
2010-06-07,58.69
2010-06-08,56.74
2010-06-09,56.81
2010-06-10,58.65
2010-06-11,59.3
2010-06-14,62.0
2010-06-15,62.71
2010-06-16,63.29
2010-06-17,62.82
2010-06-18,63.69
2010-06-21,63.88
2010-06-22,61.57
2010-06-23,58.16
2010-06-24,59.19
2010-06-25,58.07
2010-06-28,59.43
2010-06-29,57.54
2010-06-30,55.56
2010-07-01,55.31
2010-07-02,54.48
2010-07-06,53.4
2010-07-07,50.61
2010-07-08,54.18
2010-07-09,54.1
2010-07-12,56.34
2010-07-13,57.36
2010-07-14,57.14
2010-07-15,57.14
2010-07-16,56.59
2010-07-19,54.84
2010-07-20,53.72
2010-07-21,56.99
2010-07-22,56.17
2010-07-23,55.78
2010-07-26,56.94
2010-07-27,57.31
2010-07-28,59.24
2010-07-29,59.72
2010-07-30,58.68
2010-08-02,61.28
2010-08-03,62.94
2010-08-04,61.38
2010-08-05,61.92
2010-08-06,60.66
2010-08-09,62.1
2010-08-10,61.64
2010-08-11,59.24
2010-08-12,57.17
2010-08-13,57.41
2010-08-16,56.61
2010-08-17,57.61
2010-08-18,57.96
2010-08-19,58.27
2010-08-20,56.71
2010-08-23,57.46
2010-08-24,56.57
2010-08-25,56.16
2010-08-26,58.79
2010-08-27,58.75
2010-08-30,58.45
2010-08-31,57.96
2010-09-01,61.26
2010-09-02,62.19
2010-09-03,63.61
2010-09-07,62.92
2010-09-08,62.21
2010-09-09,62.96
2010-09-10,61.12
2010-09-13,62.82
2010-09-14,63.05
2010-09-15,63.18
2010-09-16,64.71
2010-09-17,64.99
2010-09-20,64.81
2010-09-21,66.67
2010-09-22,64.2
2010-09-23,62.19
2010-09-24,62.64
2010-09-27,63.12
2010-09-28,63.75
2010-09-29,62.5
2010-09-30,63.18
2010-10-01,64.0
2010-10-04,63.59
2010-10-05,65.24
2010-10-06,63.4
2010-10-07,64.91
2010-10-08,64.45
2010-10-11,65.48
2010-10-12,65.57
2010-10-13,67.63
2010-10-14,68.16
2010-10-15,69.95
2010-10-18,68.07
2010-10-19,68.59
2010-10-20,67.6
2010-10-21,68.78
2010-10-22,69.28
2010-10-25,69.95
2010-10-26,67.5
2010-10-27,67.36
2010-10-28,67.14
2010-10-29,65.78
2010-11-01,66.47
2010-11-02,67.07
2010-11-03,67.45
2010-11-04,67.72
2010-11-05,69.27
2010-11-08,69.51
2010-11-09,69.45
2010-11-10,65.43
2010-11-11,64.58
2010-11-12,64.25
2010-11-15,64.48
2010-11-16,63.01
2010-11-17,61.76
2010-11-18,63.84
2010-11-19,63.44
2010-11-22,63.86
2010-11-23,63.06
2010-11-24,64.24
2010-11-26,64.66
2010-11-29,64.375
2010-11-30,65.01
2010-12-01,66.44
2010-12-02,66.21
2010-12-03,66.06
2010-12-06,65.81
2010-12-07,67.84
2010-12-08,66.57
2010-12-09,64.8
2010-12-10,63.89
2010-12-13,64.39
2010-12-14,64.98
2010-12-15,63.83
2010-12-16,63.33
2010-12-17,63.13
2010-12-20,63.69
2010-12-21,64.98
2010-12-22,65.5
2010-12-23,65.9
2010-12-27,65.56
2010-12-28,66.95
2010-12-29,67.59
2010-12-30,67.69
2010-12-31,67.54
2011-01-03,68.11
2011-01-04,69.24
2011-01-05,67.98
2011-01-06,68.29
2011-01-07,67.79
2011-01-10,66.73
2011-01-11,68.33
2011-01-12,69.24
2011-01-13,69.76
2011-01-14,70.61
2011-01-18,70.88
2011-01-19,70.98
2011-01-20,69.35
2011-01-21,70.57
2011-01-24,70.63
2011-01-25,70.31
2011-01-26,70.9
2011-01-27,70.98
2011-01-28,72.45
2011-01-31,72.31
2011-02-01,73.37
2011-02-02,73.4
2011-02-03,73.16
2011-02-04,73.55
2011-02-07,72.58
2011-02-08,73.22
2011-02-09,73.26
2011-02-10,73.16
2011-02-11,74.38
2011-02-14,74.49
2011-02-15,73.04
2011-02-16,73.57
2011-02-17,73.07
2011-02-18,73.72
2011-02-22,73.43
2011-02-23,73.24
2011-02-24,71.84
2011-02-25,71.4
2011-02-28,73.44
2011-03-01,75.73
2011-03-02,73.65
2011-03-03,73.44
2011-03-04,74.24
2011-03-07,73.51
2011-03-08,72.62
2011-03-09,73.1
2011-03-10,71.93
2011-03-11,71.07
2011-03-14,71.9
2011-03-15,68.46
2011-03-16,69.72
2011-03-17,70.28
2011-03-18,71.68
2011-03-21,72.06
2011-03-22,71.97
2011-03-23,71.43
2011-03-24,71.87
2011-03-25,71.96
2011-03-28,72.96
2011-03-29,72.21
2011-03-30,73.48
2011-03-31,74.37
2011-04-01,75.5
2011-04-04,76.38
2011-04-05,76.88
2011-04-06,77.79
2011-04-07,77.22
2011-04-08,77.12
2011-04-11,75.81
2011-04-12,75.16
2011-04-13,76.27
2011-04-14,74.36
2011-04-15,75.29
2011-04-18,75.19
2011-04-19,75.06
2011-04-20,77.76
2011-04-21,77.76
2011-04-25,78.63
2011-04-26,79.99
2011-04-27,79.91
2011-04-28,82.85
2011-04-29,83.02
2011-05-02,83.1
2011-05-03,82.87
2011-05-04,82.77
2011-05-05,81.84
2011-05-06,83.86
2011-05-09,81.97
2011-05-10,83.19
2011-05-11,85.0
2011-05-12,83.39
2011-05-13,84.23
2011-05-16,83.71
2011-05-17,84.05
2011-05-18,84.19
2011-05-19,86.29
2011-05-20,85.73
2011-05-23,83.92
2011-05-24,85.11
2011-05-25,84.88
2011-05-26,85.21
2011-05-27,87.47
2011-05-31,89.16
2011-06-01,89.86
2011-06-02,87.69
2011-06-03,85.29
2011-06-06,86.22
2011-06-07,85.51
2011-06-08,85.84
2011-06-09,84.86
2011-06-10,82.07
2011-06-13,79.95
2011-06-14,81.0
2011-06-15,82.44
2011-06-16,80.8
2011-06-17,82.11
2011-06-20,81.8
2011-06-21,84.64
2011-06-22,84.76
2011-06-23,83.67
2011-06-24,82.72
2011-06-27,82.17
2011-06-28,82.41
2011-06-29,83.01
2011-06-30,83.05
2011-07-01,83.21
2011-07-05,84.91
2011-07-06,85.83
2011-07-07,87.53
2011-07-08,86.42
2011-07-11,85.5
2011-07-12,84.4
2011-07-13,85.72
2011-07-14,85.79
2011-07-15,84.12
2011-07-18,84.51
2011-07-19,85.29
2011-07-20,86.49
2011-07-21,87.48
2011-07-22,87.37
2011-07-25,86.41
2011-07-26,86.86
2011-07-27,85.95
2011-07-28,82.68
2011-07-29,81.64
2011-08-01,82.89
2011-08-02,79.57
2011-08-03,76.81
2011-08-04,76.83
2011-08-05,74.22
2011-08-08,68.29
2011-08-09,64.77
2011-08-10,68.77
2011-08-11,70.66
2011-08-12,74.52
2011-08-15,73.2
2011-08-16,72.78
2011-08-17,72.96
2011-08-18,70.19
2011-08-19,67.24
2011-08-22,67.68
2011-08-23,66.32
2011-08-24,66.0
2011-08-25,66.87
2011-08-26,63.52
2011-08-29,66.86
2011-08-30,69.04
2011-08-31,70.83
2011-09-01,71.82
2011-09-02,70.4
2011-09-06,68.06
2011-09-07,69.43
2011-09-08,71.35
2011-09-09,68.91
2011-09-12,65.52
2011-09-13,66.42
2011-09-14,66.52
2011-09-15,68.98
2011-09-16,70.94
2011-09-19,70.31
2011-09-20,69.52
2011-09-21,68.96
2011-09-22,61.86
2011-09-23,59.5
2011-09-26,61.33
2011-09-27,63.35
2011-09-28,63.59
2011-09-29,62.25
2011-09-30,60.42
2011-10-03,58.39
2011-10-04,54.1
2011-10-05,58.08
2011-10-06,57.4
2011-10-07,58.95
2011-10-10,58.09
2011-10-11,60.41
2011-10-12,60.12
2011-10-13,60.34
2011-10-14,61.57
2011-10-17,61.83
2011-10-18,60.47
2011-10-19,62.79
2011-10-20,62.02
2011-10-21,64.26
2011-10-24,65.36
2011-10-25,67.3
2011-10-26,66.03
2011-10-27,70.99
2011-10-28,70.84
2011-10-31,69.76
2011-11-01,66.4
2011-11-02,67.73
2011-11-03,68.64
2011-11-04,67.87
2011-11-07,68.51
2011-11-08,69.92
2011-11-09,68.81
2011-11-10,67.37
2011-11-11,68.1
2011-11-14,68.36
2011-11-15,66.57
2011-11-16,67.0
2011-11-17,65.32
2011-11-18,65.72
2011-11-21,64.78
2011-11-22,63.42
2011-11-23,62.85
2011-11-25,60.4
2011-11-28,62.6
2011-11-29,62.65
2011-11-30,63.21
2011-12-01,65.49
2011-12-02,65.25
2011-12-05,66.13
2011-12-06,67.31
2011-12-07,67.28
2011-12-08,67.75
2011-12-09,66.22
2011-12-12,67.0
2011-12-13,65.95
2011-12-14,63.87
2011-12-15,64.24
2011-12-16,65.11
2011-12-19,65.82
2011-12-20,65.38
2011-12-21,65.68
2011-12-22,66.0
2011-12-23,66.49
2011-12-27,66.19
2011-12-28,66.66
2011-12-29,65.59
2011-12-30,66.9
2012-01-03,67.94
2012-01-04,67.67
2012-01-05,68.02
2012-01-06,69.35
2012-01-09,70.0
2012-01-10,70.56
2012-01-11,71.09
2012-01-12,71.21
2012-01-13,70.25
2012-01-17,71.3
2012-01-18,71.52
2012-01-19,71.78
2012-01-20,72.73
2012-01-23,74.35
2012-01-24,73.35
2012-01-25,73.48
2012-01-26,74.83
2012-01-27,73.19
2012-01-30,73.12
2012-01-31,73.58
2012-02-01,74.38
2012-02-02,74.93
2012-02-03,76.17
2012-02-06,77.34
2012-02-07,76.53
2012-02-08,76.42
2012-02-09,76.01
2012-02-10,74.58
2012-02-13,75.93
2012-02-14,75.33
2012-02-15,75.08
2012-02-16,75.53
2012-02-17,76.32
2012-02-21,75.8
2012-02-22,74.63
2012-02-23,74.78
2012-02-24,75.83
2012-02-27,75.07
2012-02-28,75.89
2012-02-29,76.04
2012-03-01,76.53
2012-03-02,76.46
2012-03-05,76.0
2012-03-06,76.41
2012-03-07,76.59
2012-03-08,77.42
2012-03-09,76.48
2012-03-12,77.18
2012-03-13,77.4
2012-03-14,79.08
2012-03-15,78.85
2012-03-16,78.77
2012-03-19,78.54
2012-03-20,77.84
2012-03-21,78.5
2012-03-22,76.87
2012-03-23,76.27
2012-03-26,77.64
2012-03-27,77.32
2012-03-28,76.89
2012-03-29,76.76
2012-03-30,77.56
2012-04-02,76.48
2012-04-03,77.46
2012-04-04,76.51
2012-04-05,75.21
2012-04-09,72.94
2012-04-10,74.23
2012-04-11,72.56
2012-04-12,73.16
2012-04-13,74.0
2012-04-16,73.42
2012-04-17,74.6
2012-04-18,75.06
2012-04-19,75.75
2012-04-20,75.85
2012-04-23,73.23
2012-04-24,75.58
2012-04-25,78.48
2012-04-26,79.5
2012-04-27,81.81
2012-04-30,82.24
2012-05-01,82.64
2012-05-02,82.53
2012-05-03,83.01
2012-05-04,81.66
2012-05-07,80.13
2012-05-08,80.6
2012-05-09,80.35
2012-05-10,81.61
2012-05-11,80.49
2012-05-14,79.95
2012-05-15,79.1
2012-05-16,79.31
2012-05-17,77.94
2012-05-18,74.75
2012-05-21,72.75
2012-05-22,74.95
2012-05-23,74.39
2012-05-24,74.68
2012-05-25,75.35
2012-05-29,75.29
2012-05-30,75.17
2012-05-31,74.95
2012-06-01,74.08
2012-06-04,72.09
2012-06-05,70.92
2012-06-06,73.55
2012-06-07,75.85
2012-06-08,74.22
2012-06-11,76.25
2012-06-12,73.4
2012-06-13,73.88
2012-06-14,72.98
2012-06-15,73.98
2012-06-18,74.04
2012-06-19,75.93
2012-06-20,76.37
2012-06-21,76.52
2012-06-22,75.34
2012-06-25,74.28
2012-06-26,74.26
2012-06-27,75.83
2012-06-28,75.46
2012-06-29,79.04
2012-07-02,82.6
2012-07-03,80.88
2012-07-05,81.72
2012-07-06,80.63
2012-07-09,81.8
2012-07-10,82.07
2012-07-11,79.16
2012-07-12,78.0
2012-07-13,78.7
2012-07-16,79.66
2012-07-17,79.9
2012-07-18,80.08
2012-07-19,80.05
2012-07-20,77.57
2012-07-23,76.86
2012-07-24,77.37
2012-07-25,76.7
2012-07-26,78.06
2012-07-27,77.79
2012-07-30,77.94
2012-07-31,78.94
2012-08-01,78.96
2012-08-02,79.75
2012-08-03,81.39
2012-08-06,82.0
2012-08-07,82.09
2012-08-08,80.64
2012-08-09,80.47
2012-08-10,80.88
2012-08-13,80.5
2012-08-14,80.97
2012-08-15,80.49
2012-08-16,81.07
2012-08-17,81.02
2012-08-20,81.05
2012-08-21,80.95
2012-08-22,80.58
2012-08-23,80.85
2012-08-24,80.84
2012-08-27,81.28
2012-08-28,80.55
2012-08-29,80.96
2012-08-30,80.36
2012-08-31,80.49
2012-09-04,80.78
2012-09-05,81.86
2012-09-06,81.95
2012-09-07,81.73
2012-09-10,81.9
2012-09-11,81.68
2012-09-12,82.0
2012-09-13,82.29
2012-09-14,84.05
2012-09-17,84.92
2012-09-18,83.64
2012-09-19,82.57
2012-09-20,81.6
2012-09-21,81.53
2012-09-24,80.86
2012-09-25,81.13
2012-09-26,80.47
2012-09-27,79.73
2012-09-28,79.97
2012-10-01,80.37
2012-10-02,79.45
2012-10-03,79.69
2012-10-04,79.67
2012-10-05,78.64
2012-10-08,78.09
2012-10-09,78.24
2012-10-10,78.02
2012-10-11,78.75
2012-10-12,79.01
2012-10-15,78.17
2012-10-16,79.1
2012-10-17,78.36
2012-10-18,78.64
2012-10-19,79.39
2012-10-22,77.13
2012-10-23,77.21
2012-10-24,77.95
2012-10-25,78.92
2012-10-26,75.87
2012-10-31,75.5
2012-11-01,75.38
2012-11-02,76.59
2012-11-05,77.26
2012-11-06,76.79
2012-11-07,76.23
2012-11-08,75.12
2012-11-09,73.87
2012-11-12,74.08
2012-11-13,74.01
2012-11-14,74.6
2012-11-15,71.47
2012-11-16,71.75
2012-11-19,72.35
2012-11-20,72.48
2012-11-21,73.33
2012-11-23,73.64
2012-11-26,73.5
2012-11-27,73.71
2012-11-28,73.59
2012-11-29,74.82
2012-11-30,74.24
2012-12-03,75.88
2012-12-04,75.94
2012-12-05,75.75
2012-12-06,75.12
2012-12-07,76.11
2012-12-10,76.35
2012-12-11,76.21
2012-12-12,76.32
2012-12-13,75.8
2012-12-14,75.49
2012-12-17,76.13
2012-12-18,76.64
2012-12-19,76.88
2012-12-20,76.61
2012-12-21,76.39
2012-12-24,76.63
2012-12-26,77.05
2012-12-27,76.28
2012-12-28,75.79
2012-12-31,75.5
2013-01-02,78.2
2013-01-03,78.32
2013-01-04,78.22
2013-01-07,78.15
2013-01-08,79.05
2013-01-09,78.8
2013-01-10,79.12
2013-01-11,79.04
2013-01-14,79.03
2013-01-15,77.68
2013-01-16,78.79
2013-01-17,79.47
2013-01-18,79.44
2013-01-22,80.22
2013-01-23,80.43
2013-01-24,80.21
2013-01-25,80.83
2013-01-28,81.79
2013-01-29,81.37
2013-01-30,82.03
2013-01-31,80.0
2013-02-01,80.9
2013-02-04,80.43
2013-02-05,80.97
2013-02-06,80.69
2013-02-07,81.19
2013-02-08,81.22
2013-02-11,81.87
2013-02-12,81.79
2013-02-13,82.8
2013-02-14,82.52
2013-02-15,82.09
2013-02-19,83.21
2013-02-20,83.27
2013-02-21,82.24
2013-02-22,81.62
2013-02-25,81.81
2013-02-26,80.55
2013-02-27,80.67
2013-02-28,81.47
2013-03-01,81.34
2013-03-04,82.5
2013-03-05,83.04
2013-03-06,83.0
2013-03-07,83.74
2013-03-08,84.13
2013-03-11,84.43
2013-03-12,85.36
2013-03-13,85.38
2013-03-14,85.67
2013-03-15,86.22
2013-03-18,85.31
2013-03-19,85.7
2013-03-20,85.32
2013-03-21,85.6
2013-03-22,85.87
2013-03-25,86.15
2013-03-26,86.16
2013-03-27,85.17
2013-03-28,86.14
2013-04-01,86.05
2013-04-02,86.38
2013-04-03,87.54
2013-04-04,86.6
2013-04-05,87.16
2013-04-08,88.45
2013-04-09,88.94
2013-04-10,88.4
2013-04-11,88.54
2013-04-12,88.24
2013-04-15,88.1
2013-04-16,86.56
2013-04-17,87.15
2013-04-18,86.53
2013-04-19,86.05
2013-04-22,87.88
2013-04-23,87.37
2013-04-24,88.25
2013-04-25,89.62
2013-04-26,88.5
2013-04-29,88.49
2013-04-30,88.77
2013-05-01,89.86
2013-05-02,88.93
